Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,109.84,113.31,106.16,113.01,7486900,113.01
2011-09-23,109.49,111.22,108.46,108.93,7056300,108.93
2011-09-22,113.83,113.84,108.31,110.75,9249300,110.75
2011-09-21,125.59,126.04,118.60,118.60,7708000,118.60
2011-09-20,127.51,129.34,125.24,125.32,3707700,125.32
2011-09-19,127.03,128.13,124.53,127.03,3855100,127.03
2011-09-16,131.89,132.57,128.74,130.10,3835100,130.10
2011-09-15,130.53,131.55,129.11,131.09,4166100,131.09
2011-09-14,127.98,130.56,124.11,128.90,4659100,128.90
2011-09-13,126.80,128.36,124.02,127.33,5628300,127.33
2011-09-12,122.55,126.73,122.49,126.48,5790200,126.48
2011-09-09,128.30,129.21,124.29,125.47,6088000,125.47
2011-09-08,130.83,133.18,129.57,130.25,3525800,130.25
2011-09-07,128.70,132.04,128.42,131.99,4373900,131.95
2011-09-06,122.71,126.76,122.06,126.44,5337300,126.38
2011-09-02,128.60,129.49,126.60,127.70,3980500,127.64
2011-09-01,134.21,135.62,131.80,131.83,4457500,131.77
2011-08-31,134.00,136.28,132.54,133.81,4467400,133.75
2011-08-30,130.40,133.62,129.00,132.46,4282600,132.39
2011-08-29,128.92,131.28,127.96,131.14,2786000,130.95
2011-08-26,120.61,127.35,120.60,126.44,5961000,126.25
2011-08-25,125.65,126.64,121.37,122.12,4980800,121.94
2011-08-24,123.51,124.90,121.60,124.73,4969400,124.55
2011-08-23,119.57,124.22,117.91,124.22,5577100,123.86
2011-08-22,123.90,124.00,118.00,118.29,5520400,117.95
2011-08-19,122.54,126.31,119.61,120.29,8541100,119.94
2011-08-18,129.52,129.75,123.41,125.00,7702900,124.64
2011-08-17,135.60,137.21,133.51,134.69,3611600,134.30
2011-08-16,135.16,136.57,132.56,133.63,4167200,133.24
2011-08-15,134.74,138.57,134.74,137.49,4959600,137.09
2011-08-12,133.03,134.12,131.33,132.77,6380300,132.39
2011-08-11,126.97,133.35,124.01,131.22,7383200,130.84
2011-08-10,127.75,130.48,124.11,125.03,9917700,124.67
2011-08-09,126.24,130.00,121.51,129.93,8740900,129.55
2011-08-08,129.26,132.39,121.53,122.32,10020600,121.97
2011-08-05,139.99,141.12,130.00,135.82,12489500,135.39
2011-08-04,147.30,147.40,137.39,137.77,9790600,137.34
2011-08-03,151.91,152.29,146.59,150.95,6862400,150.43
2011-08-02,155.07,157.78,151.76,151.76,5314000,151.23
2011-08-01,160.90,161.07,154.71,156.58,4435200,156.04
2011-07-29,155.90,158.62,155.49,157.90,2833600,157.35
2011-07-28,158.22,160.57,158.20,158.53,3379600,157.98
2011-07-27,160.64,161.52,157.45,157.90,3607500,157.26
2011-07-26,162.64,163.65,161.20,161.61,3610200,160.95
2011-07-25,159.26,162.58,159.23,161.66,2071800,161.00
2011-07-22,160.47,161.84,158.89,161.53,4042400,160.87
2011-07-21,157.58,159.29,157.26,159.21,3430200,158.56
2011-07-20,157.42,157.66,155.59,156.90,2558100,156.26
2011-07-19,154.25,156.95,154.21,156.73,4141300,156.09
2011-07-18,153.31,154.35,151.85,152.95,3493500,152.33
2011-07-15,150.72,153.79,150.72,153.66,4237600,153.03
2011-07-14,151.98,152.30,148.76,149.25,6368500,148.64
2011-07-13,149.95,154.00,149.95,151.20,4553100,150.58
2011-07-12,149.59,151.37,148.98,149.23,3831800,148.62
2011-07-11,151.72,152.76,149.55,150.60,4061600,149.99
2011-07-08,152.88,154.82,152.48,154.52,2412600,153.89
2011-07-07,155.60,156.28,153.81,155.76,3066600,155.13
2011-07-06,153.37,154.38,152.05,153.65,3054300,153.02
2011-07-05,152.76,155.00,152.26,154.00,3291200,153.37
2011-07-01,151.38,153.04,149.75,152.65,4110900,152.03
2011-06-30,149.98,152.35,149.95,152.00,4415600,151.38
2011-06-29,147.61,151.06,147.15,149.36,6158600,148.75
2011-06-28,142.79,147.38,142.76,147.16,4759700,146.56
2011-06-27,140.58,142.14,139.16,141.32,4522500,140.74
2011-06-24,144.58,144.86,140.80,140.91,3888200,140.34
2011-06-23,142.05,144.79,139.70,144.48,6762600,143.89
2011-06-22,144.88,147.67,144.55,145.42,3501000,144.83
2011-06-21,142.99,145.84,142.75,144.91,4040800,144.32
2011-06-20,140.83,142.52,139.72,141.72,4845400,141.14
2011-06-17,144.04,144.16,141.16,142.01,5394100,141.43
2011-06-16,143.88,145.11,141.45,143.01,4660500,142.43
2011-06-15,145.19,147.55,142.85,143.83,4975100,143.24
2011-06-14,145.40,147.86,145.19,146.82,3908000,146.22
2011-06-13,143.58,147.24,141.61,143.58,5843700,142.99
