Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,7.37,7.47,7.22,7.22,10900,7.22
2013-01-08,7.47,7.47,7.28,7.44,11300,7.44
2013-01-07,7.59,7.59,7.26,7.40,22000,7.40
2013-01-04,7.21,7.45,7.10,7.26,13200,7.26
2013-01-03,7.16,7.35,7.09,7.15,9100,7.15
2013-01-02,7.20,7.25,7.12,7.25,10800,7.25
2012-12-31,7.06,7.21,6.84,7.10,58400,7.10
2012-12-28,6.95,7.14,6.88,7.14,41700,7.14
2012-12-27,7.08,7.10,6.89,6.93,15200,6.93
2012-12-26,7.10,7.19,7.08,7.13,14400,7.01
2012-12-24,7.15,7.15,7.13,7.13,4900,7.01
2012-12-21,7.13,7.19,7.12,7.18,23100,7.06
2012-12-20,7.19,7.20,7.14,7.17,14600,7.05
2012-12-19,7.15,7.18,7.12,7.15,12100,7.03
2012-12-18,7.15,7.20,7.12,7.15,16900,7.03
2012-12-17,7.20,7.20,7.12,7.15,9400,7.03
2012-12-14,7.10,7.17,7.10,7.17,7400,7.05
2012-12-13,7.20,7.20,7.10,7.12,16100,7.00
2012-12-12,7.14,7.15,7.10,7.15,12600,7.03
2012-12-11,7.10,7.20,7.10,7.20,19700,7.08
2012-12-10,6.99,7.19,6.97,7.15,27500,7.03
2012-12-07,7.10,7.19,7.09,7.10,12300,6.98
2012-12-06,7.20,7.20,7.07,7.10,16300,6.98
2012-12-05,7.26,7.26,7.11,7.20,7400,7.08
2012-12-04,7.19,7.34,7.08,7.25,27400,7.13
2012-12-03,7.10,7.10,6.80,7.07,17600,6.95
2012-11-30,7.02,7.08,6.96,7.08,4500,6.96
2012-11-29,7.09,7.10,7.00,7.09,5600,6.97
2012-11-28,6.89,7.19,6.87,7.05,32700,6.93
2012-11-27,6.79,6.99,6.76,6.88,5600,6.76
2012-11-26,6.85,6.90,6.65,6.72,16800,6.61
2012-11-23,6.59,7.02,6.57,6.65,9700,6.54
2012-11-21,6.75,6.79,6.75,6.75,4800,6.64
2012-11-20,6.78,6.81,6.75,6.75,10900,6.64
2012-11-19,6.65,7.00,6.63,6.75,27300,6.64
2012-11-16,6.59,6.63,6.55,6.60,10400,6.49
2012-11-15,6.55,6.58,6.55,6.57,24100,6.46
2012-11-14,6.47,6.58,6.46,6.58,20800,6.47
2012-11-13,6.50,6.50,6.45,6.46,26500,6.35
2012-11-12,6.50,6.55,6.48,6.50,17800,6.39
2012-11-09,6.51,6.59,6.50,6.53,17600,6.42
2012-11-08,6.54,6.66,6.47,6.47,13500,6.36
2012-11-07,6.50,6.59,6.47,6.58,7300,6.47
2012-11-06,6.42,6.70,6.42,6.59,26900,6.48
2012-11-05,6.35,6.49,6.32,6.48,26000,6.37
2012-11-02,6.40,6.43,6.25,6.37,25500,6.26
2012-11-01,6.48,6.49,6.07,6.35,88600,6.24
2012-10-31,7.14,7.18,6.06,6.47,83000,6.36
2012-10-26,7.36,7.36,7.18,7.19,9000,7.07
2012-10-25,7.26,7.38,7.21,7.21,2600,7.09
2012-10-24,7.30,7.49,7.30,7.41,5700,7.29
2012-10-23,7.38,7.39,7.20,7.23,8900,7.11
2012-10-22,7.23,7.43,7.23,7.38,10100,7.26
2012-10-19,7.44,7.44,7.30,7.37,21200,7.25
2012-10-18,7.33,7.40,7.33,7.35,6800,7.23
2012-10-17,7.30,7.40,7.30,7.34,3400,7.22
2012-10-16,7.40,7.40,7.30,7.30,9600,7.18
2012-10-15,7.45,7.48,7.31,7.40,8400,7.28
2012-10-12,7.56,7.60,7.30,7.34,17500,7.22
2012-10-11,7.56,7.68,7.52,7.52,10900,7.39
2012-10-10,7.76,7.76,7.52,7.60,13300,7.47
2012-10-09,7.66,7.75,7.60,7.60,11700,7.47
2012-10-08,7.60,7.67,7.57,7.57,1700,7.44
2012-10-05,7.50,7.62,7.50,7.62,4300,7.49
2012-10-04,7.50,7.60,7.46,7.48,8200,7.35
2012-10-03,7.68,7.68,7.51,7.55,2500,7.42
2012-10-02,7.68,7.75,7.46,7.63,10300,7.50
2012-10-01,7.52,7.57,7.47,7.50,15900,7.37
2012-09-28,7.54,7.54,7.50,7.50,5100,7.37
2012-09-27,7.63,7.63,7.63,7.63,3000,7.50
2012-09-26,7.69,7.69,7.59,7.63,11900,7.50
2012-09-25,7.73,7.79,7.61,7.66,17500,7.37
2012-09-24,7.84,7.85,7.62,7.67,6600,7.38
2012-09-21,7.87,7.89,7.63,7.80,23200,7.51
2012-09-20,7.65,7.99,7.60,7.83,28500,7.54
2012-09-19,7.62,7.79,7.58,7.70,70500,7.41
2012-09-18,7.67,7.69,7.56,7.58,3800,7.30
2012-09-17,7.63,7.70,7.63,7.67,2700,7.38
2012-09-14,7.67,7.74,7.52,7.67,8100,7.38
2012-09-13,7.80,7.80,7.55,7.64,15400,7.35
2012-09-12,7.66,7.77,7.51,7.73,4400,7.44
2012-09-11,7.70,7.89,7.56,7.82,13300,7.53
2012-09-10,7.61,7.97,7.61,7.92,4700,7.62
2012-09-07,7.45,7.70,7.45,7.61,8600,7.33
2012-09-06,7.49,7.49,7.37,7.47,28500,7.19
2012-09-05,7.49,7.50,7.40,7.44,21600,7.16
2012-09-04,7.54,7.55,7.48,7.48,12200,7.20
2012-08-31,7.57,7.58,7.40,7.43,8900,7.15
2012-08-30,7.39,7.45,7.36,7.38,4500,7.10
2012-08-29,7.52,7.60,7.35,7.40,13700,7.12
2012-08-28,7.41,7.46,7.40,7.46,2300,7.18
2012-08-27,7.59,7.59,7.39,7.39,7000,7.11
2012-08-24,7.40,7.53,7.40,7.40,1500,7.12
2012-08-23,7.47,7.52,7.45,7.46,4100,7.18
2012-08-22,7.42,7.52,7.42,7.52,2400,7.24
2012-08-21,7.43,7.52,7.43,7.52,3700,7.24
2012-08-20,7.39,7.41,7.39,7.41,1300,7.13
2012-08-17,7.36,7.44,7.36,7.44,5300,7.16
2012-08-16,7.45,7.45,7.41,7.44,4300,7.16
2012-08-15,7.54,7.60,7.45,7.48,7800,7.20
2012-08-14,7.48,7.60,7.47,7.47,8400,7.19
2012-08-13,7.48,7.60,7.48,7.48,5900,7.20
2012-08-10,7.45,7.70,7.45,7.47,1600,7.19
2012-08-09,7.50,7.56,7.41,7.48,7700,7.20
2012-08-08,7.59,7.71,7.47,7.47,12900,7.19
2012-08-07,7.41,7.70,7.41,7.53,2500,7.25
2012-08-06,7.45,7.60,7.41,7.50,22800,7.22
2012-08-03,7.77,7.87,7.45,7.45,19500,7.17
2012-08-02,7.80,8.02,7.80,7.87,10300,7.58
2012-08-01,7.70,7.84,7.70,7.73,5900,7.44
2012-07-31,7.93,7.96,7.72,7.72,1300,7.43
2012-07-30,7.87,8.18,7.86,7.90,24900,7.60
2012-07-27,8.06,8.06,7.76,7.80,3000,7.51
2012-07-26,8.17,8.18,7.98,7.98,2200,7.68
2012-07-25,8.06,8.15,8.02,8.13,3200,7.83
2012-07-24,8.14,8.14,7.86,8.00,1900,7.70
2012-07-23,8.18,8.18,7.84,8.07,3200,7.77
2012-07-20,7.68,8.25,7.68,8.12,17900,7.82
2012-07-19,7.82,7.92,7.60,7.89,10000,7.60
2012-07-18,7.81,8.00,7.81,7.82,4400,7.53
2012-07-17,7.73,7.98,7.66,7.97,7300,7.67
2012-07-16,7.91,7.94,7.56,7.60,3100,7.32
2012-07-13,7.70,7.90,7.70,7.90,5500,7.60
2012-07-12,7.42,7.75,7.42,7.75,2500,7.46
2012-07-11,7.75,7.75,7.45,7.50,11600,7.22
2012-07-10,7.72,7.75,7.45,7.72,16100,7.43
2012-07-09,7.55,7.75,7.47,7.71,11500,7.42
2012-07-06,7.45,7.55,7.40,7.46,16400,7.18
2012-07-05,7.35,7.45,7.35,7.39,11800,7.11
2012-07-03,7.60,7.72,7.39,7.45,27800,7.17
2012-07-02,7.72,7.72,7.70,7.70,1000,7.41
2012-06-29,7.55,7.74,7.55,7.71,7000,7.42
2012-06-28,7.74,7.74,7.62,7.65,2400,7.36
2012-06-27,7.62,7.66,7.62,7.64,2200,7.35
2012-06-26,7.88,7.88,7.66,7.75,13000,7.31
2012-06-25,7.88,7.88,7.75,7.76,2200,7.32
2012-06-22,7.85,7.86,7.73,7.80,1400,7.35
2012-06-21,7.81,7.81,7.72,7.72,400,7.28
2012-06-20,7.71,7.87,7.71,7.87,400,7.42
2012-06-19,7.70,7.91,7.68,7.73,4600,7.29
2012-06-18,7.74,7.85,7.70,7.70,3000,7.26
