Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,22.41,22.83,22.41,22.68,246100,22.68
2013-01-08,22.40,22.54,22.22,22.54,371300,22.54
2013-01-07,22.57,22.81,22.06,22.52,345600,22.52
2013-01-04,22.17,22.59,21.88,22.56,189900,22.56
2013-01-03,22.46,22.73,22.08,22.22,608600,22.22
2013-01-02,23.23,23.25,22.66,22.75,248000,22.75
2012-12-31,22.35,23.08,22.35,22.99,288600,22.99
2012-12-28,22.35,22.39,22.19,22.35,319800,22.35
2012-12-27,22.15,22.67,22.06,22.38,374400,22.38
2012-12-24,22.11,22.45,22.11,22.25,152300,22.19
2012-12-21,22.23,22.47,22.11,22.38,513800,22.32
2012-12-20,22.18,22.43,22.11,22.31,567800,22.25
2012-12-19,22.70,22.77,22.07,22.12,487400,22.06
2012-12-18,22.87,22.91,22.61,22.77,387700,22.71
2012-12-17,22.70,23.00,22.70,22.88,356800,22.82
2012-12-14,23.24,23.35,22.74,22.95,817900,22.89
2012-12-13,23.90,23.91,23.49,23.50,349200,23.44
2012-12-12,24.00,24.23,24.00,24.14,345900,24.07
2012-12-11,24.38,24.50,23.65,24.18,304800,24.11
2012-12-10,24.20,24.63,24.20,24.32,305900,24.25
2012-12-07,24.40,24.60,23.84,24.20,544500,24.13
2012-12-06,24.56,24.56,24.19,24.30,231000,24.23
2012-12-05,24.89,25.11,24.30,24.59,304000,24.52
2012-12-04,25.08,25.43,24.86,24.96,563100,24.89
2012-12-03,24.88,25.30,24.86,25.27,459300,25.20
2012-11-30,24.90,25.05,24.62,24.88,422700,24.81
2012-11-29,24.74,25.21,24.74,24.90,409600,24.83
2012-11-28,24.97,25.00,24.29,24.90,847700,24.83
2012-11-27,25.00,25.31,24.99,25.30,210200,25.17
2012-11-26,25.35,25.51,25.00,25.21,215300,25.08
2012-11-23,25.49,25.49,25.21,25.37,70000,25.24
2012-11-22,25.00,25.47,24.98,25.39,126400,25.26
2012-11-21,24.85,25.32,24.85,25.15,1070000,25.02
2012-11-20,25.08,25.47,24.92,25.44,273500,25.31
2012-11-19,24.25,25.11,24.24,25.09,217800,24.96
2012-11-16,24.08,24.20,24.02,24.10,340100,23.98
2012-11-15,24.05,24.20,23.98,24.12,207500,24.00
2012-11-14,24.01,24.20,24.00,24.02,119800,23.90
2012-11-13,24.13,24.22,23.98,24.16,130500,24.04
2012-11-12,24.02,24.25,24.02,24.18,173200,24.06
2012-11-09,23.82,24.25,23.69,24.10,299400,23.98
2012-11-08,24.30,24.74,23.61,23.89,703500,23.77
2012-11-07,24.06,24.36,23.81,24.09,282800,23.97
2012-11-06,24.20,24.57,24.15,24.15,123400,24.03
2012-11-05,24.15,24.39,24.11,24.30,227600,24.18
2012-11-02,24.40,24.59,23.85,24.45,328600,24.33
2012-11-01,24.23,24.52,24.22,24.40,154500,24.28
2012-10-31,24.25,24.66,24.10,24.40,274900,24.28
2012-10-30,24.01,25.29,22.94,24.20,187000,24.08
2012-10-29,24.94,24.94,24.22,24.42,73600,24.30
2012-10-26,24.66,25.02,24.66,24.84,381200,24.65
2012-10-25,24.56,24.89,24.41,24.78,311700,24.60
