Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,5.06,5.09,4.97,5.02,1120800,5.02
2013-01-08,5.07,5.11,5.03,5.06,981400,5.06
2013-01-07,5.06,5.12,5.03,5.10,1139700,5.10
2013-01-04,5.01,5.09,5.00,5.06,1533000,5.06
2013-01-03,5.00,5.08,4.97,4.99,1339300,4.99
2013-01-02,5.09,5.14,4.94,5.01,1897300,5.01
2012-12-31,4.72,4.98,4.68,4.97,3071300,4.97
2012-12-28,4.78,4.80,4.74,4.75,2028100,4.75
2012-12-27,4.89,4.91,4.78,4.80,2668600,4.80
2012-12-26,4.92,4.95,4.86,4.87,1274900,4.87
2012-12-24,4.99,5.03,4.90,4.92,1210000,4.92
2012-12-21,5.01,5.06,4.95,4.99,2046200,4.99
2012-12-20,5.11,5.18,5.08,5.11,1392400,5.11
2012-12-19,5.24,5.30,5.12,5.13,1953800,5.09
2012-12-18,4.88,5.23,4.88,5.19,3293900,5.15
2012-12-17,4.91,4.93,4.85,4.89,1238800,4.85
2012-12-14,4.91,4.94,4.88,4.90,1359800,4.86
2012-12-13,4.92,4.95,4.87,4.91,1646800,4.87
2012-12-12,4.98,5.01,4.90,4.94,1495400,4.90
2012-12-11,4.85,5.00,4.84,4.94,2426200,4.90
2012-12-10,4.95,4.96,4.84,4.87,2774900,4.83
2012-12-07,5.04,5.08,4.95,4.95,1891800,4.91
2012-12-06,5.06,5.12,5.00,5.05,1921400,5.01
2012-12-05,5.07,5.14,5.04,5.08,2102400,5.04
2012-12-04,5.09,5.11,5.01,5.09,2574200,5.05
2012-12-03,5.18,5.21,5.06,5.11,1634600,5.07
2012-11-30,5.14,5.19,5.05,5.15,1783700,5.11
2012-11-29,5.13,5.19,5.10,5.15,1173200,5.11
2012-11-28,5.03,5.12,5.00,5.10,1225200,5.06
2012-11-27,5.15,5.20,5.05,5.05,1099900,5.01
2012-11-26,5.18,5.23,5.11,5.16,1036000,5.12
2012-11-23,5.06,5.22,5.06,5.21,827300,5.17
2012-11-21,5.10,5.15,5.04,5.04,1451300,5.00
2012-11-20,5.14,5.17,5.03,5.11,1197900,5.07
2012-11-19,5.24,5.30,5.13,5.17,1492900,5.13
2012-11-16,5.07,5.19,5.03,5.19,1778200,5.11
2012-11-15,5.15,5.22,5.06,5.10,1741200,5.02
2012-11-14,5.10,5.21,5.07,5.14,1674800,5.06
2012-11-13,5.24,5.25,5.06,5.12,2984800,5.04
2012-11-12,5.41,5.46,5.28,5.32,1711600,5.24
2012-11-09,5.48,5.58,5.37,5.37,1831600,5.29
2012-11-08,5.60,5.66,5.45,5.51,1677500,5.42
2012-11-07,5.74,5.74,5.35,5.61,2978600,5.52
2012-11-06,5.84,5.85,5.71,5.76,2187000,5.67
2012-11-05,5.95,6.00,5.78,5.82,2120400,5.73
2012-11-02,6.23,6.24,6.00,6.00,1368400,5.91
2012-11-01,6.07,6.25,6.02,6.20,1629700,6.10
2012-10-31,5.95,6.00,5.88,5.99,1644200,5.90
2012-10-26,6.12,6.12,6.00,6.00,1287200,5.91
2012-10-25,6.14,6.18,6.12,6.12,734300,6.02
2012-10-24,6.23,6.25,6.10,6.10,970000,6.00
2012-10-23,6.26,6.27,6.14,6.20,1189800,6.10
2012-10-22,6.49,6.51,6.28,6.33,1275300,6.23
2012-10-19,6.54,6.60,6.41,6.51,869600,6.41
2012-10-18,6.55,6.62,6.53,6.60,774000,6.50
2012-10-17,6.51,6.63,6.50,6.59,977500,6.45
2012-10-16,6.45,6.50,6.43,6.48,956000,6.34
2012-10-15,6.44,6.47,6.34,6.45,930600,6.31
2012-10-12,6.41,6.50,6.38,6.44,1403800,6.30
2012-10-11,6.40,6.55,6.40,6.51,1090600,6.37
2012-10-10,6.52,6.54,6.35,6.36,1124600,6.22
2012-10-09,6.54,6.60,6.50,6.52,1119300,6.38
2012-10-08,6.50,6.57,6.50,6.54,598900,6.40
2012-10-05,6.68,6.69,6.52,6.54,801400,6.40
2012-10-04,6.53,6.64,6.50,6.62,948900,6.48
2012-10-03,6.65,6.65,6.45,6.51,1633200,6.37
2012-10-02,6.81,6.82,6.63,6.63,1271600,6.49
2012-10-01,6.81,6.85,6.74,6.79,762400,6.64
2012-09-28,6.78,6.79,6.65,6.74,843000,6.59
2012-09-27,6.77,6.88,6.72,6.81,882600,6.66
2012-09-26,6.87,6.90,6.68,6.69,1496200,6.54
2012-09-25,7.03,7.08,6.93,6.95,1262800,6.80
2012-09-24,7.08,7.09,6.98,7.03,939600,6.88
2012-09-21,7.08,7.15,7.02,7.15,927300,6.99
2012-09-20,6.91,7.08,6.88,7.06,1040900,6.91
2012-09-19,7.10,7.12,7.00,7.03,1372900,6.84
2012-09-18,7.31,7.31,7.10,7.16,977000,6.96
2012-09-17,7.32,7.36,7.26,7.31,1006000,7.11
2012-09-14,7.22,7.40,7.21,7.31,1690500,7.11
2012-09-13,7.11,7.20,7.03,7.16,1520300,6.96
2012-09-12,7.02,7.13,7.01,7.13,1458300,6.93
2012-09-11,6.92,7.06,6.92,7.02,943300,6.83
2012-09-10,6.91,6.99,6.89,6.90,1068600,6.71
2012-09-07,6.74,6.97,6.74,6.92,1059300,6.73
2012-09-06,6.59,6.80,6.54,6.71,1558500,6.53
2012-09-05,6.55,6.62,6.51,6.51,1830600,6.33
2012-09-04,6.74,6.75,6.54,6.56,1507700,6.38
2012-08-31,6.81,6.84,6.65,6.77,1554900,6.58
2012-08-30,6.90,6.97,6.73,6.77,1103100,6.58
2012-08-29,7.04,7.09,6.89,6.98,1243800,6.79
2012-08-28,7.09,7.09,7.01,7.08,887300,6.89
2012-08-27,7.11,7.18,7.01,7.04,888500,6.85
2012-08-24,7.03,7.15,6.99,7.08,1191000,6.89
2012-08-23,7.20,7.22,7.00,7.04,1141600,6.85
2012-08-22,7.29,7.32,7.15,7.22,838700,7.02
2012-08-21,7.32,7.49,7.31,7.34,1753700,7.14
2012-08-20,7.24,7.33,7.15,7.30,1589000,7.10
2012-08-17,7.20,7.37,7.20,7.30,2084500,7.06
2012-08-16,6.98,7.21,6.98,7.18,1829800,6.94
2012-08-15,6.97,7.04,6.87,7.01,1606200,6.78
2012-08-14,6.81,7.02,6.81,7.01,1656600,6.78
2012-08-13,6.77,6.90,6.73,6.80,947900,6.58
2012-08-10,6.83,6.88,6.74,6.82,1045600,6.60
2012-08-09,6.76,6.91,6.70,6.90,1117100,6.67
2012-08-08,6.71,6.89,6.67,6.75,1645800,6.53
2012-08-07,6.53,6.81,6.52,6.75,1668800,6.53
2012-08-06,6.45,6.59,6.41,6.55,1037500,6.33
2012-08-03,6.28,6.45,6.25,6.43,1540100,6.22
2012-08-02,6.26,6.36,6.10,6.14,1243600,5.94
2012-08-01,6.39,6.56,5.90,6.40,8402000,6.19
2012-07-31,6.47,6.51,6.31,6.37,1039600,6.16
2012-07-30,6.23,6.50,6.21,6.50,1448500,6.29
2012-07-27,6.14,6.26,6.14,6.20,1167800,6.00
2012-07-26,6.06,6.15,6.02,6.13,1067600,5.93
2012-07-25,6.05,6.06,5.90,5.98,1372800,5.78
2012-07-24,6.13,6.17,5.93,6.02,1549500,5.82
2012-07-23,6.10,6.16,6.00,6.14,1156100,5.94
2012-07-20,6.14,6.24,6.13,6.24,914900,6.03
2012-07-19,6.15,6.28,6.15,6.22,1351200,6.02
2012-07-18,6.17,6.21,6.10,6.16,1254600,5.92
2012-07-17,6.02,6.18,5.97,6.17,1478100,5.93
2012-07-16,5.95,6.09,5.92,6.03,948400,5.79
2012-07-13,5.99,6.05,5.94,6.00,878600,5.76
2012-07-12,5.97,5.99,5.79,5.94,1739500,5.71
2012-07-11,5.86,6.07,5.86,6.02,1370800,5.78
2012-07-10,6.15,6.20,5.83,5.89,2116000,5.66
2012-07-09,6.22,6.23,6.10,6.13,1750200,5.89
2012-07-06,6.04,6.34,6.03,6.30,3452200,6.05
2012-07-05,6.47,6.57,6.45,6.49,1103700,6.24
2012-07-03,6.50,6.60,6.42,6.56,1048700,6.30
2012-07-02,6.30,6.45,6.28,6.36,1205300,6.11
2012-06-29,6.44,6.54,6.28,6.37,2287600,6.12
2012-06-28,5.97,6.28,5.95,6.24,2451300,6.00
2012-06-27,5.89,6.05,5.87,6.01,1797400,5.77
2012-06-26,5.98,6.04,5.80,5.87,2508500,5.64
2012-06-25,6.29,6.35,5.90,6.02,3577000,5.78
2012-06-22,6.60,6.61,6.37,6.39,2972200,6.14
2012-06-21,6.98,6.99,6.52,6.53,2837800,6.27
2012-06-20,7.02,7.08,6.86,6.99,2166700,6.72
2012-06-19,6.97,7.03,6.93,7.02,1778300,6.68
2012-06-18,6.93,6.96,6.84,6.91,1475800,6.57
2012-06-15,6.90,6.96,6.74,6.94,2584700,6.60
2012-06-14,6.99,7.00,6.82,6.87,2102000,6.54
2012-06-13,7.17,7.23,7.01,7.01,1746100,6.67
2012-06-12,7.18,7.29,7.10,7.26,1225900,6.91
2012-06-11,7.34,7.39,7.04,7.05,1381500,6.71
2012-06-08,7.33,7.37,7.20,7.25,965400,6.90
2012-06-07,7.64,7.69,7.38,7.39,1099400,7.03
2012-06-06,7.46,7.63,7.44,7.52,1498400,7.15
