Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,1.06,1.08,1.03,1.06,69300,1.06
2013-10-15,1.06,1.06,1.04,1.04,52900,1.04
2013-10-11,1.05,1.08,1.04,1.06,88300,1.06
2013-10-10,1.06,1.10,1.05,1.06,68800,1.06
2013-10-09,1.06,1.08,1.00,1.07,184000,1.07
2013-10-08,1.05,1.09,1.04,1.07,91500,1.07
2013-10-07,1.06,1.08,1.04,1.06,58600,1.06
2013-10-04,1.02,1.07,1.02,1.06,222200,1.06
2013-10-03,0.97,1.04,0.97,1.02,183600,1.02
2013-10-02,0.95,0.96,0.94,0.94,33900,0.94
2013-10-01,0.95,0.97,0.94,0.96,103200,0.96
2013-09-30,0.95,0.98,0.95,0.96,135200,0.96
2013-09-27,0.95,0.99,0.95,0.97,50400,0.97
2013-09-26,0.96,0.96,0.95,0.95,19900,0.95
2013-09-25,0.99,0.99,0.95,0.96,112100,0.96
2013-09-24,0.96,0.99,0.96,0.99,17100,0.99
2013-09-23,0.99,0.99,0.97,0.97,230000,0.97
2013-09-20,1.00,1.02,0.99,0.99,109800,0.99
2013-09-19,1.02,1.03,1.00,1.00,59700,1.00
2013-09-18,1.02,1.04,1.01,1.04,51000,1.04
2013-09-17,1.01,1.04,1.01,1.04,67900,1.04
2013-09-16,1.04,1.04,1.02,1.02,51700,1.02
2013-09-13,1.04,1.07,1.03,1.05,47300,1.05
2013-09-12,1.06,1.08,1.06,1.08,26900,1.08
2013-09-11,1.04,1.09,1.02,1.09,66900,1.09
2013-09-10,1.06,1.06,1.03,1.06,26300,1.06
2013-09-09,1.05,1.05,1.02,1.05,230400,1.05
2013-09-06,1.04,1.06,1.01,1.03,115100,1.03
2013-09-05,1.08,1.08,1.03,1.06,429700,1.06
2013-09-04,1.04,1.06,1.04,1.06,81800,1.06
2013-09-03,1.05,1.07,1.04,1.04,84900,1.04
2013-08-30,1.05,1.06,1.05,1.06,25000,1.06
2013-08-29,1.05,1.06,1.05,1.05,23000,1.05
2013-08-28,1.05,1.05,1.05,1.05,15000,1.05
2013-08-27,1.07,1.07,1.05,1.05,35000,1.05
2013-08-26,1.09,1.09,1.05,1.07,13400,1.07
2013-08-23,1.05,1.07,1.05,1.05,30200,1.05
2013-08-22,1.07,1.08,1.05,1.05,75900,1.05
2013-08-21,1.08,1.10,1.07,1.08,59600,1.08
2013-08-20,1.07,1.12,1.06,1.10,19300,1.10
2013-08-19,1.09,1.12,1.06,1.08,44000,1.08
2013-08-16,1.12,1.14,1.10,1.10,64900,1.10
2013-08-15,1.09,1.12,1.08,1.12,36400,1.12
2013-08-14,1.10,1.12,1.09,1.10,36500,1.10
2013-08-13,1.14,1.15,1.10,1.11,79400,1.11
2013-08-12,1.08,1.16,1.07,1.13,102600,1.13
2013-08-09,1.04,1.07,1.02,1.07,45800,1.07
2013-08-08,1.04,1.07,1.01,1.05,99700,1.05
2013-08-07,1.10,1.10,0.98,1.05,239900,1.05
2013-08-06,1.15,1.15,1.12,1.12,62900,1.12
2013-08-02,1.14,1.17,1.14,1.14,30300,1.14
2013-08-01,1.13,1.17,1.13,1.16,117600,1.16
2013-07-31,1.14,1.16,1.11,1.16,69200,1.16
2013-07-30,1.15,1.16,1.13,1.16,51800,1.16
2013-07-29,1.11,1.14,1.11,1.13,41700,1.13
2013-07-26,1.11,1.14,1.10,1.12,57800,1.12
2013-07-25,1.15,1.15,1.10,1.12,131200,1.12
2013-07-24,1.16,1.17,1.14,1.15,291500,1.15
2013-07-23,1.22,1.22,1.16,1.17,388100,1.17
2013-07-22,1.17,1.22,1.17,1.22,209200,1.22
2013-07-19,1.18,1.24,1.16,1.17,145700,1.17
2013-07-18,1.15,1.18,1.14,1.16,120200,1.16
2013-07-17,1.16,1.16,1.15,1.16,62500,1.16
2013-07-16,1.15,1.16,1.14,1.16,47900,1.16
2013-07-15,1.17,1.18,1.16,1.16,39800,1.16
2013-07-12,1.17,1.20,1.15,1.20,82900,1.20
2013-07-11,1.16,1.18,1.16,1.17,26200,1.17
2013-07-10,1.15,1.18,1.15,1.16,67300,1.16
2013-07-09,1.15,1.16,1.14,1.15,38300,1.15
2013-07-08,1.15,1.19,1.15,1.16,29400,1.16
2013-07-05,1.15,1.15,1.14,1.14,14400,1.14
2013-07-04,1.18,1.21,1.15,1.15,67700,1.15
2013-07-03,1.13,1.20,1.13,1.19,61800,1.19
2013-07-02,1.15,1.15,1.12,1.14,27400,1.14
2013-06-28,1.11,1.15,1.11,1.15,44700,1.15
2013-06-27,1.18,1.18,1.14,1.14,17300,1.14
2013-06-26,1.15,1.18,1.14,1.18,21800,1.18
2013-06-25,1.19,1.20,1.15,1.17,23200,1.17
2013-06-24,1.12,1.22,1.10,1.19,55400,1.19
2013-06-21,1.14,1.16,1.12,1.12,29300,1.12
2013-06-20,1.16,1.20,1.13,1.14,1446600,1.14
2013-06-19,1.20,1.22,1.17,1.18,37700,1.18
2013-06-18,1.20,1.23,1.19,1.22,56600,1.22
2013-06-17,1.22,1.25,1.19,1.22,110300,1.22
2013-06-14,1.22,1.22,1.16,1.20,43800,1.20
2013-06-13,1.21,1.23,1.21,1.23,8800,1.23
2013-06-12,1.24,1.24,1.20,1.24,167300,1.24
2013-06-11,1.25,1.25,1.21,1.24,194800,1.24
