Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,85.72,85.72,83.20,83.61,15300,83.61
2013-10-15,86.06,86.74,85.97,85.97,3100,85.97
2013-10-14,86.53,86.98,85.96,86.46,4400,86.46
2013-10-11,87.60,87.60,87.00,87.07,5500,87.07
2013-10-10,85.33,87.60,85.33,87.60,6700,87.60
2013-10-09,85.25,85.64,85.04,85.47,9500,85.47
2013-10-08,84.94,85.54,84.94,85.25,2500,85.25
2013-10-07,82.50,85.28,82.50,84.95,20300,84.95
2013-10-04,82.31,83.15,82.15,82.21,7100,82.21
2013-10-03,82.19,82.83,82.15,82.58,14800,82.58
2013-10-02,82.66,83.30,82.09,82.09,10700,82.09
2013-10-01,82.93,83.62,82.75,82.87,8000,82.87
2013-09-30,91.84,91.84,82.70,82.93,78800,82.93
2013-09-27,91.95,92.20,91.90,92.20,18300,92.20
2013-09-26,91.87,92.06,91.86,91.89,27900,91.89
2013-09-25,91.86,91.97,91.86,91.87,8500,91.87
2013-09-24,91.85,91.98,91.85,91.86,17100,91.86
2013-09-23,91.72,91.92,91.72,91.85,11600,91.85
2013-09-20,91.84,91.98,91.65,91.80,17600,91.80
2013-09-19,91.84,91.99,91.84,91.84,5700,91.84
2013-09-18,91.92,92.09,91.83,91.97,10600,91.97
2013-09-17,91.75,91.98,91.75,91.98,13600,91.98
2013-09-16,91.90,91.97,91.75,91.81,64300,91.81
2013-09-13,91.82,91.99,91.70,91.85,15700,91.85
2013-09-12,91.80,91.91,91.70,91.91,18000,91.91
2013-09-11,91.68,91.89,91.65,91.80,9300,91.80
2013-09-10,91.67,91.88,91.57,91.65,19000,91.65
2013-09-09,91.68,91.89,91.65,91.85,20700,91.85
2013-09-06,91.70,91.94,91.61,91.80,37300,91.80
2013-09-05,91.65,91.89,91.65,91.75,23800,91.75
2013-09-04,91.63,91.96,91.63,91.78,36000,91.78
2013-09-03,91.70,91.80,91.60,91.78,73000,91.78
2013-08-30,91.70,91.90,91.58,91.58,112400,91.58
2013-08-29,91.31,91.99,91.31,91.95,290700,91.95
2013-08-28,89.05,91.40,89.05,91.29,62700,91.29
2013-08-27,89.00,89.68,89.00,89.47,18000,89.47
2013-08-26,91.69,91.69,90.63,91.00,18900,86.18
2013-08-23,91.50,91.75,91.00,91.46,224800,86.62
2013-08-22,91.15,91.89,91.00,91.72,24000,86.86
2013-08-21,91.51,91.51,90.86,90.86,66500,86.05
2013-08-20,91.24,91.99,91.24,91.36,15200,86.52
2013-08-19,91.22,91.69,91.00,91.25,66300,86.42
2013-08-16,91.99,91.99,91.25,91.73,26700,86.87
2013-08-15,91.12,92.00,91.12,91.71,27200,86.85
2013-08-14,91.20,91.30,91.04,91.17,22100,86.34
2013-08-13,90.44,91.48,90.40,91.00,98100,86.18
2013-08-12,90.66,91.01,90.05,90.80,23200,85.99
2013-08-09,89.72,90.55,89.56,90.55,2800,85.76
2013-08-08,89.40,90.11,89.39,90.11,23000,85.34
2013-08-07,89.44,89.52,89.05,89.50,8800,84.76
2013-08-06,88.15,89.41,88.15,89.30,12900,84.57
2013-08-05,88.50,89.34,87.88,88.21,24800,83.54
2013-08-02,89.23,89.46,88.20,88.38,11600,83.70
2013-08-01,88.15,88.79,87.81,88.20,19400,83.53
2013-07-31,87.29,88.50,87.04,88.50,27100,83.81
2013-07-30,87.70,87.70,87.07,87.34,10200,82.72
2013-07-29,87.11,87.90,87.11,87.29,11000,82.67
2013-07-26,87.56,87.84,86.59,87.35,8600,82.72
2013-07-25,88.22,88.50,87.57,87.57,11600,82.93
2013-07-24,89.31,89.31,87.87,87.87,9100,83.22
2013-07-23,88.97,89.35,87.80,88.71,16100,84.01
2013-07-22,89.00,89.50,87.83,88.36,8000,83.68
2013-07-19,85.50,88.66,85.39,87.80,138700,83.15
2013-07-18,86.00,86.14,85.72,86.00,12700,81.45
2013-07-17,86.44,86.71,86.02,86.02,15500,81.47
2013-07-16,85.55,86.25,85.55,85.83,9100,81.29
2013-07-15,85.29,86.20,85.07,85.99,60700,81.44
2013-07-12,85.62,85.80,85.15,85.60,19000,81.07
2013-07-11,85.40,85.94,85.32,85.75,46900,81.21
2013-07-10,85.08,85.45,85.08,85.36,35100,80.84
2013-07-09,85.31,85.83,85.12,85.37,29500,80.85
2013-07-08,86.05,86.05,85.10,85.48,53200,80.95
2013-07-05,85.85,86.28,85.30,86.28,6600,81.71
2013-07-03,84.50,85.87,84.13,85.33,11800,80.81
2013-07-02,85.14,85.69,85.14,85.50,18200,80.97
2013-07-01,85.19,85.70,85.19,85.34,16700,80.82
2013-06-28,86.00,86.00,84.75,85.30,21500,80.78
2013-06-27,85.25,86.41,85.25,86.00,38400,81.45
2013-06-26,84.68,85.55,84.62,85.40,26300,80.88
