Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,12.75,12.80,12.51,12.62,53900,12.62
2013-01-08,12.71,12.73,12.56,12.67,50200,12.67
2013-01-07,12.97,12.97,12.47,12.64,83400,12.64
2013-01-04,12.69,12.93,12.60,12.90,70600,12.90
2013-01-03,13.35,13.35,12.69,12.73,92800,12.73
2013-01-02,13.53,13.76,13.22,13.35,114800,13.35
2012-12-31,12.94,13.25,12.76,13.21,135100,13.21
2012-12-28,12.95,13.03,12.89,12.94,47400,12.94
2012-12-27,13.06,13.09,12.85,12.89,61500,12.89
2012-12-26,13.03,13.25,12.93,13.10,21600,13.10
2012-12-24,13.08,13.08,12.90,13.01,33400,13.01
2012-12-21,12.94,13.20,12.92,13.08,50500,13.08
2012-12-20,13.13,13.23,13.02,13.09,93900,13.09
2012-12-19,13.17,13.37,13.17,13.24,52400,13.24
2012-12-18,13.42,13.50,13.22,13.27,119900,13.27
2012-12-17,14.10,14.13,13.33,13.40,89000,13.40
2012-12-14,14.22,14.28,13.86,14.05,146800,14.05
2012-12-13,13.97,14.31,13.57,14.19,148900,14.19
2012-12-12,13.94,14.11,13.80,14.05,59800,14.05
2012-12-11,13.77,13.95,13.66,13.88,54800,13.88
2012-12-10,13.69,13.96,13.61,13.72,86000,13.72
2012-12-07,13.53,13.78,13.40,13.41,64700,13.41
2012-12-06,13.31,13.66,13.31,13.56,72300,13.56
2012-12-05,13.38,13.41,13.09,13.35,91500,13.35
2012-12-04,13.26,13.53,13.22,13.39,78500,13.39
2012-12-03,13.72,13.90,13.32,13.40,93900,13.40
2012-11-30,13.50,13.80,13.37,13.56,88600,13.56
2012-11-29,13.85,14.04,13.55,13.73,114000,13.73
2012-11-28,13.39,13.96,13.21,13.81,100200,13.81
2012-11-27,14.02,14.03,13.54,13.64,61200,13.64
2012-11-26,14.12,14.19,13.93,14.09,91100,14.09
2012-11-23,13.23,14.46,13.16,14.31,193800,14.31
2012-11-21,13.06,13.06,12.83,13.03,83600,13.03
2012-11-20,13.10,13.30,12.91,13.03,121700,13.03
2012-11-19,12.75,12.84,12.69,12.82,70200,12.82
2012-11-16,12.56,12.72,12.36,12.51,164100,12.51
2012-11-15,13.09,13.09,12.62,12.70,197100,12.70
2012-11-14,13.37,13.39,13.15,13.22,143700,13.22
2012-11-13,13.33,13.51,13.25,13.32,93700,13.32
2012-11-12,13.29,13.60,13.24,13.47,74300,13.47
2012-11-09,13.50,13.64,13.10,13.23,51900,13.23
2012-11-08,13.30,13.51,13.20,13.49,133500,13.49
2012-11-07,13.18,13.38,12.84,13.34,125800,13.34
2012-11-06,13.24,13.32,13.10,13.19,69200,13.19
2012-11-05,13.18,13.32,13.09,13.24,81400,13.24
2012-11-02,13.70,13.72,13.11,13.15,226200,13.15
2012-11-01,13.57,13.77,13.44,13.76,80300,13.76
2012-10-31,13.16,13.70,13.11,13.52,141400,13.52
2012-10-26,13.37,13.38,13.10,13.32,82400,13.32
2012-10-25,13.01,13.42,13.01,13.31,102300,13.31
2012-10-24,13.23,13.31,12.77,12.81,151400,12.81
2012-10-23,13.26,13.30,13.04,13.14,109900,13.14
2012-10-22,12.87,13.46,12.87,13.43,158600,13.43
2012-10-19,12.91,13.06,12.79,12.84,118200,12.84
2012-10-18,13.20,13.21,12.86,13.01,88300,13.01
2012-10-17,13.17,13.26,13.08,13.26,87500,13.26
2012-10-16,13.08,13.33,13.05,13.19,170800,13.19
2012-10-15,13.02,13.11,12.77,13.10,105500,13.10
2012-10-12,13.41,13.52,12.93,13.04,133500,13.04
2012-10-11,13.56,13.68,13.34,13.38,91700,13.38
2012-10-10,13.36,13.74,13.24,13.48,100800,13.48
2012-10-09,13.66,13.77,13.30,13.42,109100,13.42
2012-10-08,13.79,13.89,13.43,13.63,52800,13.63
2012-10-05,13.81,14.29,13.68,13.82,157300,13.82
2012-10-04,13.37,13.90,13.31,13.79,259400,13.79
2012-10-03,12.95,13.25,12.75,13.18,170700,13.18
2012-10-02,12.91,12.91,12.66,12.81,123400,12.81
2012-10-01,13.14,13.25,12.80,12.88,91200,12.88
2012-09-28,13.24,13.24,12.78,13.03,75400,13.03
2012-09-27,13.06,13.35,12.93,13.18,116000,13.18
2012-09-26,12.91,13.05,12.32,12.88,308300,12.88
2012-09-25,13.47,13.53,12.99,12.99,216200,12.99
2012-09-24,13.64,13.84,13.25,13.30,248000,13.30
2012-09-21,13.50,13.71,13.17,13.61,444200,13.61
2012-09-20,13.60,13.63,13.31,13.35,242100,13.35
2012-09-19,13.95,14.16,13.66,13.67,259500,13.67
2012-09-18,13.73,14.24,13.63,14.00,348500,14.00
2012-09-17,13.59,13.84,13.33,13.62,219200,13.62
2012-09-14,13.50,13.68,13.12,13.57,401000,13.57
2012-09-13,13.79,13.82,13.00,13.50,746500,13.50
2012-09-12,14.25,14.31,13.67,13.98,150700,13.98
2012-09-11,14.69,14.77,14.10,14.24,301400,14.24
2012-09-10,14.00,14.87,13.87,14.52,170000,14.52
2012-09-07,13.83,14.25,12.96,14.15,1063000,14.15
2012-09-06,14.99,15.14,14.65,14.92,157700,14.92
2012-09-05,14.79,14.79,14.46,14.69,90100,14.69
