Date,Open,High,Low,Close,Volume,Adj Close
2012-09-14,12.00,12.00,12.00,12.00,000,12.00
2012-09-13,12.00,12.00,12.00,12.00,000,12.00
2012-09-12,12.00,12.00,12.00,12.00,000,12.00
2012-09-11,12.00,12.00,12.00,12.00,000,12.00
2012-09-10,12.00,12.00,12.00,12.00,000,12.00
2012-09-07,12.00,12.00,12.00,12.00,000,12.00
2012-09-06,12.00,12.00,12.00,12.00,000,12.00
2012-09-05,12.00,12.00,12.00,12.00,000,12.00
2012-09-04,12.00,12.00,12.00,12.00,000,12.00
2012-08-31,12.00,12.00,12.00,12.00,000,12.00
2012-08-30,12.00,12.00,12.00,12.00,000,12.00
2012-08-29,12.00,12.00,12.00,12.00,000,12.00
2012-08-28,12.00,12.00,12.00,12.00,000,12.00
2012-08-27,12.00,12.00,12.00,12.00,000,12.00
2012-08-24,12.00,12.00,12.00,12.00,000,12.00
2012-08-23,12.00,12.00,12.00,12.00,000,12.00
2012-08-22,12.00,12.00,12.00,12.00,000,12.00
2012-08-21,12.00,12.00,12.00,12.00,000,12.00
2012-08-20,12.00,12.00,12.00,12.00,000,12.00
2012-08-17,12.00,12.00,12.00,12.00,000,12.00
2012-08-16,12.00,12.00,12.00,12.00,000,12.00
2012-08-15,12.00,12.00,12.00,12.00,000,12.00
2012-08-14,12.00,12.00,12.00,12.00,000,12.00
2012-08-13,12.00,12.00,12.00,12.00,000,12.00
2012-08-10,12.00,12.00,12.00,12.00,000,12.00
2012-08-09,12.00,12.00,12.00,12.00,000,12.00
2012-08-08,12.00,12.00,12.00,12.00,000,12.00
2012-08-07,12.00,12.00,12.00,12.00,000,12.00
2012-08-06,12.00,12.00,12.00,12.00,000,12.00
2012-08-03,12.00,12.00,12.00,12.00,000,12.00
2012-08-02,12.00,12.00,12.00,12.00,000,12.00
2012-08-01,12.00,12.00,12.00,12.00,000,12.00
2012-07-31,12.00,12.00,12.00,12.00,000,12.00
2012-07-30,12.00,12.00,12.00,12.00,000,12.00
2012-07-27,12.00,12.00,12.00,12.00,000,12.00
2012-07-26,12.00,12.00,12.00,12.00,000,12.00
2012-07-25,12.00,12.00,12.00,12.00,000,12.00
2012-07-24,12.00,12.00,12.00,12.00,000,12.00
2012-07-23,12.00,12.00,12.00,12.00,000,12.00
2012-07-20,12.00,12.00,12.00,12.00,000,12.00
2012-07-19,12.00,12.00,12.00,12.00,000,12.00
2012-07-18,12.00,12.00,12.00,12.00,000,12.00
2012-07-17,12.00,12.00,12.00,12.00,000,12.00
2012-07-16,12.00,12.00,12.00,12.00,000,12.00
2012-07-13,12.00,12.00,12.00,12.00,000,12.00
2012-07-12,12.00,12.00,12.00,12.00,000,12.00
2012-07-11,12.00,12.00,12.00,12.00,000,12.00
2012-07-10,12.00,12.00,12.00,12.00,000,12.00
2012-07-09,12.00,12.00,12.00,12.00,000,12.00
2012-07-06,12.00,12.00,12.00,12.00,000,12.00
2012-07-05,12.00,12.00,12.00,12.00,000,12.00
2012-07-03,12.00,12.00,12.00,12.00,000,12.00
2012-07-02,12.00,12.00,12.00,12.00,000,12.00
2012-06-29,12.00,12.00,12.00,12.00,000,12.00
2012-06-28,12.00,12.00,12.00,12.00,000,12.00
2012-06-27,12.00,12.00,12.00,12.00,000,12.00
2012-06-26,12.00,12.00,12.00,12.00,000,12.00
2012-06-25,12.00,12.00,12.00,12.00,000,12.00
2012-06-22,12.00,12.00,12.00,12.00,000,12.00
2012-06-21,12.00,12.00,12.00,12.00,000,12.00
2012-06-20,12.00,12.00,12.00,12.00,000,12.00
2012-06-19,12.00,12.00,12.00,12.00,000,12.00
2012-06-18,12.00,12.00,12.00,12.00,000,12.00
2012-06-15,12.00,12.00,12.00,12.00,000,12.00
2012-06-14,12.00,12.00,12.00,12.00,000,12.00
2012-06-13,12.00,12.00,12.00,12.00,000,12.00
2012-06-12,12.00,12.00,12.00,12.00,000,12.00
2012-06-11,12.00,12.00,12.00,12.00,000,12.00
2012-06-08,12.00,12.00,12.00,12.00,000,12.00
2012-06-07,12.00,12.00,12.00,12.00,000,12.00
2012-06-06,12.00,12.00,12.00,12.00,000,12.00
2012-06-05,12.00,12.00,12.00,12.00,000,12.00
2012-06-04,12.00,12.00,12.00,12.00,000,12.00
2012-06-01,12.00,12.00,12.00,12.00,000,12.00
2012-05-31,12.00,12.00,12.00,12.00,000,12.00
2012-05-30,12.00,12.00,12.00,12.00,000,12.00
2012-05-29,12.00,12.00,12.00,12.00,000,12.00
2012-05-25,12.00,12.00,12.00,12.00,000,12.00
2012-05-24,12.00,12.00,12.00,12.00,000,12.00
2012-05-23,12.00,12.00,12.00,12.00,000,12.00
2012-05-22,12.00,12.00,12.00,12.00,000,12.00
2012-05-21,12.00,12.00,12.00,12.00,000,12.00
2012-05-18,12.00,12.00,12.00,12.00,000,12.00
2012-05-17,12.00,12.00,12.00,12.00,000,12.00
2012-05-16,12.00,12.00,12.00,12.00,000,12.00
2012-05-15,12.00,12.00,12.00,12.00,000,12.00
2012-05-14,12.00,12.00,12.00,12.00,000,12.00
2012-05-11,12.00,12.00,12.00,12.00,000,12.00
2012-05-10,12.00,12.00,12.00,12.00,000,12.00
2012-05-09,12.00,12.00,12.00,12.00,000,12.00
2012-05-08,12.00,12.00,12.00,12.00,000,12.00
2012-05-07,12.00,12.00,12.00,12.00,000,12.00
2012-05-04,12.00,12.00,12.00,12.00,000,12.00
2012-05-03,12.00,12.00,12.00,12.00,000,12.00
2012-05-02,12.00,12.00,12.00,12.00,000,12.00
2012-05-01,12.00,12.00,12.00,12.00,000,12.00
2012-04-30,12.00,12.00,12.00,12.00,000,12.00
2012-04-27,12.00,12.00,12.00,12.00,000,12.00
2012-04-26,12.00,12.00,12.00,12.00,000,12.00
2012-04-25,12.00,12.00,12.00,12.00,000,12.00
2012-04-24,12.00,12.00,12.00,12.00,000,12.00
2012-04-23,12.00,12.00,12.00,12.00,000,12.00
2012-04-20,12.00,12.00,12.00,12.00,000,12.00
2012-04-19,12.00,12.00,12.00,12.00,000,12.00
2012-04-18,12.00,12.00,12.00,12.00,000,12.00
2012-04-17,12.00,12.00,12.00,12.00,000,12.00
2012-04-16,12.00,12.00,12.00,12.00,000,12.00
2012-04-13,12.00,12.00,12.00,12.00,000,12.00
2012-04-12,12.00,12.00,12.00,12.00,000,12.00
2012-04-11,12.00,12.00,12.00,12.00,000,12.00
2012-04-10,12.00,12.00,12.00,12.00,000,12.00
2012-04-09,12.00,12.00,12.00,12.00,000,12.00
2012-04-05,12.00,12.00,12.00,12.00,000,12.00
2012-04-04,12.00,12.00,12.00,12.00,000,12.00
2012-04-03,12.00,12.00,12.00,12.00,000,12.00
2012-04-02,12.00,12.00,12.00,12.00,000,12.00
2012-03-30,11.88,12.03,11.88,12.00,891600,12.00
2012-03-29,11.83,11.92,11.80,11.90,504700,11.90
2012-03-28,11.89,11.94,11.85,11.90,589100,11.90
2012-03-27,11.82,11.95,11.82,11.92,573300,11.92
2012-03-26,11.75,11.95,11.72,11.88,628700,11.88
2012-03-23,11.46,11.73,11.42,11.68,698600,11.68
2012-03-22,11.54,11.57,11.43,11.50,567900,11.50
2012-03-21,11.75,11.75,11.57,11.62,584700,11.62
2012-03-20,11.90,11.93,11.70,11.75,1295700,11.75
2012-03-19,12.00,12.05,11.94,11.98,773900,11.98
2012-03-16,11.98,12.04,11.91,12.03,910800,12.03
2012-03-15,11.91,12.03,11.89,12.00,995800,12.00
2012-03-14,11.93,12.00,11.89,11.97,987700,11.93
2012-03-13,11.86,12.00,11.81,12.00,1378600,11.95
2012-03-12,11.90,11.95,11.81,11.89,924000,11.85
2012-03-09,11.98,12.00,11.88,11.98,702300,11.93
2012-03-08,11.85,11.98,11.83,11.96,886100,11.92
2012-03-07,11.49,11.83,11.46,11.80,819100,11.76
2012-03-06,11.39,11.49,11.31,11.46,1186000,11.42
2012-03-05,11.76,11.77,11.61,11.61,792800,11.57
2012-03-02,11.84,11.88,11.69,11.79,1368000,11.75
2012-03-01,12.04,12.06,11.88,11.88,1267000,11.84
2012-02-29,12.04,12.10,11.95,11.99,1177300,11.94
2012-02-28,11.93,12.04,11.93,12.04,773800,11.99
2012-02-27,11.93,12.01,11.91,11.95,698500,11.91
2012-02-24,12.03,12.09,11.93,11.96,587100,11.92
2012-02-23,12.02,12.08,11.95,12.05,602800,12.00
2012-02-22,12.06,12.11,11.95,11.99,720300,11.94
2012-02-21,12.14,12.19,12.06,12.12,1139200,12.07
2012-02-17,12.13,12.18,12.01,12.13,1118400,12.04
2012-02-16,12.03,12.19,11.91,12.13,1087400,12.04
2012-02-15,12.01,12.09,11.86,12.06,1348400,11.97
2012-02-14,12.04,12.08,11.88,11.98,758900,11.89
2012-02-13,12.12,12.15,11.95,12.05,808100,11.96
2012-02-10,12.03,12.13,11.93,12.08,1376100,11.99
2012-02-09,12.02,12.13,11.92,12.12,1133900,12.03
2012-02-08,11.88,12.05,11.85,12.00,1252300,11.91
2012-02-07,11.79,11.90,11.76,11.89,1047700,11.80
2012-02-06,11.67,11.80,11.65,11.80,979600,11.71
2012-02-03,11.58,11.75,11.53,11.72,1564400,11.63
2012-02-02,11.60,11.60,11.48,11.54,1177400,11.45
2012-02-01,11.25,11.61,11.25,11.53,2264400,11.44
2012-01-31,11.25,11.30,11.11,11.21,1249800,11.13
2012-01-30,11.01,11.22,10.96,11.20,1449600,11.12
2012-01-27,11.08,11.24,11.07,11.07,1385800,10.99
2012-01-26,11.10,11.20,11.03,11.12,2000000,11.04
2012-01-25,11.01,11.13,10.93,11.05,2340800,10.97
2012-01-24,11.16,11.16,10.95,11.00,1995600,10.92
2012-01-23,11.21,11.25,11.05,11.24,2920400,11.16
2012-01-20,11.32,11.35,11.03,11.17,3463700,11.04
2012-01-19,11.41,11.42,11.31,11.33,4517500,11.20
2012-01-18,11.25,11.39,11.17,11.39,10296900,11.26
2012-01-17,10.98,11.44,10.82,11.34,25097000,11.21
2012-01-13,9.51,9.52,9.30,9.31,1463000,9.20
2012-01-12,9.86,9.87,9.62,9.62,961900,9.51
2012-01-11,9.95,9.96,9.79,9.85,915200,9.74
2012-01-10,10.01,10.05,9.90,9.98,741700,9.87
2012-01-09,9.94,9.95,9.75,9.86,724800,9.75
2012-01-06,10.05,10.05,9.84,9.88,872500,9.77
2012-01-05,10.02,10.03,9.88,10.00,1047000,9.89
2012-01-04,9.79,10.00,9.77,9.98,1530400,9.87
2012-01-03,9.81,9.85,9.78,9.78,1493100,9.67
2011-12-30,9.68,9.77,9.66,9.69,641400,9.58
2011-12-29,9.58,9.75,9.57,9.74,782000,9.63
2011-12-28,9.76,9.76,9.57,9.58,683000,9.47
2011-12-27,9.68,9.73,9.63,9.69,576000,9.58
2011-12-23,9.74,9.79,9.62,9.67,714200,9.56
2011-12-22,9.45,9.74,9.45,9.72,1141500,9.61
2011-12-21,9.38,9.50,9.34,9.49,842300,9.38
2011-12-20,9.29,9.45,9.26,9.38,996300,9.27
2011-12-19,9.28,9.38,9.13,9.16,853800,9.06
2011-12-16,9.22,9.43,9.18,9.41,2657100,9.26
2011-12-15,9.20,9.23,9.01,9.21,1312600,9.06
2011-12-14,9.12,9.20,9.01,9.09,1253300,8.94
2011-12-13,9.44,9.49,9.13,9.19,1272600,9.04
2011-12-12,9.43,9.46,9.32,9.41,807200,9.26
2011-12-09,9.48,9.57,9.45,9.53,1022400,9.38
2011-12-08,9.64,9.70,9.47,9.49,1030200,9.34
2011-12-07,9.69,9.77,9.67,9.72,1080300,9.56
2011-12-06,9.67,9.78,9.60,9.72,1028000,9.56
2011-12-05,9.66,9.78,9.59,9.65,885400,9.50
2011-12-02,9.83,9.86,9.50,9.58,1613100,9.43
2011-12-01,9.41,9.88,9.40,9.83,3283400,9.67
2011-11-30,9.38,9.47,9.32,9.46,1457200,9.31
2011-11-29,9.04,9.22,9.02,9.15,872900,9.00
2011-11-28,9.05,9.22,8.97,9.05,1011100,8.91
2011-11-25,9.04,9.14,8.93,8.94,580100,8.80
2011-11-23,9.10,9.12,8.97,9.04,1324600,8.90
2011-11-22,9.10,9.24,9.03,9.19,1440500,9.04
2011-11-21,9.12,9.15,8.92,9.14,1766700,8.99
2011-11-18,9.33,9.42,9.24,9.28,1005600,9.09
2011-11-17,9.39,9.58,9.24,9.33,2015200,9.14
2011-11-16,9.39,9.60,9.32,9.39,1944100,9.20
2011-11-15,9.33,9.46,9.32,9.43,1375900,9.24
2011-11-14,9.27,9.40,9.23,9.37,1148000,9.18
2011-11-11,9.17,9.32,9.17,9.26,899800,9.07
2011-11-10,9.07,9.18,8.97,9.11,811200,8.92
2011-11-09,9.07,9.11,8.92,8.95,949200,8.77
2011-11-08,9.10,9.25,9.06,9.25,965100,9.06
2011-11-07,9.13,9.19,8.98,9.04,867600,8.85
2011-11-04,9.17,9.21,8.95,9.13,813100,8.94
2011-11-03,9.17,9.24,9.02,9.23,1153400,9.04
2011-11-02,8.97,9.14,8.95,9.10,993800,8.91
2011-11-01,8.65,8.92,8.64,8.83,1355900,8.65
2011-10-31,9.13,9.20,9.06,9.06,840700,8.87
2011-10-28,9.18,9.25,9.12,9.22,1105900,9.03
2011-10-27,9.40,9.42,9.20,9.23,1858600,9.04
2011-10-26,9.17,9.28,9.01,9.24,1556800,9.05
2011-10-25,9.15,9.20,9.00,9.05,1280500,8.86
2011-10-24,9.15,9.24,9.07,9.18,1276800,8.99
2011-10-21,9.20,9.24,9.02,9.10,1286700,8.91
2011-10-20,9.02,9.12,8.85,9.09,1137500,8.90
2011-10-19,9.09,9.20,8.98,9.05,1603400,8.82
2011-10-18,8.83,9.08,8.71,9.03,2011300,8.80
2011-10-17,9.00,9.04,8.82,8.83,1139500,8.60
2011-10-14,8.92,9.04,8.86,9.04,1407900,8.81
2011-10-13,8.70,8.83,8.64,8.81,1157400,8.59
2011-10-12,8.76,8.92,8.65,8.79,1723300,8.57
2011-10-11,8.58,8.73,8.53,8.61,1322100,8.39
2011-10-10,8.55,8.74,8.52,8.63,1026700,8.41
2011-10-07,8.50,8.56,8.35,8.44,1825900,8.22
2011-10-06,8.22,8.46,8.10,8.43,1717600,8.21
2011-10-05,7.88,8.16,7.86,8.12,1537900,7.91
2011-10-04,7.57,7.86,7.42,7.84,2200000,7.64
2011-10-03,8.05,8.10,7.65,7.66,1953500,7.46
2011-09-30,8.12,8.41,8.08,8.16,1103100,7.95
2011-09-29,8.40,8.45,8.18,8.27,1577900,8.06
2011-09-28,8.29,8.38,8.19,8.25,1488200,8.04
2011-09-27,8.33,8.42,8.18,8.24,1513900,8.03
2011-09-26,7.94,8.24,7.91,8.22,1360600,8.01
2011-09-23,7.98,8.11,7.93,7.95,1504000,7.75
2011-09-22,8.09,8.16,7.90,8.06,2040800,7.85
2011-09-21,8.64,8.69,8.37,8.38,1186300,8.17
2011-09-20,8.59,8.78,8.59,8.67,1457100,8.45
2011-09-19,8.54,8.68,8.47,8.60,1110000,8.38
2011-09-16,8.69,8.77,8.62,8.71,1255200,8.44
2011-09-15,8.63,8.67,8.51,8.65,1038700,8.38
2011-09-14,8.25,8.58,8.12,8.47,1682200,8.21
2011-09-13,8.27,8.29,8.11,8.24,1012300,7.99
2011-09-12,8.08,8.27,8.04,8.25,1249100,8.00
2011-09-09,8.26,8.40,8.15,8.25,1448400,8.00
2011-09-08,8.40,8.52,8.38,8.40,800200,8.14
2011-09-07,8.35,8.46,8.30,8.43,764300,8.17
2011-09-06,8.02,8.27,8.00,8.24,1601200,7.99
2011-09-02,8.39,8.43,8.27,8.38,1294100,8.12
2011-09-01,8.68,8.77,8.55,8.58,1136900,8.32
2011-08-31,8.71,8.79,8.63,8.66,1123600,8.39
2011-08-30,8.48,8.70,8.37,8.66,1258300,8.39
2011-08-29,8.36,8.53,8.32,8.50,936700,8.24
2011-08-26,8.07,8.30,7.95,8.27,893400,8.02
2011-08-25,8.32,8.34,8.03,8.13,1051200,7.88
2011-08-24,8.25,8.32,8.05,8.18,990900,7.93
2011-08-23,7.91,8.19,7.79,8.19,1306400,7.94
2011-08-22,8.18,8.23,7.74,7.84,1359200,7.60
