Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,27.32,27.49,27.29,27.45,722100,27.45
2013-01-08,27.27,27.31,27.11,27.26,578700,27.26
2013-01-07,27.36,27.38,27.12,27.18,360900,27.18
2013-01-04,27.12,27.48,27.10,27.32,425600,27.32
2013-01-03,27.74,27.74,27.04,27.05,1345700,27.05
2013-01-02,27.70,27.90,27.42,27.80,338900,27.80
2012-12-31,27.41,27.77,27.32,27.56,259000,27.56
2012-12-28,27.61,27.88,27.40,27.40,184900,27.40
2012-12-27,27.58,27.68,27.43,27.65,209400,27.65
2012-12-24,27.36,27.69,27.35,27.57,142300,27.45
2012-12-21,27.20,27.57,27.12,27.40,1239200,27.29
2012-12-20,27.25,27.33,27.13,27.23,352600,27.12
2012-12-19,27.58,27.60,27.18,27.32,522700,27.21
2012-12-18,27.30,27.66,27.30,27.65,325500,27.53
2012-12-17,27.40,27.48,27.26,27.40,567300,27.29
2012-12-14,27.65,27.75,27.34,27.39,426600,27.28
2012-12-13,27.75,27.87,27.56,27.70,599700,27.58
2012-12-12,27.55,27.90,27.53,27.85,814200,27.73
2012-12-11,27.53,27.55,27.33,27.47,273700,27.36
2012-12-10,27.59,27.59,27.36,27.53,246800,27.42
2012-12-07,27.51,27.63,27.48,27.59,383700,27.47
2012-12-06,27.30,27.51,27.25,27.51,408400,27.40
2012-12-05,26.80,27.45,26.80,27.30,521100,27.19
2012-12-04,27.10,27.26,26.87,26.96,245500,26.85
2012-12-03,27.10,27.29,26.97,27.11,278100,27.00
2012-11-30,26.77,26.97,26.67,26.97,362200,26.86
2012-11-29,26.71,26.77,26.61,26.67,320700,26.56
2012-11-28,26.79,26.81,26.55,26.69,223400,26.58
2012-11-27,26.80,26.92,26.75,26.91,562000,26.68
2012-11-26,26.82,26.92,26.65,26.88,297600,26.65
2012-11-23,26.74,26.94,26.65,26.94,128300,26.71
2012-11-22,26.51,26.65,26.51,26.61,100600,26.39
2012-11-21,26.69,26.81,26.54,26.65,293300,26.43
2012-11-20,26.87,26.90,26.50,26.68,386900,26.46
