Date,Open,High,Low,Close,Volume,Adj Close
2013-08-16,0.17,0.17,0.17,0.17,000,0.17
2013-08-15,0.17,0.17,0.17,0.17,000,0.17
2013-08-14,0.17,0.17,0.17,0.17,000,0.17
2013-08-13,0.17,0.17,0.17,0.17,000,0.17
2013-08-12,0.17,0.17,0.17,0.17,000,0.17
2013-08-09,0.17,0.17,0.17,0.17,000,0.17
2013-08-08,0.17,0.17,0.17,0.17,000,0.17
2013-08-07,0.17,0.17,0.17,0.17,000,0.17
2013-08-06,0.17,0.17,0.17,0.17,000,0.17
2013-08-02,0.17,0.17,0.17,0.17,000,0.17
2013-08-01,0.17,0.17,0.17,0.17,000,0.17
2013-07-31,0.17,0.17,0.17,0.17,000,0.17
2013-07-30,0.17,0.17,0.17,0.17,000,0.17
2013-07-29,0.17,0.17,0.17,0.17,3000,0.17
2013-07-26,0.17,0.17,0.17,0.17,5200,0.17
2013-07-25,0.15,0.15,0.15,0.15,000,0.15
2013-07-24,0.16,0.16,0.15,0.15,2600,0.15
2013-07-23,0.16,0.16,0.16,0.16,000,0.16
2013-07-22,0.16,0.16,0.16,0.16,000,0.16
2013-07-19,0.16,0.16,0.16,0.16,000,0.16
2013-07-18,0.16,0.16,0.16,0.16,000,0.16
2013-07-17,0.16,0.16,0.16,0.16,11000,0.16
2013-07-16,0.14,0.14,0.14,0.14,000,0.14
2013-07-15,0.14,0.14,0.14,0.14,000,0.14
2013-07-12,0.14,0.14,0.14,0.14,000,0.14
2013-07-11,0.14,0.14,0.14,0.14,000,0.14
2013-07-10,0.14,0.14,0.14,0.14,000,0.14
2013-07-09,0.14,0.14,0.13,0.14,14000,0.14
2013-07-08,0.16,0.16,0.16,0.16,10000,0.16
2013-07-05,0.14,0.14,0.14,0.14,000,0.14
2013-07-04,0.14,0.14,0.14,0.14,5000,0.14
2013-07-03,0.16,0.16,0.16,0.16,000,0.16
2013-07-02,0.16,0.16,0.16,0.16,000,0.16
2013-06-28,0.13,0.16,0.12,0.16,6800,0.16
2013-06-27,0.11,0.11,0.11,0.11,000,0.11
2013-06-26,0.11,0.11,0.11,0.11,000,0.11
2013-06-25,0.11,0.11,0.11,0.11,2300,0.11
2013-06-24,0.10,0.10,0.10,0.10,000,0.10
2013-06-21,0.10,0.10,0.10,0.10,9000,0.10
2013-06-20,0.10,0.10,0.09,0.09,2000,0.09
2013-06-19,0.15,0.15,0.14,0.14,5500,0.14
2013-06-18,0.14,0.14,0.14,0.14,000,0.14
2013-06-17,0.14,0.14,0.14,0.14,1400,0.14
2013-06-14,0.14,0.14,0.14,0.14,000,0.14
2013-06-13,0.14,0.14,0.14,0.14,000,0.14
2013-06-12,0.14,0.14,0.14,0.14,000,0.14
2013-06-11,0.14,0.14,0.14,0.14,000,0.14
2013-06-10,0.14,0.14,0.14,0.14,000,0.14
2013-06-07,0.14,0.14,0.14,0.14,000,0.14
2013-06-06,0.14,0.14,0.14,0.14,500,0.14
2013-06-05,0.13,0.13,0.12,0.12,18400,0.12
2013-06-04,0.14,0.14,0.14,0.14,66500,0.14
2013-06-03,0.14,0.14,0.14,0.14,21400,0.14
2013-05-31,0.14,0.14,0.14,0.14,41500,0.14
2013-05-30,0.11,0.11,0.11,0.11,17700,0.11
2013-05-29,0.11,0.11,0.11,0.11,700,0.11
2013-05-28,0.15,0.15,0.15,0.15,000,0.15
2013-05-27,0.15,0.15,0.15,0.15,000,0.15
2013-05-24,0.15,0.15,0.15,0.15,900,0.15
2013-05-23,0.14,0.14,0.14,0.14,000,0.14
2013-05-22,0.13,0.14,0.13,0.14,6200,0.14
2013-05-21,0.12,0.12,0.12,0.12,800,0.12
2013-05-17,0.11,0.11,0.10,0.11,22500,0.11
2013-05-16,0.10,0.10,0.10,0.10,000,0.10
2013-05-15,0.11,0.11,0.10,0.10,45000,0.10
2013-05-14,0.14,0.14,0.14,0.14,000,0.14
