Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,51.31,51.80,51.17,51.51,96000,51.51
2013-10-15,51.16,51.23,50.21,50.99,190900,50.99
2013-10-11,51.81,52.21,51.30,51.35,182000,51.35
2013-10-10,51.50,52.25,51.24,51.69,221600,51.69
2013-10-09,51.25,51.35,50.59,51.22,208900,51.22
2013-10-08,50.12,51.86,50.12,51.50,607100,51.50
2013-10-07,48.88,49.81,48.88,49.48,246800,49.48
2013-10-04,48.41,49.34,48.41,49.13,177500,49.13
2013-10-03,48.52,48.95,48.46,48.53,141500,48.53
2013-10-02,48.94,48.95,48.20,48.53,277400,48.53
2013-10-01,48.87,49.55,48.87,49.05,197000,49.05
2013-09-30,48.01,49.37,48.01,48.87,181100,48.87
2013-09-27,48.26,49.14,48.16,49.05,99400,49.05
2013-09-26,48.67,49.10,48.40,48.41,159100,48.41
2013-09-25,48.49,49.03,48.34,48.61,237700,48.61
2013-09-24,48.35,48.49,48.20,48.34,162500,48.34
2013-09-23,47.69,48.40,47.69,48.24,172300,48.24
2013-09-20,48.20,48.36,47.47,47.99,659600,47.99
2013-09-19,47.98,48.70,47.97,48.62,253900,48.62
2013-09-18,47.98,48.29,47.67,47.86,279400,47.86
2013-09-17,48.28,48.31,47.95,47.98,222000,47.98
2013-09-16,47.66,48.54,47.66,48.36,472200,48.36
2013-09-13,47.65,47.83,47.45,47.65,806500,47.65
2013-09-12,48.59,48.62,47.37,47.50,436700,47.50
2013-09-11,48.74,48.96,48.45,48.69,220500,48.69
2013-09-10,48.00,49.02,47.93,48.97,250500,48.97
2013-09-09,47.65,47.87,47.53,47.85,165000,47.85
2013-09-06,47.82,47.99,47.50,47.64,152400,47.64
2013-09-05,47.21,47.98,47.21,47.76,209400,47.76
2013-09-04,46.97,47.52,46.91,47.17,279500,47.17
2013-09-03,47.07,47.16,46.40,46.98,164000,46.98
2013-08-30,46.81,47.07,46.63,46.76,228100,46.53
2013-08-29,46.72,47.22,46.46,46.72,195600,46.49
2013-08-28,46.66,46.76,46.39,46.72,171100,46.49
2013-08-27,46.99,47.03,46.42,46.78,276100,46.55
2013-08-26,47.49,47.50,46.99,47.01,108700,46.78
2013-08-23,46.71,47.32,46.64,47.28,94700,47.05
2013-08-22,46.57,46.85,46.38,46.62,159000,46.39
2013-08-21,46.50,46.62,46.13,46.29,224700,46.06
2013-08-20,46.88,47.33,46.68,46.68,204400,46.45
2013-08-19,47.13,47.16,46.50,46.74,232900,46.51
2013-08-16,47.00,47.43,46.71,47.37,188800,47.14
2013-08-15,46.46,47.47,46.37,47.08,318600,46.85
2013-08-14,47.20,47.27,46.63,46.70,378000,46.47
2013-08-13,47.00,47.26,46.65,47.20,368800,46.97
2013-08-12,46.92,47.48,46.91,47.00,190000,46.77
2013-08-09,46.72,47.31,46.31,47.04,335900,46.81
2013-08-08,47.05,47.05,46.60,46.78,342900,46.55
2013-08-07,46.75,47.23,46.74,47.02,191300,46.79
2013-08-06,47.50,47.78,46.49,47.24,300700,47.01
2013-08-02,47.69,48.10,47.50,47.69,134600,47.46
2013-08-01,48.00,48.05,47.29,47.67,180500,47.44
2013-07-31,49.20,49.28,47.47,47.52,208500,47.29
2013-07-30,49.01,49.20,48.70,48.92,237700,48.68
2013-07-29,48.78,49.14,48.77,48.96,138800,48.72
2013-07-26,49.11,49.16,48.66,48.77,184500,48.53
2013-07-25,49.17,49.56,48.92,49.16,424200,48.92
2013-07-24,49.26,49.49,48.75,49.12,137700,48.88
2013-07-23,49.21,49.29,48.39,48.85,172900,48.61
2013-07-22,48.68,49.10,48.30,49.07,290900,48.83
2013-07-19,49.51,49.51,48.60,48.82,167900,48.58
2013-07-18,48.90,49.74,48.90,49.23,1701500,48.99
2013-07-17,48.41,48.89,48.41,48.75,356500,48.51
2013-07-16,48.72,48.72,47.70,48.28,225600,48.04
2013-07-15,47.81,48.94,47.81,48.37,183200,48.13
2013-07-12,48.15,48.45,47.45,47.56,215100,47.33
2013-07-11,47.27,48.14,47.14,47.97,259100,47.73
2013-07-10,46.73,46.97,46.24,46.95,235000,46.72
2013-07-09,46.60,46.89,46.01,46.60,265600,46.37
2013-07-08,46.76,46.91,46.15,46.69,273600,46.46
2013-07-05,47.72,47.72,46.50,46.80,155400,46.57
2013-07-04,47.32,47.57,47.21,47.57,37900,47.34
2013-07-03,47.62,47.95,46.50,47.20,169300,46.76
2013-07-02,48.29,48.29,47.24,47.62,329900,47.17
2013-06-28,48.36,48.94,48.20,48.34,302000,47.89
2013-06-27,48.89,48.99,48.36,48.48,221900,48.03
2013-06-26,48.24,48.94,48.24,48.70,266000,48.24
2013-06-25,48.27,48.67,47.82,47.91,429200,47.46
2013-06-24,47.83,48.34,47.44,47.93,230600,47.48
2013-06-21,47.72,48.61,47.45,48.25,788700,47.80
2013-06-20,48.20,48.20,47.31,47.65,375000,47.20
2013-06-19,48.83,48.83,48.11,48.65,456700,48.20
2013-06-18,48.14,48.96,48.11,48.84,304000,48.38
2013-06-17,47.22,48.22,47.05,48.00,423400,47.55
2013-06-14,47.43,47.72,46.75,47.16,254300,46.72
2013-06-13,47.75,47.83,46.69,47.31,335600,46.87
2013-06-12,48.19,48.26,47.76,47.88,459800,47.43
2013-06-11,48.41,49.24,47.85,48.22,400600,47.77
2013-06-10,48.18,48.59,47.48,48.49,267900,48.04
2013-06-07,49.34,49.41,48.25,48.45,434700,48.00
2013-06-06,49.40,49.99,49.11,49.58,354300,49.12
