Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,42.42,42.60,42.20,42.29,358200,42.29
2013-01-08,42.56,42.56,42.25,42.45,346000,42.45
2013-01-07,42.21,42.52,41.96,42.37,282200,42.37
2013-01-04,42.30,42.52,42.25,42.43,302400,42.43
2013-01-03,42.74,42.84,42.14,42.33,458600,42.33
2013-01-02,43.12,43.19,42.40,42.68,996200,42.68
2012-12-31,42.25,42.96,42.25,42.80,274000,42.80
2012-12-28,42.24,42.42,42.15,42.26,135100,42.26
2012-12-27,42.02,42.44,41.90,42.42,234000,42.42
2012-12-24,42.37,42.65,42.24,42.29,140600,42.03
2012-12-21,42.50,42.75,42.27,42.31,1239100,42.04
2012-12-20,42.55,42.56,42.32,42.49,357300,42.22
2012-12-19,42.43,42.71,42.29,42.45,412800,42.18
2012-12-18,42.70,42.71,42.15,42.33,618200,42.06
2012-12-17,42.33,42.78,42.27,42.60,1444200,42.33
2012-12-14,42.53,42.60,42.15,42.26,947100,42.00
2012-12-13,42.28,42.59,42.28,42.49,326800,42.22
2012-12-12,42.80,42.80,42.15,42.47,567900,42.20
2012-12-11,42.48,43.08,42.40,42.75,303700,42.48
2012-12-10,42.10,42.40,42.06,42.35,389400,42.08
2012-12-07,42.10,42.21,41.66,41.97,273700,41.71
2012-12-06,42.00,42.14,41.82,42.08,474900,41.82
2012-12-05,41.86,42.10,41.78,41.92,301000,41.66
2012-12-04,41.79,41.87,41.56,41.87,620200,41.61
2012-12-03,41.81,41.89,41.45,41.63,487300,41.37
2012-11-30,41.67,41.91,41.55,41.81,461000,41.55
2012-11-29,41.50,41.62,41.25,41.59,378800,41.33
2012-11-28,41.20,41.50,41.18,41.50,375400,41.24
2012-11-27,41.64,41.64,41.14,41.32,550000,41.06
2012-11-26,41.90,41.90,41.39,41.52,576700,41.26
2012-11-23,41.59,41.95,41.59,41.90,234000,41.64
2012-11-22,41.63,41.75,41.53,41.75,177900,41.49
2012-11-21,41.55,41.68,41.50,41.59,404500,41.33
2012-11-20,41.97,42.01,41.38,41.60,530300,41.34
2012-11-19,42.04,42.15,41.80,41.95,336400,41.69
2012-11-16,42.21,42.30,41.72,41.94,464500,41.68
2012-11-15,42.63,42.73,41.96,42.10,605700,41.84
2012-11-14,42.43,42.85,42.31,42.68,1865600,42.41
2012-11-13,41.12,42.64,41.12,42.46,1660600,42.19
2012-11-12,41.06,41.28,40.97,41.12,492400,40.86
2012-11-09,41.18,41.24,41.00,41.06,369600,40.80
2012-11-08,41.10,41.54,41.03,41.21,588800,40.95
2012-11-07,41.34,41.38,41.00,41.08,266300,40.82
2012-11-06,41.50,41.65,41.22,41.30,306700,41.04
2012-11-05,41.79,41.81,41.39,41.45,309100,41.19
2012-11-02,42.18,42.33,41.63,41.75,800500,41.49
2012-11-01,41.67,42.08,41.67,42.02,301400,41.76
2012-10-31,41.60,41.92,41.47,41.63,358600,41.37
2012-10-30,41.13,41.67,41.13,41.65,692600,41.39
2012-10-29,41.00,41.03,40.84,41.00,340600,40.74
2012-10-26,40.80,41.23,40.70,40.91,273200,40.65
2012-10-25,40.68,40.84,40.53,40.80,456700,40.54
2012-10-24,40.57,40.78,40.45,40.56,353000,40.31
2012-10-23,40.62,40.63,40.03,40.54,480300,40.29
2012-10-22,40.35,40.70,40.28,40.69,267000,40.44
2012-10-19,40.27,40.46,40.21,40.45,639600,40.20
2012-10-18,40.97,40.99,40.42,40.50,797100,40.25
2012-10-17,40.90,41.17,40.88,41.02,323000,40.76
2012-10-16,40.57,41.00,40.49,40.88,692100,40.62
2012-10-15,40.85,40.86,40.36,40.50,308100,40.25
2012-10-12,40.85,40.89,40.51,40.80,1077500,40.54
2012-10-11,40.81,41.00,40.79,40.85,659500,40.59
2012-10-10,40.97,41.13,40.69,40.72,309900,40.46
2012-10-09,41.12,41.37,40.87,40.92,290400,40.66
