Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,69.58,70.07,69.51,70.07,838900,70.07
2013-10-15,69.80,69.87,69.19,69.32,575500,69.32
2013-10-14,69.26,69.99,69.26,69.99,606200,69.99
2013-10-11,69.33,69.85,69.20,69.85,901300,69.85
2013-10-10,68.64,69.35,68.51,69.35,754900,69.35
2013-10-09,67.89,68.18,67.74,67.93,1446900,67.93
2013-10-08,68.42,68.56,67.76,67.77,759900,67.77
2013-10-07,68.28,68.81,68.26,68.42,728700,68.42
2013-10-04,68.67,69.00,68.51,68.93,566800,68.93
2013-10-03,69.06,69.06,68.32,68.65,679800,68.65
2013-10-02,69.14,69.26,68.71,69.24,494100,69.24
2013-10-01,69.02,69.63,68.94,69.50,838500,69.50
2013-09-30,68.66,69.02,68.52,68.94,592800,68.94
2013-09-27,69.23,69.33,68.98,69.11,511600,69.11
2013-09-26,69.32,69.74,69.25,69.52,418600,69.52
2013-09-25,69.57,69.66,69.17,69.24,445900,69.24
2013-09-24,69.53,69.85,69.40,69.53,977000,69.53
2013-09-23,69.75,69.76,69.37,69.60,777000,69.60
2013-09-20,70.31,70.43,69.71,69.79,435400,69.79
2013-09-19,70.97,71.05,70.64,70.72,646500,70.72
2013-09-18,69.82,70.88,69.61,70.84,421500,70.84
2013-09-17,69.70,69.86,69.62,69.84,417500,69.84
2013-09-16,69.74,69.95,69.50,69.61,617500,69.61
2013-09-13,68.96,69.08,68.82,69.03,544000,69.03
2013-09-12,68.96,69.17,68.83,68.90,462500,68.90
2013-09-11,68.80,69.02,68.65,68.99,832100,68.99
2013-09-10,68.64,68.80,68.47,68.76,685000,68.76
2013-09-09,67.68,68.37,67.64,68.34,588100,68.34
2013-09-06,67.65,67.99,67.03,67.57,516100,67.57
2013-09-05,67.54,67.68,67.44,67.48,613500,67.48
2013-09-04,66.89,67.58,66.79,67.49,418300,67.49
2013-09-03,67.58,67.80,66.58,66.91,1016900,66.91
2013-08-30,67.32,67.38,66.77,66.91,667000,66.91
2013-08-29,67.13,67.56,67.00,67.28,780900,67.28
2013-08-28,67.13,67.42,66.98,67.20,799600,67.20
2013-08-27,67.58,67.66,67.18,67.20,804700,67.20
2013-08-26,68.57,68.60,68.03,68.12,370200,68.12
2013-08-23,68.31,68.54,67.96,68.46,511100,68.46
2013-08-22,67.75,68.31,67.68,68.21,1097500,68.21
2013-08-21,67.97,68.21,67.56,67.67,591100,67.67
2013-08-20,67.94,68.41,67.85,68.18,730800,68.18
2013-08-19,68.17,68.28,67.85,67.85,691200,67.85
2013-08-16,68.51,68.51,68.10,68.26,813100,68.26
2013-08-15,69.22,69.22,68.50,68.58,976000,68.58
2013-08-14,70.17,70.22,69.67,69.68,948000,69.68
2013-08-13,70.32,70.33,69.80,70.18,480600,70.18
2013-08-12,70.11,70.34,70.00,70.24,652200,70.24
2013-08-09,70.22,70.53,70.09,70.40,627000,70.40
2013-08-08,70.37,70.61,70.14,70.41,847800,70.41
2013-08-07,70.27,70.37,70.05,70.24,682900,70.24
2013-08-06,70.65,70.73,70.38,70.50,449200,70.50
2013-08-05,70.81,70.91,70.65,70.78,411800,70.78
2013-08-02,70.83,70.94,70.56,70.92,563600,70.92
2013-08-01,70.47,71.04,70.47,70.98,478200,70.98
2013-07-31,70.14,70.62,70.05,70.13,602500,70.13
