Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,10.85,10.91,10.83,10.88,323300,10.88
2013-10-15,10.66,10.91,10.61,10.85,367700,10.85
2013-10-11,10.55,10.71,10.52,10.70,295900,10.70
2013-10-10,10.53,10.64,10.51,10.55,174900,10.55
2013-10-09,10.50,10.61,10.42,10.52,564300,10.52
2013-10-08,10.65,10.70,10.52,10.54,134000,10.54
2013-10-07,10.63,10.75,10.61,10.71,183800,10.71
2013-10-04,10.78,10.87,10.61,10.74,163000,10.74
2013-10-03,11.16,11.16,10.76,10.77,307600,10.77
2013-10-02,11.03,11.15,11.00,11.14,124400,11.14
2013-10-01,11.01,11.18,11.01,11.16,354300,11.16
2013-09-30,10.96,11.10,10.96,11.00,188100,11.00
2013-09-27,11.14,11.15,10.95,10.96,524600,10.96
2013-09-26,11.11,11.19,11.08,11.18,103200,11.18
2013-09-25,11.17,11.17,11.01,11.13,242100,11.08
2013-09-24,11.08,11.18,11.00,11.18,187000,11.13
2013-09-23,10.92,11.13,10.89,11.10,320100,11.05
2013-09-20,11.20,11.20,10.85,10.85,430000,10.80
2013-09-19,11.15,11.17,10.98,11.17,182600,11.12
2013-09-18,10.90,11.12,10.85,11.09,179400,11.04
2013-09-17,10.88,10.88,10.81,10.86,194800,10.81
2013-09-16,10.85,10.88,10.71,10.88,884600,10.83
2013-09-13,10.72,10.80,10.72,10.80,252100,10.75
2013-09-12,11.00,11.00,10.71,10.76,268300,10.71
2013-09-11,11.26,11.26,10.91,11.05,396400,11.00
2013-09-10,11.14,11.35,11.10,11.31,545400,11.26
2013-09-09,11.17,11.20,11.07,11.12,154300,11.07
2013-09-06,11.24,11.24,11.07,11.12,128700,11.07
2013-09-05,11.04,11.21,11.03,11.20,171100,11.15
2013-09-04,11.00,11.11,10.90,11.05,160100,11.00
2013-09-03,11.16,11.16,10.96,10.98,177600,10.93
2013-08-30,10.86,11.02,10.86,10.99,90700,10.94
2013-08-29,10.82,10.95,10.80,10.93,184900,10.88
2013-08-28,10.86,10.93,10.78,10.87,315300,10.82
2013-08-27,10.70,11.00,10.70,10.91,302400,10.81
2013-08-26,10.79,10.87,10.70,10.70,221900,10.60
2013-08-23,10.51,10.76,10.51,10.76,411400,10.66
2013-08-22,10.70,10.72,10.30,10.52,1192100,10.42
2013-08-21,11.01,11.10,10.83,10.84,308300,10.74
2013-08-20,10.85,11.06,10.85,10.99,236800,10.89
2013-08-19,11.29,11.34,10.87,10.90,240700,10.80
2013-08-16,11.15,11.34,11.15,11.34,177100,11.24
2013-08-15,11.19,11.33,11.00,11.15,295800,11.05
2013-08-14,11.77,11.84,11.28,11.30,501900,11.20
2013-08-13,11.91,11.95,11.75,11.81,152000,11.70
2013-08-12,11.73,12.02,11.73,11.93,213000,11.82
2013-08-09,11.70,11.89,11.66,11.79,208100,11.68
2013-08-08,11.73,11.87,11.64,11.70,287700,11.59
2013-08-07,11.65,11.83,11.60,11.66,362500,11.55
2013-08-06,12.06,12.07,11.67,11.71,386200,11.60
2013-08-02,12.19,12.37,12.09,12.12,160900,12.01
2013-08-01,12.11,12.59,12.11,12.43,344400,12.32
2013-07-31,12.25,12.30,12.11,12.12,449400,12.01
2013-07-30,12.41,12.45,12.20,12.30,207800,12.19
2013-07-29,12.46,12.51,12.30,12.43,189300,12.32
2013-07-26,12.40,12.59,12.28,12.50,289500,12.34
2013-07-25,12.71,12.76,12.52,12.54,183200,12.38
2013-07-24,12.75,12.78,12.62,12.77,165400,12.60
2013-07-23,12.82,12.85,12.70,12.77,263700,12.60
2013-07-22,12.73,12.92,12.73,12.86,240500,12.69
