Date,Open,High,Low,Close,Volume,Adj Close
2011-04-08,11.24,11.24,11.16,11.19,128400,11.19
2011-04-07,11.28,11.30,11.19,11.19,132100,11.19
2011-04-06,11.25,11.32,11.22,11.28,113000,11.28
2011-04-05,11.17,11.38,11.10,11.24,184900,11.24
2011-04-04,11.20,11.22,11.06,11.17,156500,11.17
2011-04-01,11.22,11.27,11.14,11.19,212100,11.19
2011-03-31,11.41,11.41,11.22,11.28,235800,11.28
2011-03-30,11.40,11.44,11.31,11.41,102300,11.41
2011-03-29,11.42,11.42,11.33,11.39,151800,11.39
2011-03-28,11.59,11.60,11.42,11.44,158800,11.34
2011-03-25,11.65,11.65,11.46,11.57,168100,11.47
2011-03-24,11.67,11.70,11.56,11.61,137800,11.51
2011-03-23,11.52,11.69,11.52,11.63,194100,11.53
2011-03-22,11.50,11.58,11.48,11.54,104400,11.44
2011-03-21,11.34,11.58,11.33,11.49,222700,11.39
2011-03-18,11.30,11.35,11.20,11.33,410000,11.23
2011-03-17,11.02,11.28,11.02,11.26,189200,11.16
2011-03-16,11.10,11.10,11.00,11.05,125600,10.95
2011-03-15,10.93,11.14,10.93,11.08,289600,10.98
2011-03-14,11.10,11.14,10.97,11.10,248300,11.00
2011-03-11,11.01,11.14,10.98,11.08,166600,10.98
2011-03-10,11.03,11.14,10.92,11.00,384500,10.90
2011-03-09,11.10,11.16,11.02,11.06,233900,10.96
2011-03-08,11.25,11.27,11.09,11.10,237100,11.00
2011-03-07,11.34,11.34,11.20,11.24,211200,11.14
2011-03-04,11.20,11.31,11.11,11.26,294500,11.16
2011-03-03,11.25,11.26,11.15,11.23,235000,11.13
2011-03-02,11.28,11.33,11.18,11.26,157300,11.16
2011-03-01,11.25,11.30,11.16,11.27,180200,11.17
2011-02-28,11.15,11.32,11.12,11.24,372400,11.14
2011-02-25,10.94,11.14,10.94,11.13,351600,11.03
2011-02-24,10.96,11.03,10.88,10.99,494600,10.89
2011-02-23,11.15,11.25,11.05,11.09,548800,10.86
2011-02-22,11.31,11.31,11.04,11.10,765400,10.87
2011-02-18,10.90,11.70,10.50,11.34,2641600,11.10
2011-02-17,12.25,12.30,12.10,12.26,323300,12.00
2011-02-16,12.41,12.49,12.30,12.35,253700,12.09
2011-02-15,12.28,12.47,12.27,12.39,294100,12.13
2011-02-14,12.17,12.36,12.14,12.25,339500,12.00
2011-02-11,12.11,12.19,12.09,12.15,206000,11.90
2011-02-10,12.15,12.29,12.10,12.10,278400,11.85
2011-02-09,12.16,12.19,12.08,12.15,224100,11.90
2011-02-08,12.05,12.19,12.05,12.15,212000,11.90
2011-02-07,11.97,12.12,11.97,12.07,236800,11.82
2011-02-04,11.95,12.04,11.94,11.98,275000,11.73
2011-02-03,12.00,12.00,11.85,11.91,279200,11.66
2011-02-02,11.97,12.03,11.82,12.02,222700,11.77
2011-02-01,11.82,11.97,11.80,11.95,202600,11.70
2011-01-31,11.84,11.94,11.80,11.82,234200,11.57
2011-01-28,12.00,12.00,11.76,11.85,364800,11.60
2011-01-27,12.00,12.00,11.89,11.98,253900,11.73
2011-01-26,11.96,12.05,11.90,12.02,394600,11.64
2011-01-25,11.85,11.97,11.72,11.95,464400,11.57
2011-01-24,11.80,11.89,11.72,11.86,316200,11.48
2011-01-21,11.74,11.80,11.72,11.72,1075400,11.35
2011-01-20,11.78,11.79,11.62,11.71,210300,11.34
2011-01-19,11.78,11.80,11.70,11.71,277900,11.34
2011-01-18,11.65,11.75,11.62,11.73,264200,11.36
2011-01-17,11.45,11.64,11.40,11.61,265800,11.24
2011-01-14,11.48,11.59,11.39,11.39,365200,11.03
2011-01-13,11.41,11.48,11.36,11.48,317900,11.11
2011-01-12,11.45,11.50,11.33,11.36,399900,11.00
2011-01-11,11.11,11.49,11.11,11.35,722500,10.99
2011-01-10,11.10,11.11,11.03,11.06,262900,10.71
2011-01-07,11.05,11.12,11.03,11.04,242100,10.69
2011-01-06,11.10,11.14,10.99,11.05,373500,10.70
2011-01-05,11.14,11.16,11.06,11.06,194600,10.71
2011-01-04,11.16,11.19,11.08,11.14,172500,10.79
2010-12-31,11.09,11.16,11.08,11.08,82800,10.73
2010-12-30,11.07,11.23,11.06,11.09,173200,10.74
2010-12-29,11.05,11.15,11.03,11.08,194100,10.73
2010-12-24,11.19,11.23,11.15,11.18,51100,10.69
2010-12-23,11.27,11.27,11.13,11.19,309500,10.70
2010-12-22,11.14,11.29,11.11,11.28,389400,10.79
2010-12-21,11.05,11.16,11.05,11.14,221700,10.66
2010-12-20,11.04,11.19,11.02,11.04,343100,10.56
2010-12-17,11.02,11.18,11.00,11.00,346800,10.52
2010-12-16,11.13,11.19,11.01,11.05,224600,10.57
2010-12-15,10.99,11.09,10.95,11.09,234600,10.61
2010-12-14,10.85,11.00,10.81,10.93,312800,10.45
2010-12-13,10.78,10.97,10.78,10.85,323400,10.38
2010-12-10,10.84,10.97,10.76,10.80,426900,10.33
2010-12-09,10.56,10.95,10.54,10.84,457500,10.37
2010-12-08,10.81,10.82,10.59,10.59,335500,10.13
2010-12-07,10.82,10.86,10.71,10.79,316100,10.32
2010-12-06,10.85,10.93,10.75,10.85,331400,10.38
2010-12-03,10.99,10.99,10.71,10.91,352800,10.44
2010-12-02,11.05,11.09,10.97,10.98,172300,10.50
2010-12-01,11.22,11.22,10.93,11.03,288400,10.55
2010-11-30,11.18,11.26,11.09,11.09,232200,10.61
2010-11-29,11.20,11.24,11.01,11.12,276600,10.64
2010-11-26,11.55,11.55,11.26,11.26,242600,10.77
2010-11-25,11.45,11.61,11.43,11.60,253800,10.97
2010-11-24,11.43,11.44,11.35,11.43,210700,10.81
2010-11-23,11.33,11.41,11.30,11.37,234800,10.75
2010-11-22,11.37,11.40,11.29,11.37,231800,10.75
2010-11-19,11.25,11.36,11.21,11.36,205200,10.74
2010-11-18,11.24,11.27,11.12,11.21,215500,10.60
2010-11-17,11.06,11.26,11.06,11.07,228800,10.47
2010-11-16,11.11,11.31,11.03,11.04,364900,10.44
2010-11-15,10.76,11.16,10.76,11.07,323900,10.47
2010-11-12,10.74,11.01,10.68,10.76,431800,10.17
2010-11-11,10.82,10.94,10.66,10.71,343200,10.12
2010-11-10,10.42,10.78,10.42,10.61,462800,10.03
2010-11-09,10.62,10.68,10.41,10.46,583700,9.89
2010-11-08,10.55,10.78,10.37,10.66,502500,10.08
2010-11-05,10.91,10.91,10.57,10.66,1113700,10.08
2010-11-04,11.15,11.35,10.96,10.98,730800,10.38
2010-11-03,11.75,11.75,11.05,11.15,1505900,10.54
2010-11-02,12.07,12.07,11.86,11.88,473000,11.23
2010-11-01,12.05,12.12,12.02,12.08,183200,11.42
2010-10-29,12.17,12.17,12.00,12.15,177100,11.49
2010-10-28,12.20,12.21,12.00,12.16,202200,11.50
2010-10-27,12.24,12.25,12.17,12.18,219600,11.51
