Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,28.32,28.32,28.09,28.05,1300,28.05
2013-01-08,27.69,27.78,27.69,27.65,2300,27.65
2013-01-07,27.53,27.85,27.53,27.75,1500,27.75
2013-01-04,27.75,27.90,27.75,27.83,900,27.83
2013-01-03,27.67,27.67,27.55,27.77,500,27.77
2013-01-02,27.59,27.59,27.59,27.57,300,27.57
2012-12-31,26.93,26.93,26.93,26.93,000,26.93
2012-12-28,27.18,27.38,27.09,27.04,200,27.04
2012-12-27,27.08,27.20,27.05,27.08,7800,27.08
2012-12-24,27.19,27.19,27.19,27.15,000,27.15
2012-12-21,27.13,27.13,26.96,27.17,10500,27.17
2012-12-20,27.11,27.20,27.11,27.14,49600,27.14
2012-12-19,27.34,27.34,27.04,27.11,000,27.11
2012-12-18,27.15,27.36,27.15,27.12,6000,27.12
2012-12-17,27.10,27.10,26.98,27.07,300,27.07
2012-12-14,27.44,27.44,27.20,27.18,300,27.18
2012-12-13,27.26,27.26,27.26,27.14,1900,27.14
2012-12-12,27.27,27.27,27.27,27.22,200,27.22
2012-12-11,27.27,27.28,27.27,27.25,400,27.25
2012-12-10,27.12,27.12,27.12,27.12,000,27.12
2012-12-07,27.16,27.16,27.06,27.07,800,27.07
2012-12-06,26.70,26.86,26.55,26.85,4700,26.85
2012-12-05,26.80,26.80,26.59,26.73,2100,26.73
2012-12-04,26.61,26.66,26.61,26.61,6600,26.61
2012-12-03,26.68,26.80,26.68,26.65,600,26.65
2012-11-30,26.76,26.98,26.76,26.69,5500,26.69
2012-11-29,26.99,26.99,26.58,26.65,66600,26.65
2012-11-28,26.74,26.74,26.28,26.55,500,26.55
2012-11-27,26.44,26.50,26.35,26.43,1400,26.43
2012-11-26,26.26,26.28,26.25,26.24,22000,26.24
2012-11-23,26.50,26.50,26.50,26.32,400,26.32
2012-11-22,26.12,26.23,26.12,26.23,3000,26.23
2012-11-21,26.06,26.06,25.94,25.94,6400,25.94
2012-11-20,26.02,26.02,26.00,26.02,5200,26.02
2012-11-19,25.88,25.88,25.88,26.17,000,26.17
2012-11-16,25.84,25.89,25.74,25.60,1400,25.60
2012-11-15,25.88,25.88,25.88,25.76,1200,25.76
2012-11-14,25.95,25.95,25.95,26.06,100,26.06
2012-11-13,26.27,26.27,26.27,26.28,800,26.28
2012-11-12,26.54,26.54,26.54,26.50,200,26.50
2012-11-09,26.24,26.37,26.24,26.40,1300,26.40
2012-11-08,26.41,26.47,26.24,26.31,6800,26.31
2012-11-07,26.64,26.64,26.64,26.22,300,26.22
2012-11-06,26.58,26.58,26.58,26.55,6700,26.55
2012-11-05,26.38,26.38,26.38,26.31,4200,26.31
2012-11-02,26.06,26.22,26.06,26.22,12700,26.22
2012-11-01,26.25,26.25,25.88,26.21,2600,26.21
2012-10-31,26.19,26.19,26.06,26.02,12100,26.02
2012-10-30,26.28,26.28,26.21,26.22,4000,26.22
2012-10-29,26.08,26.08,26.08,26.19,300,26.19
2012-10-26,26.21,26.26,26.17,26.18,600,26.18
2012-10-25,26.28,26.60,26.28,26.23,22400,26.23
2012-10-24,26.38,26.40,26.31,26.31,20500,26.31
