Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,4.70,4.70,4.50,4.55,17000,4.55
2013-01-08,4.68,4.68,4.68,4.68,500,4.68
2013-01-07,4.71,4.71,4.68,4.68,3900,4.68
2013-01-04,4.68,4.73,4.68,4.73,300,4.73
2013-01-03,4.75,4.76,4.66,4.66,2000,4.66
2013-01-02,4.72,4.72,4.72,4.72,600,4.72
2012-12-31,4.65,4.65,4.65,4.65,1000,4.65
2012-12-28,4.65,4.65,4.65,4.65,3100,4.65
2012-12-27,4.73,4.73,4.67,4.67,600,4.67
2012-12-24,4.75,4.75,4.75,4.75,100,4.75
2012-12-21,4.72,4.72,4.67,4.71,4600,4.71
2012-12-20,4.75,4.75,4.70,4.70,5300,4.70
2012-12-19,4.80,4.81,4.72,4.75,15400,4.75
2012-12-18,4.83,4.83,4.83,4.83,100,4.83
2012-12-17,4.81,4.85,4.75,4.77,10200,4.77
2012-12-14,4.87,4.87,4.72,4.73,4900,4.73
2012-12-13,4.66,4.91,4.66,4.91,8900,4.91
2012-12-12,4.75,4.75,4.70,4.70,3500,4.70
2012-12-11,4.75,4.75,4.75,4.75,4000,4.75
2012-12-10,4.71,4.71,4.71,4.71,700,4.71
2012-12-07,4.58,4.75,4.58,4.75,1700,4.75
2012-12-06,4.70,4.70,4.70,4.70,000,4.70
2012-12-05,4.70,4.70,4.70,4.70,000,4.70
2012-12-04,4.75,4.75,4.48,4.70,11900,4.70
2012-12-03,4.72,4.90,4.72,4.90,1300,4.90
2012-11-30,4.60,4.75,4.60,4.75,1600,4.75
2012-11-29,4.60,4.75,4.60,4.75,1800,4.75
2012-11-28,4.65,4.70,4.65,4.70,800,4.70
2012-11-27,4.68,4.68,4.60,4.60,3000,4.60
2012-11-26,4.50,4.50,4.45,4.45,4400,4.45
2012-11-23,4.65,4.65,4.45,4.45,11400,4.45
2012-11-22,4.57,4.60,4.57,4.60,2900,4.60
2012-11-21,4.55,4.55,4.55,4.55,000,4.55
2012-11-20,4.55,4.55,4.55,4.55,300,4.55
2012-11-19,4.62,4.65,4.47,4.65,7900,4.65
2012-11-16,4.61,4.61,4.58,4.58,3700,4.58
2012-11-15,4.66,4.66,4.62,4.62,7800,4.62
2012-11-14,4.65,4.65,4.65,4.65,000,4.65
2012-11-13,4.75,4.75,4.65,4.65,700,4.65
2012-11-12,4.75,4.75,4.75,4.75,000,4.75
2012-11-09,4.75,4.75,4.75,4.75,700,4.75
2012-11-08,4.75,4.75,4.75,4.75,000,4.75
2012-11-07,4.77,4.78,4.75,4.75,11100,4.75
2012-11-06,4.77,4.80,4.77,4.80,1500,4.80
2012-11-05,4.80,4.80,4.76,4.76,1600,4.76
2012-11-02,4.77,4.78,4.76,4.76,10500,4.76
2012-11-01,4.65,4.82,4.65,4.82,66600,4.82
2012-10-31,4.73,4.73,4.73,4.73,700,4.73
2012-10-30,4.68,4.68,4.68,4.68,000,4.68
2012-10-29,4.68,4.68,4.68,4.68,000,4.68
2012-10-26,4.70,4.70,4.66,4.68,3700,4.68
2012-10-25,4.75,4.75,4.75,4.75,500,4.75
2012-10-24,4.65,4.65,4.65,4.65,000,4.65
2012-10-23,4.63,4.65,4.63,4.65,3500,4.65
2012-10-22,4.75,4.75,4.70,4.70,4100,4.70
2012-10-19,4.77,4.77,4.75,4.75,200,4.75
2012-10-18,4.78,4.79,4.78,4.79,3000,4.79
2012-10-17,4.81,4.81,4.78,4.79,1900,4.79
2012-10-16,4.75,4.75,4.75,4.75,300,4.75
2012-10-15,4.80,4.80,4.71,4.74,5400,4.74
2012-10-12,4.84,4.93,4.73,4.76,9100,4.76
2012-10-11,4.85,4.97,4.82,4.97,2700,4.97
2012-10-10,4.83,4.83,4.83,4.83,000,4.83
2012-10-09,4.95,4.95,4.83,4.83,2400,4.83
2012-10-05,5.07,5.09,5.00,5.00,1800,5.00
2012-10-04,4.91,5.00,4.91,5.00,1600,5.00
2012-10-03,5.10,5.10,5.03,5.08,900,5.08
2012-10-02,4.93,4.93,4.93,4.93,200,4.93
2012-10-01,5.00,5.12,4.96,5.05,1900,5.05
2012-09-28,5.08,5.08,5.08,5.08,900,5.08
2012-09-27,5.00,5.00,5.00,5.00,900,5.00
2012-09-26,5.06,5.06,5.06,5.06,1000,5.06
2012-09-25,5.02,5.10,5.02,5.10,1300,5.10
2012-09-24,5.15,5.20,5.15,5.18,2800,5.18
2012-09-21,5.14,5.14,5.14,5.14,1200,5.14
2012-09-20,5.00,5.00,5.00,5.00,500,5.00
2012-09-19,5.00,5.00,5.00,5.00,2100,5.00
2012-09-18,5.00,5.00,5.00,5.00,2700,5.00
2012-09-17,5.03,5.03,5.03,5.03,000,5.03
2012-09-14,5.10,5.10,5.00,5.03,3300,5.03
2012-09-13,4.95,4.95,4.95,4.95,8600,4.95
2012-09-12,4.89,4.89,4.89,4.89,300,4.89
2012-09-11,4.85,4.90,4.85,4.90,300,4.90
2012-09-10,4.80,4.80,4.80,4.80,100,4.80
2012-09-07,4.85,4.85,4.75,4.77,3800,4.77
2012-09-06,4.62,4.89,4.62,4.89,38200,4.89
2012-09-05,4.72,4.72,4.65,4.65,32300,4.65
2012-09-04,4.73,4.78,4.70,4.70,5200,4.70
2012-08-31,4.77,4.78,4.77,4.78,1400,4.78
2012-08-30,4.83,4.83,4.79,4.79,800,4.79
2012-08-29,5.00,5.00,5.00,5.00,100,5.00
2012-08-28,5.01,5.07,5.00,5.00,3400,5.00
2012-08-27,4.76,4.76,4.76,4.76,000,4.76
2012-08-24,4.83,4.83,4.72,4.76,14200,4.76
2012-08-23,4.95,4.95,4.85,4.85,6200,4.85
2012-08-22,4.95,4.95,4.95,4.95,000,4.95
2012-08-21,4.95,4.95,4.95,4.95,200,4.95
2012-08-20,5.04,5.04,4.95,4.95,2900,4.95
2012-08-17,5.15,5.20,5.05,5.05,2000,5.05
2012-08-16,5.00,5.00,5.00,5.00,000,5.00
2012-08-15,5.00,5.00,5.00,5.00,000,5.00
