Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,26.65,27.66,25.94,27.66,7719500,27.66
2011-09-23,25.74,26.50,25.61,26.32,7785400,26.32
2011-09-22,27.00,27.05,25.78,26.21,13554800,26.21
2011-09-21,29.04,29.19,28.08,28.13,5476900,28.13
2011-09-20,29.41,29.99,28.84,28.89,5509500,28.89
2011-09-19,29.30,29.59,28.81,29.40,3629900,29.40
2011-09-16,30.15,30.18,29.47,29.63,9106200,29.63
2011-09-15,29.85,29.96,29.40,29.95,4110200,29.95
2011-09-14,28.66,29.83,28.51,29.44,5650000,29.44
2011-09-13,28.70,28.88,28.25,28.57,6964400,28.57
2011-09-12,29.01,29.21,28.06,28.51,6733600,28.51
2011-09-09,30.00,30.28,29.30,29.45,4455300,29.45
2011-09-08,30.20,30.79,30.05,30.41,3996200,30.41
2011-09-07,29.80,30.42,29.65,30.36,5079800,30.36
2011-09-06,29.30,29.35,28.75,29.28,6410700,29.28
2011-09-02,30.39,30.47,29.86,30.00,4162500,30.00
2011-09-01,31.28,31.56,30.98,31.00,6406400,31.00
2011-08-31,31.30,31.65,30.74,31.38,6403800,31.27
2011-08-30,30.58,31.18,30.28,31.02,4743000,30.91
2011-08-29,30.50,30.59,29.95,30.56,3925800,30.45
2011-08-26,29.39,30.14,29.08,29.78,4020800,29.68
2011-08-25,30.65,30.66,29.45,29.54,4703800,29.44
2011-08-24,30.14,30.57,29.82,30.28,5228800,30.17
2011-08-23,29.17,30.15,28.79,30.10,6433600,29.99
2011-08-22,30.00,30.02,28.71,28.83,6722500,28.73
2011-08-19,29.44,30.40,29.07,29.22,7508800,29.12
2011-08-18,30.90,30.91,29.46,29.67,7776500,29.57
2011-08-17,32.45,32.58,31.63,31.73,6911400,31.62
2011-08-16,32.10,32.22,31.65,31.89,6761700,31.78
2011-08-15,32.37,32.75,32.13,32.43,4450500,32.32
2011-08-12,32.90,32.90,31.65,31.89,5693900,31.78
2011-08-11,31.21,32.32,30.65,32.22,7745200,32.11
2011-08-10,31.35,31.94,30.37,31.28,9753000,31.17
