Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,34.68,34.88,34.53,34.75,671300,34.75
2013-10-15,34.94,34.98,34.47,34.82,602800,34.82
2013-10-11,34.90,35.18,34.52,34.64,660700,34.64
2013-10-10,34.64,35.10,34.63,34.91,757000,34.91
2013-10-09,33.91,34.81,33.80,34.39,1121800,34.39
2013-10-08,33.78,34.15,33.75,33.93,587000,33.93
2013-10-07,33.62,34.06,33.60,33.78,976800,33.78
2013-10-04,33.58,34.01,33.58,33.79,865700,33.79
2013-10-03,33.80,33.95,33.57,33.73,1481900,33.73
2013-10-02,34.01,34.25,33.88,33.90,1202300,33.90
2013-10-01,33.99,34.61,33.87,34.21,1052600,34.21
2013-09-30,34.25,34.39,34.05,34.14,1529400,34.14
2013-09-27,34.78,34.90,34.33,34.52,1228100,34.52
2013-09-26,34.65,35.07,34.65,34.94,1010700,34.94
2013-09-25,35.60,35.60,34.57,34.78,1510900,34.78
2013-09-24,35.38,35.90,35.38,35.56,4277500,35.56
2013-09-23,34.92,35.58,34.50,35.44,2396300,35.44
2013-09-20,34.21,34.97,34.21,34.58,4348600,34.58
2013-09-19,34.05,34.79,34.00,34.58,1389700,34.58
2013-09-18,33.74,34.02,33.56,33.87,741700,33.87
2013-09-17,33.35,33.86,33.34,33.74,2297400,33.74
2013-09-16,33.42,33.78,33.35,33.45,2535100,33.45
2013-09-13,33.25,33.73,33.22,33.42,977600,33.42
2013-09-12,33.54,33.55,32.68,33.15,1830400,33.15
2013-09-11,33.50,33.63,33.31,33.47,1059700,33.47
2013-09-10,33.27,33.62,33.25,33.40,1733000,33.40
2013-09-09,33.34,33.51,33.13,33.20,871300,33.20
2013-09-06,34.06,34.06,33.12,33.31,1739900,33.31
2013-09-05,34.26,34.30,33.96,34.25,1752600,33.91
2013-09-04,34.30,34.63,34.12,34.25,2097900,33.91
2013-09-03,35.00,35.20,34.48,34.50,5427900,34.16
2013-08-30,33.05,33.21,32.27,32.32,2506600,32.00
2013-08-29,32.90,33.45,32.83,33.10,4992900,32.77
2013-08-28,31.88,32.58,31.88,32.28,2366300,31.96
2013-08-27,31.59,32.08,31.41,32.00,1190300,31.68
2013-08-26,31.75,31.93,31.43,31.61,810700,31.30
2013-08-23,32.00,32.06,31.72,31.81,1882700,31.49
2013-08-22,31.80,32.10,31.60,31.91,1779500,31.59
2013-08-21,31.65,32.03,31.65,31.77,1213000,31.45
2013-08-20,31.78,32.06,31.67,31.85,1122900,31.53
2013-08-19,31.70,31.97,31.55,31.86,1016300,31.54
2013-08-16,32.03,32.43,31.95,31.97,1654100,31.65
2013-08-15,31.55,33.09,31.55,32.21,5183800,31.89
2013-08-14,31.00,31.21,30.72,30.75,1174700,30.44
2013-08-13,30.79,31.40,30.78,31.19,1326000,30.88
2013-08-12,30.58,30.88,30.48,30.85,1117300,30.54
2013-08-09,30.53,30.92,30.38,30.92,1518000,30.61
2013-08-08,31.07,31.19,30.54,30.63,2484100,30.33
2013-08-07,31.34,31.34,30.75,31.12,1873700,30.81
2013-08-06,31.18,31.50,30.94,31.32,1342700,31.01
2013-08-02,31.30,31.44,31.18,31.42,859400,31.11
2013-08-01,31.57,31.68,31.08,31.37,1922500,31.06
2013-07-31,31.95,32.03,31.11,31.21,2286300,30.90
2013-07-30,32.14,32.39,31.70,31.80,1931200,31.48
2013-07-29,31.34,32.02,31.34,31.95,1428400,31.63
2013-07-26,31.14,31.55,30.91,31.40,1373500,31.09
2013-07-25,30.93,31.34,30.82,31.18,1575100,30.87
2013-07-24,31.09,31.41,30.93,31.02,2077300,30.71
2013-07-23,30.88,31.22,30.79,30.83,2776700,30.52
