Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,21.31,21.72,21.06,21.72,85600,21.72
2011-09-23,20.84,21.17,20.79,21.15,42700,21.15
2011-09-22,21.03,21.15,20.69,20.95,107100,20.95
2011-09-21,22.23,22.28,21.77,21.78,106500,21.78
2011-09-20,22.35,22.58,22.31,22.32,44000,22.32
2011-09-19,22.17,22.50,22.03,22.33,117900,22.33
2011-09-16,23.09,23.09,22.44,22.48,47300,22.48
2011-09-15,22.53,23.06,22.53,23.04,66200,23.04
2011-09-14,22.11,22.60,22.11,22.39,55600,22.39
2011-09-13,21.78,22.11,21.72,22.09,36200,22.09
2011-09-12,21.71,21.98,21.45,21.69,76200,21.69
2011-09-09,22.20,22.29,21.80,21.82,67900,21.82
2011-09-08,22.13,22.55,22.13,22.45,38900,22.45
2011-09-07,22.08,22.30,21.98,22.30,42400,22.30
2011-09-06,21.69,22.00,21.52,21.95,54400,21.95
2011-09-02,22.40,22.70,22.23,22.31,68300,22.31
2011-09-01,22.44,22.80,22.44,22.69,76500,22.69
2011-08-31,22.43,22.55,22.28,22.55,41800,22.55
2011-08-30,22.15,22.41,22.00,22.41,48800,22.41
2011-08-29,22.34,22.49,22.32,22.44,62800,22.15
2011-08-26,21.86,22.21,21.74,22.03,45100,21.74
2011-08-25,22.42,22.43,21.99,22.05,26600,21.76
2011-08-24,22.17,22.32,21.94,22.25,40800,21.96
2011-08-23,22.01,22.20,21.94,22.20,46600,21.91
2011-08-22,21.94,22.15,21.68,21.82,129400,21.53
2011-08-19,21.59,22.13,21.56,21.66,39700,21.38
2011-08-18,21.79,21.95,21.53,21.85,61200,21.56
2011-08-17,22.30,22.41,22.21,22.33,40000,22.04
2011-08-16,21.94,22.36,21.84,22.31,50200,22.02
2011-08-15,21.67,22.06,21.65,22.03,43100,21.74
2011-08-12,21.57,21.64,21.40,21.57,28600,21.29
2011-08-11,20.65,21.58,20.60,21.44,62800,21.16
2011-08-10,20.75,20.82,20.50,20.56,76600,20.29
2011-08-09,19.88,20.90,19.77,20.87,102300,20.60
2011-08-08,20.30,20.40,19.64,19.70,97500,19.44
2011-08-05,21.13,21.14,20.40,20.81,75400,20.54
2011-08-04,21.39,21.48,20.96,21.05,48500,20.77
2011-08-03,21.78,21.85,21.51,21.71,41300,21.43
2011-08-02,22.00,22.21,21.77,21.86,97000,21.57
2011-08-01,22.15,22.60,22.04,22.38,31000,22.09
2011-07-29,21.97,22.34,21.94,22.14,39000,21.85
2011-07-28,21.72,22.46,21.71,22.04,69000,21.75
2011-07-27,22.07,22.15,21.61,21.65,25800,21.37
2011-07-26,22.22,22.25,22.06,22.09,14800,21.80
2011-07-25,21.98,22.30,21.91,22.19,19400,21.90
2011-07-22,22.07,22.07,21.84,21.97,24300,21.68
2011-07-21,21.96,22.10,21.93,22.07,22800,21.78
2011-07-20,21.82,21.91,21.77,21.89,23700,21.60
2011-07-19,21.74,21.82,21.68,21.77,20800,21.48
2011-07-18,21.67,21.78,21.45,21.51,24200,21.23
2011-07-15,21.59,21.81,21.52,21.81,13600,21.52
2011-07-14,21.63,21.74,21.49,21.54,16200,21.26
2011-07-13,21.51,21.70,21.47,21.60,23900,21.32
2011-07-12,21.18,21.54,21.13,21.42,20100,21.14
2011-07-11,21.50,21.51,21.22,21.30,28800,21.02
2011-07-08,21.59,21.68,21.53,21.63,15900,21.35
2011-07-07,21.64,21.74,21.55,21.63,15100,21.35
2011-07-06,21.47,21.57,21.35,21.48,18200,21.20
2011-07-05,21.63,21.75,21.50,21.53,26400,21.25
2011-07-01,21.30,21.53,21.30,21.41,12100,21.13
2011-06-30,21.20,21.40,21.19,21.36,28600,21.08
2011-06-29,21.06,21.15,21.05,21.14,19800,20.86
2011-06-28,20.91,20.97,20.80,20.85,24000,20.58
2011-06-27,20.74,20.87,20.62,20.82,36200,20.55
2011-06-24,21.08,21.08,20.76,20.79,33800,20.52
2011-06-23,21.06,21.11,20.92,21.08,38300,20.80
2011-06-22,21.34,21.40,21.26,21.27,20400,20.99
2011-06-21,21.19,21.57,21.18,21.36,62200,21.08
2011-06-20,20.97,21.10,20.93,21.04,25800,20.76
2011-06-17,21.25,21.31,20.94,21.04,40900,20.76
2011-06-16,21.16,21.16,20.95,21.09,31400,20.81
2011-06-15,21.52,21.57,21.10,21.28,61800,21.00
2011-06-14,21.43,21.79,21.39,21.65,39100,21.37
2011-06-13,21.24,21.34,21.18,21.24,31500,20.96
2011-06-10,21.45,21.46,21.21,21.27,29200,20.99
2011-06-09,21.40,21.50,21.17,21.47,28100,21.19
2011-06-08,21.27,21.46,21.21,21.30,52100,21.02
2011-06-07,21.51,21.54,21.31,21.34,28500,21.06
2011-06-06,21.70,21.73,21.36,21.43,32100,21.15
2011-06-03,21.40,21.73,21.27,21.68,26200,21.40
2011-06-02,21.79,21.79,21.56,21.69,23900,21.41
2011-06-01,22.02,22.15,21.70,21.76,46500,21.47
2011-05-31,22.39,22.51,22.03,22.27,51600,21.98
2011-05-27,21.89,22.20,21.77,22.13,68400,21.84
2011-05-26,22.04,22.18,21.92,22.14,33900,21.56
2011-05-25,21.97,22.16,21.88,22.12,75900,21.54
2011-05-24,22.03,22.13,21.89,22.08,68200,21.50
2011-05-23,21.92,22.31,21.90,22.08,26600,21.50
2011-05-20,22.13,22.26,21.92,22.24,47800,21.66
2011-05-19,22.19,22.38,22.18,22.30,55400,21.71
2011-05-18,21.90,22.13,21.88,22.13,138900,21.55
2011-05-17,21.76,22.00,21.70,21.93,49400,21.35
2011-05-16,21.78,21.91,21.61,21.87,30800,21.29
2011-05-13,22.15,22.15,21.72,21.75,36300,21.18
2011-05-12,22.00,22.21,21.68,22.02,46000,21.44
2011-05-11,22.21,22.30,22.04,22.06,42400,21.48
2011-05-10,22.13,22.22,22.03,22.14,27900,21.56
2011-05-09,21.87,22.18,21.79,22.09,36000,21.51
2011-05-06,21.99,21.99,21.54,21.83,37400,21.26
2011-05-05,21.97,21.97,21.55,21.73,34100,21.16
2011-05-04,22.18,22.24,21.94,22.16,35000,21.58
2011-05-03,22.34,22.43,22.13,22.13,53000,21.55
2011-05-02,22.34,22.48,22.21,22.39,65000,21.80
2011-04-29,21.93,22.26,21.75,22.26,61000,21.67
2011-04-28,21.78,21.91,21.75,21.80,26000,21.23
2011-04-27,21.92,21.92,21.56,21.81,31000,21.24
2011-04-26,21.66,21.86,21.62,21.79,37800,21.22
2011-04-25,21.59,21.62,21.48,21.59,24200,21.02
2011-04-21,21.60,21.68,21.52,21.53,18300,20.96
2011-04-20,21.72,21.72,21.35,21.49,28600,20.92
2011-04-19,21.17,21.58,21.09,21.49,48700,20.92
2011-04-18,21.02,21.02,20.61,20.96,26400,20.41
2011-04-15,20.95,21.16,20.91,21.07,20700,20.52
2011-04-14,20.97,21.07,20.90,21.02,20400,20.47
2011-04-13,21.25,21.32,21.01,21.06,29600,20.51
2011-04-12,21.30,21.37,21.08,21.15,30600,20.59
2011-04-11,21.55,21.55,21.36,21.39,35400,20.83
2011-04-08,21.53,21.54,21.35,21.44,19000,20.88
2011-04-07,21.54,21.57,21.37,21.39,63500,20.83
2011-04-06,21.47,21.58,21.45,21.50,54700,20.93
2011-04-05,21.35,21.45,21.26,21.42,135700,20.86
2011-04-04,21.36,21.36,21.16,21.27,37700,20.71
2011-04-01,21.13,21.39,21.13,21.24,40700,20.68
2011-03-31,20.80,21.18,20.78,21.05,40500,20.50
2011-03-30,20.81,20.95,20.81,20.84,30300,20.29
2011-03-29,20.79,20.98,20.76,20.83,18100,20.28
2011-03-28,20.92,20.96,20.72,20.77,40500,20.22
2011-03-25,21.16,21.21,20.79,20.80,47900,20.25
2011-03-24,21.09,21.18,21.04,21.14,33000,20.58
2011-03-23,20.98,21.02,20.84,20.98,25800,20.43
2011-03-22,21.09,21.09,20.92,21.01,32600,20.46
2011-03-21,21.10,21.11,20.94,21.03,52500,20.48
2011-03-18,20.89,20.91,20.70,20.72,36400,20.18
2011-03-17,20.50,20.69,20.29,20.60,44100,20.06
2011-03-16,20.14,20.27,19.92,20.25,40800,19.72
2011-03-15,20.01,20.29,19.75,20.26,57400,19.73
2011-03-14,20.50,20.68,20.41,20.52,33200,19.98
2011-03-11,20.60,20.73,20.46,20.66,26600,20.12
2011-03-10,20.80,20.80,20.49,20.61,53600,20.07
2011-03-09,20.96,21.00,20.66,20.78,27500,20.23
2011-03-08,20.76,21.04,20.75,20.84,38900,20.29
2011-03-07,21.14,21.14,20.62,20.66,40200,20.12
2011-03-04,21.17,21.17,20.98,21.02,33100,20.47
2011-03-03,20.95,21.11,20.95,21.10,20200,20.55
2011-03-02,20.91,21.14,20.91,21.02,37700,20.47
2011-03-01,21.13,21.14,20.91,20.97,34800,20.42
2011-02-28,20.96,21.21,20.93,21.16,64100,20.60
2011-02-25,20.63,20.89,20.63,20.82,57900,20.27
2011-02-24,20.96,21.02,20.79,20.98,47900,20.14
2011-02-23,21.11,21.11,20.75,20.84,35700,20.01
2011-02-22,21.35,21.35,20.99,21.07,56100,20.23
2011-02-18,21.26,21.37,21.16,21.31,37700,20.46
2011-02-17,21.31,21.31,21.09,21.18,36900,20.33
2011-02-16,21.12,21.16,21.05,21.16,29200,20.31
2011-02-15,21.11,21.17,21.03,21.06,27700,20.22
2011-02-14,21.20,21.20,21.01,21.06,17000,20.22
2011-02-11,20.88,21.11,20.81,21.07,86100,20.23
2011-02-10,20.78,20.91,20.70,20.86,35200,20.03
2011-02-09,21.00,21.04,20.82,20.88,28100,20.05
2011-02-08,21.11,21.18,21.01,21.09,61000,20.25
2011-02-07,21.27,21.27,21.02,21.07,37200,20.23
2011-02-04,21.52,21.56,21.18,21.26,26400,20.41
2011-02-03,21.33,21.40,21.23,21.36,34900,20.51
2011-02-02,21.22,21.35,21.18,21.32,33900,20.47
2011-02-01,20.86,21.19,20.78,21.13,31200,20.29
2011-01-31,20.94,21.02,20.56,20.74,50400,19.91
2011-01-28,21.65,21.66,20.93,21.04,94800,20.20
2011-01-27,21.75,21.92,21.67,21.87,31300,21.00
2011-01-26,21.61,21.69,21.53,21.69,24300,20.82
2011-01-25,21.69,21.77,21.49,21.60,32500,20.74
2011-01-24,21.90,21.90,21.70,21.76,34000,20.89
2011-01-21,22.19,22.20,21.85,21.88,37800,21.01
2011-01-20,21.82,22.03,21.65,22.02,52700,21.14
2011-01-19,22.19,22.19,21.87,21.95,19400,21.07
2011-01-18,22.19,22.27,22.07,22.14,21200,21.25
2011-01-14,22.12,22.22,22.03,22.17,27800,21.28
2011-01-13,22.08,22.23,21.82,22.17,39200,21.28
2011-01-12,21.94,22.03,21.82,22.02,24100,21.14
2011-01-11,21.49,21.79,21.45,21.76,28000,20.89
2011-01-10,21.34,21.46,21.18,21.42,38000,20.56
2011-01-07,21.30,21.45,21.23,21.36,33100,20.51
2011-01-06,21.18,21.19,20.98,21.16,16500,20.31
2011-01-05,21.21,21.25,21.09,21.12,22500,20.28
2011-01-04,21.42,21.42,21.13,21.25,26500,20.40
2011-01-03,21.37,21.47,21.32,21.42,18700,20.56
2010-12-31,21.25,21.34,21.20,21.21,23800,20.36
2010-12-30,21.29,21.32,21.14,21.22,24800,20.37
2010-12-29,21.27,21.27,21.14,21.19,14700,20.34
2010-12-28,21.27,21.30,20.99,21.23,13900,20.38
2010-12-27,21.03,21.24,20.94,21.16,17300,20.31
2010-12-23,21.07,21.07,20.82,21.02,35700,20.18
2010-12-22,21.07,21.10,20.87,21.05,39400,20.21
2010-12-21,21.10,21.17,20.96,21.11,20500,20.27
2010-12-20,21.19,21.19,20.89,21.03,61700,20.19
2010-12-17,21.48,21.48,21.00,21.17,53000,20.32
2010-12-16,21.41,21.59,21.38,21.59,33200,20.73
2010-12-15,21.20,21.45,21.20,21.38,20700,20.53
2010-12-14,21.29,21.40,21.17,21.30,31000,20.45
2010-12-13,21.18,21.43,21.18,21.32,66100,20.47
2010-12-10,21.09,21.22,20.98,21.15,18600,20.30
2010-12-09,21.12,21.12,20.79,20.96,27700,20.12
2010-12-08,20.97,21.02,20.80,20.94,22400,20.10
2010-12-07,20.94,21.04,20.83,20.91,30900,20.07
2010-12-06,21.01,21.02,20.87,20.96,30500,20.12
2010-12-03,21.02,21.15,20.83,20.96,40600,20.12
2010-12-02,20.77,21.07,20.73,21.05,41300,20.21
2010-12-01,20.65,20.80,20.52,20.61,39900,19.79
2010-11-30,20.45,20.63,20.39,20.40,22200,19.58
2010-11-29,20.79,20.80,20.50,20.69,36900,19.86
2010-11-26,20.81,21.02,20.77,20.99,16100,19.86
2010-11-24,20.76,20.93,20.70,20.92,34800,19.80
2010-11-23,20.53,20.63,20.44,20.52,59700,19.42
2010-11-22,20.58,20.71,20.44,20.69,71400,19.58
2010-11-19,20.40,20.57,20.32,20.46,62100,19.36
2010-11-18,20.35,20.41,20.27,20.28,68100,19.19
2010-11-17,20.10,20.22,20.07,20.11,18700,19.03
2010-11-16,20.25,20.25,19.97,20.04,56400,18.97
2010-11-15,20.32,20.66,20.25,20.46,33200,19.36
2010-11-12,20.38,20.43,20.14,20.22,33900,19.14
2010-11-11,20.73,20.82,20.45,20.48,29500,19.38
2010-11-10,20.68,20.89,20.45,20.79,64500,19.68
2010-11-09,20.72,20.76,20.40,20.44,38200,19.34
2010-11-08,20.69,20.73,20.49,20.52,36200,19.42
