Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,0.78,0.78,0.78,0.78,000,0.78
2013-10-15,0.78,0.78,0.78,0.78,2800,0.78
2013-10-11,0.80,0.80,0.80,0.80,1000,0.80
2013-10-10,0.77,0.77,0.77,0.77,000,0.77
2013-10-09,0.77,0.77,0.77,0.77,2000,0.77
2013-10-08,0.78,0.78,0.75,0.75,6000,0.75
2013-10-07,0.78,0.78,0.78,0.78,500,0.78
2013-10-04,0.78,0.78,0.78,0.78,2000,0.78
2013-10-03,0.85,0.85,0.81,0.81,17500,0.81
2013-10-02,0.82,0.83,0.82,0.83,2000,0.83
2013-10-01,0.82,0.82,0.82,0.82,1500,0.82
2013-09-30,0.80,0.80,0.77,0.77,2500,0.77
2013-09-27,0.82,0.82,0.82,0.82,9000,0.82
2013-09-26,0.85,0.85,0.85,0.85,1000,0.85
2013-09-25,0.86,0.86,0.86,0.86,000,0.86
2013-09-24,0.86,0.86,0.86,0.86,5100,0.86
2013-09-23,0.80,0.80,0.80,0.80,000,0.80
2013-09-20,0.80,0.80,0.80,0.80,000,0.80
2013-09-19,0.85,0.85,0.80,0.80,2600,0.80
2013-09-18,0.81,0.84,0.81,0.82,21000,0.82
2013-09-17,0.80,0.80,0.80,0.80,1000,0.80
2013-09-16,0.93,0.93,0.90,0.90,14300,0.90
2013-09-13,0.88,0.91,0.88,0.91,11300,0.91
2013-09-12,0.88,0.88,0.88,0.88,000,0.88
2013-09-11,0.88,0.88,0.88,0.88,11800,0.88
2013-09-10,0.88,0.88,0.88,0.88,000,0.88
2013-09-09,0.89,0.92,0.88,0.88,40500,0.88
2013-09-06,0.88,0.89,0.88,0.89,12800,0.89
2013-09-05,0.86,0.86,0.86,0.86,000,0.86
2013-09-04,0.86,0.86,0.86,0.86,000,0.86
2013-09-03,0.86,0.86,0.86,0.86,000,0.86
2013-08-30,0.86,0.86,0.86,0.86,1700,0.86
2013-08-29,0.76,0.86,0.76,0.86,22000,0.86
2013-08-28,0.79,0.79,0.74,0.74,16900,0.74
2013-08-27,0.80,0.85,0.75,0.85,3500,0.85
2013-08-26,0.83,0.84,0.83,0.84,15600,0.84
2013-08-23,0.83,0.83,0.83,0.83,000,0.83
2013-08-22,0.83,0.83,0.83,0.83,1500,0.83
2013-08-21,0.78,0.78,0.75,0.75,18500,0.75
2013-08-20,0.87,0.87,0.75,0.75,36900,0.75
2013-08-19,0.89,0.89,0.86,0.86,3100,0.86
2013-08-16,0.91,0.91,0.91,0.91,000,0.91
2013-08-15,0.91,0.91,0.86,0.91,3500,0.91
2013-08-14,0.91,0.91,0.91,0.91,3200,0.91
2013-08-13,0.90,0.90,0.90,0.90,7800,0.90
2013-08-12,0.90,0.90,0.90,0.90,16500,0.90
2013-08-09,0.92,0.92,0.92,0.92,000,0.92
2013-08-08,0.90,0.92,0.90,0.92,41000,0.92
2013-08-07,0.90,0.90,0.90,0.90,000,0.90
2013-08-06,0.90,0.90,0.90,0.90,5500,0.90
2013-08-02,0.90,0.90,0.90,0.90,6000,0.90
2013-08-01,0.91,0.91,0.91,0.91,000,0.91
2013-07-31,0.91,0.91,0.91,0.91,000,0.91
2013-07-30,0.91,0.91,0.91,0.91,000,0.91
2013-07-29,0.90,0.91,0.90,0.91,2000,0.91
2013-07-26,0.84,0.89,0.84,0.89,65400,0.89
2013-07-25,0.77,0.77,0.77,0.77,1000,0.77
2013-07-24,0.79,0.85,0.79,0.79,8500,0.79
2013-07-23,0.84,0.84,0.84,0.84,000,0.84
2013-07-22,0.78,0.84,0.78,0.84,12400,0.84
2013-07-19,0.78,0.78,0.78,0.78,8000,0.78
2013-07-18,0.78,0.78,0.78,0.78,500,0.78
2013-07-17,0.76,0.76,0.76,0.76,1600,0.76
2013-07-16,0.75,0.75,0.75,0.75,000,0.75
2013-07-15,0.75,0.75,0.75,0.75,000,0.75
2013-07-12,0.74,0.75,0.74,0.75,130000,0.75
2013-07-11,0.76,0.76,0.73,0.73,115000,0.73
2013-07-10,0.75,0.75,0.73,0.73,19800,0.73
2013-07-09,0.75,0.76,0.75,0.76,63800,0.76
2013-07-08,0.73,0.73,0.72,0.72,29000,0.72
2013-07-05,0.73,0.75,0.73,0.75,19600,0.75
2013-07-04,0.77,0.77,0.77,0.77,000,0.77
2013-07-03,0.75,0.77,0.75,0.77,19200,0.77
2013-07-02,0.75,0.75,0.73,0.75,29100,0.75
2013-06-28,0.73,0.73,0.71,0.71,144400,0.71
2013-06-27,0.75,0.75,0.75,0.75,000,0.75
2013-06-26,0.75,0.75,0.75,0.75,7600,0.75
2013-06-25,0.72,0.72,0.68,0.68,25000,0.68
2013-06-24,0.75,0.75,0.70,0.70,18200,0.70
2013-06-21,0.77,0.77,0.70,0.74,138600,0.74
2013-06-20,0.80,0.80,0.80,0.80,1300,0.80
2013-06-19,0.79,0.80,0.77,0.80,47100,0.80
2013-06-18,0.77,0.77,0.77,0.77,000,0.77
2013-06-17,0.77,0.77,0.77,0.77,000,0.77
2013-06-14,0.77,0.77,0.77,0.77,2200,0.77
2013-06-13,0.75,0.75,0.75,0.75,5800,0.75
2013-06-12,0.79,0.79,0.78,0.78,2800,0.78
2013-06-11,0.80,0.80,0.79,0.79,3000,0.79
2013-06-10,0.78,0.78,0.78,0.78,000,0.78
2013-06-07,0.79,0.79,0.78,0.78,17000,0.78
2013-06-06,0.82,0.82,0.79,0.79,13000,0.79
2013-06-05,0.82,0.82,0.80,0.80,15000,0.80
2013-06-04,0.83,0.83,0.83,0.83,000,0.83
2013-06-03,0.83,0.83,0.83,0.83,8100,0.83
2013-05-31,0.84,0.84,0.84,0.84,3200,0.84
2013-05-30,0.82,0.82,0.80,0.80,29300,0.80
2013-05-29,0.80,0.80,0.80,0.80,000,0.80
2013-05-28,0.80,0.80,0.80,0.80,500,0.80
2013-05-27,0.84,0.84,0.84,0.84,000,0.84
