Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,65.41,65.80,65.06,65.54,2371100,65.54
2013-01-08,65.61,65.85,65.30,65.39,2158900,65.39
2013-01-07,66.32,66.77,65.96,66.28,2231100,66.28
2013-01-04,67.11,67.48,66.29,66.33,5636800,66.33
2013-01-03,65.20,66.86,65.13,66.78,7013500,66.78
2013-01-02,64.89,65.19,64.68,65.05,4184000,65.05
2012-12-31,61.68,63.67,61.60,63.45,3960500,63.45
2012-12-28,61.43,61.78,61.23,61.26,2145800,61.26
2012-12-27,62.74,62.79,61.27,61.98,3334800,61.98
2012-12-26,62.65,62.78,62.40,62.46,1273700,62.46
2012-12-24,62.87,63.02,62.80,62.85,726600,62.85
2012-12-21,62.63,62.96,62.46,62.68,2533800,62.68
2012-12-20,63.64,64.38,63.30,64.05,2868200,64.05
2012-12-19,63.98,64.26,63.27,64.03,3307800,64.03
2012-12-18,63.52,65.12,63.20,64.49,6108800,64.49
2012-12-17,61.46,63.26,61.46,63.22,3439400,63.22
2012-12-14,61.79,61.88,61.27,61.42,1880200,61.42
2012-12-13,62.72,62.87,61.80,62.36,3720000,62.36
2012-12-12,61.18,62.40,60.70,62.38,5030800,62.38
2012-12-11,60.79,61.16,60.69,60.94,2321000,60.94
2012-12-10,60.09,60.51,59.97,60.10,1505700,60.10
2012-12-07,60.57,60.69,60.12,60.60,3154900,60.60
2012-12-06,59.25,59.60,59.07,59.57,2510000,59.57
2012-12-05,59.71,59.93,59.32,59.80,1942900,59.80
2012-12-04,60.07,60.25,59.71,59.76,1704800,59.76
2012-12-03,61.35,61.41,60.31,60.42,1880300,60.42
2012-11-30,59.87,60.62,59.83,60.55,1796100,60.55
2012-11-29,60.42,60.68,59.94,60.27,1774600,60.27
2012-11-28,59.36,60.27,59.20,60.23,2428700,60.23
2012-11-27,60.47,60.65,60.00,60.15,1759200,60.15
2012-11-26,60.19,60.62,59.86,60.57,2448100,60.57
2012-11-23,61.05,61.25,60.92,61.14,905400,61.14
2012-11-21,61.20,61.33,60.94,61.07,2442300,61.07
2012-11-20,59.97,60.97,59.76,60.91,2126200,60.91
2012-11-19,59.98,60.11,59.63,59.76,2091100,59.76
2012-11-16,59.17,59.23,58.36,59.11,3066600,59.11
2012-11-15,59.32,59.46,58.51,59.00,2932900,59.00
2012-11-14,59.74,59.86,58.70,58.81,2154900,58.81
2012-11-13,58.75,59.49,58.72,58.91,1947900,58.91
2012-11-12,59.63,59.67,59.14,59.29,1155600,59.29
2012-11-09,59.86,60.26,59.50,59.55,3256400,59.55
2012-11-08,61.70,62.02,59.63,59.63,4306400,59.63
2012-11-07,61.53,61.70,61.00,61.44,5497500,61.44
2012-11-06,63.01,63.79,62.68,63.79,3235700,63.79
2012-11-05,62.75,62.77,62.29,62.58,2381000,62.58
2012-11-02,64.32,64.35,63.29,63.36,2651200,63.36
2012-11-01,62.86,63.53,62.72,63.24,3474000,63.24
2012-10-31,63.25,63.27,62.17,62.50,3601600,62.50
2012-10-26,64.55,64.75,63.30,63.30,3233500,63.30
2012-10-25,65.55,65.76,64.49,65.19,4859600,65.19
2012-10-24,64.14,64.53,63.70,64.53,4293500,64.53
2012-10-23,63.97,64.00,63.25,63.29,4570100,63.29
2012-10-22,64.61,65.14,64.18,65.14,3339600,65.14
2012-10-19,65.90,65.90,64.23,64.36,5990800,64.36
2012-10-18,64.97,66.35,64.56,66.11,6213900,66.11
2012-10-17,64.95,65.59,64.84,65.29,5015200,65.29
2012-10-16,63.18,64.14,63.13,64.12,5202800,64.12
2012-10-15,62.31,62.64,61.92,62.39,4099600,62.39
2012-10-12,61.97,62.30,61.28,62.12,5699400,62.12
2012-10-11,64.20,64.25,62.44,62.44,4494900,62.44
2012-10-10,64.77,64.97,63.17,63.33,8990300,63.33
2012-10-09,64.77,64.87,64.00,64.23,6119400,64.23
2012-10-08,64.19,64.51,63.89,63.93,1685900,63.93
2012-10-05,64.75,65.35,64.58,65.07,6038200,65.07
2012-10-04,15.69,15.93,15.61,15.87,479200,63.48
2012-10-03,15.58,15.65,15.48,15.49,890500,61.96
2012-10-02,15.59,15.60,15.42,15.50,1308600,62.00
2012-10-01,15.56,15.71,15.43,15.46,1615400,61.84
2012-09-28,15.44,15.67,15.31,15.59,1694400,62.36
2012-09-27,15.50,15.68,15.43,15.58,1069100,62.32
2012-09-26,15.49,15.52,15.36,15.37,1914200,61.48
2012-09-25,15.95,16.13,15.69,15.70,1810500,62.80
2012-09-24,16.10,16.11,15.96,16.02,1322000,64.08
2012-09-21,16.50,16.52,16.25,16.28,833000,65.12
2012-09-20,16.11,16.43,16.07,16.31,1274000,65.24
2012-09-19,16.33,16.54,16.33,16.40,1450700,65.60
2012-09-18,16.50,16.72,16.45,16.62,1365200,66.48
2012-09-17,17.03,17.06,16.73,16.79,1313000,67.16
2012-09-14,16.79,17.25,16.77,17.20,5496400,68.80
2012-09-13,16.07,16.66,15.90,16.30,4086700,65.20
2012-09-12,16.14,16.28,16.09,16.20,2322500,64.80
2012-09-11,15.69,15.87,15.66,15.80,1416400,63.20
2012-09-10,15.78,15.82,15.61,15.61,1650700,62.44
2012-09-07,15.18,15.73,15.15,15.71,2032000,62.84
2012-09-06,15.35,15.58,15.34,15.54,2589800,62.16
2012-09-05,15.02,15.09,14.94,15.06,945200,60.24
2012-09-04,15.00,15.04,14.83,14.90,1145900,59.60
2012-08-31,15.35,15.36,14.89,14.89,2412200,59.56
2012-08-30,15.23,15.36,15.19,15.31,1150800,61.24
2012-08-29,15.39,15.55,15.38,15.48,1477800,61.92
2012-08-28,15.35,15.40,15.21,15.34,886000,61.36
2012-08-27,15.46,15.47,15.34,15.41,1208300,61.64
2012-08-24,15.43,15.63,15.40,15.59,1744700,62.36
2012-08-23,15.61,15.63,15.51,15.56,2262400,62.24
2012-08-22,15.92,16.01,15.66,15.69,2808000,62.76
2012-08-21,16.49,16.70,16.21,16.22,3110500,64.88
2012-08-20,16.47,16.48,16.27,16.37,1797100,65.48
2012-08-17,16.49,16.51,16.29,16.45,1675600,65.80
2012-08-16,16.29,16.73,16.20,16.60,3233500,66.40
2012-08-15,16.07,16.36,16.03,16.31,2964400,65.24
2012-08-14,15.84,15.89,15.73,15.87,2048400,63.48
2012-08-13,15.32,15.48,15.25,15.48,1093500,61.92
2012-08-10,15.29,15.44,15.26,15.42,951600,61.68
2012-08-09,15.66,15.85,15.52,15.57,2698800,62.28
2012-08-08,15.31,15.58,15.25,15.55,2382400,62.20
2012-08-07,15.36,15.49,15.32,15.38,2075400,61.52
2012-08-06,14.97,15.04,14.85,15.02,1079500,60.08
2012-08-03,14.94,15.18,14.89,15.01,2247200,60.04
2012-08-02,14.55,14.65,14.29,14.56,1442800,58.24
2012-08-01,14.80,14.88,14.51,14.73,1723500,58.92
2012-07-31,14.57,14.85,14.54,14.60,1249600,58.40
2012-07-30,14.90,14.93,14.64,14.66,1235200,58.64
2012-07-27,14.59,15.22,14.56,14.85,3269000,59.40
2012-07-26,14.24,14.37,14.18,14.37,1239200,57.48
2012-07-25,14.21,14.24,14.08,14.11,1071100,56.44
2012-07-24,14.49,14.51,14.12,14.16,1790400,56.64
2012-07-23,14.29,14.45,14.25,14.40,1560000,57.60
2012-07-20,14.68,14.72,14.51,14.58,1331100,58.32
2012-07-19,14.94,15.03,14.80,14.95,1594600,59.80
2012-07-18,14.76,14.87,14.75,14.86,1378400,59.44
2012-07-17,14.78,14.90,14.64,14.87,2299100,59.48
2012-07-16,14.54,14.70,14.46,14.66,2332000,58.64
2012-07-13,14.78,14.91,14.77,14.79,1156400,59.16
2012-07-12,14.81,14.85,14.70,14.72,1777800,58.88
2012-07-11,14.91,14.99,14.72,14.93,1478500,59.72
