Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,83.62,84.02,83.12,83.37,464700,83.37
2013-01-08,83.67,83.87,82.92,83.76,1140000,83.76
2013-01-07,83.85,83.88,83.12,83.74,505100,83.74
2013-01-04,83.67,84.07,83.59,83.91,478600,83.91
2013-01-03,84.46,84.50,83.25,83.46,711800,83.46
2013-01-02,85.42,85.49,83.85,84.40,749800,84.40
2012-12-31,83.40,84.48,83.37,84.33,702300,83.56
2012-12-28,83.50,83.75,83.35,83.50,389700,82.74
2012-12-27,84.07,84.44,83.10,83.76,534800,83.00
2012-12-26,84.57,84.67,83.78,84.04,260000,83.27
2012-12-24,84.39,84.94,84.16,84.51,315000,83.74
2012-12-21,83.86,84.39,83.19,84.30,741000,83.53
2012-12-20,84.08,84.35,83.63,84.21,562600,83.44
2012-12-19,83.46,84.32,83.27,84.02,582600,83.25
2012-12-18,82.64,83.45,82.46,83.37,931600,82.61
2012-12-17,82.23,82.68,82.10,82.51,715300,81.76
2012-12-14,82.27,82.45,81.98,82.08,434400,81.33
2012-12-13,82.50,82.54,81.98,82.29,335200,81.54
2012-12-12,81.66,82.78,81.66,82.30,839700,81.55
2012-12-11,81.52,81.91,81.32,81.66,637900,80.91
2012-12-10,81.56,81.60,80.91,81.30,575000,80.56
2012-12-07,82.04,82.17,80.61,81.10,642200,80.36
2012-12-06,83.00,83.01,81.38,81.87,780300,81.12
2012-12-05,83.41,83.81,83.12,83.22,429100,82.46
2012-12-04,83.37,83.64,82.93,83.17,390900,82.41
2012-12-03,83.53,83.59,83.09,83.33,320700,82.57
2012-11-30,83.18,83.52,82.88,83.08,849200,82.32
2012-11-29,82.39,83.49,82.32,83.18,527700,82.42
2012-11-28,81.42,82.31,81.30,82.15,334900,81.40
2012-11-27,82.45,82.71,81.70,81.87,532200,81.12
2012-11-26,82.00,82.28,81.61,82.22,371900,81.47
2012-11-23,81.44,82.25,81.27,82.19,225800,81.44
2012-11-21,80.48,81.13,80.37,80.99,327900,80.25
2012-11-20,79.83,80.46,79.58,80.35,367400,79.62
2012-11-19,79.80,79.94,79.42,79.83,338000,79.10
2012-11-16,78.94,78.95,77.96,78.84,420400,78.12
2012-11-15,78.80,79.26,77.90,78.71,464200,77.99
2012-11-14,80.38,80.38,78.76,78.90,439900,78.18
2012-11-13,80.08,80.57,79.95,80.24,323400,79.51
2012-11-12,80.40,80.82,80.21,80.72,267400,79.98
2012-11-09,80.04,80.30,79.73,79.95,533400,79.22
2012-11-08,81.19,81.48,80.24,80.25,409800,79.52
2012-11-07,82.05,82.15,81.19,81.31,517200,80.57
2012-11-06,82.50,82.83,82.34,82.52,634000,81.77
2012-11-05,82.55,82.82,82.11,82.33,242500,81.58
2012-11-02,82.39,82.79,82.08,82.60,324400,81.85
2012-11-01,81.39,82.43,81.30,82.00,316100,81.25
2012-10-31,81.32,81.76,81.00,81.34,324600,80.60
2012-10-26,81.67,81.90,81.16,81.32,374200,80.58
2012-10-25,82.44,82.63,81.50,81.81,367900,81.06
2012-10-24,82.96,83.10,81.73,81.92,393300,81.17
2012-10-23,83.04,83.07,82.14,82.62,420900,81.87
2012-10-22,83.20,83.57,82.65,83.54,346200,82.78
2012-10-19,83.85,83.89,82.83,83.37,381700,82.61
2012-10-18,84.17,84.60,84.06,84.27,270900,83.50
2012-10-17,83.85,84.41,83.56,84.34,345200,83.57
2012-10-16,83.06,83.61,82.99,83.37,301700,82.61
2012-10-15,82.94,83.57,82.58,83.09,334000,82.33
2012-10-12,82.63,82.80,82.34,82.56,269900,81.81
2012-10-11,83.09,83.26,82.40,82.77,229000,82.01
2012-10-10,83.37,83.47,82.26,82.72,360200,81.96
2012-10-09,83.75,83.95,83.09,83.36,275300,82.60
2012-10-08,83.62,83.63,83.23,83.50,157000,82.74
2012-10-05,84.23,84.47,83.60,83.86,301000,83.09
2012-10-04,82.96,83.73,82.96,83.50,263300,82.74
2012-10-03,82.80,83.00,82.33,82.52,265400,81.77
2012-10-02,83.56,83.65,82.61,82.91,317800,82.15
2012-10-01,83.05,83.83,83.05,83.22,404200,82.46
2012-09-28,83.80,83.80,82.83,83.34,511200,81.80
2012-09-27,83.35,84.29,83.19,83.99,368100,82.44
2012-09-26,83.46,83.93,82.86,83.15,432000,81.62
2012-09-25,84.03,84.95,83.56,83.65,385300,82.11
2012-09-24,83.43,84.14,83.15,83.88,412700,82.33
2012-09-21,84.15,84.30,83.80,83.96,330200,82.41
2012-09-20,83.14,83.99,82.97,83.96,289500,82.41
2012-09-19,83.83,84.25,83.78,83.83,209100,82.28
2012-09-18,83.71,83.88,83.38,83.69,332600,82.15
2012-09-17,84.15,84.43,83.54,83.73,301400,82.19
2012-09-14,84.46,84.87,84.00,84.25,450400,82.70
2012-09-13,83.43,84.32,82.86,84.11,483100,82.56
2012-09-12,83.91,84.29,83.16,83.26,364300,81.72
2012-09-11,84.55,84.72,83.66,83.86,399000,82.31
2012-09-10,83.80,84.47,83.70,84.12,611900,82.57
2012-09-07,83.59,83.88,83.30,83.70,348900,82.16
2012-09-06,82.61,83.36,82.50,83.11,370800,81.58
2012-09-05,81.07,82.18,80.06,81.84,582500,80.33
2012-09-04,81.85,81.95,80.91,81.42,361300,79.92
2012-08-31,81.76,82.65,81.45,81.88,737500,80.37
2012-08-30,82.48,82.48,80.79,81.29,864000,79.79
2012-08-29,82.46,82.65,82.01,82.37,377500,80.85
2012-08-28,82.21,83.06,82.01,82.11,443600,80.60
2012-08-27,81.79,81.91,81.56,81.61,161300,80.11
2012-08-24,80.89,81.91,80.79,81.46,306000,79.96
2012-08-23,81.29,81.42,80.55,80.98,308400,79.49
2012-08-22,81.45,81.66,80.98,81.54,372800,80.04
2012-08-21,82.20,82.52,81.54,81.75,364200,80.24
2012-08-20,81.99,82.40,81.59,81.75,390600,80.24
2012-08-17,81.87,82.34,81.68,82.12,376300,80.61
2012-08-16,80.96,81.76,80.65,81.60,374000,80.10
2012-08-15,80.11,81.09,79.87,80.67,486100,79.18
2012-08-14,80.03,80.27,79.72,79.97,332400,78.50
2012-08-13,79.89,80.06,79.25,79.74,295100,78.27
2012-08-10,79.45,80.23,79.15,80.07,321600,78.59
2012-08-09,79.56,79.91,79.34,79.69,188300,78.22
2012-08-08,79.89,80.06,79.16,79.54,298900,78.07
2012-08-07,79.78,80.00,79.55,79.77,380800,78.30
2012-08-06,78.93,79.45,78.75,78.75,145100,77.30
2012-08-03,78.85,79.22,78.76,78.80,370900,77.35
2012-08-02,77.77,78.40,77.24,77.44,356100,76.01
2012-08-01,79.01,79.24,78.19,78.35,457600,76.91
2012-07-31,78.72,79.31,78.44,78.58,419600,77.13
2012-07-30,78.95,79.22,78.50,78.83,434600,77.38
2012-07-27,78.00,79.75,77.86,79.13,822000,77.67
2012-07-26,77.81,78.16,76.86,77.53,521400,76.10
2012-07-25,77.31,77.31,76.34,76.88,492400,75.46
2012-07-24,77.76,77.88,76.29,76.78,659500,75.36
2012-07-23,77.52,77.90,76.97,77.78,584900,76.35
2012-07-20,79.27,79.62,78.80,79.04,330700,77.58
2012-07-19,79.78,80.44,79.62,79.85,370200,78.38
2012-07-18,79.07,79.76,78.80,79.49,400100,78.02
2012-07-17,78.95,79.23,78.50,78.95,566300,77.49
2012-07-16,78.56,78.85,78.17,78.65,281000,77.20
2012-07-13,77.95,78.87,77.95,78.72,346400,77.27
2012-07-12,77.78,78.06,77.11,77.83,513900,76.39
2012-07-11,77.89,78.70,77.70,78.29,493500,76.85
2012-07-10,78.07,78.88,77.23,77.75,451200,76.32
2012-07-09,77.68,78.22,77.08,78.01,342400,76.57
2012-07-06,78.24,78.52,77.32,78.01,378500,76.57
2012-07-05,78.96,79.19,78.43,78.84,369600,77.39
2012-07-03,78.14,79.48,78.05,79.21,449600,77.75
2012-07-02,77.82,78.27,77.54,78.17,217200,76.73
2012-06-29,78.69,78.81,77.81,78.23,488000,76.10
2012-06-28,76.41,76.64,75.27,76.55,368300,74.47
2012-06-27,76.53,77.24,76.20,77.11,394600,75.01
2012-06-26,75.95,76.60,75.10,76.40,556500,74.32
2012-06-25,76.01,76.18,75.50,75.74,407200,73.68
2012-06-22,76.70,77.24,76.41,76.92,623400,74.83
2012-06-21,78.98,79.30,76.02,76.07,804000,74.00
2012-06-20,78.97,79.34,78.08,79.07,534900,76.92
2012-06-19,77.36,78.73,77.22,78.66,583800,76.52
2012-06-18,76.83,77.56,76.37,76.70,614400,74.61
2012-06-15,77.01,77.68,76.66,77.30,663300,75.19
2012-06-14,77.05,77.27,76.28,76.84,603100,74.75
2012-06-13,75.75,77.39,75.51,76.70,824900,74.61
2012-06-12,75.62,76.40,75.03,76.03,544300,73.96
2012-06-11,76.72,76.92,75.17,75.21,943100,73.16
2012-06-08,76.06,76.57,75.38,75.98,636000,73.91
2012-06-07,77.32,77.41,76.64,76.88,490000,74.79
2012-06-06,75.37,76.31,75.33,76.30,587700,74.22
2012-06-05,73.50,75.17,73.47,74.79,611900,72.75
2012-06-04,74.14,74.34,72.63,73.54,684700,71.54
2012-06-01,74.99,75.61,73.63,73.85,983900,71.84
2012-05-31,75.84,76.93,75.13,76.37,896500,74.29
2012-05-30,76.26,76.28,75.51,75.74,523800,73.68
2012-05-29,76.58,77.23,76.29,77.06,542000,74.96
2012-05-25,76.66,76.99,75.65,75.89,545600,73.82
2012-05-24,77.56,77.92,75.70,76.87,895700,74.78
2012-05-23,75.85,76.87,74.37,76.76,896000,74.67
2012-05-22,76.59,77.38,75.75,76.20,744900,74.12
2012-05-21,75.47,76.58,75.20,76.54,310700,74.46
2012-05-18,76.68,76.90,75.08,75.38,678700,73.33
2012-05-17,77.68,77.84,76.07,76.11,876600,74.04
2012-05-16,78.55,79.03,77.60,77.99,690200,75.87
2012-05-15,79.68,79.68,78.40,78.55,506000,76.41
2012-05-14,79.38,79.92,79.00,79.68,589100,77.51
2012-05-11,79.86,81.34,79.65,80.35,666100,78.16
2012-05-10,79.95,80.86,79.89,80.11,640500,77.93
2012-05-09,79.44,80.13,78.55,79.51,848300,77.34
2012-05-08,81.64,82.02,79.81,80.51,1089200,78.32
2012-05-07,80.98,82.32,80.98,82.19,557100,79.95
2012-05-04,82.20,82.28,80.38,81.51,875100,79.29
2012-05-03,83.86,84.30,82.34,82.68,717700,80.43
2012-05-02,83.54,83.96,82.83,83.72,447100,81.44
2012-05-01,84.57,85.03,83.54,84.18,545400,81.89
2012-04-30,84.09,84.54,83.18,84.45,550800,82.15
2012-04-27,83.74,84.73,83.51,84.58,552600,82.28
2012-04-26,83.85,84.01,82.94,83.39,627300,81.12
2012-04-25,84.09,84.32,83.58,84.00,522700,81.71
2012-04-24,83.68,84.15,83.03,83.47,574600,81.20
2012-04-23,83.62,83.73,82.64,83.54,704500,81.26
2012-04-20,84.89,85.09,84.52,84.59,441300,82.29
2012-04-19,84.50,85.07,83.97,84.30,544000,82.00
2012-04-18,84.09,85.20,84.05,84.57,677200,82.27
2012-04-17,83.85,84.81,83.44,84.36,805300,82.06
2012-04-16,82.45,82.92,82.07,82.64,662600,80.39
2012-04-13,83.81,83.93,82.00,82.08,797800,79.84
2012-04-12,83.00,84.39,82.85,83.94,698100,81.65
2012-04-11,82.81,83.12,82.30,82.53,574200,80.28
2012-04-10,83.32,83.49,81.65,82.47,788900,80.22
