Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,72.00,73.85,70.05,73.85,2737900,73.85
2011-09-23,70.00,71.29,69.60,70.93,3069400,70.93
2011-09-22,71.04,71.20,69.01,70.49,4862100,70.49
2011-09-21,73.13,73.85,72.20,72.20,2116200,72.20
2011-09-20,73.72,74.52,73.42,73.45,1760100,73.45
2011-09-19,73.00,73.93,72.43,73.55,1403700,73.55
2011-09-16,75.35,76.09,73.55,73.55,5277400,73.55
2011-09-15,74.46,75.22,74.01,75.17,3759500,75.17
2011-09-14,74.30,74.36,73.10,73.33,2412400,73.33
2011-09-13,73.00,74.28,72.53,73.85,2241800,73.85
2011-09-12,73.20,73.27,72.10,72.65,2665300,72.65
2011-09-09,76.00,76.19,74.15,74.22,2569800,74.22
2011-09-08,76.25,76.48,76.00,76.31,3563500,76.31
2011-09-07,77.48,77.98,76.83,77.65,1705600,77.65
2011-09-06,75.45,76.56,74.76,76.56,2572400,76.56
2011-09-02,77.00,78.71,76.62,77.17,2465700,77.17
2011-09-01,78.49,79.96,77.94,78.60,6689900,78.60
2011-08-31,75.95,77.47,75.90,77.47,2968700,77.47
2011-08-30,74.94,75.68,73.97,75.46,3315500,75.46
2011-08-29,74.41,75.17,74.10,74.88,2292600,74.88
2011-08-26,74.05,74.60,72.88,73.90,2380700,73.90
2011-08-25,75.63,76.48,74.01,74.74,2408400,74.74
2011-08-24,73.47,75.25,73.00,75.07,3099200,75.07
2011-08-23,71.40,73.48,70.56,73.30,2935600,73.30
2011-08-22,72.74,72.77,70.36,70.79,2285800,70.79
2011-08-19,73.00,73.39,70.82,71.10,5699900,71.10
2011-08-18,75.00,75.65,73.49,74.00,2937000,74.00
2011-08-17,76.65,77.41,76.27,76.49,3633500,76.49
2011-08-16,76.50,76.78,75.48,76.26,2324800,76.26
2011-08-15,76.49,77.24,76.10,76.88,2007800,76.88
2011-08-12,76.85,76.85,75.34,75.92,1934800,75.92
2011-08-11,73.78,76.16,73.03,76.05,3442800,76.05
2011-08-10,74.60,74.69,72.00,73.93,4487900,73.93
2011-08-09,72.54,75.02,71.50,75.02,4719400,75.02
2011-08-08,70.77,73.00,70.65,71.67,4896000,71.67
2011-08-05,75.28,75.70,73.11,73.85,4747500,73.85
2011-08-04,76.48,76.50,74.50,75.52,3395900,75.52
2011-08-03,75.15,76.79,73.32,76.79,4568200,76.79
2011-08-02,76.81,76.95,75.34,75.34,2877400,75.34
2011-07-29,76.59,76.72,75.95,76.49,1988700,76.49
2011-07-28,76.84,77.55,76.42,77.09,1708600,77.09
2011-07-27,78.43,78.43,77.00,77.00,2414900,77.00
2011-07-26,79.84,79.96,78.51,78.68,1925300,78.68
2011-07-25,80.39,80.50,79.54,80.16,1627800,80.16
2011-07-22,80.65,81.04,80.00,80.76,1500300,80.76
2011-07-21,79.65,80.88,79.55,80.22,1924800,80.22
2011-07-20,79.85,80.41,79.20,79.21,2836800,79.21
2011-07-19,78.46,79.42,78.38,79.42,1654200,79.42
2011-07-18,78.92,79.44,77.47,78.28,1922200,78.28
2011-07-15,79.69,79.70,78.87,79.23,1242100,79.23
2011-07-14,80.32,80.32,79.00,79.53,1060600,79.53
2011-07-13,79.75,80.85,79.53,79.82,1268300,79.82
2011-07-12,79.21,80.26,79.21,79.45,1542000,79.45
2011-07-11,80.00,80.39,79.22,79.69,1399700,79.69
2011-07-08,80.45,80.94,80.08,80.37,907200,80.37
2011-07-07,81.15,81.46,80.65,80.74,1191000,80.74
2011-07-06,81.15,81.15,80.51,80.76,2198100,80.76
2011-07-05,81.96,82.32,81.01,81.01,1771500,81.01
2011-07-04,81.55,82.34,81.40,81.91,608000,81.91
2011-06-30,81.42,82.12,80.95,81.78,1808300,81.12
2011-06-29,80.61,81.11,79.92,80.84,1700000,80.19
2011-06-28,79.86,80.58,79.67,80.26,1652200,79.61
2011-06-27,78.55,79.69,78.42,79.60,1528800,78.96
2011-06-24,79.00,79.05,78.32,78.69,1618000,78.05
2011-06-23,79.26,79.26,77.98,78.50,2203300,77.87
2011-06-22,79.78,80.60,79.58,79.72,1359600,79.08
2011-06-21,79.29,80.47,79.08,80.17,1680000,79.52
2011-06-20,78.75,79.05,78.03,78.92,1273800,78.28
2011-06-17,79.17,79.64,78.31,78.31,3126200,77.68
2011-06-16,78.22,79.29,78.02,79.04,2124700,78.40
2011-06-15,79.00,79.14,78.03,78.48,1786200,77.85
2011-06-14,79.69,80.17,79.40,79.58,2856000,78.94
2011-06-13,79.18,79.71,78.61,79.21,1595500,78.57
2011-06-10,79.35,79.70,77.87,79.18,1960700,78.54
2011-06-09,79.50,79.85,78.79,79.78,1801800,79.14
2011-06-08,79.40,80.05,79.30,79.50,1506400,78.86
2011-06-07,80.50,80.69,79.30,79.60,2800000,78.96
2011-06-06,81.50,81.89,80.10,80.21,1535600,79.56
2011-06-03,80.08,81.69,79.66,81.69,1400000,81.03
2011-06-02,81.00,81.43,80.27,80.75,2101700,80.10
2011-06-01,83.50,83.51,80.68,80.81,2501600,80.16
