Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,10.75,10.85,10.55,10.74,113700,10.74
2011-09-23,10.65,10.84,10.65,10.79,147900,10.79
2011-09-22,10.50,10.89,10.38,10.85,145100,10.85
2011-09-21,11.67,11.67,10.82,11.01,320300,11.01
2011-09-20,12.00,12.08,11.50,11.60,99800,11.60
2011-09-19,12.10,12.33,11.75,11.93,321700,11.93
2011-09-16,12.31,12.40,12.12,12.22,87900,12.22
2011-09-15,12.20,12.25,12.07,12.20,30800,12.20
2011-09-14,12.00,12.12,11.83,12.07,212200,12.07
2011-09-13,11.90,12.07,11.90,12.00,47700,12.00
2011-09-12,12.20,12.25,11.83,11.89,214700,11.89
2011-09-09,12.30,12.52,12.27,12.31,103300,12.31
2011-09-08,12.32,12.47,12.17,12.32,87100,12.32
2011-09-07,12.23,12.59,12.20,12.48,72400,12.48
2011-09-06,12.01,12.07,11.81,12.06,76500,12.06
2011-09-02,12.55,12.56,12.20,12.26,109200,12.26
2011-09-01,13.00,13.00,12.56,12.59,60000,12.59
2011-08-31,12.95,13.02,12.84,12.92,67300,12.92
2011-08-30,12.90,12.95,12.66,12.86,347000,12.86
2011-08-29,12.96,13.02,12.83,12.90,285700,12.90
2011-08-26,12.46,12.74,12.35,12.74,65400,12.74
2011-08-25,12.78,12.85,12.40,12.46,52700,12.46
2011-08-24,12.77,12.99,12.70,12.77,28600,12.77
2011-08-23,12.48,12.75,12.34,12.70,131100,12.70
2011-08-22,12.61,12.75,12.36,12.36,316800,12.36
2011-08-19,12.75,12.80,12.30,12.37,162300,12.37
2011-08-18,13.34,13.34,12.90,13.02,53800,13.02
2011-08-17,13.84,13.94,13.62,13.62,92800,13.62
2011-08-16,13.90,13.91,13.53,13.65,195700,13.65
2011-08-15,13.75,14.00,13.75,13.85,351900,13.85
2011-08-12,13.02,13.65,13.02,13.65,299000,13.65
2011-08-11,12.90,13.00,12.75,12.95,489400,12.95
2011-08-10,13.65,13.65,12.85,12.90,171300,12.90
2011-08-09,12.22,13.10,12.22,13.06,179600,13.06
2011-08-08,12.40,12.40,12.00,12.24,228000,12.24
2011-08-05,13.02,13.42,12.69,12.98,235500,12.98
2011-08-04,13.90,13.90,13.32,13.42,220400,13.42
2011-08-03,13.98,14.00,13.36,13.97,155400,13.97
2011-08-02,14.07,14.20,13.65,13.76,159400,13.76
2011-07-29,14.20,14.21,13.90,14.02,198200,14.02
2011-07-28,14.28,14.39,14.10,14.20,81700,14.20
2011-07-27,14.51,14.52,14.25,14.28,58100,14.28
2011-07-26,14.89,14.89,14.51,14.51,59700,14.51
2011-07-25,14.68,14.84,14.57,14.84,22100,14.84
2011-07-22,14.81,14.94,14.54,14.65,164900,14.65
2011-07-21,14.54,15.29,14.54,14.99,147900,14.99
2011-07-20,14.59,14.61,14.41,14.57,55000,14.57
2011-07-19,14.54,14.66,14.49,14.59,45200,14.59
2011-07-18,14.41,14.66,14.39,14.49,33900,14.49
2011-07-15,14.76,14.76,14.48,14.57,66900,14.57
2011-07-14,14.65,14.85,14.65,14.76,41400,14.76
2011-07-13,15.24,15.25,14.72,14.73,103700,14.73
2011-07-12,14.82,15.21,14.82,15.15,300100,15.15
2011-07-11,14.99,15.00,14.80,15.00,140700,15.00
2011-07-08,15.03,15.16,14.96,14.99,24600,14.99
2011-07-07,15.24,15.29,15.12,15.13,144400,15.13
2011-07-06,15.30,15.30,15.07,15.14,167600,15.14
2011-07-05,15.54,15.55,15.40,15.52,381600,15.52
2011-07-04,15.02,15.54,15.01,15.54,54800,15.54
2011-06-30,14.95,15.02,14.80,15.00,62300,15.00
2011-06-29,15.01,15.11,14.84,14.95,90000,14.95
2011-06-28,14.38,14.89,14.38,14.89,40400,14.89
2011-06-27,14.56,14.64,14.32,14.42,58400,14.30
2011-06-24,14.94,14.94,14.51,14.52,90800,14.40
2011-06-23,14.91,14.91,14.51,14.72,136800,14.60
2011-06-22,15.13,15.25,14.92,14.92,89800,14.80
2011-06-21,14.67,15.20,14.64,15.11,215400,14.99
2011-06-20,14.49,14.62,14.44,14.58,122100,14.46
2011-06-17,14.21,14.50,14.21,14.40,82300,14.29
2011-06-16,14.26,14.45,14.26,14.31,63200,14.20
2011-06-15,14.67,14.67,14.25,14.33,88000,14.22
2011-06-14,14.48,14.71,14.48,14.67,67800,14.55
2011-06-13,14.80,14.90,14.34,14.47,98500,14.35
2011-06-10,14.80,15.03,14.56,14.85,88900,14.73
2011-06-09,15.00,15.12,14.85,14.87,60200,14.75
2011-06-08,15.41,15.51,15.00,15.00,64800,14.88
2011-06-07,15.33,15.50,15.23,15.42,122000,15.30
2011-06-06,15.25,15.33,15.12,15.21,112000,15.09
2011-06-03,15.25,15.34,15.21,15.33,101000,15.21
2011-06-02,15.70,15.74,15.35,15.38,80600,15.26
2011-06-01,15.61,16.00,15.56,15.73,247400,15.60
2011-05-31,15.68,15.75,15.63,15.70,87800,15.57
2011-05-30,15.60,15.78,15.59,15.65,49100,15.53
2011-05-27,15.61,15.65,15.49,15.51,112000,15.39
2011-05-26,15.31,15.57,15.12,15.56,96800,15.44
2011-05-25,15.43,15.56,15.25,15.30,39400,15.18
2011-05-24,15.63,15.70,15.36,15.50,204000,15.38
2011-05-20,15.60,15.82,15.50,15.58,334100,15.46
2011-05-19,15.70,15.90,15.61,15.62,275000,15.50
2011-05-18,15.50,15.60,15.37,15.60,354600,15.48
2011-05-17,15.01,15.61,14.90,15.40,300700,15.28
2011-05-16,14.81,15.18,14.81,15.01,144000,14.89
2011-05-13,14.93,15.25,14.85,15.15,303000,15.03
2011-05-12,15.00,15.05,14.75,14.80,120000,14.68
2011-05-11,15.30,15.31,14.65,15.05,105100,14.93
2011-05-10,15.38,15.63,15.25,15.28,645000,15.16
2011-05-09,15.31,15.45,15.28,15.32,115500,15.20
2011-05-06,15.00,15.46,15.00,15.29,670600,15.17
2011-05-05,14.46,14.92,14.21,14.81,144000,14.69
2011-05-04,14.29,14.46,14.15,14.46,35300,14.34
2011-05-03,14.97,15.15,14.16,14.25,209100,14.14
2011-05-02,14.22,15.50,14.22,14.94,842300,14.82
2011-04-29,13.20,14.09,13.20,14.09,671000,13.98
2011-04-28,13.09,13.25,13.01,13.12,160000,13.02
2011-04-27,12.60,13.30,12.60,13.00,310000,12.90
2011-04-26,12.59,12.66,12.41,12.60,249000,12.50
2011-04-25,12.80,12.80,12.56,12.57,154500,12.47
2011-04-21,12.86,12.94,12.70,12.76,191400,12.66
2011-04-20,12.60,12.94,12.39,12.85,346500,12.75
2011-04-19,12.60,12.61,12.45,12.50,155200,12.40
2011-04-18,12.90,12.90,12.41,12.65,172600,12.55
2011-04-15,12.90,13.02,12.83,12.92,311300,12.82
2011-04-14,13.00,13.00,12.77,12.91,466000,12.81
2011-04-13,13.00,13.00,12.95,13.00,194300,12.90
2011-04-12,13.00,13.01,12.80,12.90,283300,12.80
2011-04-11,13.20,13.20,12.96,12.99,207500,12.89
2011-04-08,13.18,13.22,13.13,13.20,224100,13.09
2011-04-07,13.45,13.47,13.08,13.08,308000,12.98
2011-04-06,13.83,13.94,13.43,13.45,562500,13.34
2011-04-05,14.00,14.00,13.55,13.80,398400,13.69
2011-04-04,14.15,14.15,13.90,13.99,121800,13.88
2011-04-01,14.19,14.28,14.04,14.09,164600,13.98
2011-03-31,14.18,14.31,14.18,14.25,89800,14.14
2011-03-30,13.95,14.35,13.89,14.31,112800,14.20
2011-03-29,13.86,13.92,13.75,13.87,190100,13.76
2011-03-28,13.77,13.91,13.76,13.86,230600,13.65
2011-03-25,13.84,13.93,13.76,13.76,104500,13.55
2011-03-24,13.97,13.97,13.76,13.79,58300,13.58
2011-03-23,14.00,14.05,13.97,13.97,197600,13.76
2011-03-22,13.98,14.04,13.81,14.00,74500,13.79
2011-03-21,13.64,13.95,13.63,13.91,174100,13.70
2011-03-18,13.50,13.62,13.42,13.47,184000,13.27
2011-03-17,13.41,13.62,13.35,13.43,112000,13.23
2011-03-16,13.45,13.60,13.31,13.40,154600,13.20
2011-03-15,13.25,13.43,13.17,13.43,76800,13.23
2011-03-14,13.50,13.69,13.48,13.50,263300,13.30
2011-03-11,13.26,13.53,13.25,13.51,118900,13.31
2011-03-10,13.50,13.50,13.27,13.36,391900,13.16
2011-03-09,13.35,13.63,13.35,13.50,310400,13.30
2011-03-08,13.38,13.39,13.27,13.37,208000,13.17
2011-03-07,13.49,13.49,13.25,13.33,335400,13.13
2011-03-04,13.44,13.54,13.33,13.46,483400,13.26
2011-03-03,13.20,13.44,13.19,13.42,456600,13.22
2011-03-02,13.50,13.50,12.95,13.19,301500,12.99
2011-03-01,13.79,13.95,13.44,13.51,358500,13.31
2011-02-28,13.68,14.01,13.53,13.75,477000,13.54
2011-02-25,13.00,13.49,13.00,13.46,892200,13.26
2011-02-24,12.85,12.88,12.40,12.70,292900,12.51
2011-02-23,13.35,13.35,12.76,12.88,213300,12.69
2011-02-22,13.66,13.67,13.16,13.35,195200,13.15
2011-02-18,13.43,13.67,13.41,13.66,125700,13.45
2011-02-17,13.04,13.43,13.04,13.42,197000,13.22
2011-02-16,13.14,13.15,13.04,13.05,296700,12.85
2011-02-15,13.24,13.26,13.10,13.11,36200,12.91
2011-02-14,13.25,13.34,13.18,13.18,72100,12.98
2011-02-11,13.20,13.30,13.17,13.25,45600,13.05
2011-02-10,13.23,13.35,13.17,13.20,62800,13.00
2011-02-09,13.33,13.39,13.18,13.32,155800,13.12
2011-02-08,13.37,13.40,13.19,13.23,95500,13.03
2011-02-07,13.44,13.62,13.35,13.42,275300,13.22
2011-02-04,13.28,13.48,13.24,13.47,208800,13.27
