Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,16.46,16.75,16.30,16.69,33600,16.69
2011-09-23,16.10,16.73,15.70,16.40,116800,16.40
2011-09-22,16.80,16.80,16.13,16.16,348000,16.16
2011-09-21,17.61,17.66,17.05,17.05,52100,17.05
2011-09-20,17.43,18.18,17.43,17.69,118600,17.69
2011-09-19,17.50,18.32,16.99,17.32,137600,17.32
2011-09-16,16.96,17.62,16.90,17.45,509700,17.45
2011-09-15,16.91,17.09,16.91,16.96,114700,16.96
2011-09-14,16.98,17.14,16.89,16.90,155000,16.90
2011-09-13,17.00,17.15,16.95,16.96,224600,16.96
2011-09-12,17.21,17.21,16.87,17.11,111900,17.00
2011-09-09,17.35,17.43,17.07,17.22,92500,17.11
2011-09-08,17.18,17.42,17.18,17.25,90100,17.14
2011-09-07,17.26,17.36,17.13,17.20,83400,17.09
2011-09-06,17.37,17.37,16.99,17.30,65700,17.19
2011-09-02,17.86,17.86,17.29,17.42,21100,17.31
2011-09-01,18.00,18.04,17.80,17.86,25900,17.75
2011-08-31,18.39,18.39,18.02,18.10,112200,17.98
2011-08-30,17.80,18.32,17.63,18.12,34500,18.00
2011-08-29,17.25,17.74,17.20,17.71,308700,17.60
2011-08-26,16.64,17.24,16.64,17.20,54100,17.09
2011-08-25,17.20,17.25,16.94,16.94,97000,16.83
2011-08-24,16.67,17.19,16.61,17.11,121600,17.00
2011-08-23,16.25,16.66,16.10,16.62,175200,16.51
2011-08-22,16.41,16.47,16.28,16.28,139500,16.18
2011-08-19,16.51,17.19,16.34,16.35,419500,16.24
2011-08-18,17.10,17.13,16.51,16.75,141100,16.64
2011-08-17,17.34,17.34,17.12,17.22,151900,17.11
2011-08-16,17.41,17.41,17.06,17.17,112900,17.06
2011-08-15,17.90,17.90,17.31,17.35,303400,17.24
2011-08-12,17.48,17.82,17.25,17.70,133300,17.59
2011-08-11,16.96,17.19,16.96,17.01,193000,16.90
2011-08-10,17.22,17.22,16.80,17.06,97400,16.95
2011-08-09,17.11,17.20,16.95,17.05,204900,16.94
2011-08-08,17.00,17.30,17.00,17.18,116500,17.07
2011-08-05,17.90,17.90,17.12,17.35,84200,17.24
2011-08-04,18.00,18.40,17.98,18.01,241900,17.89
2011-08-03,18.09,18.09,17.85,17.95,53400,17.83
2011-08-02,18.32,18.32,17.86,17.94,64000,17.82
