Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,12.52,12.67,12.47,12.50,4204600,12.50
2013-10-15,12.59,12.64,12.40,12.52,3416100,12.52
2013-10-11,12.68,12.99,12.65,12.71,1563200,12.71
2013-10-10,12.84,12.94,12.67,12.73,3034000,12.73
2013-10-09,12.94,13.05,12.62,12.70,2618400,12.70
2013-10-08,13.83,13.83,12.84,12.89,14782500,12.89
2013-10-07,12.43,13.20,12.42,13.15,5095900,13.15
2013-10-04,12.45,12.82,12.45,12.55,1810900,12.55
2013-10-03,12.84,12.86,12.32,12.52,6158000,12.52
2013-10-02,12.31,13.13,12.29,12.82,6314600,12.82
2013-10-01,11.75,12.55,11.75,12.40,9959200,12.40
2013-09-30,11.70,11.94,11.70,11.82,2024600,11.82
2013-09-27,11.67,11.92,11.66,11.85,2016100,11.85
2013-09-26,11.66,11.84,11.64,11.73,2120100,11.73
2013-09-25,11.33,11.73,11.32,11.68,2564800,11.68
2013-09-24,11.31,11.37,11.20,11.27,2420100,11.27
2013-09-23,11.31,11.40,11.24,11.33,1495000,11.33
2013-09-20,11.61,11.61,11.31,11.38,4393300,11.38
2013-09-19,11.50,11.70,11.49,11.53,1254300,11.53
2013-09-18,11.34,11.54,11.33,11.53,1370400,11.53
2013-09-17,11.44,11.52,11.31,11.34,882200,11.34
2013-09-16,11.39,11.46,11.34,11.44,1245400,11.44
2013-09-13,11.32,11.38,11.31,11.34,1451200,11.34
2013-09-12,11.36,11.44,11.29,11.35,4461100,11.35
2013-09-11,11.45,11.48,11.35,11.40,1168300,11.40
2013-09-10,11.63,11.66,11.43,11.46,1173100,11.46
2013-09-09,11.67,11.71,11.55,11.63,1573600,11.63
2013-09-06,11.85,11.95,11.65,11.72,3592200,11.72
2013-09-05,11.18,11.76,11.18,11.71,2523200,11.71
2013-09-04,11.08,11.24,11.04,11.22,2612400,11.22
2013-09-03,11.27,11.46,11.19,11.20,1570200,11.20
2013-08-30,11.28,11.42,11.25,11.25,1422600,11.25
2013-08-29,11.36,11.38,11.24,11.29,969600,11.29
2013-08-28,11.18,11.39,11.18,11.39,954700,11.39
2013-08-27,11.31,11.37,11.16,11.18,948600,11.18
2013-08-26,11.28,11.38,11.22,11.25,643100,11.25
2013-08-23,11.24,11.31,11.15,11.29,872300,11.29
2013-08-22,11.13,11.25,11.07,11.22,2143700,11.22
2013-08-21,11.04,11.18,11.03,11.10,1496100,11.10
2013-08-20,10.98,11.14,10.97,11.09,1630900,11.09
2013-08-19,11.22,11.33,10.98,10.98,1064000,10.98
2013-08-16,11.07,11.45,11.04,11.30,2354400,11.30
2013-08-15,10.92,11.14,10.82,11.09,2319500,11.09
2013-08-14,11.10,11.11,10.68,10.92,5262800,10.92
2013-08-13,11.39,11.44,11.04,11.11,4216000,11.04
2013-08-12,11.46,11.60,11.37,11.43,785200,11.36
2013-08-09,11.55,11.60,11.44,11.56,1317300,11.49
2013-08-08,11.44,11.58,11.40,11.52,1488600,11.45
2013-08-07,11.27,11.47,11.27,11.43,1408500,11.36
2013-08-06,11.52,11.60,11.33,11.41,1868500,11.34
2013-08-02,11.60,11.65,11.46,11.64,2330000,11.57
2013-08-01,11.83,11.85,11.55,11.60,2054500,11.53
2013-07-31,11.79,11.94,11.51,11.64,4539700,11.57
2013-07-30,11.90,11.97,11.81,11.94,1884400,11.86
2013-07-29,12.01,12.05,11.84,11.86,945400,11.79
2013-07-26,12.17,12.23,12.01,12.05,4440700,11.97
2013-07-25,12.10,12.29,12.09,12.21,2060100,12.13
2013-07-24,12.24,12.28,12.12,12.16,5224500,12.08
2013-07-23,12.04,12.25,12.01,12.22,2228900,12.14
2013-07-22,12.05,12.15,11.98,12.01,4685400,11.93
2013-07-19,11.88,12.11,11.77,12.07,7818400,11.99
2013-07-18,11.75,11.82,11.70,11.78,3809900,11.71
2013-07-17,11.83,11.96,11.78,11.83,2681100,11.76
2013-07-16,12.04,12.04,11.84,11.85,1553000,11.78
2013-07-15,11.86,12.03,11.86,11.99,1288300,11.91
2013-07-12,12.05,12.05,11.83,11.90,3356600,11.83
2013-07-11,12.27,12.32,11.95,11.98,4246900,11.90
2013-07-10,12.21,12.33,12.11,12.20,1792000,12.12
2013-07-09,12.23,12.26,12.11,12.25,1703700,12.17
2013-07-08,12.20,12.25,12.16,12.21,1114900,12.13
2013-07-05,12.12,12.20,12.00,12.15,920800,12.07
2013-07-04,12.10,12.15,12.00,12.10,269200,12.02
2013-07-03,12.19,12.19,11.93,12.07,1083500,11.99
2013-07-02,12.04,12.19,12.04,12.17,1379900,12.09
2013-06-28,12.06,12.18,11.95,12.00,1869800,11.92
2013-06-27,12.05,12.17,11.98,11.99,1343400,11.91
2013-06-26,12.19,12.33,12.01,12.02,1940000,11.94
2013-06-25,11.97,12.21,11.90,12.18,2308600,12.10
2013-06-24,11.84,12.04,11.68,11.91,2527800,11.83
2013-06-21,11.93,12.05,11.83,11.99,5710800,11.91
2013-06-20,11.97,12.00,11.76,11.83,3274200,11.76
2013-06-19,11.98,12.15,11.94,12.12,2434300,12.04
2013-06-18,11.94,12.17,11.90,12.05,1190600,11.97
2013-06-17,11.78,11.98,11.75,11.84,1614800,11.77
2013-06-14,11.75,11.83,11.60,11.63,7345700,11.56
2013-06-13,11.55,11.80,11.54,11.79,3043400,11.72
2013-06-12,11.80,11.87,11.56,11.62,1214700,11.55
2013-06-11,11.90,11.96,11.74,11.76,4616000,11.69
2013-06-10,11.83,12.04,11.76,11.91,2823700,11.83
2013-06-07,11.71,11.86,11.62,11.85,1299000,11.78
2013-06-06,11.75,11.94,11.68,11.79,1712900,11.72
2013-06-05,12.00,12.09,11.82,11.86,3616600,11.79
2013-06-04,11.88,12.16,11.87,12.12,2410200,12.04
2013-06-03,12.08,12.18,11.86,11.90,2706700,11.83
2013-05-31,12.25,12.38,12.12,12.13,4380600,12.05
2013-05-30,12.13,12.76,12.12,12.35,6919700,12.27
2013-05-29,12.08,12.30,12.07,12.17,1821100,12.09
2013-05-28,12.14,12.24,12.07,12.19,3020000,12.11
2013-05-27,12.07,12.16,12.01,12.05,575800,11.97
2013-05-24,12.03,12.15,11.97,12.02,1667900,11.94
2013-05-23,11.97,12.18,11.95,12.13,2718500,12.05
2013-05-22,12.24,12.30,12.10,12.23,2065900,12.15
2013-05-21,12.00,12.25,11.99,12.15,2908700,12.07
2013-05-17,11.55,11.93,11.55,11.85,3492100,11.78
2013-05-16,11.50,11.67,11.48,11.60,2615000,11.53
2013-05-15,11.61,11.71,11.38,11.50,2121500,11.43
2013-05-14,11.55,11.71,11.55,11.71,2120600,11.64
2013-05-13,11.61,11.64,11.53,11.59,1226800,11.52
2013-05-10,11.51,11.72,11.51,11.71,1731300,11.57
2013-05-09,11.55,11.63,11.43,11.60,2551600,11.46
2013-05-08,11.70,11.74,11.53,11.57,3278900,11.43
2013-05-07,11.78,11.95,11.68,11.69,4777800,11.55
2013-05-06,11.64,11.86,11.55,11.80,1310600,11.66
2013-05-03,11.58,11.73,11.55,11.58,1884300,11.44
2013-05-02,11.41,11.62,11.23,11.48,4795700,11.34
2013-05-01,11.70,11.70,11.16,11.50,12594700,11.36
2013-04-30,11.96,12.08,11.81,12.08,2760300,11.93
2013-04-29,11.97,12.00,11.89,11.94,1245100,11.80
2013-04-26,11.98,12.05,11.73,11.87,2032400,11.73
2013-04-25,11.85,12.10,11.83,11.99,2810500,11.85
2013-04-24,11.63,11.93,11.63,11.92,2349100,11.78
2013-04-23,11.57,11.71,11.50,11.65,1561200,11.51
2013-04-22,11.44,11.56,11.35,11.54,1649000,11.40
2013-04-19,11.26,11.41,11.25,11.37,1880900,11.23
2013-04-18,11.26,11.36,11.04,11.33,2001500,11.19
2013-04-17,11.30,11.39,11.01,11.12,2487100,10.99
2013-04-16,11.39,11.54,11.26,11.47,3513900,11.33
2013-04-15,11.78,11.85,11.34,11.40,3331600,11.26
2013-04-12,12.11,12.17,11.87,11.98,1482000,11.84
2013-04-11,12.35,12.43,12.14,12.23,2910000,12.08
2013-04-10,12.30,12.52,12.28,12.43,2489700,12.28
2013-04-09,11.92,12.36,11.85,12.31,2133700,12.16
2013-04-08,11.80,12.04,11.73,11.91,1286200,11.77
2013-04-05,11.70,12.00,11.65,11.82,2884100,11.68
2013-04-04,11.84,11.92,11.62,11.80,1807400,11.66
2013-04-03,12.37,12.43,11.72,11.82,2469300,11.68
2013-04-02,12.42,12.54,12.39,12.41,1360100,12.26
2013-04-01,12.38,12.50,12.32,12.47,2545200,12.32
2013-03-28,12.30,12.55,12.22,12.42,3140500,12.27
2013-03-27,12.26,12.38,12.24,12.35,1961400,12.20
2013-03-26,12.20,12.38,12.06,12.33,2151300,12.18
2013-03-25,12.35,12.39,12.15,12.15,5534300,12.00
2013-03-22,12.24,12.36,12.21,12.32,984400,12.17
2013-03-21,12.33,12.44,12.21,12.22,1668700,12.07
2013-03-20,12.39,12.48,12.33,12.39,1678600,12.24
2013-03-19,12.36,12.43,12.16,12.36,1698500,12.21
2013-03-18,12.40,12.55,12.26,12.29,1774900,12.14
2013-03-15,12.67,12.80,12.49,12.49,4857800,12.34
2013-03-14,12.41,12.76,12.38,12.72,1833200,12.57
2013-03-13,12.52,12.60,12.39,12.41,1488000,12.26
2013-03-12,12.44,12.81,12.44,12.56,5571800,12.41
2013-03-11,12.36,12.47,12.24,12.44,1367100,12.29
2013-03-08,12.49,12.56,12.38,12.44,5779900,12.29
2013-03-07,12.70,12.73,12.49,12.51,4084800,12.36
2013-03-06,12.41,12.97,12.41,12.65,2451000,12.43
2013-03-05,12.60,12.73,12.42,12.54,2680100,12.32
2013-03-04,12.55,12.67,12.46,12.52,1723200,12.30
2013-03-01,12.87,12.87,12.64,12.70,1801800,12.48
2013-02-28,12.66,13.02,12.63,12.95,2651000,12.72
2013-02-27,12.63,12.75,12.40,12.69,2182600,12.47
2013-02-26,12.75,12.89,12.49,12.72,3833900,12.50
2013-02-25,13.23,13.44,12.85,12.86,3302600,12.64
2013-02-22,12.76,13.11,12.76,13.10,2663100,12.87
2013-02-21,12.63,12.84,12.37,12.81,4287800,12.59
2013-02-20,12.71,12.72,12.53,12.60,2379600,12.38
2013-02-19,12.49,12.70,12.40,12.70,2543400,12.48
2013-02-15,12.51,12.58,12.37,12.47,2992200,12.25
2013-02-14,12.51,12.76,12.48,12.51,2487200,12.29
2013-02-13,12.52,12.91,12.29,12.82,4316500,12.60
2013-02-12,12.35,12.63,12.35,12.56,4417000,12.34
2013-02-11,12.75,12.75,12.33,12.33,2116300,12.12
2013-02-08,12.65,12.81,12.64,12.75,2392800,12.53
2013-02-07,12.43,12.70,12.26,12.59,3960300,12.37
2013-02-06,12.37,12.64,12.37,12.42,1930600,12.20
2013-02-05,12.63,12.68,12.43,12.54,3374700,12.32
2013-02-04,12.31,12.67,12.27,12.62,1677300,12.40
2013-02-01,12.42,12.72,12.33,12.57,3068700,12.35
2013-01-31,12.05,12.50,12.04,12.46,6023800,12.24
2013-01-30,11.93,12.22,11.90,12.16,2731600,11.95
2013-01-29,11.89,12.01,11.81,11.91,1815200,11.70
2013-01-28,12.02,12.06,11.82,11.87,2261300,11.66
2013-01-25,12.21,12.39,12.00,12.04,3610900,11.83
2013-01-24,12.16,12.22,12.06,12.20,1704500,11.99
2013-01-23,12.16,12.29,12.06,12.06,2265700,11.85
2013-01-22,12.15,12.30,11.95,12.29,2831600,12.08
2013-01-21,12.25,12.30,12.14,12.25,376300,12.04
2013-01-18,12.05,12.35,12.05,12.27,1683100,12.06
2013-01-17,12.09,12.16,12.02,12.05,1317200,11.84
2013-01-16,11.81,12.10,11.81,12.02,2129800,11.81
2013-01-15,11.62,12.03,11.56,11.96,2082400,11.75
2013-01-14,11.99,11.99,11.70,11.78,1520000,11.58
2013-01-11,11.69,12.12,11.59,12.10,4276100,11.89
2013-01-10,11.78,11.80,11.52,11.60,2021000,11.40
2013-01-09,11.73,11.97,11.69,11.79,2177900,11.59
2013-01-08,11.55,11.81,11.54,11.76,2216100,11.56
2013-01-07,11.71,11.81,11.58,11.62,2762300,11.42
2013-01-04,11.60,11.89,11.60,11.89,2094400,11.68
2013-01-03,11.48,11.85,11.39,11.66,2179700,11.46
2013-01-02,11.40,11.54,11.25,11.50,1727700,11.30
2012-12-31,11.03,11.30,11.00,11.25,1369900,11.05
2012-12-28,11.07,11.15,10.99,11.01,726700,10.82
2012-12-27,11.00,11.17,10.96,11.17,1616000,10.98
2012-12-24,11.18,11.25,11.00,11.03,818400,10.84
2012-12-21,11.28,11.29,11.07,11.15,4435000,10.96
2012-12-20,11.20,11.28,11.08,11.25,2427400,11.05
2012-12-19,11.33,11.34,11.20,11.25,4300400,11.05
2012-12-18,11.10,11.31,11.06,11.27,5638100,11.07
2012-12-17,10.97,11.11,10.97,11.09,2367900,10.90
2012-12-14,11.28,11.28,10.94,11.01,4938500,10.82
2012-12-13,11.09,11.27,11.02,11.26,4014000,11.06
2012-12-12,11.00,11.12,10.97,11.09,2970500,10.90
2012-12-11,10.98,11.06,10.89,10.96,2142300,10.77
2012-12-10,11.19,11.19,10.88,10.93,2870800,10.74
2012-12-07,11.13,11.15,10.97,11.02,7174600,10.83
2012-12-06,11.22,11.23,11.00,11.02,2479200,10.83
2012-12-05,11.16,11.28,11.13,11.14,2740200,10.95
2012-12-04,11.05,11.15,11.04,11.09,3518900,10.90
2012-12-03,11.30,11.33,11.04,11.11,2452000,10.92
2012-11-30,11.40,11.41,11.02,11.18,5659900,10.99
2012-11-29,11.58,11.69,11.48,11.55,2956300,11.35
2012-11-28,11.23,11.52,11.23,11.42,5631000,11.22
2012-11-27,11.74,11.74,11.45,11.48,2208700,11.28
2012-11-26,11.60,11.72,11.43,11.65,3629700,11.45
2012-11-23,11.36,11.75,11.21,11.68,2469800,11.48
2012-11-22,11.03,11.27,11.00,11.25,612300,11.05
2012-11-21,11.01,11.01,10.89,10.94,2357900,10.75
2012-11-20,11.30,11.32,11.00,11.03,3098400,10.84
2012-11-19,11.20,11.38,11.16,11.30,1465400,11.10
2012-11-16,11.00,11.07,10.88,11.06,1861900,10.87
2012-11-15,11.02,11.13,10.87,11.01,1713900,10.82
2012-11-14,11.40,11.43,11.08,11.15,2317500,10.89
2012-11-13,11.01,11.55,10.99,11.43,3517500,11.16
2012-11-12,11.19,11.23,11.12,11.16,1574500,10.90
2012-11-09,10.90,11.32,10.87,11.18,3888000,10.92
2012-11-08,10.75,10.91,10.69,10.84,5209500,10.59
2012-11-07,10.92,10.92,10.62,10.62,2772700,10.37
2012-11-06,11.10,11.10,10.88,10.92,5068100,10.66
2012-11-05,11.14,11.14,10.95,11.06,3151600,10.80
2012-11-02,11.22,11.41,11.07,11.10,5559800,10.84
2012-11-01,11.41,11.62,11.26,11.31,4349300,11.05
2012-10-31,11.47,11.58,10.71,11.32,21974700,11.06
2012-10-30,11.98,12.04,11.42,11.50,2040100,11.23
2012-10-29,12.05,12.38,11.98,12.05,673400,11.77
2012-10-26,12.20,12.31,12.03,12.12,990700,11.84
2012-10-25,12.24,12.35,12.05,12.20,1720300,11.91
2012-10-24,12.20,12.29,11.99,12.07,1100000,11.79
