Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,44.71,45.09,44.70,45.06,600800,45.06
2013-10-15,45.40,45.50,44.46,44.76,979800,44.76
2013-10-11,44.99,45.48,44.86,45.33,729600,45.33
2013-10-10,44.70,44.90,44.42,44.78,973800,44.78
2013-10-09,44.00,44.68,44.00,44.44,1354100,44.44
2013-10-08,44.32,44.56,43.95,44.00,879000,44.00
2013-10-07,44.00,44.45,43.94,44.18,1083100,44.18
2013-10-04,44.48,44.99,44.13,44.13,1251000,44.13
2013-10-03,45.20,45.20,44.45,44.69,935100,44.69
2013-10-02,45.02,45.19,44.56,45.19,1046500,45.19
2013-10-01,45.11,45.42,45.11,45.20,853300,45.20
2013-09-30,45.21,45.78,45.21,45.25,1105400,45.25
2013-09-27,45.39,45.64,45.16,45.55,906700,45.55
2013-09-26,44.97,45.39,44.89,45.35,905000,45.35
2013-09-25,45.69,45.92,45.23,45.39,1098800,44.93
2013-09-24,45.69,45.96,45.40,45.56,1267100,45.10
2013-09-23,45.76,46.10,45.57,45.87,762400,45.41
2013-09-20,46.00,46.20,45.67,45.72,2796900,45.26
2013-09-19,45.60,45.93,45.43,45.77,1266200,45.31
2013-09-18,45.62,45.63,45.12,45.43,1332900,44.97
2013-09-17,45.26,45.75,45.22,45.47,1016500,45.01
2013-09-16,45.45,45.66,45.15,45.35,1032500,44.89
2013-09-13,45.58,45.58,45.35,45.37,686000,44.91
2013-09-12,45.74,45.88,45.41,45.48,556100,45.02
2013-09-11,46.18,46.21,45.55,45.75,1081800,45.29
2013-09-10,46.00,46.44,45.81,46.18,917400,45.71
2013-09-09,45.51,45.87,45.30,45.76,413000,45.30
2013-09-06,46.10,46.16,45.21,45.55,682000,45.09
2013-09-05,45.60,45.91,45.50,45.89,753200,45.42
2013-09-04,45.83,45.83,45.46,45.56,873700,45.10
2013-09-03,46.49,46.51,45.37,45.57,755900,45.11
2013-08-30,45.76,46.12,45.75,45.91,1157300,45.44
2013-08-29,45.47,45.87,45.35,45.75,899500,45.29
2013-08-28,45.01,45.73,45.00,45.42,625500,44.96
2013-08-27,45.10,45.24,44.75,45.14,990300,44.68
2013-08-26,45.75,45.83,45.11,45.18,775100,44.72
2013-08-23,45.50,45.82,45.38,45.75,630900,45.29
2013-08-22,45.84,45.99,45.35,45.35,744900,44.89
2013-08-21,46.01,46.01,45.31,45.78,640900,45.32
2013-08-20,45.80,46.10,45.52,45.88,667400,45.42
2013-08-19,46.30,46.53,45.67,45.70,755300,45.24
2013-08-16,46.41,46.81,46.29,46.51,707200,46.04
2013-08-15,46.21,46.63,46.08,46.47,644700,46.00
2013-08-14,46.80,46.83,46.23,46.60,807200,46.13
2013-08-13,46.90,47.19,46.78,46.90,507800,46.42
2013-08-12,46.67,46.83,46.49,46.75,604400,46.28
2013-08-09,46.86,46.87,46.51,46.65,779300,46.18
2013-08-08,46.95,46.95,46.39,46.78,730600,46.31
2013-08-07,47.11,47.35,46.66,46.92,2044900,46.44
2013-08-06,48.00,48.08,47.06,47.43,1419400,46.95
2013-08-02,48.10,48.48,47.99,48.17,1431500,47.68
2013-08-01,47.85,48.18,47.62,48.01,2857600,47.52
2013-07-31,47.27,47.35,46.83,46.93,1390900,46.45
2013-07-30,47.23,47.34,46.61,46.94,1290600,46.46
2013-07-29,46.66,47.23,46.66,47.07,1081000,46.59
2013-07-26,46.42,47.02,46.21,46.43,1088400,45.96
2013-07-25,46.95,47.10,46.16,46.41,961500,45.94
2013-07-24,46.95,47.22,46.62,46.86,1140800,46.39
2013-07-23,47.13,47.14,46.56,46.83,634200,46.36
2013-07-22,46.99,47.25,46.79,46.99,1107900,46.51
2013-07-19,47.08,47.08,46.44,46.77,1886600,46.30
2013-07-18,46.95,47.51,46.89,46.95,1457900,46.47
2013-07-17,46.96,47.40,46.90,46.96,792900,46.48
2013-07-16,47.50,47.79,46.96,46.99,770800,46.51
2013-07-15,47.40,47.79,47.14,47.29,1225300,46.81
2013-07-12,47.35,47.46,46.87,47.14,1150700,46.66
2013-07-11,46.82,47.26,46.70,47.18,1401800,46.70
2013-07-10,46.95,46.95,46.22,46.44,1106700,45.97
2013-07-09,46.55,47.00,46.12,46.86,1182600,46.39
2013-07-08,45.93,46.61,45.80,46.41,799100,45.94
2013-07-05,45.65,45.94,45.39,45.59,848900,45.13
2013-07-04,45.74,45.96,45.10,45.60,231500,45.14
2013-07-03,46.32,46.33,45.10,45.63,912000,45.17
2013-07-02,45.65,46.37,45.51,46.26,1192200,45.79
2013-06-28,45.24,45.78,45.00,45.28,1185000,44.82
2013-06-27,45.02,45.50,45.02,45.09,745600,44.63
2013-06-26,45.11,45.52,44.75,44.90,1190700,44.44
2013-06-25,45.03,45.79,44.62,45.20,2142900,44.29
2013-06-24,45.60,45.86,44.75,44.84,2036700,43.93
2013-06-21,46.61,46.82,46.00,46.00,3847400,45.07
2013-06-20,46.74,47.06,46.31,46.45,2349600,45.51
2013-06-19,47.70,47.74,46.57,46.92,1487300,45.97
2013-06-18,47.14,47.94,47.14,47.79,1313300,46.82
2013-06-17,46.85,47.40,46.85,47.11,1207300,46.16
2013-06-14,46.96,47.21,46.71,46.73,1308200,45.79
2013-06-13,46.00,47.33,45.65,47.20,1333100,46.25
2013-06-12,46.14,46.41,46.05,46.13,1644300,45.20
2013-06-11,46.50,46.88,46.04,46.12,1246400,45.19
2013-06-10,45.68,47.01,45.68,46.83,1861500,45.88
2013-06-07,46.13,46.13,45.37,45.74,1474300,44.82
2013-06-06,46.11,46.56,45.66,45.98,1753300,45.05
2013-06-05,47.12,47.20,46.04,46.23,2115900,45.30
2013-06-04,47.62,47.75,47.28,47.40,999600,46.44
2013-06-03,47.72,47.72,47.15,47.40,2312100,46.44
2013-05-31,47.61,47.74,47.07,47.56,2734100,46.60
2013-05-30,48.47,48.52,47.64,47.65,2293800,46.69
2013-05-29,49.51,49.51,48.33,48.50,1969700,47.52
2013-05-28,49.89,50.22,49.60,49.65,1440200,48.65
2013-05-27,50.00,50.00,49.55,49.56,387800,48.56
2013-05-24,49.51,50.20,49.51,50.18,1196900,49.17
2013-05-23,50.31,50.31,49.72,49.78,878500,48.77
