Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,34.05,34.80,34.02,34.39,33900,34.39
2013-10-15,34.02,34.15,33.76,33.98,59400,33.98
2013-10-11,34.16,34.39,34.00,34.27,40200,34.27
2013-10-10,34.06,35.22,33.86,34.37,70800,34.37
2013-10-09,35.08,35.08,34.00,34.25,292700,34.25
2013-10-08,36.33,36.38,35.90,36.06,29900,36.06
2013-10-07,36.97,36.97,36.30,36.40,29100,36.40
2013-10-04,36.92,37.06,36.55,37.05,20500,37.05
2013-10-03,37.06,37.23,36.35,36.92,35500,36.92
2013-10-02,37.45,37.46,36.75,37.04,22400,37.04
2013-10-01,37.29,37.57,36.64,37.50,27100,37.50
2013-09-30,37.85,38.00,37.39,37.54,52700,37.54
2013-09-27,38.01,38.01,37.69,37.85,90200,37.85
2013-09-26,37.68,38.00,37.65,37.98,18300,37.98
2013-09-25,37.60,38.05,37.55,37.87,23200,37.67
2013-09-24,37.26,37.66,37.26,37.56,28200,37.36
2013-09-23,37.23,37.74,37.21,37.53,31300,37.33
2013-09-20,37.63,37.63,37.20,37.49,28900,37.29
2013-09-19,37.50,37.64,37.38,37.63,19700,37.43
2013-09-18,37.25,37.55,37.10,37.34,44400,37.14
2013-09-17,36.92,37.31,36.80,37.10,56500,36.90
2013-09-16,37.21,37.35,37.00,37.20,44800,37.00
2013-09-13,37.39,37.44,36.98,37.20,25500,37.00
2013-09-12,37.04,37.44,36.92,37.14,55300,36.94
2013-09-11,36.46,37.44,36.46,37.31,44500,37.11
2013-09-10,36.71,36.87,36.29,36.38,31800,36.19
2013-09-09,36.51,36.84,36.25,36.78,22800,36.59
2013-09-06,36.52,36.81,36.37,36.56,35000,36.37
2013-09-05,36.30,36.70,36.30,36.61,21200,36.42
2013-09-04,35.79,36.45,35.79,36.34,19900,36.15
2013-09-03,35.55,36.49,35.53,36.05,44300,35.86
2013-08-30,35.16,35.50,34.92,35.31,44500,35.12
2013-08-29,35.25,35.46,34.88,35.22,63800,35.03
2013-08-28,34.86,35.20,34.40,34.88,80400,34.70
2013-08-27,35.96,36.15,35.25,35.28,27200,34.89
2013-08-26,35.80,36.35,35.21,36.28,36900,35.88
2013-08-23,35.69,36.06,35.61,35.80,29500,35.41
2013-08-22,36.10,36.36,35.51,35.79,38200,35.40
2013-08-21,35.93,36.44,35.82,36.32,48700,35.92
2013-08-20,35.31,36.06,35.16,35.91,45300,35.52
2013-08-19,35.98,36.19,35.03,35.19,35800,34.81
2013-08-16,35.85,36.64,35.80,35.94,21300,35.55
2013-08-15,36.99,36.99,35.92,35.95,43800,35.56
2013-08-14,36.23,36.96,36.23,36.71,72200,36.31
2013-08-13,35.76,36.33,35.18,36.22,59300,35.82
2013-08-12,35.07,35.98,34.62,35.69,66100,35.30
2013-08-09,33.50,35.07,33.50,34.75,87500,34.37
2013-08-08,34.16,34.29,33.44,33.52,42700,33.15
2013-08-07,34.54,34.54,34.00,34.18,71700,33.81
2013-08-06,35.00,35.00,34.40,34.50,57200,34.12
2013-08-02,34.34,35.19,34.34,34.90,60300,34.52
2013-08-01,34.34,34.76,34.00,34.29,21900,33.92
2013-07-31,34.83,35.00,34.17,34.23,41400,33.86
2013-07-30,34.31,34.84,34.21,34.79,27500,34.41
2013-07-29,34.49,34.71,33.77,34.32,30100,33.95
2013-07-26,34.96,35.05,34.50,34.58,42900,34.00
2013-07-25,34.79,35.24,34.37,34.99,78500,34.41
2013-07-24,36.51,36.80,34.82,35.05,80100,34.47
2013-07-23,36.67,37.25,36.45,36.87,65800,36.26
2013-07-22,36.26,36.55,36.07,36.45,64900,35.84
2013-07-19,35.67,36.40,35.54,36.17,122300,35.57
2013-07-18,34.85,35.68,34.85,35.60,58900,35.01
2013-07-17,34.45,35.05,34.29,34.85,95200,34.27
2013-07-16,34.35,34.40,33.92,34.26,103200,33.69
2013-07-15,34.74,34.84,34.10,34.33,36900,33.76
2013-07-12,34.93,34.93,33.50,34.57,97900,33.99
2013-07-11,34.17,34.83,33.93,34.80,71800,34.22
2013-07-10,33.91,34.21,33.46,33.77,65300,33.21
2013-07-09,33.95,33.99,32.85,33.90,80400,33.34
2013-07-08,34.33,34.33,33.53,33.72,56100,33.16
2013-07-05,33.89,34.98,33.50,34.14,96800,33.57
2013-07-04,32.63,33.71,32.63,33.63,103300,33.07
2013-07-03,32.56,32.73,32.45,32.62,42200,32.08
2013-07-02,32.05,32.85,31.70,32.57,62000,32.03
2013-06-28,31.32,31.89,31.01,31.84,50100,31.31
2013-06-27,31.36,31.72,30.80,31.25,45800,30.73
2013-06-26,30.11,31.22,30.11,31.20,77600,30.68
2013-06-25,30.10,30.25,29.38,30.10,87200,29.40
2013-06-24,30.94,30.94,29.62,29.80,85400,29.11
2013-06-21,31.20,31.67,30.93,30.95,58100,30.23
2013-06-20,32.51,32.51,30.90,30.99,66700,30.27
2013-06-19,31.71,32.79,31.67,32.54,80100,31.79
2013-06-18,31.38,31.64,31.04,31.59,79000,30.86
2013-06-17,31.43,31.50,30.87,31.34,82700,30.61
2013-06-14,31.21,31.40,30.85,31.25,42700,30.53
2013-06-13,30.98,31.50,30.63,31.40,110900,30.67
2013-06-12,31.73,31.77,30.61,30.63,83700,29.92
2013-06-11,32.16,32.19,31.61,31.78,51100,31.04
2013-06-10,33.00,33.00,32.07,32.20,88400,31.45
2013-06-07,32.25,32.69,32.06,32.40,173200,31.65
2013-06-06,31.48,32.01,31.33,32.00,73000,31.26
2013-06-05,31.23,31.50,31.14,31.44,33700,30.71
2013-06-04,31.43,31.70,31.09,31.20,128500,30.48
2013-06-03,32.66,32.77,31.50,31.50,116200,30.77
2013-05-31,33.43,33.43,32.72,32.74,61100,31.98
2013-05-30,33.93,33.95,33.25,33.35,71900,32.58
2013-05-29,32.68,33.98,32.51,33.62,196300,32.84
2013-05-28,31.85,32.95,31.85,32.79,133800,31.83
2013-05-27,31.81,31.83,31.60,31.74,34200,30.82
2013-05-24,32.12,32.12,31.50,31.64,79500,30.72
2013-05-23,32.00,32.03,31.49,31.84,93700,30.91
2013-05-22,32.39,32.76,32.05,32.15,113900,31.21
2013-05-21,31.51,32.62,31.50,32.36,87400,31.42
2013-05-17,32.15,32.15,31.49,31.84,204400,30.91
2013-05-16,32.34,32.55,32.11,32.21,118200,31.27
2013-05-15,32.56,32.74,32.38,32.50,99100,31.55
2013-05-14,31.75,32.60,31.75,32.55,275100,31.60
2013-05-13,33.29,33.50,31.39,32.24,284100,31.30
2013-05-10,33.79,34.25,33.00,33.53,504400,32.55
2013-05-09,35.98,35.98,35.46,35.65,76200,34.61
