Date,Open,High,Low,Close,Volume,Adj Close
2013-01-09,31.28,31.28,31.24,31.24,99800,31.24
2013-01-08,31.22,31.26,31.20,31.25,175200,31.25
2013-01-07,31.18,31.18,31.14,31.16,133800,31.16
2013-01-04,31.14,31.17,31.12,31.16,289800,31.16
2013-01-03,31.26,31.26,31.17,31.18,296700,31.18
2013-01-02,31.26,31.27,31.22,31.26,165300,31.26
2012-12-31,31.43,31.43,31.37,31.37,59300,31.37
2012-12-28,31.46,31.46,31.44,31.46,35100,31.46
2012-12-27,31.39,31.44,31.39,31.43,86200,31.43
2012-12-24,31.39,31.39,31.36,31.37,43800,31.37
2012-12-21,31.47,31.51,31.44,31.44,116900,31.36
2012-12-20,31.40,31.42,31.38,31.41,125800,31.33
2012-12-19,31.34,31.38,31.34,31.38,146700,31.30
2012-12-18,31.32,31.35,31.31,31.35,295300,31.27
2012-12-17,31.38,31.38,31.31,31.36,132200,31.28
2012-12-14,31.39,31.40,31.36,31.37,123900,31.29
2012-12-13,31.41,31.41,31.35,31.37,85100,31.29
2012-12-12,31.49,31.49,31.44,31.45,141900,31.36
2012-12-11,31.53,31.53,31.48,31.49,134400,31.40
2012-12-10,31.52,31.52,31.49,31.49,73000,31.40
2012-12-07,31.51,31.53,31.46,31.50,838500,31.41
2012-12-06,31.58,31.58,31.53,31.56,234700,31.47
2012-12-05,31.55,31.55,31.54,31.55,148500,31.46
2012-12-04,31.53,31.53,31.51,31.52,126800,31.43
2012-12-03,31.48,31.53,31.46,31.53,581500,31.44
2012-11-30,31.52,31.54,31.51,31.53,77200,31.44
2012-11-29,31.50,31.51,31.47,31.47,139700,31.38
2012-11-28,31.54,31.54,31.47,31.52,494500,31.43
2012-11-27,31.40,31.48,31.40,31.44,155600,31.36
2012-11-26,31.38,31.42,31.38,31.41,129900,31.33
2012-11-23,31.37,31.37,31.32,31.33,135800,31.25
2012-11-22,31.39,31.40,31.38,31.40,25600,31.32
2012-11-21,31.42,31.46,31.41,31.41,121000,31.24
2012-11-20,31.51,31.51,31.45,31.45,130800,31.28
2012-11-19,31.52,31.52,31.48,31.51,134800,31.34
2012-11-16,31.56,31.59,31.54,31.58,119000,31.41
2012-11-15,31.54,31.59,31.54,31.58,237200,31.41
2012-11-14,31.54,31.59,31.53,31.59,477600,31.42
2012-11-13,31.62,31.62,31.57,31.60,163300,31.43
2012-11-12,31.53,31.60,31.52,31.60,115200,31.43
2012-11-09,31.59,31.59,31.54,31.56,80700,31.39
2012-11-08,31.50,31.56,31.48,31.56,330800,31.39
2012-11-07,31.53,31.55,31.48,31.48,126500,31.31
2012-11-06,31.47,31.48,31.38,31.40,172800,31.23
2012-11-05,31.50,31.52,31.47,31.47,101200,31.30
2012-11-02,31.40,31.46,31.40,31.46,85200,31.29
2012-11-01,31.44,31.48,31.41,31.46,281300,31.29
2012-10-31,31.42,31.47,31.42,31.47,274700,31.30
2012-10-30,31.40,31.43,31.39,31.40,46500,31.23
2012-10-29,31.41,31.41,31.36,31.40,89400,31.23
2012-10-26,31.33,31.37,31.31,31.35,136000,31.18
2012-10-25,31.25,31.27,31.22,31.22,87100,31.05
2012-10-24,31.29,31.36,31.29,31.34,62300,31.17
2012-10-23,31.40,31.40,31.38,31.40,132900,31.15
2012-10-22,31.39,31.39,31.34,31.34,98900,31.09
2012-10-19,31.34,31.42,31.32,31.37,200200,31.12
2012-10-18,31.34,31.34,31.27,31.27,209900,31.02
2012-10-17,31.40,31.40,31.30,31.32,179000,31.07
2012-10-16,31.47,31.47,31.41,31.44,96300,31.19
2012-10-15,31.47,31.48,31.42,31.46,186700,31.21
2012-10-12,31.47,31.49,31.43,31.46,80900,31.21
2012-10-11,31.42,31.46,31.40,31.46,292500,31.21
2012-10-10,31.41,31.46,31.39,31.46,80700,31.21
2012-10-09,31.43,31.49,31.42,31.43,240000,31.18
2012-10-05,31.46,31.46,31.43,31.43,86200,31.18
2012-10-04,31.58,31.58,31.51,31.51,75900,31.26
2012-10-03,31.60,31.64,31.59,31.62,172100,31.37
2012-10-02,31.58,31.62,31.57,31.61,54500,31.36
2012-10-01,31.61,31.61,31.56,31.61,103400,31.36
2012-09-28,31.59,31.64,31.56,31.56,56600,31.31
2012-09-27,31.56,31.58,31.54,31.54,77500,31.29
2012-09-26,31.55,31.58,31.54,31.58,121400,31.33
2012-09-25,31.46,31.46,31.39,31.45,131100,31.20
2012-09-24,31.44,31.47,31.43,31.43,215900,31.18
2012-09-21,31.41,31.44,31.38,31.40,81600,31.15
2012-09-20,31.50,31.50,31.44,31.48,47600,31.14
2012-09-19,31.36,31.39,31.34,31.39,129200,31.05
2012-09-18,31.34,31.35,31.31,31.34,185100,31.00
2012-09-17,31.20,31.26,31.20,31.25,542700,30.92
2012-09-14,31.23,31.23,31.15,31.20,125500,30.87
2012-09-13,31.32,31.35,31.23,31.28,189600,30.94
2012-09-12,31.27,31.31,31.24,31.25,122900,30.92
2012-09-11,31.35,31.35,31.33,31.34,50700,31.00
2012-09-10,31.35,31.35,31.31,31.35,176400,31.01
2012-09-07,31.44,31.45,31.33,31.33,92800,30.99
2012-09-06,31.43,31.45,31.35,31.35,168200,31.01
2012-09-05,31.52,31.54,31.49,31.51,90800,31.17
2012-09-04,31.52,31.53,31.49,31.52,98300,31.18
2012-08-31,31.49,31.51,31.47,31.49,116900,31.15
2012-08-30,31.48,31.49,31.45,31.47,119500,31.13
2012-08-29,31.42,31.42,31.35,31.38,124000,31.04
2012-08-28,31.38,31.41,31.37,31.41,54700,31.07
2012-08-27,31.37,31.40,31.35,31.37,94200,31.03
2012-08-24,31.44,31.45,31.35,31.37,60300,31.03
2012-08-23,31.46,31.48,31.43,31.43,98500,31.01
2012-08-22,31.37,31.41,31.34,31.37,80300,30.95
2012-08-21,31.23,31.24,31.18,31.24,89100,30.82
2012-08-20,31.23,31.24,31.21,31.24,76700,30.82
2012-08-17,31.18,31.26,31.16,31.24,83800,30.82
2012-08-16,31.25,31.27,31.16,31.21,208200,30.79
2012-08-15,31.36,31.37,31.24,31.25,439100,30.83
2012-08-14,31.43,31.46,31.39,31.40,232200,30.98
2012-08-13,31.49,31.51,31.48,31.51,141400,31.09
2012-08-10,31.51,31.53,31.50,31.52,69100,31.10
2012-08-09,31.42,31.43,31.40,31.43,81500,31.01
2012-08-08,31.39,31.42,31.37,31.37,69100,30.95
2012-08-07,31.42,31.42,31.36,31.37,146600,30.95
2012-08-03,31.60,31.60,31.53,31.56,96100,31.14
2012-08-02,31.63,31.69,31.62,31.69,90000,31.26
2012-08-01,31.55,31.58,31.54,31.57,115200,31.15
2012-07-31,31.58,31.63,31.58,31.62,51500,31.19
2012-07-30,31.50,31.53,31.44,31.52,207400,31.10
2012-07-27,31.54,31.55,31.43,31.48,419500,31.06
2012-07-26,31.65,31.67,31.63,31.65,72200,31.22
2012-07-25,31.75,31.75,31.72,31.73,67700,31.30
2012-07-24,31.71,31.76,31.71,31.76,153800,31.33
2012-07-23,31.86,31.86,31.83,31.84,90800,31.33
2012-07-20,31.78,31.81,31.76,31.79,195000,31.28
2012-07-19,31.72,31.73,31.71,31.71,39700,31.20
2012-07-18,31.80,31.80,31.74,31.74,86700,31.23
2012-07-17,31.76,31.78,31.73,31.77,159700,31.26
2012-07-16,31.79,31.79,31.75,31.75,134700,31.24
2012-07-13,31.75,31.75,31.67,31.70,118600,31.19
2012-07-12,31.72,31.74,31.70,31.72,79300,31.21
2012-07-11,31.68,31.69,31.64,31.65,58300,31.14
2012-07-10,31.66,31.69,31.64,31.64,114100,31.13
2012-07-09,31.67,31.68,31.65,31.68,89100,31.17
2012-07-06,31.59,31.63,31.56,31.62,130500,31.11
2012-07-05,31.49,31.59,31.49,31.59,146500,31.08
2012-07-04,31.56,31.57,31.50,31.51,90300,31.01
2012-07-03,31.53,31.53,31.45,31.45,1664000,30.95
2012-06-29,31.46,31.54,31.46,31.49,98700,30.99
2012-06-28,31.57,31.59,31.51,31.52,152300,31.02
2012-06-27,31.50,31.51,31.46,31.46,168600,30.96
2012-06-26,31.45,31.48,31.41,31.42,194500,30.92
2012-06-25,31.49,31.51,31.46,31.49,123300,30.99
2012-06-22,31.42,31.44,31.38,31.40,81100,30.90
2012-06-21,31.45,31.55,31.44,31.55,138000,30.96
2012-06-20,31.43,31.47,31.37,31.46,268200,30.87
2012-06-19,31.46,31.48,31.43,31.48,85500,30.89
2012-06-18,31.59,31.59,31.47,31.49,1176000,30.90
2012-06-15,31.56,31.56,31.48,31.52,150600,30.93
2012-06-14,31.50,31.51,31.46,31.47,104400,30.88
2012-06-13,31.47,31.52,31.42,31.52,130600,30.93
2012-06-12,31.48,31.50,31.42,31.47,101900,30.88
2012-06-11,31.47,31.53,31.44,31.49,155600,30.90
2012-06-08,31.53,31.53,31.46,31.47,67200,30.88
2012-06-07,31.45,31.45,31.34,31.39,192200,30.80
2012-06-06,31.60,31.60,31.45,31.45,124000,30.86
2012-06-05,31.64,31.64,31.59,31.60,58500,31.01
2012-06-04,31.70,31.73,31.64,31.67,129000,31.08
2012-06-01,31.74,31.85,31.67,31.82,215500,31.22
2012-05-31,31.47,31.57,31.46,31.53,108000,30.94
2012-05-30,31.49,31.50,31.45,31.45,47200,30.86
2012-05-29,31.41,31.44,31.35,31.35,91500,30.76
2012-05-28,31.46,31.46,31.39,31.41,41700,30.82
2012-05-25,31.40,31.48,31.38,31.48,102300,30.89
2012-05-24,31.29,31.34,31.27,31.32,245600,30.73
2012-05-23,31.32,31.35,31.30,31.33,86000,30.74
2012-05-22,31.29,31.34,31.26,31.34,243000,30.67
2012-05-18,31.33,31.38,31.32,31.38,88000,30.71
2012-05-17,31.29,31.39,31.26,31.39,121100,30.72
2012-05-16,31.24,31.30,31.23,31.30,90000,30.63
2012-05-15,31.30,31.30,31.25,31.25,115500,30.58
2012-05-14,31.34,31.36,31.26,31.30,119000,30.63
2012-05-11,31.25,31.31,31.21,31.30,267300,30.63
2012-05-10,31.23,31.26,31.19,31.26,152000,30.59
2012-05-09,31.32,31.32,31.22,31.24,191000,30.57
2012-05-08,31.26,31.29,31.25,31.27,98900,30.60
2012-05-07,31.28,31.28,31.20,31.22,256900,30.55
2012-05-04,31.16,31.25,31.14,31.25,100400,30.58
2012-05-03,31.07,31.09,31.05,31.09,64000,30.42
2012-05-02,31.05,31.08,31.02,31.03,75700,30.37
2012-05-01,31.04,31.04,30.95,30.99,110600,30.33
2012-04-30,30.96,31.03,30.96,31.03,125000,30.37
2012-04-27,30.95,30.96,30.89,30.89,80200,30.23
2012-04-26,30.92,30.97,30.91,30.91,116400,30.25
2012-04-25,30.89,30.91,30.84,30.90,134800,30.24
2012-04-24,31.00,31.00,30.93,30.93,56600,30.27
2012-04-23,31.06,31.06,30.99,30.99,106000,30.33
2012-04-20,31.04,31.07,31.01,31.06,112100,30.31
2012-04-19,31.12,31.13,31.08,31.13,72400,30.38
2012-04-18,31.05,31.11,31.04,31.08,93900,30.33
2012-04-17,31.05,31.07,30.97,31.07,102000,30.32
2012-04-16,31.21,31.24,31.16,31.18,92100,30.43
2012-04-13,31.15,31.24,31.15,31.23,81300,30.47
2012-04-12,31.19,31.19,31.11,31.15,126900,30.40
2012-04-11,31.19,31.19,31.15,31.17,78500,30.42
2012-04-10,31.17,31.26,31.16,31.25,100600,30.49
2012-04-09,31.14,31.16,31.10,31.13,112000,30.38
2012-04-05,31.04,31.04,30.97,31.00,133000,30.25
2012-04-04,31.04,31.04,31.00,31.03,111400,30.28
2012-04-03,31.08,31.11,30.94,30.94,275800,30.19
2012-04-02,31.08,31.14,31.07,31.10,241600,30.35
2012-03-30,31.16,31.17,31.03,31.07,169800,30.32
2012-03-29,31.11,31.12,31.07,31.10,206600,30.35
2012-03-28,31.05,31.07,31.01,31.02,356200,30.27
2012-03-27,30.96,31.04,30.96,31.01,114000,30.26
2012-03-26,30.94,30.95,30.88,30.95,121300,30.20
2012-03-23,30.97,30.97,30.89,30.93,153400,30.18
2012-03-22,31.01,31.03,30.98,31.00,93300,30.17
2012-03-21,30.87,30.95,30.87,30.90,77100,30.07
