Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,18.62,18.70,18.62,18.70,3044300,18.70
2013-10-15,18.60,18.67,18.51,18.65,3475100,18.65
2013-10-11,18.63,18.68,18.58,18.61,2927500,18.61
2013-10-10,18.45,18.67,18.45,18.60,7202100,18.60
2013-10-09,18.28,18.40,18.26,18.35,2707100,18.35
2013-10-08,18.42,18.47,18.26,18.28,2332400,18.28
2013-10-07,18.27,18.47,18.27,18.40,3283200,18.40
2013-10-04,18.28,18.41,18.28,18.38,1175100,18.38
2013-10-03,18.49,18.49,18.26,18.33,3269000,18.33
2013-10-02,18.40,18.48,18.38,18.47,3812600,18.47
2013-10-01,18.33,18.53,18.33,18.49,5259300,18.49
2013-09-30,18.31,18.50,18.29,18.38,3428800,18.38
2013-09-27,18.44,18.50,18.41,18.47,4110800,18.47
2013-09-26,18.42,18.54,18.41,18.47,5649800,18.47
2013-09-25,18.47,18.53,18.40,18.42,9939000,18.42
2013-09-24,18.37,18.48,18.36,18.43,4792600,18.43
2013-09-23,18.38,18.43,18.37,18.39,2708800,18.39
2013-09-20,18.55,18.60,18.38,18.43,24882300,18.43
2013-09-19,18.60,18.61,18.49,18.52,16632700,18.52
2013-09-18,18.47,18.60,18.39,18.55,4405600,18.55
2013-09-17,18.55,18.62,18.55,18.59,3149900,18.45
2013-09-16,18.50,18.62,18.50,18.58,4488100,18.44
2013-09-13,18.42,18.51,18.42,18.48,2020500,18.34
2013-09-12,18.52,18.55,18.38,18.40,3312700,18.26
2013-09-11,18.59,18.62,18.49,18.62,1644100,18.47
2013-09-10,18.63,18.65,18.55,18.61,1945500,18.46
2013-09-09,18.62,18.66,18.59,18.66,2639800,18.51
2013-09-06,18.75,18.75,18.56,18.61,4522500,18.46
2013-09-05,18.51,18.67,18.51,18.66,2575100,18.51
2013-09-04,18.44,18.51,18.41,18.49,1716100,18.35
2013-09-03,18.52,18.61,18.44,18.50,4018300,18.36
2013-08-30,18.39,18.48,18.30,18.30,5030300,18.16
2013-08-29,18.28,18.48,18.27,18.40,3199900,18.26
2013-08-28,18.21,18.35,18.18,18.25,1969200,18.11
2013-08-27,18.38,18.41,18.16,18.21,3351900,18.07
2013-08-26,18.48,18.53,18.44,18.45,2810500,18.31
2013-08-23,18.38,18.47,18.36,18.45,1870000,18.31
2013-08-22,18.22,18.35,18.22,18.33,1991500,18.19
2013-08-21,18.23,18.27,18.08,18.14,3643500,18.00
2013-08-20,18.13,18.35,18.13,18.30,1856500,18.16
2013-08-19,18.35,18.35,18.15,18.15,1890800,18.01
2013-08-16,18.30,18.47,18.30,18.40,2353500,18.26
2013-08-15,18.14,18.33,18.10,18.33,3327600,18.19
2013-08-14,18.20,18.25,18.16,18.22,1562800,18.08
2013-08-13,18.12,18.23,18.12,18.21,2131900,18.07
2013-08-12,18.04,18.10,18.02,18.09,1688000,17.95
2013-08-09,18.05,18.06,17.97,18.05,1548000,17.91
2013-08-08,17.90,18.08,17.90,18.04,3048300,17.90
2013-08-07,17.88,17.94,17.84,17.88,2063700,17.74
2013-08-06,18.11,18.11,17.88,17.96,2129900,17.82
2013-08-02,18.09,18.22,18.09,18.19,1917300,18.05
2013-08-01,18.14,18.19,18.09,18.11,2807000,17.97
2013-07-31,18.22,18.26,17.95,17.95,4061900,17.81
2013-07-30,18.22,18.23,18.13,18.20,8525600,18.06
2013-07-29,18.25,18.35,18.24,18.30,3292100,18.16
2013-07-26,18.24,18.33,18.24,18.30,4289300,18.16
2013-07-25,18.25,18.35,18.24,18.29,3067100,18.15
2013-07-24,18.37,18.43,18.25,18.28,4444800,18.14
2013-07-23,18.43,18.46,18.34,18.37,3219700,18.23
2013-07-22,18.36,18.44,18.35,18.44,3539300,18.30
2013-07-19,18.23,18.34,18.23,18.31,4163500,18.17
2013-07-18,18.15,18.32,18.15,18.25,5905600,18.11
2013-07-17,18.05,18.17,18.05,18.14,4879700,18.00
2013-07-16,18.10,18.11,17.98,18.02,5301900,17.88
2013-07-15,18.00,18.12,18.00,18.05,3717900,17.91
2013-07-12,18.01,18.04,17.90,17.91,4367100,17.77
2013-07-11,17.87,17.99,17.84,17.97,8176400,17.83
2013-07-10,17.73,17.75,17.62,17.72,3260400,17.58
2013-07-09,17.63,17.72,17.55,17.71,4116100,17.57
2013-07-08,17.51,17.57,17.50,17.55,3594900,17.41
2013-07-05,17.49,17.51,17.35,17.45,4303000,17.31
2013-07-04,17.49,17.59,17.43,17.49,2275100,17.35
2013-07-03,17.49,17.49,17.30,17.44,4075900,17.30
2013-07-02,17.49,17.57,17.41,17.48,3683800,17.34
2013-06-28,17.26,17.55,17.26,17.46,5697200,17.32
2013-06-27,17.32,17.37,17.29,17.29,3119400,17.16
2013-06-26,17.29,17.29,17.18,17.20,3559100,17.07
2013-06-25,17.15,17.28,17.09,17.26,3981500,17.13
2013-06-24,17.12,17.18,16.96,17.08,6140100,16.95
2013-06-21,17.27,17.35,17.15,17.25,4964700,17.12
2013-06-20,17.37,17.38,17.15,17.21,15525600,17.08
2013-06-19,17.74,17.74,17.56,17.59,5892500,17.45
2013-06-18,17.77,17.94,17.76,17.92,3135900,17.64
2013-06-17,17.68,17.82,17.68,17.76,3861800,17.48
2013-06-14,17.73,17.78,17.57,17.57,2379800,17.30
2013-06-13,17.45,17.79,17.38,17.76,9902500,17.48
2013-06-12,17.71,17.71,17.48,17.52,7168200,17.25
2013-06-11,17.74,17.79,17.62,17.62,4533000,17.35
2013-06-10,17.84,17.88,17.76,17.85,3250700,17.57
2013-06-07,17.83,17.88,17.71,17.85,3876200,17.57
2013-06-06,17.89,17.96,17.74,17.88,7865300,17.60
2013-06-05,18.08,18.11,17.91,17.94,5643600,17.66
2013-06-04,18.17,18.24,18.13,18.18,3571800,17.90
2013-06-03,18.29,18.33,18.12,18.16,3591200,17.88
2013-05-31,18.38,18.38,18.24,18.26,4996000,17.98
2013-05-30,18.47,18.50,18.42,18.46,1422000,18.17
2013-05-29,18.33,18.47,18.31,18.47,2346800,18.18
2013-05-28,18.45,18.50,18.40,18.46,1952600,18.17
2013-05-27,18.32,18.35,18.31,18.31,1955200,18.03
2013-05-24,18.22,18.31,18.20,18.29,2742200,18.01
2013-05-23,18.26,18.33,18.19,18.29,4477000,18.01
2013-05-22,18.49,18.64,18.40,18.44,6983800,18.15
2013-05-21,18.28,18.51,18.25,18.38,6585500,18.10
2013-05-17,17.96,18.24,17.96,18.23,4323800,17.95
2013-05-16,17.98,18.12,17.96,18.01,3256800,17.73
2013-05-15,18.05,18.09,17.92,17.98,2689400,17.70
2013-05-14,18.03,18.17,18.03,18.14,1874800,17.86
2013-05-13,18.12,18.12,17.96,18.05,2896500,17.77
2013-05-10,18.02,18.13,18.01,18.13,1344800,17.85
2013-05-09,18.14,18.17,18.03,18.04,2123400,17.76
2013-05-08,17.96,18.16,17.96,18.15,2720200,17.87
2013-05-07,17.89,17.98,17.86,17.95,3938000,17.67
2013-05-06,17.92,17.98,17.87,17.90,1948800,17.62
2013-05-03,17.90,18.02,17.86,17.87,2873700,17.59
2013-05-02,17.69,17.84,17.58,17.77,3691400,17.49
2013-05-01,17.77,17.82,17.61,17.66,4080700,17.39
2013-04-30,17.68,17.88,17.56,17.86,7896000,17.58
2013-04-29,17.64,17.71,17.59,17.70,3905900,17.43
2013-04-26,17.64,17.66,17.47,17.54,2734100,17.27
2013-04-25,17.68,17.76,17.61,17.66,6936600,17.39
2013-04-24,17.42,17.67,17.42,17.67,3331600,17.40
2013-04-23,17.42,17.45,17.30,17.36,6003500,17.09
2013-04-22,17.49,17.49,17.30,17.39,4575300,17.12
2013-04-19,17.22,17.38,17.22,17.38,5213400,17.11
2013-04-18,17.32,17.34,17.16,17.27,5667000,17.00
2013-04-17,17.39,17.43,17.15,17.21,6198700,16.94
2013-04-16,17.33,17.45,17.32,17.43,7327800,17.16
2013-04-15,17.54,17.56,17.25,17.27,4136400,17.00
2013-04-12,17.79,17.82,17.67,17.73,3365900,17.46
