Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,85.12,86.08,85.08,85.82,12604400,85.82
2013-10-15,84.55,85.10,84.23,84.55,11391800,84.55
2013-10-14,83.79,84.91,83.60,84.86,8366200,84.86
2013-10-11,83.02,84.55,82.94,84.29,11925400,84.29
2013-10-10,82.44,83.40,82.42,83.39,12801200,83.39
2013-10-09,82.16,82.23,81.31,81.87,13098300,81.87
2013-10-08,83.08,83.26,82.08,82.16,10573400,82.16
2013-10-07,82.87,83.58,82.77,83.05,7928700,83.05
2013-10-04,83.08,83.96,82.72,83.74,9313100,83.74
2013-10-03,83.55,83.60,82.50,82.90,10140100,82.90
2013-10-02,83.09,83.73,82.65,83.63,7714200,83.63
2013-10-01,82.68,83.66,82.64,83.44,10844100,83.44
2013-09-30,82.54,83.20,82.39,82.91,10433200,82.91
2013-09-27,83.49,83.66,83.22,83.55,7171000,83.55
2013-09-26,83.90,84.03,83.44,83.84,7720200,83.84
2013-09-25,83.95,84.21,83.67,83.69,11193700,83.69
2013-09-24,83.61,84.33,83.37,83.71,5540400,83.71
2013-09-23,83.82,84.01,83.39,83.63,8520100,83.63
2013-09-20,84.78,84.99,83.88,84.04,13973900,84.04
2013-09-19,85.46,85.74,84.97,85.12,9138500,84.73
2013-09-18,84.29,85.68,84.04,85.33,11156600,84.94
2013-09-17,83.95,84.55,83.84,84.31,5421900,83.92
2013-09-16,84.60,84.66,83.81,83.93,8056300,83.54
2013-09-13,84.05,84.28,83.80,83.95,5979000,83.56
2013-09-12,84.31,84.56,83.92,83.98,10702400,83.59
2013-09-11,83.83,84.48,83.45,84.48,10700200,84.09
2013-09-10,83.90,83.96,83.12,83.84,9152200,83.45
2013-09-09,83.18,83.91,83.06,83.81,8434900,83.42
2013-09-06,83.22,83.53,82.31,82.88,8023100,82.50
2013-09-05,82.77,83.27,82.73,82.89,6115100,82.51
2013-09-04,82.07,82.86,81.89,82.61,7490000,82.23
2013-09-03,82.39,82.68,81.77,82.17,8634400,81.79
2013-08-30,81.91,82.01,81.37,81.57,8541300,81.19
2013-08-29,82.31,82.36,81.46,81.60,11408800,81.22
2013-08-28,81.37,82.78,81.34,82.46,11898200,82.08
2013-08-27,81.02,81.70,80.95,81.11,10200500,80.74
2013-08-26,81.99,82.31,81.46,81.62,7262000,81.24
2013-08-23,81.44,81.89,80.95,81.76,7392500,81.38
2013-08-22,80.35,81.50,80.18,81.18,8337200,80.81
2013-08-21,80.21,80.69,79.83,79.99,9487900,79.62
2013-08-20,79.98,83.00,79.85,80.43,9035600,80.06
2013-08-19,81.03,81.12,79.89,79.94,10847400,79.57
2013-08-16,81.40,81.53,80.91,81.23,8950400,80.85
2013-08-15,81.50,81.92,81.20,81.56,10819000,81.18
2013-08-14,82.20,82.55,81.95,82.01,6212500,81.63
2013-08-13,82.32,82.58,81.86,82.39,6916300,82.01
2013-08-12,82.03,82.56,82.00,82.24,6313500,81.86
2013-08-09,82.82,83.01,82.19,82.59,9815000,82.21
2013-08-08,82.79,83.02,82.12,82.84,6739300,82.46
2013-08-07,82.45,82.70,82.05,82.39,7033600,82.01
2013-08-06,82.99,83.40,82.45,82.68,6494400,82.30
2013-08-05,83.09,83.25,82.77,83.19,5191000,82.81
2013-08-02,83.45,83.50,82.85,83.39,8185500,83.00
2013-08-01,83.09,83.85,83.06,83.76,10646700,83.37
2013-07-31,82.30,83.02,82.24,82.42,11247500,82.04
2013-07-30,82.33,82.50,81.68,82.15,7935200,81.77
2013-07-29,82.74,82.81,81.98,82.31,8293600,81.93
2013-07-26,82.83,83.06,82.28,83.00,6830100,82.62
2013-07-25,82.59,83.32,82.35,83.21,9621100,82.83
2013-07-24,83.68,83.74,82.24,82.66,9338600,82.28
2013-07-23,83.66,83.96,83.49,83.59,6009700,83.20
2013-07-22,83.60,83.83,83.37,83.45,6802300,83.06
2013-07-19,82.87,83.72,82.68,83.72,10684800,83.33
2013-07-18,81.98,82.80,81.94,82.57,9419500,82.19
2013-07-17,81.58,81.94,81.45,81.70,7923000,81.32
2013-07-16,81.89,82.05,80.82,81.34,6723800,80.96
2013-07-15,81.96,82.12,81.69,81.84,10395100,81.46
2013-07-12,81.35,81.96,81.33,81.91,8777800,81.53
2013-07-11,81.82,81.88,81.01,81.45,14486200,81.07
2013-07-10,81.60,81.60,80.63,80.80,10811500,80.43
2013-07-09,80.93,81.41,80.77,81.30,9257300,80.92
2013-07-08,80.35,80.96,80.30,80.48,11579200,80.11
2013-07-05,79.44,79.99,78.84,79.96,10308500,79.59
2013-07-03,78.82,79.11,78.35,78.98,5255800,78.62
2013-07-02,78.88,79.70,78.64,79.03,8691800,78.67
2013-07-01,78.79,79.52,78.63,78.86,11960700,78.50
2013-06-28,78.33,78.92,78.05,78.30,10817700,77.94
2013-06-27,78.88,79.34,78.59,78.63,8163500,78.27
2013-06-26,78.38,78.72,77.81,78.48,11202800,78.12
2013-06-25,77.86,78.25,77.34,78.00,12540300,77.64
2013-06-24,77.32,77.87,76.02,77.01,18904800,76.65
2013-06-21,78.69,78.77,77.25,78.17,20554200,77.81
2013-06-20,79.71,79.75,78.17,78.41,25489800,77.68
2013-06-19,81.45,81.90,80.69,80.77,15053600,80.01
2013-06-18,80.95,81.77,80.92,81.52,7741700,80.76
2013-06-17,80.45,81.27,80.41,81.06,11097500,80.30
2013-06-14,80.74,80.82,79.72,79.91,10398400,79.16
2013-06-13,79.34,80.90,79.24,80.69,12393000,79.93
2013-06-12,80.65,80.79,79.18,79.36,9344700,78.62
2013-06-11,80.09,80.62,79.75,79.85,10595900,79.10
2013-06-10,81.66,81.68,80.81,81.08,7944000,80.32
2013-06-07,80.83,81.38,80.36,81.31,10582000,80.55
2013-06-06,79.75,80.34,79.10,80.30,18324200,79.55
2013-06-05,80.40,80.69,79.65,79.70,17796100,78.95
2013-06-04,80.88,81.39,80.04,80.64,15981000,79.88
2013-06-03,80.80,81.30,80.43,81.28,18365400,80.52
2013-05-31,81.86,82.12,80.49,80.50,15007200,79.75
2013-05-30,82.16,82.61,81.63,82.20,12074800,81.43
2013-05-29,81.95,82.70,81.79,82.39,12753000,81.62
2013-05-28,82.86,83.23,82.15,82.57,10708400,81.80
2013-05-24,81.46,81.72,81.00,81.71,8665000,80.94
2013-05-23,81.12,82.19,80.85,82.19,12791700,81.42
2013-05-22,83.23,83.95,81.75,82.15,19839400,81.38
2013-05-21,83.48,83.83,82.83,83.11,10838300,82.33
2013-05-20,82.08,83.46,82.08,83.28,10192200,82.50
2013-05-17,81.21,82.21,81.12,82.12,14657100,81.35
2013-05-16,80.94,81.39,80.59,80.77,12055400,80.01
2013-05-15,81.02,81.43,80.49,81.17,13048600,80.41
2013-05-14,80.33,81.40,80.28,81.40,9600300,80.64
2013-05-13,80.07,80.30,79.81,80.26,7423100,79.51
2013-05-10,80.24,80.40,79.57,80.27,13221100,79.52
2013-05-09,80.79,81.08,80.25,80.69,8135600,79.93
2013-05-08,80.57,80.91,80.26,80.76,7170400,80.00
2013-05-07,80.37,80.98,80.07,80.63,9700600,79.87
2013-05-06,79.51,80.33,79.51,80.01,12007200,79.26
2013-05-03,78.61,79.68,78.59,79.47,14049000,78.73
2013-05-02,77.36,78.28,77.09,78.06,13597100,77.33
2013-05-01,77.60,77.81,76.96,77.05,15324000,76.33
2013-04-30,78.05,78.30,77.35,78.27,10035500,77.54
2013-04-29,77.65,78.28,77.30,77.96,12214700,77.23
2013-04-26,77.14,77.37,76.57,77.18,11162400,76.46
2013-04-25,77.44,78.24,76.94,77.31,13638800,76.59
2013-04-24,76.51,77.61,76.43,77.25,13715100,76.53
2013-04-23,75.66,76.30,75.30,76.23,13947600,75.52
2013-04-22,74.93,75.67,74.28,75.36,13348000,74.65
2013-04-19,75.28,75.43,74.11,74.56,13416500,73.86
2013-04-18,74.29,75.18,73.61,74.71,20535600,74.01
2013-04-17,75.07,75.15,73.52,74.08,20626700,73.39
2013-04-16,75.57,75.85,74.70,75.74,16460400,75.03
