Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,19.61,19.78,19.61,19.78,794700,19.78
2013-10-15,19.58,19.66,19.48,19.51,501500,19.51
2013-10-11,19.40,19.57,19.40,19.56,954700,19.56
2013-10-10,19.21,19.44,19.21,19.43,792800,19.43
2013-10-09,19.04,19.09,18.91,19.03,369800,19.03
2013-10-08,19.23,19.26,19.00,19.00,1950100,19.00
2013-10-07,19.24,19.34,19.22,19.25,304900,19.25
2013-10-04,19.26,19.42,19.25,19.40,198700,19.40
2013-10-03,19.38,19.40,19.18,19.27,477600,19.27
2013-10-02,19.33,19.44,19.28,19.44,321200,19.44
2013-10-01,19.31,19.46,19.31,19.44,165000,19.44
2013-09-30,19.23,19.36,19.22,19.31,338500,19.31
2013-09-27,19.41,19.43,19.36,19.41,229900,19.41
2013-09-26,19.44,19.54,19.43,19.49,216300,19.49
2013-09-25,19.48,19.51,19.40,19.42,463200,19.42
2013-09-24,19.53,19.58,19.45,19.46,269700,19.46
2013-09-23,19.60,19.60,19.48,19.53,2468400,19.53
2013-09-20,19.78,19.79,19.61,19.62,231300,19.62
2013-09-19,19.84,19.84,19.73,19.76,324900,19.76
2013-09-18,19.55,19.82,19.51,19.78,273400,19.78
2013-09-17,19.48,19.57,19.48,19.56,250100,19.56
2013-09-16,19.56,19.58,19.45,19.47,194200,19.47
2013-09-13,19.34,19.38,19.31,19.37,246700,19.37
2013-09-12,19.36,19.38,19.31,19.31,217600,19.31
2013-09-11,19.30,19.37,19.27,19.37,203600,19.37
2013-09-10,19.30,19.32,19.25,19.32,466800,19.32
2013-09-09,19.03,19.18,19.03,19.18,214700,19.18
2013-09-06,19.06,19.09,18.84,18.99,492100,18.99
2013-09-05,18.97,19.04,18.97,18.99,405000,18.99
2013-09-04,18.82,18.99,18.79,18.96,850200,18.96
2013-09-03,18.90,18.94,18.74,18.79,580400,18.79
2013-08-30,18.82,18.82,18.67,18.73,921300,18.73
2013-08-29,18.72,18.88,18.72,18.79,1277000,18.79
2013-08-28,18.67,18.82,18.66,18.75,992300,18.75
2013-08-27,18.80,18.87,18.69,18.69,1542000,18.69
2013-08-26,19.08,19.15,18.99,19.01,831100,19.01
2013-08-23,19.05,19.09,18.97,19.07,569000,19.07
2013-08-22,18.87,19.02,18.87,19.00,1262600,19.00
2013-08-21,18.91,19.00,18.79,18.83,556300,18.83
2013-08-20,18.88,19.02,18.88,18.95,256300,18.95
2013-08-19,18.95,19.02,18.85,18.85,287800,18.85
2013-08-16,19.01,19.07,18.95,19.00,318700,19.00
2013-08-15,19.17,19.17,19.02,19.04,556100,19.04
2013-08-14,19.40,19.43,19.31,19.31,113000,19.31
2013-08-13,19.38,19.44,19.28,19.41,209600,19.41
2013-08-12,19.27,19.37,19.27,19.35,381000,19.35
2013-08-09,19.42,19.47,19.33,19.37,221100,19.37
2013-08-08,19.45,19.48,19.34,19.45,521900,19.45
2013-08-07,19.36,19.38,19.29,19.37,221900,19.37
2013-08-06,19.51,19.52,19.39,19.43,256000,19.43
2013-08-02,19.49,19.55,19.46,19.55,297600,19.55
2013-08-01,19.46,19.54,19.46,19.52,636500,19.52
2013-07-31,19.33,19.42,19.29,19.31,1419500,19.31
2013-07-30,19.35,19.36,19.26,19.30,663900,19.30
2013-07-29,19.31,19.34,19.24,19.28,636100,19.28
2013-07-26,19.25,19.35,19.18,19.35,741600,19.35
2013-07-25,19.26,19.34,19.22,19.33,707700,19.33
2013-07-24,19.43,19.43,19.26,19.29,601300,19.29
2013-07-23,19.43,19.44,19.35,19.36,294500,19.36
2013-07-22,19.40,19.43,19.35,19.39,232100,19.39
2013-07-19,19.30,19.38,19.27,19.38,180900,19.38
2013-07-18,19.26,19.38,19.26,19.33,359800,19.33
2013-07-17,19.24,19.28,19.21,19.24,389600,19.24
2013-07-16,19.26,19.26,19.14,19.17,309300,19.17
2013-07-15,19.23,19.28,19.20,19.25,231000,19.25
2013-07-12,19.17,19.21,19.13,19.20,227300,19.20
2013-07-11,19.13,19.18,19.07,19.17,419700,19.17
2013-07-10,18.90,18.97,18.86,18.91,988300,18.91
2013-07-09,18.90,18.93,18.83,18.92,757000,18.92
2013-07-08,18.76,18.82,18.74,18.76,665400,18.76
2013-07-05,18.61,18.68,18.47,18.68,439200,18.68
2013-07-04,18.55,18.68,18.53,18.68,129500,18.68
2013-07-03,18.35,18.52,18.35,18.51,304700,18.51
2013-07-02,18.45,18.58,18.38,18.46,175100,18.46
2013-06-28,18.39,18.47,18.31,18.34,727900,18.34
2013-06-27,18.44,18.53,18.44,18.46,430700,18.46
2013-06-26,18.29,18.37,18.25,18.34,883100,18.34
2013-06-25,18.17,18.23,18.06,18.17,548000,18.17
2013-06-24,18.02,18.14,17.84,17.99,745600,17.99
2013-06-21,18.30,18.30,18.05,18.22,1610500,18.22
2013-06-20,18.46,18.48,18.13,18.18,1599900,18.18
2013-06-19,18.88,18.90,18.64,18.65,1575100,18.65
2013-06-18,18.89,19.04,18.89,19.02,238300,18.89
2013-06-17,18.87,18.95,18.78,18.87,615600,18.74
2013-06-14,18.82,18.89,18.71,18.74,602200,18.61
2013-06-13,18.55,18.87,18.53,18.85,689900,18.72
2013-06-12,18.85,18.86,18.56,18.57,852500,18.44
2013-06-11,18.74,18.87,18.69,18.72,727500,18.59
2013-06-10,18.97,18.97,18.87,18.89,2264400,18.76
2013-06-07,18.80,18.92,18.73,18.91,354300,18.78
2013-06-06,18.50,18.66,18.40,18.66,835700,18.53
2013-06-05,18.71,18.73,18.50,18.52,1307500,18.39
2013-06-04,18.88,18.94,18.67,18.77,470500,18.64
2013-06-03,18.81,18.87,18.67,18.87,1512000,18.74
2013-05-31,18.98,19.08,18.75,18.77,1591300,18.64
2013-05-30,18.99,19.11,18.98,19.04,521700,18.91
2013-05-29,18.99,19.03,18.87,18.97,967900,18.84
2013-05-28,19.18,19.26,19.04,19.11,943000,18.98
2013-05-27,19.01,19.01,18.93,18.99,86800,18.86
2013-05-24,18.88,18.97,18.83,18.97,738300,18.84
2013-05-23,18.82,19.03,18.82,18.98,1477800,18.85
2013-05-22,19.20,19.38,18.97,19.04,2848200,18.91
2013-05-21,19.18,19.25,19.11,19.19,357000,19.06
2013-05-17,19.05,19.16,19.01,19.15,755300,19.02
2013-05-16,19.00,19.07,18.95,18.96,404400,18.83
2013-05-15,18.91,19.08,18.91,19.04,706400,18.91
2013-05-14,18.77,18.95,18.77,18.94,914500,18.81
2013-05-13,18.72,18.77,18.68,18.76,772400,18.63
2013-05-10,18.69,18.74,18.65,18.74,780400,18.61
2013-05-09,18.71,18.76,18.64,18.65,332000,18.52
2013-05-08,18.63,18.73,18.61,18.72,284900,18.59
2013-05-07,18.58,18.65,18.54,18.63,378100,18.50
2013-05-06,18.51,18.57,18.51,18.54,459800,18.41
2013-05-03,18.48,18.55,18.48,18.50,754900,18.37
2013-05-02,18.20,18.33,18.19,18.31,515700,18.19
2013-05-01,18.26,18.28,18.13,18.15,200400,18.03
2013-04-30,18.28,18.32,18.19,18.32,515600,18.20
2013-04-29,18.19,18.30,18.16,18.28,452900,18.16
2013-04-26,18.15,18.18,18.09,18.14,406400,18.02
2013-04-25,18.15,18.26,18.14,18.16,502000,18.04
2013-04-24,18.10,18.14,18.07,18.09,639700,17.97
2013-04-23,18.00,18.11,17.93,18.09,1279300,17.97
2013-04-22,17.86,17.93,17.75,17.90,1392700,17.78
2013-04-19,17.71,17.83,17.69,17.82,257700,17.70
2013-04-18,17.81,17.81,17.61,17.67,968400,17.55
2013-04-17,17.91,17.91,17.69,17.78,1242800,17.66
2013-04-16,17.91,18.04,17.88,18.04,876100,17.92
2013-04-15,18.12,18.12,17.79,17.80,493400,17.68
2013-04-12,18.19,18.22,18.10,18.20,432500,18.08
2013-04-11,18.19,18.30,18.18,18.25,284700,18.13
