Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,11.86,11.89,11.76,11.89,67300,11.89
2011-09-23,11.74,11.83,11.74,11.83,61000,11.83
2011-09-22,11.89,11.90,11.83,11.90,96300,11.84
2011-09-21,12.08,12.08,12.00,12.00,42500,11.94
2011-09-20,12.05,12.10,12.05,12.08,24000,12.02
2011-09-19,12.03,12.06,12.01,12.06,34300,12.00
2011-09-16,12.11,12.11,12.06,12.06,47600,12.00
2011-09-15,12.08,12.10,12.05,12.10,35700,12.04
2011-09-14,12.00,12.07,11.98,12.06,35000,12.00
2011-09-13,11.97,12.02,11.97,12.02,37700,11.96
2011-09-12,12.01,12.03,11.95,11.97,67700,11.91
2011-09-09,12.13,12.13,12.06,12.06,36100,12.00
2011-09-08,12.13,12.15,12.11,12.15,30300,12.09
2011-09-07,12.13,12.15,12.08,12.15,61200,12.09
2011-09-06,12.01,12.08,11.99,12.08,49000,12.02
2011-09-02,12.07,12.11,12.04,12.10,58700,12.04
2011-09-01,12.10,12.15,12.10,12.11,49500,12.05
2011-08-31,12.12,12.13,12.10,12.11,39200,12.05
2011-08-30,12.06,12.08,12.01,12.06,95600,12.00
2011-08-29,12.02,12.05,11.99,12.04,43700,11.98
2011-08-26,11.93,11.99,11.88,11.99,34600,11.93
2011-08-25,12.02,12.04,11.97,11.99,34600,11.87
2011-08-24,12.03,12.04,11.98,12.01,38700,11.89
2011-08-23,11.96,12.02,11.92,12.02,41600,11.90
2011-08-22,12.00,12.00,11.92,11.93,42200,11.81
2011-08-19,11.89,11.99,11.87,11.91,78700,11.79
2011-08-18,12.04,12.04,11.95,12.00,101800,11.88
2011-08-17,12.11,12.15,12.11,12.11,40200,11.99
2011-08-16,12.12,12.12,12.07,12.08,72600,11.96
2011-08-15,12.15,12.15,12.10,12.14,74500,12.02
2011-08-12,12.10,12.11,12.04,12.07,64900,11.95
2011-08-11,11.86,12.05,11.86,12.04,64400,11.92
2011-08-10,11.90,11.95,11.78,11.95,48400,11.83
2011-08-09,11.59,11.89,11.59,11.89,149100,11.77
2011-08-08,11.66,11.71,11.39,11.59,156900,11.47
2011-08-05,11.97,12.00,11.75,11.92,130600,11.80
2011-08-04,12.13,12.13,12.00,12.01,87800,11.89
2011-08-03,12.17,12.17,12.08,12.14,60800,12.02
2011-08-02,12.26,12.26,12.18,12.19,38600,12.07
2011-07-29,12.17,12.19,12.15,12.19,71500,12.07
2011-07-28,12.20,12.24,12.20,12.21,46500,12.09
2011-07-27,12.26,12.27,12.21,12.21,64700,12.09
2011-07-26,12.34,12.34,12.29,12.29,46600,12.17
2011-07-25,12.34,12.35,12.32,12.34,33700,12.22
2011-07-22,12.35,12.38,12.34,12.38,34600,12.26
2011-07-21,12.37,12.40,12.36,12.40,49000,12.22
2011-07-20,12.37,12.37,12.34,12.35,41900,12.17
2011-07-19,12.32,12.36,12.32,12.36,18600,12.18
2011-07-18,12.30,12.34,12.30,12.32,51500,12.14
2011-07-15,12.31,12.35,12.31,12.35,31100,12.17
2011-07-14,12.36,12.36,12.30,12.31,24400,12.13
2011-07-13,12.32,12.37,12.32,12.34,44700,12.16
2011-07-12,12.29,12.34,12.29,12.32,32000,12.14
2011-07-11,12.35,12.35,12.29,12.31,52800,12.13
2011-07-08,12.35,12.38,12.34,12.37,63400,12.19
2011-07-07,12.36,12.36,12.33,12.35,24800,12.17
2011-07-06,12.36,12.36,12.33,12.35,40800,12.17
2011-07-05,12.35,12.35,12.32,12.34,50300,12.16
2011-07-04,12.32,12.39,12.32,12.39,24100,12.21
2011-06-30,12.28,12.29,12.26,12.29,22000,12.11
2011-06-29,12.27,12.27,12.25,12.26,36000,12.08
2011-06-28,12.24,12.26,12.24,12.25,49200,12.07
2011-06-27,12.25,12.25,12.22,12.23,15200,12.05
2011-06-24,12.26,12.26,12.21,12.24,20000,12.06
