Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,3.65,3.69,3.29,3.49,4646800,3.49
2011-09-23,3.56,3.68,3.37,3.46,4389400,3.46
2011-09-22,3.30,3.65,3.19,3.52,8200200,3.52
2011-09-21,3.32,3.54,3.25,3.39,6545100,3.39
2011-09-20,3.59,3.60,3.23,3.26,6369500,3.26
2011-09-19,3.72,3.72,3.37,3.57,7915000,3.57
2011-09-16,4.13,4.15,3.75,3.84,6058600,3.84
2011-09-15,4.24,4.32,4.12,4.14,3833800,4.14
2011-09-14,4.42,4.48,4.05,4.22,4742000,4.22
2011-09-13,4.36,4.43,4.25,4.35,3108300,4.35
2011-09-12,4.60,4.65,4.15,4.28,6046200,4.28
2011-09-09,4.79,4.79,4.38,4.53,5575400,4.53
2011-09-08,5.06,5.15,4.78,4.80,4992200,4.80
2011-09-07,5.31,5.33,4.96,5.08,5191400,5.08
2011-09-06,5.28,5.36,5.03,5.08,7259800,5.08
2011-09-02,5.77,5.86,5.53,5.60,3369000,5.60
2011-09-01,6.33,6.39,5.95,5.98,2645300,5.98
2011-08-31,6.45,6.57,6.24,6.38,3233100,6.38
2011-08-30,6.30,6.48,6.13,6.45,2259800,6.45
2011-08-29,6.30,6.40,6.26,6.39,2116000,6.39
2011-08-26,5.91,6.22,5.80,6.12,4312300,6.12
2011-08-25,6.22,6.36,5.95,5.97,4525000,5.97
2011-08-24,6.19,6.29,5.98,6.12,4170100,6.12
2011-08-23,5.76,6.28,5.72,6.22,4798500,6.22
2011-08-22,5.75,5.91,5.45,5.57,6717100,5.57
2011-08-19,5.96,5.96,5.20,5.26,7809800,5.26
2011-08-18,6.00,6.17,5.58,5.63,4594100,5.63
2011-08-17,6.36,6.42,6.00,6.24,2452500,6.24
2011-08-16,6.36,6.59,6.12,6.27,3478200,6.27
2011-08-15,6.15,6.50,5.96,6.50,3532000,6.50
2011-08-12,6.51,6.78,5.94,5.95,5096100,5.95
2011-08-11,5.98,6.40,5.75,6.35,4206200,6.35
2011-08-10,5.73,6.15,5.59,5.80,4530000,5.80
2011-08-09,5.44,5.67,5.15,5.67,4894800,5.67
2011-08-08,5.35,5.45,5.00,5.08,7077700,5.08
2011-08-05,6.01,6.15,5.50,5.68,5946000,5.68
2011-08-04,6.60,6.63,5.90,5.95,8257100,5.95
