Date,Open,High,Low,Close,Volume,Adj Close
2012-12-20,0.06,0.06,0.06,0.06,000,0.06
2012-12-19,0.06,0.06,0.05,0.06,2998500,0.06
2012-12-18,0.07,0.07,0.05,0.06,13736600,0.06
2012-12-17,0.07,0.07,0.06,0.06,1559200,0.06
2012-12-14,0.06,0.07,0.06,0.06,1497800,0.06
2012-12-13,0.07,0.07,0.06,0.06,472300,0.06
2012-12-12,0.07,0.07,0.06,0.07,1377400,0.07
2012-12-11,0.07,0.07,0.06,0.07,3534400,0.07
2012-12-10,0.06,0.06,0.06,0.06,1751900,0.06
2012-12-07,0.06,0.07,0.06,0.06,948600,0.06
2012-12-06,0.06,0.06,0.06,0.06,2678500,0.06
2012-12-05,0.06,0.07,0.06,0.06,819700,0.06
2012-12-04,0.06,0.07,0.06,0.06,661800,0.06
2012-12-03,0.06,0.07,0.06,0.07,4144400,0.07
2012-11-30,0.07,0.07,0.06,0.06,505800,0.06
2012-11-29,0.07,0.07,0.06,0.07,627100,0.07
2012-11-28,0.07,0.07,0.07,0.07,1985300,0.07
2012-11-27,0.07,0.07,0.07,0.07,353900,0.07
2012-11-26,0.07,0.07,0.07,0.07,576300,0.07
2012-11-23,0.07,0.07,0.07,0.07,602400,0.07
2012-11-22,0.07,0.07,0.07,0.07,321700,0.07
2012-11-21,0.07,0.07,0.07,0.07,547100,0.07
2012-11-20,0.07,0.07,0.06,0.07,873800,0.07
2012-11-19,0.07,0.07,0.06,0.06,266200,0.06
2012-11-16,0.07,0.07,0.06,0.06,548900,0.06
2012-11-15,0.07,0.07,0.06,0.06,1251900,0.06
2012-11-14,0.07,0.07,0.07,0.07,984500,0.07
2012-11-13,0.07,0.07,0.07,0.07,315200,0.07
2012-11-12,0.07,0.07,0.07,0.07,827800,0.07
2012-11-09,0.08,0.08,0.07,0.07,111200,0.07
2012-11-08,0.07,0.08,0.07,0.07,640900,0.07
2012-11-07,0.08,0.08,0.07,0.07,1394900,0.07
2012-11-06,0.08,0.09,0.08,0.08,2288000,0.08
2012-11-05,0.08,0.08,0.08,0.08,809500,0.08
2012-11-02,0.08,0.08,0.08,0.08,299800,0.08
2012-11-01,0.08,0.08,0.08,0.08,812200,0.08
2012-10-31,0.07,0.08,0.07,0.08,937700,0.08
2012-10-30,0.08,0.08,0.07,0.07,883300,0.07
2012-10-29,0.07,0.08,0.07,0.07,1611900,0.07
2012-10-26,0.07,0.07,0.07,0.07,652600,0.07
2012-10-25,0.07,0.07,0.07,0.07,163300,0.07
2012-10-24,0.07,0.07,0.07,0.07,375000,0.07
2012-10-23,0.07,0.07,0.07,0.07,639400,0.07
2012-10-22,0.07,0.07,0.07,0.07,296400,0.07
2012-10-19,0.07,0.08,0.07,0.07,338900,0.07
2012-10-18,0.07,0.08,0.07,0.08,2138000,0.08
2012-10-17,0.07,0.08,0.07,0.07,2727100,0.07
2012-10-16,0.07,0.07,0.06,0.07,502500,0.07
2012-10-15,0.07,0.07,0.06,0.07,977100,0.07
2012-10-12,0.07,0.07,0.06,0.07,978200,0.07
2012-10-11,0.06,0.07,0.06,0.07,1449500,0.07
2012-10-10,0.06,0.07,0.06,0.06,2207700,0.06
2012-10-09,0.06,0.06,0.06,0.06,331700,0.06
2012-10-05,0.06,0.06,0.06,0.06,1147700,0.06
2012-10-04,0.06,0.06,0.06,0.06,625900,0.06
2012-10-03,0.06,0.06,0.06,0.06,2386500,0.06
2012-10-02,0.06,0.06,0.06,0.06,1841200,0.06
2012-10-01,0.07,0.07,0.06,0.06,1584200,0.06
2012-09-28,0.06,0.07,0.06,0.07,2603400,0.07
2012-09-27,0.06,0.07,0.06,0.07,132000,0.07
2012-09-26,0.06,0.07,0.06,0.07,3340500,0.07
2012-09-25,0.06,0.07,0.06,0.06,400600,0.06
2012-09-24,0.07,0.07,0.06,0.06,411300,0.06
2012-09-21,0.07,0.07,0.06,0.07,561500,0.07
2012-09-20,0.07,0.07,0.06,0.07,550500,0.07
2012-09-19,0.07,0.07,0.06,0.07,184800,0.07
2012-09-18,0.07,0.07,0.06,0.06,635500,0.06
2012-09-17,0.07,0.07,0.06,0.06,1830700,0.06
2012-09-14,0.07,0.07,0.07,0.07,1352800,0.07
2012-09-13,0.07,0.07,0.07,0.07,416300,0.07
2012-09-12,0.07,0.08,0.07,0.07,1735300,0.07
2012-09-11,0.07,0.07,0.07,0.07,736000,0.07
2012-09-10,0.08,0.08,0.07,0.07,5540900,0.07
2012-09-07,0.09,0.10,0.08,0.08,4944500,0.08
2012-09-06,0.07,0.10,0.07,0.09,13005100,0.09
2012-09-05,0.07,0.07,0.06,0.07,2442100,0.07
2012-09-04,0.06,0.08,0.06,0.07,6526300,0.07
2012-08-31,0.06,0.07,0.05,0.06,2667800,0.06
2012-08-30,0.05,0.06,0.05,0.06,1427500,0.06
2012-08-29,0.06,0.06,0.05,0.05,592000,0.05
2012-08-28,0.06,0.06,0.06,0.06,1549600,0.06
2012-08-27,0.06,0.06,0.06,0.06,477600,0.06
2012-08-24,0.06,0.06,0.06,0.06,683200,0.06
2012-08-23,0.06,0.06,0.06,0.06,465700,0.06
2012-08-22,0.06,0.07,0.06,0.06,1676900,0.06
2012-08-21,0.06,0.07,0.06,0.06,209300,0.06
2012-08-20,0.06,0.07,0.06,0.07,291400,0.07
2012-08-17,0.07,0.07,0.06,0.06,813800,0.06
2012-08-16,0.07,0.07,0.07,0.07,1245300,0.07
2012-08-15,0.07,0.07,0.07,0.07,432600,0.07
2012-08-14,0.07,0.07,0.07,0.07,567700,0.07
2012-08-13,0.08,0.08,0.07,0.07,869600,0.07
2012-08-10,0.07,0.08,0.07,0.07,1230800,0.07
2012-08-09,0.07,0.08,0.07,0.07,3842900,0.07
2012-08-08,0.07,0.07,0.06,0.06,840000,0.06
2012-08-07,0.08,0.08,0.06,0.06,6621300,0.06
2012-08-03,0.07,0.08,0.07,0.07,1583200,0.07
2012-08-02,0.07,0.08,0.07,0.08,1848300,0.08
2012-08-01,0.08,0.08,0.07,0.08,2060700,0.08
2012-07-31,0.08,0.08,0.07,0.07,1652100,0.07
2012-07-30,0.08,0.08,0.07,0.08,3070100,0.08
2012-07-27,0.07,0.08,0.06,0.07,3341200,0.07
2012-07-26,0.06,0.08,0.05,0.07,6917500,0.07
2012-07-25,0.06,0.06,0.05,0.06,4359400,0.06
2012-07-24,0.09,0.09,0.06,0.06,11212400,0.06
2012-07-23,0.03,0.12,0.03,0.09,31962400,0.09
2012-07-20,0.03,0.03,0.03,0.03,653200,0.03
2012-07-19,0.03,0.04,0.03,0.03,6113800,0.03
2012-07-18,0.03,0.04,0.03,0.03,379600,0.03
2012-07-17,0.03,0.04,0.03,0.03,263300,0.03
2012-07-16,0.03,0.04,0.03,0.03,303500,0.03
2012-07-13,0.03,0.04,0.03,0.03,394100,0.03
2012-07-12,0.03,0.04,0.03,0.03,247100,0.03
2012-07-11,0.04,0.04,0.03,0.03,807300,0.03
2012-07-10,0.03,0.04,0.03,0.03,412700,0.03
2012-07-09,0.04,0.04,0.03,0.03,1089200,0.03
2012-07-06,0.03,0.04,0.03,0.03,283500,0.03
2012-07-05,0.04,0.04,0.03,0.03,227500,0.03
