#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ADRE	2011-12-01	1.030790	9.701280e+4	41.980	36.720	42.190	35.030	36.720	40.240	36.720	41.980	0.580	0.000000	42.50	36.72	0.00	1
ADRE	2011-11-30	1.054520	9.483010e+4	41.980	36.720	42.190	35.030	36.720	40.950	36.720	41.980	1.990	0.000000	42.51	36.72	0.00	2
ADRE	2011-11-29	1.005280	9.947460e+4	41.980	36.720	42.190	35.030	36.720	40.950	36.720	41.980	0.460	0.000000	42.48	36.72	0.00	3
ADRE	2011-11-28	1.033980	9.671360e+4	42.190	36.720	42.190	35.030	36.720	41.180	36.720	42.190	1.530	0.000000	42.71	36.72	0.00	4
ADRE	2011-11-25	1.007870	9.921870e+4	42.190	37.040	42.190	35.030	37.040	41.180	37.040	42.190	0.550	0.000000	42.69	37.04	0.00	5
ADRE	2011-11-23	1.031970	9.690170e+4	42.190	38.290	42.190	35.030	38.290	41.180	38.290	42.190	1.250	0.000000	42.71	38.29	0.00	6
ADRE	2011-11-22	1.020500	9.799130e+4	42.190	38.360	42.190	35.030	38.360	41.980	38.360	42.190	0.650	0.000000	42.70	38.36	0.00	7
ADRE	2011-11-21	1.040000	9.615400e+4	42.190	39.140	42.190	35.030	39.240	41.980	39.140	42.190	1.380	0.000000	42.71	39.14	0.00	8
ADRE	2011-11-18	1.022100	9.783750e+4	42.190	38.430	42.390	35.030	39.340	41.980	38.430	42.190	0.650	0.000000	42.70	38.43	0.00	9
ADRE	2011-11-17	1.041690	9.599810e+4	42.190	37.570	42.390	35.030	40.040	41.980	37.570	42.190	1.250	0.000000	42.71	37.57	0.00	10
ADRE	2011-11-16	1.030720	9.701920e+4	42.190	37.570	42.390	35.030	40.040	41.980	37.570	42.190	0.750	0.000000	42.71	37.57	0.00	11
ADRE	2011-11-15	1.045500	9.564810e+4	42.190	37.570	42.390	35.030	39.910	41.980	37.570	42.190	0.610	0.000000	42.71	37.57	0.00	12
ADRE	2011-11-14	1.068420	9.359620e+4	42.190	37.570	42.390	35.030	39.910	41.980	37.570	42.190	0.540	0.000000	42.72	37.57	0.00	13
ADRE	2011-11-11	1.096230	9.122160e+4	42.190	37.570	42.390	35.030	39.910	42.190	37.570	42.190	1.010	0.000000	42.74	37.57	0.00	14
ADRE	2011-11-10	1.100770	9.084550e+4	42.190	37.570	42.390	35.030	39.910	42.190	37.570	42.190	0.800	0.000000	42.74	37.57	0.00	15
ADRE	2011-11-09	1.116600	8.955760e+4	42.190	37.570	42.390	35.030	39.910	42.190	37.570	42.190	1.980	0.000000	42.75	37.57	0.00	16
ADRE	2011-11-08	1.071160	9.335690e+4	42.190	37.570	42.390	35.030	39.140	42.190	37.570	42.190	0.670	0.000000	42.73	37.57	0.00	17
ADRE	2011-11-07	1.092270	9.155230e+4	42.190	37.570	42.390	35.030	39.140	42.190	37.570	42.190	0.490	0.000000	42.74	37.57	0.00	18
ADRE	2011-11-04	1.123970	8.897040e+4	42.190	36.620	42.390	35.030	38.430	42.190	36.620	42.190	0.660	0.000000	42.75	36.62	0.00	19
ADRE	2011-11-03	1.148390	8.707850e+4	42.190	36.620	42.390	35.030	37.570	42.190	36.620	42.190	0.750	0.000000	42.76	36.62	0.00	20
ADRE	2011-11-02	1.169360	8.551710e+4	42.190	36.210	42.390	35.030	37.570	42.190	36.210	42.190	1.210	0.000000	42.77	36.21	0.00	21
ADRE	2011-11-01	1.167220	8.567380e+4	42.190	35.480	42.390	35.030	37.570	42.190	35.480	42.190	1.720	0.000000	42.77	35.48	0.00	22
ADRE	2011-10-31	1.138120	8.786390e+4	42.190	35.030	42.390	35.030	37.570	42.190	35.030	42.190	1.300	0.000000	42.76	35.03	0.00	23
ADRE	2011-10-28	1.129600	8.852650e+4	42.090	35.030	42.390	35.030	37.570	42.090	35.030	42.090	0.840	0.000000	42.65	35.03	0.00	24
ADRE	2011-10-27	1.144850	8.734790e+4	39.930	35.030	42.390	35.030	37.570	39.930	35.030	39.930	2.430	0.000000	40.50	35.03	0.00	25
ADRE	2011-10-26	1.077210	9.283260e+4	39.910	35.030	42.390	35.030	37.570	39.910	35.030	39.910	0.820	0.000000	40.45	35.03	0.00	26
ADRE	2011-10-25	1.090740	9.168050e+4	39.910	35.030	42.390	35.030	37.570	39.910	35.030	39.910	0.870	0.000000	40.46	35.03	0.00	27
ADRE	2011-10-24	1.102360	9.071420e+4	39.360	35.030	42.390	35.030	37.570	39.360	35.030	39.360	1.480	0.000000	39.91	35.03	0.00	28
ADRE	2011-10-21	1.082490	9.237990e+4	39.360	35.030	42.390	35.030	36.620	39.360	35.030	39.360	0.920	0.000000	39.90	35.03	0.00	29
ADRE	2011-10-20	1.091040	9.165580e+4	39.360	35.030	44.170	35.030	36.620	39.360	35.030	39.360	1.150	0.000000	39.91	35.03	0.00	30
ADRE	2011-10-19	1.087940	9.191720e+4	39.360	35.030	44.460	35.030	36.210	39.360	35.030	39.360	0.790	0.000000	39.90	35.03	0.00	31
ADRE	2011-10-18	1.103620	9.061120e+4	39.360	35.030	45.780	35.030	35.480	39.360	35.030	39.360	1.250	0.000000	39.91	35.03	0.00	32
ADRE	2011-10-17	1.095910	9.124820e+4	39.470	35.030	45.780	35.030	35.030	39.360	35.030	39.470	1.200	0.000000	40.02	35.03	0.00	33
ADRE	2011-10-14	1.090430	9.170660e+4	40.270	35.030	45.780	35.030	35.030	38.990	35.030	40.270	0.690	0.000000	40.82	35.03	0.00	34
ADRE	2011-10-13	1.111510	8.996780e+4	40.680	35.030	45.780	35.030	35.030	38.990	35.030	40.680	0.910	0.000000	41.24	35.03	0.00	35
ADRE	2011-10-12	1.122120	8.911740e+4	40.680	35.030	46.520	35.030	35.030	37.970	35.030	40.680	1.430	0.000000	41.24	35.03	0.00	36
ADRE	2011-10-11	1.105910	9.042320e+4	40.680	35.030	46.520	35.030	35.030	37.940	35.030	40.680	0.650	0.000000	41.23	35.03	0.00	37
ADRE	2011-10-10	1.129910	8.850290e+4	40.680	35.030	46.520	35.030	35.030	37.790	35.030	40.680	1.380	0.000000	41.24	35.03	0.00	38
ADRE	2011-10-07	1.116740	8.954610e+4	40.680	35.030	46.520	35.030	35.030	37.790	35.030	40.680	1.230	0.000000	41.24	35.03	0.00	39
ADRE	2011-10-06	1.110780	9.002660e+4	41.320	35.030	46.520	35.030	35.030	37.790	35.030	41.320	1.060	0.000000	41.88	35.03	0.00	40
ADRE	2011-10-05	1.113460	8.981050e+4	41.830	35.030	46.520	35.030	35.030	37.920	35.030	41.830	0.920	0.000000	42.39	35.03	0.00	41
ADRE	2011-10-04	1.123640	8.899670e+4	41.830	35.030	46.520	35.030	35.030	39.320	35.030	41.830	1.420	0.000000	42.39	35.03	0.00	42
ADRE	2011-10-03	1.108040	9.024950e+4	41.830	35.680	46.520	35.680	35.680	39.470	35.680	41.830	1.080	0.000000	42.38	35.68	0.00	43
ADRE	2011-09-30	1.109510	9.012950e+4	42.390	35.680	46.520	35.680	35.680	40.270	35.680	42.390	1.250	0.000000	42.94	35.68	0.00	44
ADRE	2011-09-29	1.102120	9.073420e+4	42.390	35.680	46.520	35.680	35.680	40.680	35.680	42.390	0.940	0.000000	42.94	35.68	0.00	45
ADRE	2011-09-28	1.110650	9.003710e+4	42.390	35.680	46.520	35.680	35.680	40.680	35.680	42.390	1.010	0.000000	42.95	35.68	0.00	46
ADRE	2011-09-27	1.115950	8.960970e+4	42.390	35.680	46.520	35.680	35.680	40.680	35.680	42.390	1.540	0.000000	42.95	35.68	0.00	47
ADRE	2011-09-26	1.093630	9.143840e+4	42.390	35.680	46.620	35.680	35.680	40.680	35.680	42.390	1.370	0.000000	42.94	35.68	0.00	48
ADRE	2011-09-23	1.079090	9.267100e+4	42.390	35.680	47.080	35.680	35.680	40.680	35.680	42.390	0.750	0.000000	42.93	35.68	0.00	49
ADRE	2011-09-22	1.096410	9.120700e+4	42.390	37.920	47.080	37.920	37.920	41.320	37.920	42.390	2.590	0.000000	42.94	37.92	0.00	50
ADRE	2011-09-21	1.017800	9.825140e+4	42.390	39.320	47.080	38.280	39.320	41.830	39.320	42.390	1.400	0.000000	42.90	39.32	0.00	51
ADRE	2011-09-20	0.997681	1.002320e+5	42.390	39.470	47.150	38.280	39.470	41.830	39.470	42.390	0.590	0.000000	42.89	39.47	0.00	52
ADRE	2011-09-19	1.019140	9.812210e+4	42.390	39.290	47.150	38.280	39.740	41.830	39.290	42.390	1.230	0.000000	42.90	39.29	0.00	53
