#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
APA	2011-12-01	3.951900	2.530430e+4	104.710	86.830	104.990	76.500	86.830	102.540	86.830	104.710	3.000	0.000000	106.69	86.83	0.00	1
APA	2011-11-30	4.002000	2.498750e+4	104.710	86.830	104.990	76.500	86.830	103.430	86.830	104.710	6.980	0.000000	106.71	86.83	0.00	2
APA	2011-11-29	3.845260	2.600600e+4	104.710	86.830	104.990	76.500	86.830	103.430	86.830	104.710	3.220	0.000000	106.63	86.83	0.00	3
APA	2011-11-28	3.878170	2.578540e+4	104.990	86.830	104.990	76.500	86.830	104.710	86.830	104.990	4.940	0.000000	106.93	86.83	0.00	4
APA	2011-11-25	3.822280	2.616240e+4	104.990	88.140	104.990	76.500	88.140	104.710	88.140	104.990	1.740	0.000000	106.90	88.14	0.00	5
APA	2011-11-23	3.931880	2.543310e+4	104.990	92.470	104.990	76.500	92.470	104.710	92.470	104.990	4.380	0.000000	106.96	92.47	0.00	6
APA	2011-11-22	3.908290	2.558660e+4	104.990	94.130	104.990	76.500	95.410	104.710	94.130	104.990	5.230	0.000000	106.94	94.13	0.00	7
APA	2011-11-21	3.838730	2.605030e+4	104.990	94.130	104.990	76.500	98.000	104.710	94.130	104.990	5.000	0.000000	106.91	94.13	0.00	8
APA	2011-11-18	3.777610	2.647180e+4	104.990	94.130	104.990	76.500	98.000	104.710	94.130	104.990	2.910	0.000000	106.88	94.13	0.00	9
APA	2011-11-17	3.823270	2.615560e+4	104.990	91.290	104.990	76.500	99.780	104.710	91.290	104.990	5.900	0.000000	106.90	91.29	0.00	10
APA	2011-11-16	3.713970	2.692540e+4	104.990	90.160	104.990	76.500	98.360	104.710	90.160	104.990	4.010	0.000000	106.85	90.16	0.00	11
APA	2011-11-15	3.698390	2.703880e+4	104.990	90.160	104.990	76.500	94.130	104.710	90.160	104.990	2.200	0.000000	106.84	90.16	0.00	12
APA	2011-11-14	3.777250	2.647430e+4	104.990	87.930	104.990	76.500	94.130	104.710	87.930	104.990	2.530	0.000000	106.88	87.93	0.00	13
APA	2011-11-11	3.842900	2.602200e+4	104.990	87.930	104.990	76.500	94.130	104.990	87.930	104.990	3.280	0.000000	106.91	87.93	0.00	14
APA	2011-11-10	3.872520	2.582290e+4	104.990	87.110	104.990	76.500	94.130	104.990	87.110	104.990	3.300	0.000000	106.93	87.11	0.00	15
APA	2011-11-09	3.902660	2.562360e+4	104.990	87.110	104.990	76.500	94.130	104.990	87.110	104.990	5.090	0.000000	106.94	87.11	0.00	16
APA	2011-11-08	3.840170	2.604050e+4	104.990	86.980	104.990	76.500	94.130	104.990	86.980	104.990	3.430	0.000000	106.91	86.98	0.00	17
APA	2011-11-07	3.861750	2.589500e+4	104.990	86.980	104.990	76.500	94.130	104.990	86.980	104.990	2.450	0.000000	106.92	86.98	0.00	18
APA	2011-11-04	3.936060	2.540610e+4	104.990	84.840	104.990	76.500	94.130	104.990	84.840	104.990	2.780	0.000000	106.96	84.84	0.00	19
APA	2011-11-03	3.996900	2.501940e+4	104.990	84.840	104.990	76.500	91.290	104.990	84.840	104.990	4.140	0.000000	106.99	84.84	0.00	20
APA	2011-11-02	3.989370	2.506660e+4	104.990	82.900	104.990	76.500	90.160	104.990	82.900	104.990	4.350	0.000000	106.98	82.90	0.00	21
APA	2011-11-01	3.970390	2.518640e+4	104.990	78.820	105.420	76.500	90.160	104.990	78.820	104.990	5.800	0.000000	106.97	78.82	0.00	22
APA	2011-10-31	3.874090	2.581250e+4	104.990	76.500	105.420	76.500	87.930	104.990	76.500	104.990	5.420	0.000000	106.93	76.50	0.00	23
APA	2011-10-28	3.792730	2.636620e+4	102.840	76.500	105.420	76.500	87.930	102.840	76.500	102.840	4.000	0.000000	104.74	76.50	0.00	24
APA	2011-10-27	3.781820	2.644230e+4	97.360	76.500	105.420	76.500	87.110	97.360	76.500	97.360	6.700	0.000000	99.25	76.50	0.00	25
APA	2011-10-26	3.628230	2.756160e+4	97.270	76.500	105.420	76.500	87.110	97.270	76.500	97.270	4.100	0.000000	99.08	76.50	0.00	26
APA	2011-10-25	3.603400	2.775150e+4	97.270	76.500	105.420	76.500	86.980	97.270	76.500	97.270	3.590	0.000000	99.07	76.50	0.00	27
APA	2011-10-24	3.604110	2.774610e+4	94.730	76.500	106.700	76.500	86.980	94.730	76.500	94.730	2.790	0.000000	96.53	76.50	0.00	28
APA	2011-10-21	3.646960	2.742010e+4	91.360	76.500	109.180	76.500	84.840	91.360	76.500	91.360	3.460	0.000000	93.18	76.50	0.00	29
APA	2011-10-20	3.656800	2.734630e+4	91.360	76.500	118.450	76.500	84.840	91.360	76.500	91.360	2.620	0.000000	93.19	76.50	0.00	30
APA	2011-10-19	3.711370	2.694430e+4	91.360	76.500	120.020	76.500	82.900	91.360	76.500	91.360	2.570	0.000000	93.22	76.50	0.00	31
APA	2011-10-18	3.771440	2.651510e+4	94.520	76.500	124.060	76.500	78.820	91.360	76.500	94.520	3.680	0.000000	96.41	76.50	0.00	32
APA	2011-10-17	3.776250	2.648130e+4	95.690	76.500	124.060	76.500	76.500	91.360	76.500	95.690	4.050	0.000000	97.58	76.50	0.00	33
APA	2011-10-14	3.761840	2.658270e+4	98.200	76.500	124.630	76.500	76.500	88.580	76.500	98.200	4.270	0.000000	100.08	76.50	0.00	34
APA	2011-10-13	3.735100	2.677310e+4	98.200	76.500	124.630	76.500	76.500	88.580	76.500	98.200	3.150	0.000000	100.07	76.50	0.00	35
APA	2011-10-12	3.765890	2.655410e+4	98.200	76.500	127.730	76.500	76.500	88.580	76.500	98.200	2.820	0.000000	100.08	76.50	0.00	36
APA	2011-10-11	3.815680	2.620770e+4	98.200	76.500	128.060	76.500	76.500	88.580	76.500	98.200	2.890	0.000000	100.11	76.50	0.00	37
APA	2011-10-10	3.864390	2.587730e+4	98.200	76.500	128.470	76.500	76.500	86.230	76.500	98.200	4.000	0.000000	100.13	76.50	0.00	38
APA	2011-10-07	3.857260	2.592520e+4	98.200	76.500	128.470	76.500	76.500	86.230	76.500	98.200	3.000	0.000000	100.13	76.50	0.00	39
APA	2011-10-06	3.902380	2.562540e+4	98.220	76.500	128.470	76.500	76.500	85.860	76.500	98.220	3.990	0.000000	100.17	76.50	0.00	40
APA	2011-10-05	3.897760	2.565570e+4	99.620	76.500	128.470	76.500	76.500	91.350	76.500	99.620	5.210	0.000000	101.57	76.50	0.00	41
APA	2011-10-04	3.828700	2.611850e+4	99.620	76.500	128.470	76.500	76.500	94.520	76.500	99.620	5.950	0.000000	101.53	76.50	0.00	42
APA	2011-10-03	3.717050	2.690300e+4	99.620	80.240	128.470	80.240	80.240	95.690	80.240	99.620	3.770	0.000000	101.48	80.24	0.00	43
APA	2011-09-30	3.714270	2.692320e+4	101.770	82.570	128.470	82.570	82.570	98.200	82.570	101.770	2.830	0.000000	103.63	82.57	0.00	44
APA	2011-09-29	3.760810	2.659000e+4	103.070	82.570	128.470	82.570	82.570	98.200	82.570	103.070	4.190	0.000000	104.95	82.57	0.00	45
APA	2011-09-28	3.738220	2.675070e+4	103.070	82.730	128.470	82.730	82.730	98.200	82.730	103.070	3.590	0.000000	104.94	82.73	0.00	46
APA	2011-09-27	3.746020	2.669500e+4	103.240	82.730	128.470	82.730	82.730	98.200	82.730	103.240	3.160	0.000000	105.11	82.73	0.00	47
APA	2011-09-26	3.776860	2.647700e+4	103.240	82.730	128.470	82.730	82.730	98.200	82.730	103.240	3.650	0.000000	105.13	82.73	0.00	48
APA	2011-09-23	3.783540	2.643030e+4	103.240	83.690	128.470	83.690	83.690	98.200	83.690	103.240	2.770	0.000000	105.13	83.69	0.00	49
APA	2011-09-22	3.836880	2.606280e+4	103.240	91.350	128.470	91.350	91.350	98.220	91.350	103.240	8.340	0.000000	105.16	91.35	0.00	50
APA	2011-09-21	3.599880	2.777870e+4	103.240	93.490	128.470	93.490	93.490	99.620	93.490	103.240	4.670	0.000000	105.04	93.49	0.00	51
APA	2011-09-20	3.543550	2.822030e+4	103.240	93.490	128.470	93.490	93.490	99.620	93.490	103.240	3.090	0.000000	105.01	93.49	0.00	52
APA	2011-09-19	3.567420	2.803140e+4	103.240	93.490	128.470	93.490	93.490	99.620	93.490	103.240	4.200	0.000000	105.02	93.49	0.00	53
