#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ARGT	2011-12-01	0.255738	3.910250e+5	11.710	10.470	11.710	9.310	10.470	11.520	10.470	11.710	0.040	0.000000	11.84	10.47	0.00	1
ARGT	2011-11-30	0.267093	3.744020e+5	11.710	10.470	11.710	9.310	10.470	11.520	10.470	11.710	0.600	0.000000	11.84	10.47	0.00	2
ARGT	2011-11-29	0.249571	4.006870e+5	11.710	10.470	11.710	9.310	10.470	11.520	10.470	11.710	0.140	0.000000	11.83	10.47	0.00	3
ARGT	2011-11-28	0.255338	3.916370e+5	11.710	10.470	11.740	9.310	10.470	11.560	10.470	11.710	0.390	0.000000	11.84	10.47	0.00	4
ARGT	2011-11-25	0.248251	4.028190e+5	11.710	10.480	12.190	9.310	10.480	11.560	10.480	11.710	0.070	0.000000	11.83	10.48	0.00	5
ARGT	2011-11-23	0.257632	3.881500e+5	11.710	10.640	12.270	9.310	10.740	11.560	10.640	11.710	0.320	0.000000	11.84	10.64	0.00	6
ARGT	2011-11-22	0.254350	3.931590e+5	11.710	10.640	12.270	9.310	10.740	11.710	10.640	11.710	0.080	0.000000	11.84	10.64	0.00	7
ARGT	2011-11-21	0.263526	3.794690e+5	11.710	10.640	12.500	9.310	11.050	11.710	10.640	11.710	0.440	0.000000	11.84	10.64	0.00	8
ARGT	2011-11-18	0.254238	3.933320e+5	11.710	10.640	12.540	9.310	11.050	11.710	10.640	11.710	0.000	0.000000	11.84	10.64	0.00	9
ARGT	2011-11-17	0.267619	3.736660e+5	11.710	10.410	12.570	9.310	11.190	11.710	10.410	11.710	0.470	0.000000	11.84	10.41	0.00	10
ARGT	2011-11-16	0.256967	3.891540e+5	11.710	10.410	12.630	9.310	10.790	11.710	10.410	11.710	0.000	0.000000	11.84	10.41	0.00	11
ARGT	2011-11-15	0.270492	3.696970e+5	11.710	10.410	12.630	9.310	10.640	11.710	10.410	11.710	0.070	0.000000	11.85	10.41	0.00	12
ARGT	2011-11-14	0.281044	3.558160e+5	11.710	10.410	12.630	9.310	10.640	11.710	10.410	11.710	0.100	0.000000	11.85	10.41	0.00	13
ARGT	2011-11-11	0.290573	3.441480e+5	11.710	10.410	12.630	9.310	10.640	11.710	10.410	11.710	0.370	0.000000	11.86	10.41	0.00	14
ARGT	2011-11-10	0.286392	3.491710e+5	11.710	10.410	12.630	9.310	10.640	11.710	10.410	11.710	0.100	0.000000	11.85	10.41	0.00	15
ARGT	2011-11-09	0.296203	3.376070e+5	11.710	10.410	12.630	9.310	10.640	11.710	10.410	11.710	0.450	0.000000	11.86	10.41	0.00	16
ARGT	2011-11-08	0.288108	3.470920e+5	11.690	9.930	12.630	9.310	10.640	11.690	9.930	11.690	0.230	0.000000	11.83	9.93	0.00	17
ARGT	2011-11-07	0.291166	3.434460e+5	11.690	9.930	12.630	9.310	10.640	11.690	9.930	11.690	0.100	0.000000	11.84	9.93	0.00	18
ARGT	2011-11-04	0.301228	3.319750e+5	11.690	9.930	12.630	9.310	10.640	11.690	9.930	11.690	0.030	0.000000	11.84	9.93	0.00	19
ARGT	2011-11-03	0.315503	3.169540e+5	11.690	9.930	13.010	9.310	10.410	11.690	9.930	11.690	0.720	0.000000	11.85	9.93	0.00	20
ARGT	2011-11-02	0.294214	3.398890e+5	11.690	9.930	13.010	9.310	10.410	11.690	9.930	11.690	0.150	0.000000	11.84	9.93	0.00	21
ARGT	2011-11-01	0.301804	3.313410e+5	11.690	9.310	13.010	9.310	10.410	11.690	9.310	11.690	0.680	0.000000	11.84	9.31	0.00	22
ARGT	2011-10-31	0.281899	3.547370e+5	11.690	9.310	13.010	9.310	10.410	11.690	9.310	11.690	0.600	0.000000	11.83	9.31	0.00	23
ARGT	2011-10-28	0.265156	3.771360e+5	11.690	9.310	13.010	9.310	10.410	11.690	9.310	11.690	0.160	0.000000	11.82	9.31	0.00	24
ARGT	2011-10-27	0.270691	3.694250e+5	11.170	9.310	13.010	9.310	10.410	11.170	9.310	11.170	0.720	0.000000	11.31	9.31	0.00	25
ARGT	2011-10-26	0.247043	4.047880e+5	11.170	9.310	13.010	9.310	10.410	11.170	9.310	11.170	0.100	0.000000	11.29	9.31	0.00	26
ARGT	2011-10-25	0.254782	3.924920e+5	11.170	9.310	13.010	9.310	9.930	11.170	9.310	11.170	0.100	0.000000	11.30	9.31	0.00	27
