#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
AUY	2011-12-01	0.639422	1.563910e+5	16.830	14.650	16.830	12.800	14.650	16.830	14.650	16.830	0.360	0.000000	17.15	14.65	0.00	1
AUY	2011-11-30	0.654128	1.528750e+5	16.470	14.650	16.740	12.800	14.650	16.200	14.650	16.470	1.250	0.000000	16.80	14.65	0.00	2
AUY	2011-11-29	0.622766	1.605740e+5	16.470	14.650	16.740	12.800	14.650	16.220	14.650	16.470	0.510	0.000000	16.78	14.65	0.00	3
AUY	2011-11-28	0.628701	1.590580e+5	16.470	14.650	16.980	12.800	14.650	16.470	14.650	16.470	0.720	0.000000	16.78	14.65	0.00	4
AUY	2011-11-25	0.623896	1.602830e+5	16.470	14.970	17.390	12.800	15.010	16.470	14.970	16.470	0.400	0.000000	16.78	14.97	0.00	5
AUY	2011-11-23	0.635680	1.573120e+5	16.470	14.970	17.390	12.800	15.080	16.470	14.970	16.470	0.560	0.000000	16.79	14.97	0.00	6
AUY	2011-11-22	0.639663	1.563320e+5	16.470	14.970	17.390	12.800	15.080	16.470	14.970	16.470	0.560	0.000000	16.79	14.97	0.00	7
AUY	2011-11-21	0.643856	1.553140e+5	16.470	14.970	17.390	12.800	15.420	16.470	14.970	16.470	0.750	0.000000	16.79	14.97	0.00	8
AUY	2011-11-18	0.638270	1.566740e+5	16.470	14.350	17.390	12.800	15.500	16.470	14.350	16.470	0.390	0.000000	16.79	14.35	0.00	9
AUY	2011-11-17	0.651337	1.535300e+5	16.470	14.040	17.390	12.800	15.920	16.470	14.040	16.470	0.590	0.000000	16.80	14.04	0.00	10
AUY	2011-11-16	0.654565	1.527730e+5	16.470	14.040	17.390	12.800	15.310	16.470	14.040	16.470	0.400	0.000000	16.80	14.04	0.00	11
AUY	2011-11-15	0.667963	1.497090e+5	16.470	14.040	17.390	12.800	14.970	16.470	14.040	16.470	0.410	0.000000	16.80	14.04	0.00	12
AUY	2011-11-14	0.681540	1.467270e+5	16.470	14.040	17.390	12.800	14.970	16.470	14.040	16.470	0.470	0.000000	16.81	14.04	0.00	13
AUY	2011-11-11	0.692674	1.443680e+5	16.430	14.040	17.390	12.800	14.970	16.430	14.040	16.430	0.600	0.000000	16.78	14.04	0.00	14
AUY	2011-11-10	0.697551	1.433590e+5	16.430	14.040	17.390	12.800	14.970	16.430	14.040	16.430	0.500	0.000000	16.78	14.04	0.00	15
AUY	2011-11-09	0.707949	1.412530e+5	16.430	14.040	17.390	12.800	14.970	16.430	14.040	16.430	0.680	0.000000	16.78	14.04	0.00	16
AUY	2011-11-08	0.709420	1.409600e+5	16.430	14.040	17.390	12.800	14.970	16.430	14.040	16.430	0.430	0.000000	16.78	14.04	0.00	17
AUY	2011-11-07	0.724126	1.380980e+5	16.260	14.040	17.390	12.800	14.970	16.260	14.040	16.260	0.460	0.000000	16.62	14.04	0.00	18
AUY	2011-11-04	0.738027	1.354960e+5	16.170	14.040	17.390	12.800	14.350	16.170	14.040	16.170	0.530	0.000000	16.54	14.04	0.00	19
AUY	2011-11-03	0.748976	1.335160e+5	15.550	14.040	17.390	12.800	14.040	15.550	14.040	15.550	0.890	0.000000	15.92	14.04	0.00	20
AUY	2011-11-02	0.741554	1.348520e+5	15.550	13.730	17.390	12.800	14.040	15.550	13.730	15.550	0.560	0.000000	15.92	13.73	0.00	21
AUY	2011-11-01	0.751109	1.331360e+5	15.550	12.800	17.390	12.800	14.040	15.550	12.800	15.550	1.020	0.000000	15.93	12.80	0.00	22
AUY	2011-10-31	0.736957	1.356930e+5	15.550	12.800	17.390	12.800	14.040	15.550	12.800	15.550	0.640	0.000000	15.92	12.80	0.00	23
AUY	2011-10-28	0.742060	1.347600e+5	15.550	12.800	17.390	12.800	14.040	15.550	12.800	15.550	0.450	0.000000	15.92	12.80	0.00	24
AUY	2011-10-27	0.757432	1.320250e+5	15.520	12.800	17.390	12.800	14.040	15.520	12.800	15.520	0.740	0.000000	15.90	12.80	0.00	25
AUY	2011-10-26	0.758349	1.318650e+5	15.520	12.800	17.390	12.800	14.040	15.520	12.800	15.520	1.320	0.000000	15.90	12.80	0.00	26
AUY	2011-10-25	0.728788	1.372140e+5	15.200	12.800	17.390	12.800	14.040	15.200	12.800	15.200	1.100	0.000000	15.56	12.80	0.00	27
AUY	2011-10-24	0.709251	1.409940e+5	15.200	12.800	17.390	12.800	14.040	15.200	12.800	15.200	0.730	0.000000	15.55	12.80	0.00	28
AUY	2011-10-21	0.708159	1.412110e+5	15.200	12.800	17.390	12.800	14.040	15.200	12.800	15.200	0.500	0.000000	15.55	12.80	0.00	29
AUY	2011-10-20	0.719115	1.390600e+5	15.200	12.800	17.390	12.800	14.040	15.200	12.800	15.200	0.550	0.000000	15.56	12.80	0.00	30
AUY	2011-10-19	0.728016	1.373600e+5	16.400	12.800	17.390	12.800	13.730	15.200	12.800	16.400	0.880	0.000000	16.76	12.80	0.00	31
AUY	2011-10-18	0.720016	1.388860e+5	16.740	12.800	17.390	12.800	12.800	15.200	12.800	16.740	0.840	0.000000	17.10	12.80	0.00	32
AUY	2011-10-17	0.713701	1.401150e+5	16.740	12.800	17.390	12.800	12.800	15.200	12.800	16.740	0.400	0.000000	17.10	12.80	0.00	33
AUY	2011-10-14	0.730212	1.369470e+5	16.740	12.800	17.390	12.800	12.800	14.950	12.800	16.740	0.580	0.000000	17.11	12.80	0.00	34
AUY	2011-10-13	0.738118	1.354800e+5	16.740	12.800	17.390	12.800	12.800	14.950	12.800	16.740	0.550	0.000000	17.11	12.80	0.00	35
AUY	2011-10-12	0.748019	1.336860e+5	16.740	12.800	17.390	12.800	12.800	14.740	12.800	16.740	0.460	0.000000	17.11	12.80	0.00	36
AUY	2011-10-11	0.763178	1.310310e+5	16.740	12.800	17.390	12.800	12.800	14.370	12.800	16.740	0.670	0.000000	17.12	12.80	0.00	37
AUY	2011-10-10	0.768082	1.301940e+5	16.740	12.800	17.390	12.800	12.800	14.190	12.800	16.740	0.440	0.000000	17.12	12.80	0.00	38
AUY	2011-10-07	0.785349	1.273320e+5	16.980	12.800	17.390	12.800	12.800	14.190	12.800	16.980	0.670	0.000000	17.37	12.80	0.00	39
AUY	2011-10-06	0.791420	1.263550e+5	17.390	12.800	17.390	12.800	12.800	14.740	12.800	17.390	0.640	0.000000	17.79	12.80	0.00	40
AUY	2011-10-05	0.799390	1.250950e+5	17.390	12.800	17.390	12.800	12.800	16.400	12.800	17.390	1.090	0.000000	17.79	12.80	0.00	41
AUY	2011-10-04	0.784095	1.275360e+5	17.390	13.400	17.390	12.890	13.400	16.740	13.400	17.390	1.050	0.000000	17.78	13.40	0.00	42
AUY	2011-10-03	0.770100	1.298530e+5	17.390	13.460	17.390	12.890	13.460	16.740	13.460	17.390	0.730	0.000000	17.77	13.46	0.00	43
AUY	2011-09-30	0.772210	1.294980e+5	17.390	13.460	17.390	12.890	13.460	16.740	13.460	17.390	0.720	0.000000	17.78	13.46	0.00	44
AUY	2011-09-29	0.774958	1.290390e+5	17.390	13.460	17.390	12.890	13.460	16.740	13.460	17.390	0.450	0.000000	17.78	13.46	0.00	45
AUY	2011-09-28	0.792061	1.262530e+5	17.390	13.720	17.390	12.850	13.720	16.740	13.720	17.390	0.850	0.000000	17.79	13.72	0.00	46
AUY	2011-09-27	0.789012	1.267410e+5	17.390	13.720	17.390	12.460	13.720	16.740	13.720	17.390	0.970	0.000000	17.78	13.72	0.00	47
AUY	2011-09-26	0.779486	1.282900e+5	17.390	13.720	17.390	12.400	13.720	16.740	13.720	17.390	0.890	0.000000	17.78	13.72	0.00	48
AUY	2011-09-23	0.773669	1.292540e+5	17.390	14.740	17.390	12.390	14.740	16.980	14.740	17.390	1.630	0.000000	17.78	14.74	0.00	49
AUY	2011-09-22	0.728599	1.372500e+5	17.390	15.030	17.390	12.390	15.820	17.390	15.030	17.390	1.920	0.000000	17.75	15.03	0.00	50
AUY	2011-09-21	0.665894	1.501740e+5	17.390	15.030	17.390	12.170	15.820	17.390	15.030	17.390	0.690	0.000000	17.72	15.03	0.00	51
AUY	2011-09-20	0.664625	1.504610e+5	17.390	15.030	17.390	11.420	15.820	17.390	15.030	17.390	1.170	0.000000	17.72	15.03	0.00	52
AUY	2011-09-19	0.638027	1.567330e+5	17.390	15.030	17.390	11.420	15.820	17.390	15.030	17.390	0.590	0.000000	17.71	15.03	0.00	53
