#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
AW-UN	2011-12-01	0.275334	3.631960e+5	20.000	19.180	20.000	18.230	19.180	19.750	19.180	20.000	0.190	0.000000	20.14	19.18	0.00	1
AW-UN	2011-11-30	0.279825	3.573660e+5	20.000	19.180	20.000	18.230	19.180	19.740	19.180	20.000	0.230	0.000000	20.14	19.18	0.00	2
AW-UN	2011-11-29	0.282447	3.540480e+5	20.000	19.180	20.000	18.230	19.180	19.740	19.180	20.000	0.320	0.000000	20.14	19.18	0.00	3
AW-UN	2011-11-28	0.280471	3.565430e+5	20.000	19.180	20.000	18.230	19.180	19.760	19.180	20.000	0.300	0.000000	20.14	19.18	0.00	4
AW-UN	2011-11-25	0.279443	3.578550e+5	20.000	19.180	20.000	18.230	19.180	19.760	19.180	20.000	0.530	0.000000	20.14	19.18	0.00	5
AW-UN	2011-11-24	0.266256	3.755790e+5	20.000	19.180	20.000	18.230	19.180	19.760	19.180	20.000	0.110	0.000000	20.13	19.18	0.00	6
AW-UN	2011-11-23	0.274480	3.643260e+5	20.000	19.290	20.000	18.230	19.310	19.760	19.290	20.000	0.320	0.000000	20.14	19.29	0.00	7
AW-UN	2011-11-22	0.272084	3.675340e+5	20.000	19.250	20.000	18.230	19.410	19.760	19.250	20.000	0.330	0.000000	20.14	19.25	0.00	8
AW-UN	2011-11-21	0.269036	3.716980e+5	20.000	19.200	20.000	18.230	19.410	19.940	19.200	20.000	0.300	0.000000	20.13	19.20	0.00	9
AW-UN	2011-11-18	0.267406	3.739630e+5	20.000	19.060	20.000	18.230	19.410	20.000	19.060	20.000	0.290	0.000000	20.13	19.06	0.00	10
AW-UN	2011-11-17	0.266217	3.756330e+5	20.000	19.060	20.000	18.230	19.410	20.000	19.060	20.000	0.190	0.000000	20.13	19.06	0.00	11
AW-UN	2011-11-16	0.270228	3.700570e+5	20.000	19.060	20.000	18.230	19.410	20.000	19.060	20.000	0.180	0.000000	20.14	19.06	0.00	12
AW-UN	2011-11-15	0.274977	3.636660e+5	20.000	18.860	20.000	18.230	19.410	20.000	18.860	20.000	0.320	0.000000	20.14	18.86	0.00	13
AW-UN	2011-11-14	0.272608	3.668280e+5	20.000	18.860	20.000	18.230	19.410	20.000	18.860	20.000	0.430	0.000000	20.14	18.86	0.00	14
AW-UN	2011-11-11	0.264324	3.783240e+5	20.000	18.860	20.000	18.230	19.650	20.000	18.860	20.000	0.290	0.000000	20.13	18.86	0.00	15
AW-UN	2011-11-10	0.262972	3.802680e+5	20.000	18.860	20.000	18.230	19.310	20.000	18.860	20.000	0.330	0.000000	20.13	18.86	0.00	16
AW-UN	2011-11-09	0.259445	3.854390e+5	20.000	18.860	20.000	18.230	19.290	20.000	18.860	20.000	0.190	0.000000	20.13	18.86	0.00	17
AW-UN	2011-11-08	0.263100	3.800840e+5	20.000	18.860	20.000	18.230	19.250	20.000	18.860	20.000	0.290	0.000000	20.13	18.86	0.00	18
AW-UN	2011-11-07	0.261684	3.821400e+5	20.000	18.740	20.000	18.230	19.200	20.000	18.740	20.000	0.200	0.000000	20.13	18.74	0.00	19
AW-UN	2011-11-04	0.264930	3.774580e+5	19.960	18.590	19.960	18.230	19.060	19.960	18.590	19.960	0.150	0.000000	20.09	18.59	0.00	20
AW-UN	2011-11-03	0.270979	3.690320e+5	19.830	18.230	19.830	18.230	19.060	19.830	18.230	19.830	0.270	0.000000	19.97	18.23	0.00	21
AW-UN	2011-11-02	0.271031	3.689620e+5	19.750	18.230	19.750	18.230	19.060	19.750	18.230	19.750	0.310	0.000000	19.89	18.23	0.00	22
AW-UN	2011-11-01	0.268980	3.717750e+5	19.750	18.230	19.750	18.230	18.860	19.750	18.230	19.750	0.130	0.000000	19.88	18.23	0.00	23
AW-UN	2011-10-31	0.276295	3.619320e+5	19.750	18.230	19.750	18.230	18.860	19.750	18.230	19.750	0.240	0.000000	19.89	18.23	0.00	24
AW-UN	2011-10-28	0.278205	3.594470e+5	19.310	18.230	19.650	18.230	18.860	19.310	18.230	19.310	0.440	0.000000	19.45	18.23	0.00	25
AW-UN	2011-10-27	0.269689	3.707970e+5	19.650	18.230	19.650	18.230	18.860	19.290	18.230	19.650	0.160	0.000000	19.78	18.23	0.00	26
AW-UN	2011-10-26	0.275462	3.630260e+5	19.650	18.230	19.650	18.230	18.860	19.250	18.230	19.650	0.300	0.000000	19.79	18.23	0.00	27
AW-UN	2011-10-25	0.274171	3.647360e+5	19.650	18.230	19.650	18.230	18.860	19.200	18.230	19.650	0.200	0.000000	19.79	18.23	0.00	28
AW-UN	2011-10-24	0.278075	3.596160e+5	19.650	18.230	19.650	18.230	18.740	19.160	18.230	19.650	0.190	0.000000	19.79	18.23	0.00	29
AW-UN	2011-10-21	0.282710	3.537190e+5	19.650	18.230	19.800	18.230	18.590	19.160	18.230	19.650	0.150	0.000000	19.79	18.23	0.00	30
