#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BDX	2011-12-01	1.674760	5.971000e+4	75.640	70.770	79.640	70.770	70.770	74.370	70.770	75.640	1.330	0.000000	76.48	70.77	0.00	1
BDX	2011-11-30	1.692910	5.907000e+4	76.110	70.770	79.640	70.770	70.770	75.640	70.770	76.110	2.220	0.000000	76.96	70.77	0.00	2
BDX	2011-11-29	1.665160	6.005410e+4	78.230	70.770	79.640	70.770	70.770	75.640	70.770	78.230	0.980	0.000000	79.06	70.77	0.00	3
BDX	2011-11-28	1.701230	5.878120e+4	79.640	70.770	79.640	70.770	70.770	75.640	70.770	79.640	1.740	0.000000	80.49	70.77	0.00	4
BDX	2011-11-25	1.699180	5.885180e+4	79.640	70.770	79.640	70.770	70.770	75.640	70.770	79.640	0.610	0.000000	80.49	70.77	0.00	5
BDX	2011-11-23	1.756510	5.693110e+4	79.640	71.840	80.040	70.840	71.840	75.640	71.840	79.640	1.510	0.000000	80.52	71.84	0.00	6
BDX	2011-11-22	1.769480	5.651360e+4	79.640	71.840	80.040	70.840	71.840	75.640	71.840	79.640	1.300	0.000000	80.52	71.84	0.00	7
BDX	2011-11-21	1.794190	5.573530e+4	79.640	72.380	80.040	70.840	72.610	75.640	72.380	79.640	1.540	0.000000	80.54	72.38	0.00	8
BDX	2011-11-18	1.807570	5.532280e+4	79.640	72.380	80.440	70.840	72.610	75.640	72.380	79.640	1.090	0.000000	80.54	72.38	0.00	9
BDX	2011-11-17	1.845340	5.419060e+4	79.640	72.380	81.380	70.840	72.380	75.640	72.380	79.640	1.050	0.000000	80.56	72.38	0.00	10
BDX	2011-11-16	1.887200	5.298860e+4	79.640	72.380	81.380	70.840	72.380	75.640	72.380	79.640	1.530	0.000000	80.58	72.38	0.00	11
BDX	2011-11-15	1.906000	5.246590e+4	79.640	72.380	81.380	70.840	72.380	76.110	72.380	79.640	1.980	0.000000	80.59	72.38	0.00	12
BDX	2011-11-14	1.902100	5.257330e+4	79.640	72.380	81.380	70.840	72.380	78.230	72.380	79.640	0.580	0.000000	80.59	72.38	0.00	13
BDX	2011-11-11	1.971690	5.071790e+4	79.640	72.380	81.380	70.840	72.380	79.640	72.380	79.640	1.280	0.000000	80.63	72.38	0.00	14
BDX	2011-11-10	2.008090	4.979850e+4	79.640	72.380	81.380	70.840	72.380	79.640	72.380	79.640	1.270	0.000000	80.64	72.38	0.00	15
BDX	2011-11-09	2.046940	4.885340e+4	79.640	72.380	81.380	70.840	72.380	79.640	72.380	79.640	2.510	0.000000	80.66	72.38	0.00	16
BDX	2011-11-08	2.022570	4.944210e+4	79.640	72.380	81.380	70.840	72.380	79.640	72.380	79.640	1.200	0.000000	80.65	72.38	0.00	17
BDX	2011-11-07	2.065860	4.840590e+4	79.640	72.380	81.380	70.840	72.380	79.640	72.380	79.640	2.380	0.000000	80.67	72.38	0.00	18
BDX	2011-11-04	2.049330	4.879650e+4	79.640	72.380	81.380	70.840	72.380	79.640	72.380	79.640	1.740	0.000000	80.66	72.38	0.00	19
BDX	2011-11-03	2.065610	4.841190e+4	79.640	72.600	81.380	70.840	72.600	79.640	72.600	79.640	1.370	0.000000	80.67	72.60	0.00	20
BDX	2011-11-02	2.102220	4.756870e+4	79.640	72.790	81.380	70.840	73.470	79.640	72.790	79.640	5.350	0.000000	80.69	72.79	0.00	21
