#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BEAV	2011-12-01	1.379770	7.247580e+4	39.980	35.330	39.980	30.160	35.330	38.950	35.330	39.980	1.190	0.000000	40.67	35.33	0.00	1
BEAV	2011-11-30	1.389760	7.195490e+4	39.980	35.330	39.980	30.160	35.330	38.760	35.330	39.980	1.840	0.000000	40.67	35.33	0.00	2
BEAV	2011-11-29	1.366060	7.320310e+4	39.980	35.330	39.980	30.160	35.330	38.770	35.330	39.980	1.190	0.000000	40.66	35.33	0.00	3
BEAV	2011-11-28	1.375330	7.270990e+4	39.980	35.330	39.980	30.160	35.330	38.770	35.330	39.980	2.190	0.000000	40.67	35.33	0.00	4
BEAV	2011-11-25	1.332450	7.504970e+4	39.980	35.330	39.980	30.160	35.330	38.770	35.330	39.980	1.170	0.000000	40.65	35.33	0.00	5
BEAV	2011-11-23	1.341000	7.457120e+4	39.980	36.410	39.980	30.160	36.620	38.770	36.410	39.980	1.330	0.000000	40.65	36.41	0.00	6
BEAV	2011-11-22	1.341580	7.453900e+4	39.980	36.270	39.980	30.160	36.960	39.980	36.270	39.980	0.910	0.000000	40.65	36.27	0.00	7
BEAV	2011-11-21	1.364290	7.329800e+4	39.980	36.270	39.980	30.160	36.960	39.980	36.270	39.980	1.390	0.000000	40.66	36.27	0.00	8
BEAV	2011-11-18	1.362940	7.337070e+4	39.980	35.770	39.980	30.160	36.960	39.980	35.770	39.980	0.740	0.000000	40.66	35.77	0.00	9
BEAV	2011-11-17	1.395730	7.164720e+4	39.980	34.490	39.980	30.160	37.740	39.980	34.490	39.980	1.340	0.000000	40.68	34.49	0.00	10
BEAV	2011-11-16	1.398660	7.149700e+4	39.980	33.850	39.980	30.160	37.440	39.980	33.850	39.980	1.130	0.000000	40.68	33.85	0.00	11
BEAV	2011-11-15	1.412800	7.078140e+4	39.980	33.850	39.980	30.160	36.610	39.980	33.850	39.980	1.020	0.000000	40.69	33.85	0.00	12
BEAV	2011-11-14	1.433470	6.976060e+4	39.980	33.680	39.980	30.160	36.610	39.980	33.680	39.980	0.780	0.000000	40.70	33.68	0.00	13
BEAV	2011-11-11	1.467870	6.812600e+4	39.980	33.680	39.980	30.160	36.610	39.980	33.680	39.980	1.260	0.000000	40.71	33.68	0.00	14
BEAV	2011-11-10	1.478810	6.762200e+4	39.980	33.680	39.980	30.160	36.610	39.980	33.680	39.980	1.690	0.000000	40.72	33.68	0.00	15
BEAV	2011-11-09	1.467690	6.813410e+4	39.980	33.680	39.980	30.160	36.410	39.980	33.680	39.980	1.740	0.000000	40.71	33.68	0.00	16
BEAV	2011-11-08	1.453360	6.880600e+4	39.620	33.680	39.620	30.160	36.270	39.620	33.680	39.620	1.010	0.000000	40.35	33.68	0.00	17
BEAV	2011-11-07	1.476700	6.771870e+4	39.130	33.500	39.130	30.160	36.270	39.130	33.500	39.130	0.990	0.000000	39.87	33.50	0.00	18
BEAV	2011-11-04	1.502310	6.656410e+4	39.010	32.390	39.010	30.160	35.770	39.010	32.390	39.010	1.120	0.000000	39.76	32.39	0.00	19
BEAV	2011-11-03	1.522430	6.568430e+4	38.530	32.330	38.530	30.160	34.490	38.530	32.330	38.530	1.720	0.000000	39.29	32.33	0.00	20
BEAV	2011-11-02	1.512040	6.613600e+4	38.530	31.170	38.530	30.160	33.850	38.530	31.170	38.530	1.320	0.000000	39.29	31.17	0.00	21
BEAV	2011-11-01	1.522140	6.569690e+4	38.530	30.160	38.530	30.160	33.850	38.530	30.160	38.530	1.830	0.000000	39.29	30.16	0.00	22
BEAV	2011-10-31	1.505940	6.640370e+4	38.530	30.160	38.530	30.160	33.680	38.530	30.160	38.530	1.150	0.000000	39.28	30.16	0.00	23
BEAV	2011-10-28	1.524670	6.558780e+4	37.860	30.160	37.860	30.160	33.680	37.860	30.160	37.860	0.960	0.000000	38.62	30.16	0.00	24
BEAV	2011-10-27	1.554390	6.433380e+4	36.850	30.160	36.850	30.160	33.680	36.850	30.160	36.850	2.170	0.000000	37.63	30.16	0.00	25
BEAV	2011-10-26	1.521990	6.570340e+4	36.850	30.160	36.850	30.160	33.680	36.850	30.160	36.850	3.360	0.000000	37.61	30.16	0.00	26
BEAV	2011-10-25	1.425260	7.016290e+4	36.850	30.160	36.850	29.140	33.680	36.850	30.160	36.850	0.960	0.000000	37.56	30.16	0.00	27
BEAV	2011-10-24	1.449740	6.897780e+4	35.770	30.160	35.770	29.140	33.500	35.770	30.160	35.770	1.360	0.000000	36.49	30.16	0.00	28
