#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BEXP	2011-12-01	0.453885	2.203200e+5	36.470	36.340	36.750	23.190	36.340	36.470	36.340	36.470	0.060	0.000000	36.70	36.34	0.00	1
BEXP	2011-11-30	0.474616	2.106970e+5	36.470	36.340	36.750	23.190	36.340	36.470	36.340	36.470	0.050	0.000000	36.71	36.34	0.00	2
BEXP	2011-11-29	0.496964	2.012220e+5	36.470	36.340	36.750	23.190	36.340	36.470	36.340	36.470	0.060	0.000000	36.72	36.34	0.00	3
BEXP	2011-11-28	0.519963	1.923220e+5	36.490	36.340	36.750	23.190	36.340	36.440	36.340	36.490	0.090	0.000000	36.75	36.34	0.00	4
BEXP	2011-11-25	0.542592	1.843000e+5	36.490	36.340	36.750	23.190	36.340	36.440	36.340	36.490	0.030	0.000000	36.76	36.34	0.00	5
BEXP	2011-11-23	0.569571	1.755710e+5	36.520	36.340	36.750	23.190	36.340	36.440	36.340	36.520	0.090	0.000000	36.80	36.34	0.00	6
BEXP	2011-11-22	0.594811	1.681210e+5	36.520	36.350	36.750	23.190	36.370	36.440	36.350	36.520	0.240	0.000000	36.82	36.35	0.00	7
BEXP	2011-11-21	0.613486	1.630030e+5	36.520	36.350	36.750	23.190	36.360	36.440	36.350	36.520	0.050	0.000000	36.83	36.35	0.00	8
BEXP	2011-11-18	0.643143	1.554860e+5	36.540	36.350	36.750	23.190	36.360	36.440	36.350	36.540	0.030	0.000000	36.86	36.35	0.00	9
BEXP	2011-11-17	0.675413	1.480580e+5	36.570	36.350	36.750	23.190	36.360	36.440	36.350	36.570	0.040	0.000000	36.91	36.35	0.00	10
BEXP	2011-11-16	0.708856	1.410720e+5	36.570	36.350	36.750	23.190	36.360	36.440	36.350	36.570	0.060	0.000000	36.92	36.35	0.00	11
BEXP	2011-11-15	0.743006	1.345880e+5	36.570	36.350	36.750	23.190	36.350	36.420	36.350	36.570	0.110	0.000000	36.94	36.35	0.00	12
BEXP	2011-11-14	0.776323	1.288120e+5	36.750	36.350	36.750	23.190	36.350	36.420	36.350	36.750	0.030	0.000000	37.14	36.35	0.00	13
BEXP	2011-11-11	0.815603	1.226090e+5	36.750	30.360	36.750	23.190	36.350	36.490	30.360	36.750	0.040	0.000000	37.16	30.36	0.00	14
BEXP	2011-11-10	0.856424	1.167650e+5	36.750	28.660	36.750	23.190	36.350	36.490	28.660	36.750	0.050	0.000000	37.18	28.66	0.00	15
