#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BHP	2011-12-01	2.713240	3.685630e+4	80.070	66.320	83.600	64.420	66.320	75.170	66.320	80.070	1.830	0.000000	81.43	66.32	0.00	1
BHP	2011-11-30	2.759730	3.623550e+4	80.070	66.320	83.600	64.420	66.320	76.060	66.320	80.070	5.680	0.000000	81.45	66.32	0.00	2
BHP	2011-11-29	2.606030	3.837260e+4	80.070	66.320	83.600	64.420	66.320	76.060	66.320	80.070	1.250	0.000000	81.37	66.32	0.00	3
BHP	2011-11-28	2.677400	3.734970e+4	83.150	66.320	83.600	64.420	66.320	77.860	66.320	83.150	4.180	0.000000	84.49	66.32	0.00	4
BHP	2011-11-25	2.598310	3.848650e+4	83.600	66.930	83.600	64.420	66.930	77.860	66.930	83.600	1.170	0.000000	84.90	66.93	0.00	5
BHP	2011-11-23	2.673490	3.740430e+4	83.600	69.370	83.600	64.420	69.370	77.860	69.370	83.600	2.540	0.000000	84.94	69.37	0.00	6
BHP	2011-11-22	2.680510	3.730630e+4	83.600	69.820	83.600	64.420	69.820	80.070	69.820	83.600	1.390	0.000000	84.94	69.82	0.00	7
BHP	2011-11-21	2.748430	3.638440e+4	83.600	71.920	83.600	64.420	71.920	80.070	71.920	83.600	3.270	0.000000	84.97	71.92	0.00	8
BHP	2011-11-18	2.720980	3.675140e+4	83.600	72.230	84.380	64.420	72.230	80.070	72.230	83.600	1.160	0.000000	84.96	72.23	0.00	9
BHP	2011-11-17	2.803140	3.567430e+4	83.600	72.640	85.170	64.420	73.970	80.070	72.640	83.600	2.300	0.000000	85.00	72.64	0.00	10
BHP	2011-11-16	2.829620	3.534040e+4	83.600	72.640	85.170	64.420	75.090	80.070	72.640	83.600	2.180	0.000000	85.01	72.64	0.00	11
BHP	2011-11-15	2.863810	3.491850e+4	83.600	72.640	85.170	64.420	75.090	80.070	72.640	83.600	1.410	0.000000	85.03	72.64	0.00	12
BHP	2011-11-14	2.940330	3.400980e+4	83.600	72.640	85.170	64.420	75.090	80.070	72.640	83.600	2.510	0.000000	85.07	72.64	0.00	13
BHP	2011-11-11	2.962980	3.374980e+4	83.600	72.640	85.170	64.420	75.090	83.150	72.640	83.600	2.010	0.000000	85.08	72.64	0.00	14
BHP	2011-11-10	3.013130	3.318800e+4	83.600	72.640	85.170	64.420	75.090	83.600	72.640	83.600	2.080	0.000000	85.11	72.64	0.00	15
BHP	2011-11-09	3.062250	3.265580e+4	83.600	72.640	85.170	64.420	75.600	83.600	72.640	83.600	5.130	0.000000	85.13	72.64	0.00	16
