#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BLD	2011-12-01	0.060712	1.647140e+6	1.410	1.250	1.500	1.180	1.250	1.340	1.250	1.410	0.090	0.000000	1.44	1.25	0.00	1
BLD	2011-11-30	0.059170	1.690050e+6	1.490	1.250	1.500	1.180	1.250	1.340	1.250	1.490	0.100	0.000000	1.52	1.25	0.00	2
BLD	2011-11-29	0.057021	1.753740e+6	1.490	1.250	1.500	1.180	1.250	1.360	1.250	1.490	0.030	0.000000	1.52	1.25	0.00	3
BLD	2011-11-28	0.058443	1.711060e+6	1.490	1.260	1.500	1.180	1.260	1.410	1.260	1.490	0.060	0.000000	1.52	1.26	0.00	4
BLD	2011-11-25	0.058361	1.713470e+6	1.490	1.270	1.500	1.180	1.270	1.410	1.270	1.490	0.040	0.000000	1.52	1.27	0.00	5
BLD	2011-11-24	0.059328	1.685560e+6	1.490	1.280	1.500	1.180	1.280	1.410	1.280	1.490	0.080	0.000000	1.52	1.28	0.00	6
BLD	2011-11-23	0.058240	1.717040e+6	1.490	1.280	1.500	1.180	1.280	1.410	1.280	1.490	0.120	0.000000	1.52	1.28	0.00	7
BLD	2011-11-22	0.054989	1.818540e+6	1.490	1.310	1.500	1.180	1.310	1.410	1.310	1.490	0.090	0.000000	1.52	1.31	0.00	8
BLD	2011-11-21	0.053146	1.881600e+6	1.490	1.320	1.500	1.180	1.320	1.410	1.320	1.490	0.040	0.000000	1.52	1.32	0.00	9
BLD	2011-11-18	0.053838	1.857410e+6	1.490	1.320	1.500	1.180	1.320	1.410	1.320	1.490	0.040	0.000000	1.52	1.32	0.00	10
BLD	2011-11-17	0.054567	1.832620e+6	1.490	1.310	1.500	1.180	1.320	1.410	1.310	1.490	0.040	0.000000	1.52	1.31	0.00	11
BLD	2011-11-16	0.055333	1.807230e+6	1.490	1.310	1.500	1.180	1.320	1.490	1.310	1.490	0.020	0.000000	1.52	1.31	0.00	12
BLD	2011-11-15	0.057193	1.748470e+6	1.490	1.310	1.500	1.180	1.320	1.490	1.310	1.490	0.050	0.000000	1.52	1.31	0.00	13
BLD	2011-11-14	0.057571	1.736970e+6	1.490	1.310	1.500	1.180	1.320	1.490	1.310	1.490	0.050	0.000000	1.52	1.31	0.00	14
BLD	2011-11-11	0.057970	1.725030e+6	1.490	1.310	1.500	1.180	1.320	1.490	1.310	1.490	0.040	0.000000	1.52	1.31	0.00	15
BLD	2011-11-10	0.058916	1.697340e+6	1.490	1.310	1.500	1.180	1.320	1.490	1.310	1.490	0.040	0.000000	1.52	1.31	0.00	16
BLD	2011-11-09	0.059911	1.669130e+6	1.490	1.310	1.500	1.180	1.370	1.490	1.310	1.490	0.050	0.000000	1.52	1.31	0.00	17
BLD	2011-11-08	0.060433	1.654720e+6	1.490	1.310	1.500	1.180	1.380	1.490	1.310	1.490	0.030	0.000000	1.52	1.31	0.00	18
BLD	2011-11-07	0.062035	1.612000e+6	1.490	1.310	1.500	1.180	1.320	1.490	1.310	1.490	0.080	0.000000	1.52	1.31	0.00	19
BLD	2011-11-04	0.061089	1.636950e+6	1.490	1.290	1.500	1.180	1.320	1.490	1.290	1.490	0.030	0.000000	1.52	1.29	0.00	20
BLD	2011-11-03	0.062726	1.594250e+6	1.490	1.260	1.500	1.180	1.310	1.490	1.260	1.490	0.100	0.000000	1.52	1.26	0.00	21
