#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BMR	2011-12-01	0.575925	1.736340e+5	18.900	16.470	18.900	15.800	16.470	17.900	16.470	18.900	0.340	0.000000	19.19	16.47	0.00	1
BMR	2011-11-30	0.588342	1.699690e+5	18.900	16.470	18.900	15.800	16.470	18.020	16.470	18.900	0.890	0.000000	19.19	16.47	0.00	2
BMR	2011-11-29	0.572466	1.746830e+5	18.900	16.470	18.900	15.800	16.470	18.020	16.470	18.900	0.440	0.000000	19.19	16.47	0.00	3
BMR	2011-11-28	0.579438	1.725810e+5	18.900	16.470	18.900	15.800	16.470	18.760	16.470	18.900	0.580	0.000000	19.19	16.47	0.00	4
BMR	2011-11-25	0.579408	1.725900e+5	18.900	16.470	18.900	15.800	16.470	18.760	16.470	18.900	0.570	0.000000	19.19	16.47	0.00	5
BMR	2011-11-23	0.579903	1.724430e+5	18.900	17.160	18.900	15.800	17.160	18.760	17.160	18.900	0.720	0.000000	19.19	17.16	0.00	6
BMR	2011-11-22	0.572530	1.746630e+5	18.900	17.210	18.900	15.800	17.300	18.900	17.210	18.900	0.370	0.000000	19.19	17.21	0.00	7
BMR	2011-11-21	0.583189	1.714710e+5	18.900	17.210	18.900	15.800	17.850	18.900	17.210	18.900	0.720	0.000000	19.19	17.21	0.00	8
BMR	2011-11-18	0.575989	1.736150e+5	18.900	17.210	18.900	15.800	17.850	18.900	17.210	18.900	0.280	0.000000	19.19	17.21	0.00	9
BMR	2011-11-17	0.591567	1.690430e+5	18.900	17.000	18.900	15.800	17.900	18.900	17.000	18.900	0.360	0.000000	19.20	17.00	0.00	10
BMR	2011-11-16	0.603755	1.656300e+5	18.900	17.000	18.900	15.800	17.900	18.900	17.000	18.900	0.350	0.000000	19.20	17.00	0.00	11
BMR	2011-11-15	0.617110	1.620460e+5	18.900	17.000	18.900	15.800	17.210	18.900	17.000	18.900	0.360	0.000000	19.21	17.00	0.00	12
BMR	2011-11-14	0.630642	1.585690e+5	18.900	17.000	18.900	15.800	17.210	18.900	17.000	18.900	0.770	0.000000	19.22	17.00	0.00	13
BMR	2011-11-11	0.623308	1.604340e+5	18.900	17.000	18.900	15.800	17.210	18.900	17.000	18.900	0.650	0.000000	19.21	17.00	0.00	14
BMR	2011-11-10	0.621903	1.607970e+5	18.900	17.000	18.900	15.800	17.210	18.900	17.000	18.900	0.450	0.000000	19.21	17.00	0.00	15
BMR	2011-11-09	0.630950	1.584910e+5	18.900	17.000	18.900	15.800	17.210	18.900	17.000	18.900	0.860	0.000000	19.22	17.00	0.00	16
BMR	2011-11-08	0.618895	1.615780e+5	18.610	16.800	18.610	15.800	17.210	18.610	16.800	18.610	0.480	0.000000	18.92	16.80	0.00	17
BMR	2011-11-07	0.626205	1.596920e+5	18.520	16.800	18.520	15.800	17.210	18.520	16.800	18.520	0.530	0.000000	18.83	16.80	0.00	18
