#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BMS	2011-12-01	0.713309	1.401920e+5	29.490	27.530	31.990	27.530	27.530	29.490	27.530	29.490	0.580	0.000000	29.85	27.53	0.00	1
BMS	2011-11-30	0.720325	1.388260e+5	29.290	27.530	31.990	27.530	27.530	28.750	27.530	29.290	1.120	0.000000	29.65	27.53	0.00	2
BMS	2011-11-29	0.699289	1.430020e+5	29.290	27.530	31.990	27.530	27.530	28.750	27.530	29.290	0.330	0.000000	29.64	27.53	0.00	3
BMS	2011-11-28	0.718726	1.391350e+5	29.290	27.530	31.990	27.530	27.530	28.860	27.530	29.290	0.890	0.000000	29.65	27.53	0.00	4
BMS	2011-11-25	0.709711	1.409020e+5	29.290	27.530	31.990	27.530	27.530	28.860	27.530	29.290	0.410	0.000000	29.64	27.53	0.00	5
BMS	2011-11-23	0.725485	1.378390e+5	29.290	27.670	31.990	27.670	27.790	28.860	27.670	29.290	0.580	0.000000	29.65	27.67	0.00	6
BMS	2011-11-22	0.733143	1.363990e+5	31.500	27.670	31.990	27.670	27.790	29.290	27.670	31.500	0.610	0.000000	31.87	27.67	0.00	7
BMS	2011-11-21	0.739624	1.352040e+5	31.990	27.670	31.990	27.670	27.980	29.290	27.670	31.990	0.500	0.000000	32.36	27.67	0.00	8
BMS	2011-11-18	0.752236	1.329370e+5	31.990	27.670	31.990	27.670	28.000	29.290	27.670	31.990	0.390	0.000000	32.37	27.67	0.00	9
BMS	2011-11-17	0.771301	1.296510e+5	31.990	27.670	31.990	27.670	28.260	29.290	27.670	31.990	0.770	0.000000	32.38	27.67	0.00	10
BMS	2011-11-16	0.771369	1.296400e+5	31.990	27.670	31.990	27.670	27.890	29.290	27.670	31.990	0.670	0.000000	32.38	27.67	0.00	11
BMS	2011-11-15	0.776704	1.287490e+5	31.990	27.670	31.990	27.670	27.670	29.290	27.670	31.990	0.420	0.000000	32.38	27.67	0.00	12
BMS	2011-11-14	0.795478	1.257110e+5	31.990	27.670	31.990	27.670	27.670	29.290	27.670	31.990	0.540	0.000000	32.39	27.67	0.00	13
BMS	2011-11-11	0.808924	1.236210e+5	31.990	27.670	31.990	27.670	27.670	29.290	27.670	31.990	0.680	0.000000	32.39	27.67	0.00	14
BMS	2011-11-10	0.815710	1.225930e+5	31.990	27.670	31.990	27.670	27.670	29.290	27.670	31.990	0.470	0.000000	32.40	27.67	0.00	15
BMS	2011-11-09	0.833905	1.199180e+5	31.990	27.670	31.990	27.670	27.670	29.290	27.670	31.990	1.140	0.000000	32.41	27.67	0.00	16
BMS	2011-11-08	0.817795	1.222800e+5	31.990	27.670	31.990	27.670	27.670	31.500	27.670	31.990	0.610	0.000000	32.40	27.67	0.00	17
BMS	2011-11-07	0.828731	1.206660e+5	31.990	27.670	31.990	27.670	27.670	31.990	27.670	31.990	0.540	0.000000	32.40	27.67	0.00	18
BMS	2011-11-04	0.843928	1.184940e+5	31.990	27.670	31.990	27.670	27.670	31.990	27.670	31.990	0.780	0.000000	32.41	27.67	0.00	19
BMS	2011-11-03	0.847292	1.180230e+5	31.990	27.670	31.990	27.670	27.670	31.990	27.670	31.990	0.450	0.000000	32.41	27.67	0.00	20
BMS	2011-11-02	0.868203	1.151800e+5	31.990	27.670	31.990	27.670	27.670	31.990	27.670	31.990	0.510	0.000000	32.42	27.67	0.00	21
BMS	2011-11-01	0.887055	1.127330e+5	31.990	28.020	31.990	28.020	28.020	31.990	28.020	31.990	0.900	0.000000	32.43	28.02	0.00	22
BMS	2011-10-31	0.886374	1.128190e+5	31.990	28.020	31.990	28.020	28.020	31.990	28.020	31.990	0.400	0.000000	32.43	28.02	0.00	23
BMS	2011-10-28	0.911973	1.096520e+5	31.990	28.020	31.990	28.020	28.020	31.990	28.020	31.990	0.390	0.000000	32.45	28.02	0.00	24
BMS	2011-10-27	0.939445	1.064460e+5	31.990	28.020	31.990	28.020	28.020	31.990	28.020	31.990	1.000	0.000000	32.46	28.02	0.00	25
