#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BNS	2011-12-01	1.127920	8.865870e+4	52.930	48.300	53.700	48.300	48.300	51.550	48.300	52.930	1.820	0.000000	53.49	48.30	0.00	1
BNS	2011-11-30	1.091500	9.161740e+4	52.930	48.300	53.700	48.300	48.300	50.740	48.300	52.930	1.970	0.000000	53.48	48.30	0.00	2
BNS	2011-11-29	1.045260	9.567010e+4	52.930	48.300	53.700	48.300	48.300	50.950	48.300	52.930	0.590	0.000000	53.45	48.30	0.00	3
BNS	2011-11-28	1.069220	9.352620e+4	52.930	48.300	53.700	48.300	48.300	51.320	48.300	52.930	1.240	0.000000	53.46	48.30	0.00	4
BNS	2011-11-25	1.060230	9.431910e+4	53.030	48.350	53.700	48.350	48.350	51.370	48.350	53.030	0.580	0.000000	53.56	48.35	0.00	5
BNS	2011-11-24	1.085510	9.212290e+4	53.030	48.790	53.700	48.790	48.790	51.370	48.790	53.030	0.970	0.000000	53.57	48.79	0.00	6
BNS	2011-11-23	1.091590	9.160980e+4	53.030	49.320	53.700	49.320	49.320	51.370	49.320	53.030	1.620	0.000000	53.58	49.32	0.00	7
BNS	2011-11-22	1.063770	9.400490e+4	53.030	49.320	53.700	49.320	49.320	52.700	49.320	53.030	0.660	0.000000	53.56	49.32	0.00	8
BNS	2011-11-21	1.085030	9.216370e+4	53.030	49.320	54.180	49.320	49.320	52.700	49.320	53.030	0.870	0.000000	53.57	49.32	0.00	9
BNS	2011-11-18	1.096340	9.121230e+4	53.030	49.320	54.530	49.320	49.320	52.700	49.320	53.030	0.910	0.000000	53.58	49.32	0.00	10
BNS	2011-11-17	1.106150	9.040360e+4	53.030	50.740	54.530	50.000	50.740	52.930	50.740	53.030	1.940	0.000000	53.58	50.74	0.00	11
BNS	2011-11-16	1.062260	9.413860e+4	53.030	50.950	54.530	50.000	50.950	52.930	50.950	53.030	0.560	0.000000	53.56	50.95	0.00	12
BNS	2011-11-15	1.088700	9.185280e+4	53.030	50.990	54.530	50.000	50.990	52.930	50.990	53.030	0.540	0.000000	53.57	50.99	0.00	13
BNS	2011-11-14	1.117580	8.947930e+4	53.030	50.990	54.530	50.000	50.990	52.930	50.990	53.030	1.030	0.000000	53.59	50.99	0.00	14
BNS	2011-11-11	1.122190	8.911170e+4	53.030	50.990	54.530	50.000	50.990	53.030	50.990	53.030	0.810	0.000000	53.59	50.99	0.00	15
BNS	2011-11-10	1.138620	8.782580e+4	53.030	51.070	54.530	50.000	51.070	53.030	51.070	53.030	1.110	0.000000	53.60	51.07	0.00	16
BNS	2011-11-09	1.140120	8.770980e+4	53.200	51.070	54.530	49.230	51.070	53.030	51.070	53.200	1.400	0.000000	53.77	51.07	0.00	17
BNS	2011-11-08	1.126450	8.877480e+4	53.200	51.070	54.530	49.230	51.070	53.030	51.070	53.200	0.680	0.000000	53.76	51.07	0.00	18
BNS	2011-11-07	1.149940	8.696080e+4	53.200	51.070	54.530	49.230	51.070	53.030	51.070	53.200	0.440	0.000000	53.77	51.07	0.00	19
BNS	2011-11-04	1.187310	8.422410e+4	53.200	51.070	54.530	49.230	51.070	53.030	51.070	53.200	1.000	0.000000	53.79	51.07	0.00	20
BNS	2011-11-03	1.197170	8.353050e+4	53.200	51.070	54.530	49.230	51.070	53.030	51.070	53.200	1.100	0.000000	53.80	51.07	0.00	21
BNS	2011-11-02	1.202280	8.317520e+4	53.200	50.200	54.530	49.230	51.070	53.030	50.200	53.200	1.470	0.000000	53.80	50.20	0.00	22
BNS	2011-11-01	1.188190	8.416160e+4	53.200	50.200	54.530	49.230	51.430	53.030	50.200	53.200	1.700	0.000000	53.79	50.20	0.00	23
