#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BPF-UN	2011-12-01	0.186599	5.359100e+5	13.980	13.390	13.980	12.410	13.390	13.920	13.390	13.980	0.110	0.000000	14.07	13.39	0.00	1
BPF-UN	2011-11-30	0.190630	5.245760e+5	13.980	13.390	13.980	12.410	13.390	13.950	13.390	13.980	0.090	0.000000	14.08	13.39	0.00	2
BPF-UN	2011-11-29	0.195926	5.103960e+5	13.980	13.350	13.980	12.410	13.390	13.980	13.350	13.980	0.130	0.000000	14.08	13.35	0.00	3
BPF-UN	2011-11-28	0.199396	5.015140e+5	13.980	13.350	13.980	12.410	13.390	13.980	13.350	13.980	0.280	0.000000	14.08	13.35	0.00	4
BPF-UN	2011-11-25	0.195154	5.124160e+5	13.980	13.300	13.980	12.410	13.390	13.980	13.300	13.980	0.240	0.000000	14.08	13.30	0.00	5
BPF-UN	2011-11-24	0.192794	5.186890e+5	13.980	13.040	13.980	12.410	13.390	13.980	13.040	13.980	0.110	0.000000	14.08	13.04	0.00	6
BPF-UN	2011-11-23	0.197151	5.072250e+5	13.980	12.900	13.980	12.410	13.560	13.980	12.900	13.980	0.280	0.000000	14.08	12.90	0.00	7
BPF-UN	2011-11-22	0.192791	5.186970e+5	13.980	12.730	13.980	12.410	13.700	13.980	12.730	13.980	0.210	0.000000	14.08	12.73	0.00	8
BPF-UN	2011-11-21	0.191885	5.211450e+5	13.980	12.520	13.980	12.410	13.640	13.980	12.520	13.980	0.330	0.000000	14.08	12.52	0.00	9
BPF-UN	2011-11-18	0.184616	5.416650e+5	13.980	12.500	13.980	12.410	13.640	13.980	12.500	13.980	0.140	0.000000	14.07	12.50	0.00	10
BPF-UN	2011-11-17	0.186964	5.348620e+5	13.980	12.500	13.980	12.410	13.570	13.980	12.500	13.980	0.150	0.000000	14.07	12.50	0.00	11
BPF-UN	2011-11-16	0.188910	5.293540e+5	13.980	12.500	13.980	12.410	13.390	13.980	12.500	13.980	0.210	0.000000	14.07	12.50	0.00	12
BPF-UN	2011-11-15	0.187799	5.324830e+5	13.950	12.490	13.950	12.410	13.350	13.950	12.490	13.950	0.100	0.000000	14.04	12.49	0.00	13
BPF-UN	2011-11-14	0.192421	5.196950e+5	13.870	12.490	13.870	12.410	13.350	13.870	12.490	13.870	0.110	0.000000	13.97	12.49	0.00	14
BPF-UN	2011-11-11	0.196758	5.082370e+5	13.870	12.410	13.870	12.410	13.300	13.870	12.410	13.870	0.100	0.000000	13.97	12.41	0.00	15
BPF-UN	2011-11-10	0.201851	4.954150e+5	13.870	12.410	13.870	12.410	13.040	13.870	12.410	13.870	0.070	0.000000	13.97	12.41	0.00	16
BPF-UN	2011-11-09	0.208791	4.789490e+5	13.870	12.410	13.870	12.410	12.900	13.870	12.410	13.870	0.250	0.000000	13.97	12.41	0.00	17
BPF-UN	2011-11-08	0.206622	4.839770e+5	13.660	12.410	13.660	12.410	12.730	13.660	12.410	13.660	0.260	0.000000	13.76	12.41	0.00	18
BPF-UN	2011-11-07	0.203812	4.906480e+5	13.660	12.410	13.660	12.410	12.520	13.660	12.410	13.660	0.060	0.000000	13.76	12.41	0.00	19
BPF-UN	2011-11-04	0.211381	4.730790e+5	13.570	12.410	13.570	12.410	12.500	13.570	12.410	13.570	0.180	0.000000	13.68	12.41	0.00	20
BPF-UN	2011-11-03	0.213033	4.694110e+5	13.400	12.410	13.650	12.410	12.500	13.400	12.410	13.400	0.200	0.000000	13.51	12.41	0.00	21
BPF-UN	2011-11-02	0.213719	4.679040e+5	13.400	12.410	13.900	12.410	12.500	13.400	12.410	13.400	0.040	0.000000	13.51	12.41	0.00	22
BPF-UN	2011-11-01	0.222862	4.487080e+5	13.400	12.410	13.900	12.410	12.490	13.400	12.410	13.400	0.140	0.000000	13.51	12.41	0.00	23
BPF-UN	2011-10-31	0.227223	4.400960e+5	13.300	12.410	13.900	12.410	12.490	13.300	12.410	13.300	0.120	0.000000	13.41	12.41	0.00	24
BPF-UN	2011-10-28	0.232866	4.294310e+5	13.040	12.410	13.900	12.410	12.410	13.040	12.410	13.040	0.300	0.000000	13.16	12.41	0.00	25
BPF-UN	2011-10-27	0.229333	4.360470e+5	12.980	12.410	13.900	12.200	12.410	12.900	12.410	12.980	0.310	0.000000	13.09	12.41	0.00	26
