#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BQI	2011-12-01	0.020402	4.901550e+6	0.250	0.170	0.270	0.170	0.170	0.210	0.170	0.250	0.000	0.000000	0.26	0.17	0.00	1
BQI	2011-11-30	0.021476	4.656470e+6	0.270	0.170	0.270	0.170	0.170	0.230	0.170	0.270	0.000	0.000000	0.28	0.17	0.00	2
BQI	2011-11-29	0.022606	4.423650e+6	0.270	0.170	0.270	0.170	0.170	0.230	0.170	0.270	0.000	0.000000	0.28	0.17	0.00	3
BQI	2011-11-28	0.023796	4.202460e+6	0.270	0.170	0.270	0.170	0.170	0.230	0.170	0.270	0.030	0.000000	0.28	0.17	0.00	4
BQI	2011-11-25	0.023469	4.260940e+6	0.270	0.170	0.270	0.170	0.170	0.230	0.170	0.270	0.020	0.000000	0.28	0.17	0.00	5
BQI	2011-11-23	0.023652	4.228040e+6	0.270	0.180	0.270	0.180	0.180	0.240	0.180	0.270	0.050	0.000000	0.28	0.18	0.00	6
BQI	2011-11-22	0.022265	4.491390e+6	0.270	0.200	0.270	0.180	0.200	0.240	0.200	0.270	0.030	0.000000	0.28	0.20	0.00	7
BQI	2011-11-21	0.021858	4.575040e+6	0.270	0.200	0.270	0.180	0.200	0.240	0.200	0.270	0.030	0.000000	0.28	0.20	0.00	8
BQI	2011-11-18	0.021429	4.666530e+6	0.270	0.200	0.270	0.180	0.200	0.250	0.200	0.270	0.010	0.000000	0.28	0.20	0.00	9
BQI	2011-11-17	0.022031	4.539120e+6	0.270	0.200	0.270	0.180	0.200	0.250	0.200	0.270	0.030	0.000000	0.28	0.20	0.00	10
BQI	2011-11-16	0.021611	4.627210e+6	0.270	0.210	0.270	0.180	0.220	0.250	0.210	0.270	0.030	0.000000	0.28	0.21	0.00	11
BQI	2011-11-15	0.021170	4.723720e+6	0.270	0.210	0.270	0.180	0.220	0.270	0.210	0.270	0.010	0.000000	0.28	0.21	0.00	12
BQI	2011-11-14	0.021758	4.596080e+6	0.270	0.210	0.270	0.180	0.230	0.270	0.210	0.270	0.010	0.000000	0.28	0.21	0.00	13
BQI	2011-11-11	0.022377	4.468980e+6	0.270	0.210	0.270	0.180	0.230	0.270	0.210	0.270	0.010	0.000000	0.28	0.21	0.00	14
BQI	2011-11-10	0.023028	4.342560e+6	0.270	0.210	0.270	0.180	0.230	0.270	0.210	0.270	0.020	0.000000	0.28	0.21	0.00	15
