#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BRK	2011-12-01	0.110765	9.028140e+5	3.230	2.870	3.230	2.320	2.870	3.040	2.870	3.230	0.090	0.000000	3.29	2.87	0.00	1
BRK	2011-11-30	0.111858	8.939940e+5	3.230	2.870	3.230	2.320	2.870	3.050	2.870	3.230	0.080	0.000000	3.29	2.87	0.00	2
BRK	2011-11-29	0.113534	8.807910e+5	3.230	2.750	3.230	2.320	2.870	3.050	2.750	3.230	0.080	0.000000	3.29	2.75	0.00	3
BRK	2011-11-28	0.115299	8.673080e+5	3.230	2.750	3.230	2.280	2.870	3.050	2.750	3.230	0.210	0.000000	3.29	2.75	0.00	4
BRK	2011-11-25	0.110315	9.064950e+5	3.230	2.750	3.230	2.280	2.870	3.050	2.750	3.230	0.070	0.000000	3.29	2.75	0.00	5
BRK	2011-11-24	0.112437	8.893880e+5	3.230	2.750	3.230	2.280	2.870	3.100	2.750	3.230	0.040	0.000000	3.29	2.75	0.00	6
BRK	2011-11-23	0.116249	8.602200e+5	3.230	2.740	3.230	2.280	2.940	3.100	2.740	3.230	0.070	0.000000	3.29	2.74	0.00	7
BRK	2011-11-22	0.118684	8.425770e+5	3.230	2.740	3.230	2.280	2.950	3.230	2.740	3.230	0.080	0.000000	3.29	2.74	0.00	8
BRK	2011-11-21	0.120720	8.283660e+5	3.230	2.740	3.230	2.280	2.990	3.230	2.740	3.230	0.160	0.000000	3.29	2.74	0.00	9
BRK	2011-11-18	0.118652	8.428000e+5	3.230	2.740	3.230	2.280	3.010	3.230	2.740	3.230	0.140	0.000000	3.29	2.74	0.00	10
BRK	2011-11-17	0.117529	8.508570e+5	3.230	2.740	3.230	2.280	3.010	3.230	2.740	3.230	0.070	0.000000	3.29	2.74	0.00	11
BRK	2011-11-16	0.120030	8.331250e+5	3.230	2.720	3.230	2.280	2.990	3.230	2.720	3.230	0.090	0.000000	3.29	2.72	0.00	12
BRK	2011-11-15	0.121611	8.222970e+5	3.230	2.620	3.230	2.270	2.750	3.230	2.620	3.230	0.040	0.000000	3.29	2.62	0.00	13
BRK	2011-11-14	0.125906	7.942440e+5	3.230	2.620	3.230	2.240	2.750	3.230	2.620	3.230	0.070	0.000000	3.29	2.62	0.00	14
BRK	2011-11-11	0.128848	7.761060e+5	3.230	2.450	3.230	2.240	2.750	3.230	2.450	3.230	0.110	0.000000	3.29	2.45	0.00	15
BRK	2011-11-10	0.129840	7.701770e+5	3.230	2.450	3.230	2.240	2.750	3.230	2.450	3.230	0.230	0.000000	3.29	2.45	0.00	16
BRK	2011-11-09	0.124569	8.027700e+5	3.230	2.450	3.230	2.240	2.740	3.230	2.450	3.230	0.180	0.000000	3.29	2.45	0.00	17
BRK	2011-11-08	0.121651	8.220220e+5	3.160	2.420	3.160	2.240	2.740	3.160	2.420	3.160	0.070	0.000000	3.22	2.42	0.00	18
BRK	2011-11-07	0.124370	8.040540e+5	3.100	2.420	3.100	2.240	2.740	3.100	2.420	3.100	0.160	0.000000	3.16	2.42	0.00	19
BRK	2011-11-04	0.122495	8.163630e+5	3.100	2.400	3.100	2.240	2.740	3.100	2.400	3.100	0.180	0.000000	3.16	2.40	0.00	20
BRK	2011-11-03	0.119468	8.370450e+5	2.990	2.350	2.990	2.240	2.740	2.990	2.350	2.990	0.250	0.000000	3.05	2.35	0.00	21
BRK	2011-11-02	0.112598	8.881170e+5	2.920	2.320	2.920	2.240	2.720	2.920	2.320	2.920	0.240	0.000000	2.98	2.32	0.00	22
BRK	2011-11-01	0.105892	9.443540e+5	2.920	2.320	2.920	2.190	2.620	2.920	2.320	2.920	0.200	0.000000	2.97	2.32	0.00	23
BRK	2011-10-31	0.100939	9.906930e+5	2.920	2.320	2.920	2.190	2.620	2.920	2.320	2.920	0.040	0.000000	2.97	2.32	0.00	24
BRK	2011-10-28	0.104147	9.601840e+5	2.850	2.320	2.850	2.190	2.450	2.850	2.320	2.850	0.180	0.000000	2.90	2.32	0.00	25
BRK	2011-10-27	0.100154	9.984580e+5	2.800	2.320	2.800	2.190	2.450	2.800	2.320	2.800	0.200	0.000000	2.85	2.32	0.00	26
BRK	2011-10-26	0.094899	1.053750e+6	2.800	2.320	2.800	2.190	2.450	2.800	2.320	2.800	0.070	0.000000	2.85	2.32	0.00	27
BRK	2011-10-25	0.096210	1.039390e+6	2.800	2.320	2.800	2.190	2.420	2.800	2.320	2.800	0.080	0.000000	2.85	2.32	0.00	28
BRK	2011-10-24	0.097063	1.030260e+6	2.750	2.320	2.750	2.190	2.420	2.750	2.320	2.750	0.080	0.000000	2.80	2.32	0.00	29
BRK	2011-10-21	0.097961	1.020810e+6	2.750	2.320	2.750	2.190	2.400	2.750	2.320	2.750	0.040	0.000000	2.80	2.32	0.00	30
BRK	2011-10-20	0.101012	9.899840e+5	2.720	2.320	2.720	2.190	2.350	2.720	2.320	2.720	0.030	0.000000	2.77	2.32	0.00	31
BRK	2011-10-19	0.104749	9.546610e+5	2.720	2.320	2.720	2.190	2.320	2.720	2.320	2.720	0.190	0.000000	2.77	2.32	0.00	32
BRK	2011-10-18	0.100262	9.973840e+5	2.720	2.320	2.720	2.190	2.320	2.720	2.320	2.720	0.120	0.000000	2.77	2.32	0.00	33
BRK	2011-10-17	0.099224	1.007830e+6	2.650	2.320	2.650	2.190	2.320	2.470	2.320	2.650	0.340	0.000000	2.70	2.32	0.00	34
BRK	2011-10-14	0.086551	1.155390e+6	2.650	2.320	2.650	2.190	2.320	2.470	2.320	2.650	0.090	0.000000	2.69	2.32	0.00	35
BRK	2011-10-13	0.086370	1.157820e+6	2.650	2.320	2.650	2.190	2.320	2.530	2.320	2.650	0.050	0.000000	2.69	2.32	0.00	36
BRK	2011-10-12	0.088284	1.132710e+6	2.650	2.320	2.650	2.190	2.320	2.530	2.320	2.650	0.040	0.000000	2.69	2.32	0.00	37
BRK	2011-10-11	0.090825	1.101020e+6	2.650	2.320	2.650	2.190	2.320	2.530	2.320	2.650	0.090	0.000000	2.70	2.32	0.00	38
BRK	2011-10-07	0.090868	1.100490e+6	2.650	2.280	2.650	2.190	2.320	2.530	2.280	2.650	0.050	0.000000	2.70	2.28	0.00	39
BRK	2011-10-06	0.093019	1.075050e+6	2.650	2.280	2.650	2.190	2.320	2.530	2.280	2.650	0.050	0.000000	2.70	2.28	0.00	40
BRK	2011-10-05	0.095283	1.049500e+6	2.650	2.280	2.650	2.190	2.320	2.530	2.280	2.650	0.040	0.000000	2.70	2.28	0.00	41
BRK	2011-10-04	0.098193	1.018400e+6	2.650	2.280	2.650	2.190	2.350	2.530	2.280	2.650	0.040	0.000000	2.70	2.28	0.00	42
BRK	2011-10-03	0.101256	9.875960e+5	2.650	2.280	2.650	2.190	2.360	2.530	2.280	2.650	0.100	0.000000	2.70	2.28	0.00	43
BRK	2011-09-30	0.101322	9.869520e+5	2.650	2.280	2.650	2.190	2.360	2.650	2.280	2.650	0.060	0.000000	2.70	2.28	0.00	44
BRK	2011-09-29	0.103497	9.662120e+5	2.650	2.280	2.650	2.190	2.360	2.650	2.280	2.650	0.180	0.000000	2.70	2.28	0.00	45
BRK	2011-09-28	0.099471	1.005320e+6	2.650	2.280	2.650	2.190	2.360	2.650	2.280	2.650	0.080	0.000000	2.70	2.28	0.00	46
BRK	2011-09-27	0.100495	9.950720e+5	2.650	2.280	2.650	2.190	2.360	2.650	2.280	2.650	0.150	0.000000	2.70	2.28	0.00	47
BRK	2011-09-26	0.097890	1.021560e+6	2.650	2.270	2.650	2.190	2.340	2.650	2.270	2.650	0.140	0.000000	2.70	2.27	0.00	48
BRK	2011-09-23	0.095673	1.045220e+6	2.650	2.240	2.650	2.190	2.280	2.650	2.240	2.650	0.090	0.000000	2.70	2.24	0.00	49
BRK	2011-09-22	0.095972	1.041970e+6	2.650	2.240	2.650	2.190	2.280	2.650	2.240	2.650	0.090	0.000000	2.70	2.24	0.00	50
BRK	2011-09-21	0.096286	1.038570e+6	2.650	2.240	2.700	2.190	2.280	2.650	2.240	2.650	0.060	0.000000	2.70	2.24	0.00	51
BRK	2011-09-20	0.098196	1.018370e+6	2.650	2.240	2.760	2.190	2.280	2.650	2.240	2.650	0.060	0.000000	2.70	2.24	0.00	52
