#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
BYDDF	2011-12-01	0.146543	6.823950e+5	2.650	2.160	2.650	1.470	2.200	2.550	2.160	2.650	0.150	0.000000	2.72	2.16	0.00	1
BYDDF	2011-11-30	0.146361	6.832430e+5	2.650	2.160	2.650	1.470	2.200	2.650	2.160	2.650	0.140	0.000000	2.72	2.16	0.00	2
BYDDF	2011-11-29	0.146696	6.816840e+5	2.650	2.160	2.650	1.470	2.200	2.650	2.160	2.650	0.150	0.000000	2.72	2.16	0.00	3
BYDDF	2011-11-28	0.146522	6.824930e+5	2.650	2.160	2.650	1.470	2.160	2.650	2.160	2.650	0.160	0.000000	2.72	2.16	0.00	4
BYDDF	2011-11-25	0.145812	6.858130e+5	2.650	2.160	2.650	1.470	2.160	2.650	2.160	2.650	0.160	0.000000	2.72	2.16	0.00	5
BYDDF	2011-11-23	0.145066	6.893440e+5	2.650	2.000	2.650	1.470	2.160	2.650	2.000	2.650	0.280	0.000000	2.72	2.00	0.00	6
BYDDF	2011-11-22	0.137964	7.248280e+5	2.650	1.920	2.650	1.470	2.160	2.650	1.920	2.650	0.180	0.000000	2.72	1.92	0.00	7
BYDDF	2011-11-21	0.135751	7.366410e+5	2.650	1.920	2.650	1.470	2.160	2.650	1.920	2.650	0.150	0.000000	2.72	1.92	0.00	8
BYDDF	2011-11-18	0.135001	7.407330e+5	2.650	1.820	2.650	1.470	2.160	2.650	1.820	2.650	0.080	0.000000	2.72	1.82	0.00	9
BYDDF	2011-11-17	0.137896	7.251830e+5	2.650	1.800	2.650	1.470	2.160	2.650	1.800	2.650	0.070	0.000000	2.72	1.80	0.00	10
BYDDF	2011-11-16	0.141470	7.068650e+5	2.650	1.800	2.650	1.470	2.160	2.650	1.800	2.650	0.150	0.000000	2.72	1.80	0.00	11
BYDDF	2011-11-15	0.141021	7.091160e+5	2.550	1.800	2.550	1.470	2.160	2.550	1.800	2.550	0.140	0.000000	2.62	1.80	0.00	12
BYDDF	2011-11-14	0.141074	7.088460e+5	2.530	1.800	2.530	1.470	2.160	2.530	1.800	2.530	0.440	0.000000	2.60	1.80	0.00	13
BYDDF	2011-11-11	0.125342	7.978200e+5	2.530	1.800	2.530	1.470	2.230	2.530	1.800	2.530	0.110	0.000000	2.59	1.80	0.00	14
BYDDF	2011-11-10	0.126149	7.927140e+5	2.530	1.800	2.530	1.470	2.270	2.530	1.800	2.530	0.120	0.000000	2.59	1.80	0.00	15
BYDDF	2011-11-09	0.126473	7.906850e+5	2.530	1.730	2.530	1.470	2.000	2.530	1.730	2.530	0.170	0.000000	2.59	1.73	0.00	16
BYDDF	2011-11-08	0.124182	8.052720e+5	2.530	1.620	2.530	1.470	1.920	2.530	1.620	2.530	0.090	0.000000	2.59	1.62	0.00	17
BYDDF	2011-11-07	0.125981	7.937720e+5	2.530	1.620	2.560	1.470	1.920	2.530	1.620	2.530	0.140	0.000000	2.59	1.62	0.00	18
BYDDF	2011-11-04	0.125243	7.984490e+5	2.530	1.610	2.610	1.470	1.820	2.530	1.610	2.530	0.150	0.000000	2.59	1.61	0.00	19
BYDDF	2011-11-03	0.123940	8.068430e+5	2.530	1.580	2.790	1.470	1.800	2.530	1.580	2.530	0.120	0.000000	2.59	1.58	0.00	20
BYDDF	2011-11-02	0.124147	8.054960e+5	2.530	1.580	2.790	1.470	1.800	2.530	1.580	2.530	0.110	0.000000	2.59	1.58	0.00	21
BYDDF	2011-11-01	0.124892	8.006930e+5	2.400	1.580	2.840	1.470	1.800	2.400	1.580	2.400	0.140	0.000000	2.46	1.58	0.00	22
BYDDF	2011-10-31	0.124097	8.058240e+5	2.400	1.580	2.870	1.470	1.800	2.400	1.580	2.400	0.120	0.000000	2.46	1.58	0.00	23
BYDDF	2011-10-28	0.124312	8.044260e+5	2.400	1.580	2.870	1.470	1.800	2.400	1.580	2.400	0.190	0.000000	2.46	1.58	0.00	24
BYDDF	2011-10-27	0.120855	8.274380e+5	2.000	1.580	2.870	1.470	1.800	2.000	1.580	2.000	0.400	0.000000	2.06	1.58	0.00	25
BYDDF	2011-10-26	0.106163	9.419470e+5	1.950	1.580	2.880	1.470	1.730	1.950	1.580	1.950	0.120	0.000000	2.00	1.58	0.00	26
BYDDF	2011-10-25	0.105435	9.484530e+5	1.950	1.580	2.880	1.470	1.620	1.950	1.580	1.950	0.050	0.000000	2.00	1.58	0.00	27
BYDDF	2011-10-24	0.108352	9.229140e+5	1.950	1.470	2.920	1.470	1.620	1.950	1.470	1.950	0.150	0.000000	2.00	1.47	0.00	28
BYDDF	2011-10-21	0.106161	9.419700e+5	1.950	1.470	2.990	1.470	1.610	1.950	1.470	1.950	0.070	0.000000	2.00	1.47	0.00	29
BYDDF	2011-10-20	0.108064	9.253800e+5	1.950	1.470	3.120	1.470	1.580	1.950	1.470	1.950	0.080	0.000000	2.00	1.47	0.00	30
BYDDF	2011-10-19	0.109541	9.129020e+5	1.950	1.470	3.280	1.470	1.580	1.950	1.470	1.950	0.100	0.000000	2.00	1.47	0.00	31
BYDDF	2011-10-18	0.110043	9.087370e+5	1.950	1.470	3.410	1.470	1.580	1.950	1.470	1.950	0.130	0.000000	2.01	1.47	0.00	32
BYDDF	2011-10-17	0.108993	9.174940e+5	1.950	1.470	3.410	1.470	1.580	1.950	1.470	1.950	0.100	0.000000	2.00	1.47	0.00	33
BYDDF	2011-10-14	0.109466	9.135270e+5	1.950	1.470	3.410	1.470	1.580	1.950	1.470	1.950	0.050	0.000000	2.00	1.47	0.00	34
BYDDF	2011-10-13	0.112596	8.881340e+5	1.850	1.470	3.410	1.470	1.580	1.730	1.470	1.850	0.220	0.000000	1.91	1.47	0.00	35
BYDDF	2011-10-12	0.106943	9.350800e+5	1.850	1.470	3.410	1.470	1.580	1.670	1.470	1.850	0.120	0.000000	1.90	1.47	0.00	36
BYDDF	2011-10-11	0.106255	9.411280e+5	1.940	1.470	3.410	1.470	1.580	1.690	1.470	1.940	0.080	0.000000	1.99	1.47	0.00	37
BYDDF	2011-10-10	0.107637	9.290460e+5	1.950	1.470	3.410	1.470	1.470	1.690	1.470	1.950	0.150	0.000000	2.00	1.47	0.00	38
BYDDF	2011-10-07	0.105408	9.486970e+5	1.950	1.470	3.410	1.470	1.470	1.690	1.470	1.950	0.070	0.000000	2.00	1.47	0.00	39
BYDDF	2011-10-06	0.107271	9.322160e+5	1.950	1.470	3.410	1.470	1.470	1.690	1.470	1.950	0.080	0.000000	2.00	1.47	0.00	40
BYDDF	2011-10-05	0.108707	9.199070e+5	2.000	1.470	3.410	1.470	1.470	1.730	1.470	2.000	0.060	0.000000	2.05	1.47	0.00	41
BYDDF	2011-10-04	0.111270	8.987140e+5	2.000	1.470	3.410	1.470	1.470	1.790	1.470	2.000	0.120	0.000000	2.06	1.47	0.00	42
BYDDF	2011-10-03	0.110811	9.024400e+5	2.000	1.470	3.410	1.470	1.470	1.790	1.470	2.000	0.040	0.000000	2.06	1.47	0.00	43
BYDDF	2011-09-30	0.114538	8.730760e+5	2.030	1.470	3.410	1.470	1.470	1.800	1.470	2.030	0.110	0.000000	2.09	1.47	0.00	44
BYDDF	2011-09-29	0.114776	8.712600e+5	2.070	1.470	3.410	1.470	1.470	1.850	1.470	2.070	0.080	0.000000	2.13	1.47	0.00	45
BYDDF	2011-09-28	0.116607	8.575840e+5	2.070	1.470	3.410	1.470	1.470	1.850	1.470	2.070	0.150	0.000000	2.13	1.47	0.00	46
BYDDF	2011-09-27	0.114849	8.707070e+5	2.070	1.470	3.410	1.470	1.470	1.940	1.470	2.070	0.310	0.000000	2.13	1.47	0.00	47
BYDDF	2011-09-26	0.104578	9.562230e+5	2.070	1.550	3.410	1.550	1.550	1.950	1.550	2.070	0.110	0.000000	2.12	1.55	0.00	48
