#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CAH	2011-12-01	1.143710	8.743510e+4	44.910	40.290	45.490	39.880	40.290	42.900	40.290	44.910	0.650	0.000000	45.48	40.29	0.00	1
CAH	2011-11-30	1.169690	8.549270e+4	44.910	40.290	45.490	39.880	40.290	44.330	40.290	44.910	1.580	0.000000	45.49	40.29	0.00	2
CAH	2011-11-29	1.148090	8.710080e+4	44.910	40.290	45.490	39.880	40.290	44.350	40.290	44.910	1.110	0.000000	45.48	40.29	0.00	3
CAH	2011-11-28	1.150100	8.694900e+4	45.490	40.290	45.490	39.880	40.290	44.910	40.290	45.490	1.370	0.000000	46.06	40.29	0.00	4
CAH	2011-11-25	1.138530	8.783290e+4	45.490	40.530	45.490	39.880	40.530	44.910	40.530	45.490	0.560	0.000000	46.06	40.53	0.00	5
CAH	2011-11-23	1.168970	8.554500e+4	45.490	40.530	45.490	39.880	40.530	44.910	40.530	45.490	1.370	0.000000	46.07	40.53	0.00	6
CAH	2011-11-22	1.158390	8.632640e+4	45.490	40.650	45.490	39.880	40.650	44.910	40.650	45.490	0.680	0.000000	46.07	40.65	0.00	7
CAH	2011-11-21	1.183570	8.448990e+4	45.490	41.880	45.490	39.880	41.880	44.910	41.880	45.490	1.480	0.000000	46.08	41.88	0.00	8
CAH	2011-11-18	1.167970	8.561850e+4	45.490	42.240	45.490	39.880	42.240	44.910	42.240	45.490	0.740	0.000000	46.07	42.24	0.00	9
CAH	2011-11-17	1.190500	8.399860e+4	45.490	42.420	45.490	39.880	42.880	44.910	42.420	45.490	1.130	0.000000	46.09	42.42	0.00	10
CAH	2011-11-16	1.193680	8.377450e+4	45.490	42.260	45.490	39.880	42.880	44.910	42.260	45.490	1.480	0.000000	46.09	42.26	0.00	11
CAH	2011-11-15	1.178610	8.484560e+4	45.490	42.000	45.490	39.880	42.880	44.910	42.000	45.490	0.690	0.000000	46.08	42.00	0.00	12
CAH	2011-11-14	1.204330	8.303390e+4	45.490	41.320	45.490	39.880	42.880	44.910	41.320	45.490	0.660	0.000000	46.09	41.32	0.00	13
