#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CAKE	2011-12-01	0.953880	1.048350e+5	28.360	26.040	28.760	23.960	26.040	28.360	26.040	28.360	0.650	0.000000	28.84	26.04	0.00	1
CAKE	2011-11-30	0.969874	1.031060e+5	27.940	26.040	28.760	23.960	26.040	27.490	26.040	27.940	1.110	0.000000	28.42	26.04	0.00	2
CAKE	2011-11-29	0.962499	1.038960e+5	27.990	26.040	28.760	23.960	26.040	27.490	26.040	27.990	1.000	0.000000	28.47	26.04	0.00	3
CAKE	2011-11-28	0.960525	1.041100e+5	28.360	26.040	28.760	23.960	26.040	27.590	26.040	28.360	1.080	0.000000	28.84	26.04	0.00	4
CAKE	2011-11-25	0.954237	1.047960e+5	28.760	26.140	28.760	23.960	26.140	27.590	26.140	28.760	0.590	0.000000	29.24	26.14	0.00	5
CAKE	2011-11-23	0.973407	1.027320e+5	28.760	26.350	28.760	23.960	26.350	27.590	26.350	28.760	0.780	0.000000	29.25	26.35	0.00	6
CAKE	2011-11-22	0.983586	1.016690e+5	28.760	26.350	28.760	23.960	26.350	27.780	26.350	28.760	0.810	0.000000	29.25	26.35	0.00	7
CAKE	2011-11-21	0.992723	1.007330e+5	28.760	26.440	28.760	23.960	26.440	27.780	26.440	28.760	0.940	0.000000	29.26	26.44	0.00	8
CAKE	2011-11-18	0.995497	1.004520e+5	28.760	26.440	28.760	23.960	26.440	27.780	26.440	28.760	0.750	0.000000	29.26	26.44	0.00	9
CAKE	2011-11-17	1.008420	9.916520e+4	28.760	26.250	28.760	23.960	26.750	27.780	26.250	28.760	1.040	0.000000	29.26	26.25	0.00	10
CAKE	2011-11-16	1.006760	9.932890e+4	28.760	26.050	28.760	23.960	26.750	27.940	26.050	28.760	0.750	0.000000	29.26	26.05	0.00	11
CAKE	2011-11-15	1.020270	9.801330e+4	28.760	26.050	28.760	23.960	26.750	27.940	26.050	28.760	0.850	0.000000	29.27	26.05	0.00	12
CAKE	2011-11-14	1.029230	9.715990e+4	28.760	26.050	28.760	23.960	26.750	27.990	26.050	28.760	0.470	0.000000	29.27	26.05	0.00	13
CAKE	2011-11-11	1.058660	9.445860e+4	28.760	26.050	28.760	23.960	26.750	28.360	26.050	28.760	1.000	0.000000	29.29	26.05	0.00	14
CAKE	2011-11-10	1.061750	9.418390e+4	28.760	26.050	28.760	23.960	26.750	28.760	26.050	28.760	0.660	0.000000	29.29	26.05	0.00	15
CAKE	2011-11-09	1.082900	9.234490e+4	28.760	26.050	28.760	23.960	27.330	28.760	26.050	28.760	1.090	0.000000	29.30	26.05	0.00	16
CAKE	2011-11-08	1.082520	9.237680e+4	28.760	26.050	28.760	23.960	27.330	28.760	26.050	28.760	0.780	0.000000	29.30	26.05	0.00	17
CAKE	2011-11-07	1.098450	9.103780e+4	28.760	26.050	28.760	23.960	27.360	28.760	26.050	28.760	0.730	0.000000	29.31	26.05	0.00	18
CAKE	2011-11-04	1.117840	8.945850e+4	28.760	24.990	28.760	23.960	27.330	28.760	24.990	28.760	0.750	0.000000	29.32	24.99	0.00	19
CAKE	2011-11-03	1.137200	8.793550e+4	28.760	24.990	28.760	23.960	26.250	28.760	24.990	28.760	0.910	0.000000	29.33	24.99	0.00	20
CAKE	2011-11-02	1.149150	8.702050e+4	28.760	24.990	28.760	23.960	26.050	28.760	24.990	28.760	1.050	0.000000	29.33	24.99	0.00	21
CAKE	2011-11-01	1.154370	8.662710e+4	28.760	24.990	28.760	23.960	26.050	28.760	24.990	28.760	1.490	0.000000	29.34	24.99	0.00	22
CAKE	2011-10-31	1.136710	8.797330e+4	28.760	23.960	28.760	23.960	26.050	28.760	23.960	28.760	0.640	0.000000	29.33	23.96	0.00	23
CAKE	2011-10-28	1.162850	8.599550e+4	28.760	23.960	28.760	23.960	26.050	28.760	23.960	28.760	0.850	0.000000	29.34	23.96	0.00	24
CAKE	2011-10-27	1.179320	8.479480e+4	28.350	23.960	28.350	23.960	26.050	28.350	23.960	28.350	1.430	0.000000	28.94	23.96	0.00	25
CAKE	2011-10-26	1.166120	8.575420e+4	28.350	23.960	28.350	23.960	26.050	28.350	23.960	28.350	1.400	0.000000	28.93	23.96	0.00	26
CAKE	2011-10-25	1.153810	8.666910e+4	28.350	23.960	28.350	23.960	26.050	28.350	23.960	28.350	0.740	0.000000	28.93	23.96	0.00	27
CAKE	2011-10-24	1.175590	8.506340e+4	27.360	23.960	27.910	23.960	26.050	27.330	23.960	27.360	1.470	0.000000	27.95	23.96	0.00	28
CAKE	2011-10-21	1.160100	8.619960e+4	27.360	23.960	27.910	23.960	24.990	27.230	23.960	27.360	1.100	0.000000	27.94	23.96	0.00	29
CAKE	2011-10-20	1.163260	8.596520e+4	27.360	23.960	28.300	23.960	24.990	27.230	23.960	27.360	1.440	0.000000	27.94	23.96	0.00	30
CAKE	2011-10-19	1.148700	8.705520e+4	27.360	23.960	28.300	23.960	24.990	27.230	23.960	27.360	1.490	0.000000	27.93	23.96	0.00	31
CAKE	2011-10-18	1.130730	8.843820e+4	27.360	23.960	28.790	23.960	24.990	27.110	23.960	27.360	1.510	0.000000	27.93	23.96	0.00	32
CAKE	2011-10-17	1.110770	9.002750e+4	27.360	23.960	28.830	23.960	23.960	27.110	23.960	27.360	0.990	0.000000	27.92	23.96	0.00	33
CAKE	2011-10-14	1.117130	8.951520e+4	27.440	23.960	29.030	23.960	23.960	27.110	23.960	27.440	0.980	0.000000	28.00	23.96	0.00	34
CAKE	2011-10-13	1.124350	8.894060e+4	27.440	23.960	29.520	23.960	23.960	26.520	23.960	27.440	0.930	0.000000	28.00	23.96	0.00	35
CAKE	2011-10-12	1.134570	8.813880e+4	27.440	23.960	30.930	23.960	23.960	26.360	23.960	27.440	1.460	0.000000	28.01	23.96	0.00	36
CAKE	2011-10-11	1.117450	8.948970e+4	27.440	23.960	30.930	23.960	23.960	27.360	23.960	27.440	0.790	0.000000	28.00	23.96	0.00	37
CAKE	2011-10-10	1.134680	8.813050e+4	27.440	23.960	30.930	23.960	23.960	27.360	23.960	27.440	1.290	0.000000	28.01	23.96	0.00	38
CAKE	2011-10-07	1.126510	8.877000e+4	27.440	23.960	31.060	23.960	23.960	27.360	23.960	27.440	1.210	0.000000	28.00	23.96	0.00	39
CAKE	2011-10-06	1.122110	8.911770e+4	27.440	23.960	32.690	23.960	23.960	27.360	23.960	27.440	0.720	0.000000	28.00	23.96	0.00	40
CAKE	2011-10-05	1.143280	8.746800e+4	27.440	23.960	33.610	23.960	23.960	27.360	23.960	27.440	1.020	0.000000	28.01	23.96	0.00	41
CAKE	2011-10-04	1.149760	8.697440e+4	27.440	23.960	33.610	23.960	23.960	27.360	23.960	27.440	1.390	0.000000	28.01	23.96	0.00	42
CAKE	2011-10-03	1.137120	8.794150e+4	27.440	24.650	33.610	24.650	24.650	27.360	24.650	27.440	1.080	0.000000	28.01	24.65	0.00	43
CAKE	2011-09-30	1.140130	8.770960e+4	27.440	25.410	33.610	25.030	25.410	27.440	25.410	27.440	1.320	0.000000	28.01	25.41	0.00	44
CAKE	2011-09-29	1.130660	8.844400e+4	27.450	25.410	33.610	25.030	25.410	27.440	25.410	27.450	1.680	0.000000	28.02	25.41	0.00	45
CAKE	2011-09-28	1.101750	9.076500e+4	27.670	25.410	33.610	25.030	25.410	27.440	25.410	27.670	1.800	0.000000	28.22	25.41	0.00	46
CAKE	2011-09-27	1.065000	9.389710e+4	27.910	25.410	33.610	25.030	25.410	27.440	25.410	27.910	1.040	0.000000	28.44	25.41	0.00	47
CAKE	2011-09-26	1.066310	9.378120e+4	27.910	25.410	33.610	25.030	25.410	27.440	25.410	27.910	1.380	0.000000	28.44	25.41	0.00	48
CAKE	2011-09-23	1.049800	9.525610e+4	27.910	25.410	33.830	25.030	25.410	27.440	25.410	27.910	1.420	0.000000	28.43	25.41	0.00	49
CAKE	2011-09-22	1.030320	9.705740e+4	27.910	25.580	33.830	25.030	25.580	27.440	25.580	27.910	0.770	0.000000	28.43	25.58	0.00	50
CAKE	2011-09-21	1.044020	9.578370e+4	27.910	25.600	33.830	25.030	25.600	27.440	25.600	27.910	1.100	0.000000	28.43	25.60	0.00	51
CAKE	2011-09-20	1.041070	9.605480e+4	27.910	25.600	33.830	25.030	25.600	27.440	25.600	27.910	1.390	0.000000	28.43	25.60	0.00	52
CAKE	2011-09-19	1.022710	9.777970e+4	27.910	25.600	33.830	25.030	25.600	27.440	25.600	27.910	0.750	0.000000	28.42	25.60	0.00	53
