#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CB	2011-12-01	1.386470	7.212580e+4	68.250	63.640	69.880	57.550	63.640	67.440	63.640	68.250	0.890	0.000000	68.94	63.64	0.00	1
CB	2011-11-30	1.412600	7.079160e+4	68.250	63.640	69.880	57.550	63.640	66.850	63.640	68.250	2.660	0.000000	68.96	63.64	0.00	2
CB	2011-11-29	1.346940	7.424210e+4	68.250	63.640	69.880	57.550	63.640	66.850	63.640	68.250	0.650	0.000000	68.92	63.64	0.00	3
CB	2011-11-28	1.383630	7.227390e+4	68.620	63.640	69.880	57.550	63.640	67.780	63.640	68.620	1.250	0.000000	69.31	63.64	0.00	4
CB	2011-11-25	1.390660	7.190840e+4	69.880	63.640	69.880	57.550	63.640	67.780	63.640	69.880	1.210	0.000000	70.58	63.64	0.00	5
CB	2011-11-23	1.400170	7.142010e+4	69.880	64.430	69.880	57.550	64.430	67.780	64.430	69.880	0.870	0.000000	70.58	64.43	0.00	6
CB	2011-11-22	1.428070	7.002460e+4	69.880	64.430	69.880	57.550	64.430	68.250	64.430	69.880	0.880	0.000000	70.59	64.43	0.00	7
CB	2011-11-21	1.456920	6.863810e+4	69.880	65.060	69.880	57.550	65.060	68.250	65.060	69.880	1.480	0.000000	70.61	65.06	0.00	8
CB	2011-11-18	1.455700	6.869540e+4	69.880	65.060	69.880	57.550	65.060	68.250	65.060	69.880	0.870	0.000000	70.61	65.06	0.00	9
CB	2011-11-17	1.486530	6.727090e+4	69.880	65.100	69.880	57.550	65.630	68.250	65.100	69.880	1.630	0.000000	70.62	65.10	0.00	10
CB	2011-11-16	1.478980	6.761430e+4	69.880	64.630	69.880	57.550	66.750	68.250	64.630	69.880	1.290	0.000000	70.62	64.63	0.00	11
CB	2011-11-15	1.488920	6.716270e+4	69.880	63.300	69.880	57.550	65.100	68.250	63.300	69.880	0.920	0.000000	70.62	63.30	0.00	12
CB	2011-11-14	1.518870	6.583860e+4	69.880	61.390	69.880	57.550	65.100	68.250	61.390	69.880	1.120	0.000000	70.64	61.39	0.00	13
CB	2011-11-11	1.539860	6.494100e+4	69.880	61.390	69.880	57.550	65.100	68.620	61.390	69.880	1.120	0.000000	70.65	61.39	0.00	14
CB	2011-11-10	1.561960	6.402230e+4	69.880	61.390	69.880	57.550	65.100	69.880	61.390	69.880	0.950	0.000000	70.66	61.39	0.00	15
CB	2011-11-09	1.594160	6.272880e+4	69.880	61.390	69.880	57.550	65.100	69.880	61.390	69.880	1.620	0.000000	70.68	61.39	0.00	16
CB	2011-11-08	1.592810	6.278230e+4	69.880	61.390	69.880	57.550	65.100	69.880	61.390	69.880	0.950	0.000000	70.68	61.39	0.00	17
CB	2011-11-07	1.626640	6.147650e+4	69.880	61.390	69.880	57.550	65.100	69.880	61.390	69.880	0.820	0.000000	70.69	61.39	0.00	18
CB	2011-11-04	1.669090	5.991280e+4	69.880	59.770	69.880	57.550	65.100	69.880	59.770	69.880	1.130	0.000000	70.71	59.77	0.00	19
CB	2011-11-03	1.697460	5.891140e+4	69.880	59.770	69.880	57.550	65.100	69.880	59.770	69.880	1.080	0.000000	70.73	59.77	0.00	20
CB	2011-11-02	1.729960	5.780470e+4	69.880	59.770	69.880	57.550	64.630	69.880	59.770	69.880	1.860	0.000000	70.75	59.77	0.00	21
CB	2011-11-01	1.723120	5.803430e+4	69.880	59.550	69.880	57.550	63.300	69.880	59.550	69.880	1.990	0.000000	70.74	59.55	0.00	22
CB	2011-10-31	1.709070	5.851130e+4	69.880	58.120	69.880	57.550	61.390	69.880	58.120	69.880	1.600	0.000000	70.73	58.12	0.00	23
CB	2011-10-28	1.714810	5.831540e+4	69.880	58.120	69.880	57.550	61.390	69.880	58.120	69.880	1.390	0.000000	70.74	58.12	0.00	24
CB	2011-10-27	1.731910	5.773980e+4	68.710	58.120	68.710	56.510	61.390	68.710	58.120	68.710	2.130	0.000000	69.58	58.12	0.00	25
CB	2011-10-26	1.710960	5.844680e+4	68.710	58.120	68.710	56.510	61.390	68.710	58.120	68.710	1.520	0.000000	69.57	58.12	0.00	26
CB	2011-10-25	1.721010	5.810550e+4	68.710	58.120	68.710	55.430	61.390	68.710	58.120	68.710	1.360	0.000000	69.57	58.12	0.00	27
CB	2011-10-24	1.740010	5.747100e+4	68.710	58.120	68.710	55.430	61.390	68.710	58.120	68.710	1.160	0.000000	69.58	58.12	0.00	28
CB	2011-10-21	1.770530	5.648010e+4	65.350	57.890	65.350	55.430	59.770	65.350	57.890	65.350	3.430	0.000000	66.24	57.89	0.00	29
CB	2011-10-20	1.683190	5.941090e+4	64.630	57.890	64.630	55.430	59.770	64.630	57.890	64.630	1.440	0.000000	65.47	57.89	0.00	30
CB	2011-10-19	1.695990	5.896250e+4	63.300	57.550	63.300	55.430	59.770	63.300	57.550	63.300	2.700	0.000000	64.15	57.55	0.00	31
CB	2011-10-18	1.643150	6.085870e+4	62.870	57.550	62.870	55.430	59.550	62.870	57.550	62.870	2.860	0.000000	63.69	57.55	0.00	32
CB	2011-10-17	1.579110	6.332700e+4	62.870	57.550	62.870	55.430	58.120	62.870	57.550	62.870	1.590	0.000000	63.66	57.55	0.00	33
CB	2011-10-14	1.578530	6.335000e+4	62.060	57.550	63.220	55.430	58.120	62.060	57.550	62.060	1.090	0.000000	62.85	57.55	0.00	34
CB	2011-10-13	1.604240	6.233460e+4	61.940	57.550	63.690	55.430	58.120	61.940	57.550	61.940	1.250	0.000000	62.74	57.55	0.00	35
CB	2011-10-12	1.622890	6.161850e+4	61.910	57.550	64.120	55.430	58.120	61.910	57.550	61.910	0.910	0.000000	62.72	57.55	0.00	36
CB	2011-10-11	1.660410	6.022610e+4	61.910	57.550	64.170	55.430	58.120	61.910	57.550	61.910	0.750	0.000000	62.74	57.55	0.00	37
CB	2011-10-10	1.708330	5.853680e+4	60.780	57.550	64.450	55.430	58.120	60.780	57.550	60.780	2.180	0.000000	61.63	57.55	0.00	38
CB	2011-10-07	1.683500	5.940000e+4	60.780	57.550	64.450	55.430	57.890	60.780	57.550	60.780	1.590	0.000000	61.62	57.55	0.00	39
CB	2011-10-06	1.688420	5.922690e+4	60.670	57.550	64.450	55.430	57.890	60.520	57.550	60.670	1.510	0.000000	61.51	57.55	0.00	40
CB	2011-10-05	1.697810	5.889930e+4	61.240	57.550	64.450	55.430	57.550	60.520	57.550	61.240	1.970	0.000000	62.09	57.55	0.00	41
CB	2011-10-04	1.683490	5.940050e+4	61.240	57.550	64.450	55.430	57.550	60.670	57.550	61.240	2.800	0.000000	62.08	57.55	0.00	42
CB	2011-10-03	1.624720	6.154890e+4	61.240	57.550	64.450	55.430	57.550	60.670	57.550	61.240	2.290	0.000000	62.05	57.55	0.00	43
CB	2011-09-30	1.589710	6.290460e+4	61.620	57.550	64.450	55.430	57.550	60.670	57.550	61.620	1.020	0.000000	62.41	57.55	0.00	44
CB	2011-09-29	1.619690	6.174010e+4	61.890	57.550	64.450	55.430	57.550	60.670	57.550	61.890	1.780	0.000000	62.70	57.55	0.00	45
CB	2011-09-28	1.611260	6.206340e+4	61.890	57.550	64.450	55.430	57.550	60.670	57.550	61.890	1.640	0.000000	62.70	57.55	0.00	46
CB	2011-09-27	1.609740	6.212170e+4	62.100	57.550	64.450	55.430	57.550	60.670	57.550	62.100	1.570	0.000000	62.90	57.55	0.00	47
CB	2011-09-26	1.611840	6.204110e+4	62.100	57.550	64.450	55.430	57.550	60.670	57.550	62.100	1.670	0.000000	62.91	57.55	0.00	48
CB	2011-09-23	1.608770	6.215910e+4	62.100	57.550	64.450	55.430	57.550	60.670	57.550	62.100	0.740	0.000000	62.90	57.55	0.00	49
CB	2011-09-22	1.654500	6.044130e+4	62.100	57.550	64.450	55.430	57.550	60.670	57.550	62.100	2.020	0.000000	62.93	57.55	0.00	50
CB	2011-09-21	1.635260	6.115230e+4	62.100	58.660	64.450	55.430	59.240	61.240	58.660	62.100	3.120	0.000000	62.92	58.66	0.00	51
CB	2011-09-20	1.557120	6.422120e+4	62.100	58.660	64.450	55.430	59.240	61.240	58.660	62.100	1.560	0.000000	62.88	58.66	0.00	52
CB	2011-09-19	1.556970	6.422750e+4	62.100	58.660	64.450	55.430	59.240	61.240	58.660	62.100	1.160	0.000000	62.88	58.66	0.00	53
