#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CDE	2011-12-01	1.366490	7.318040e+4	29.450	25.650	29.450	20.560	25.650	29.270	25.650	29.450	0.750	0.000000	30.13	25.65	0.00	1
CDE	2011-11-30	1.398930	7.148300e+4	29.450	25.180	29.450	20.560	25.650	29.450	25.180	29.450	2.380	0.000000	30.15	25.18	0.00	2
CDE	2011-11-29	1.347300	7.422260e+4	29.450	25.180	29.450	20.560	25.650	29.450	25.180	29.450	1.010	0.000000	30.12	25.18	0.00	3
CDE	2011-11-28	1.365050	7.325730e+4	29.450	25.180	29.450	20.560	25.650	29.450	25.180	29.450	1.650	0.000000	30.13	25.18	0.00	4
CDE	2011-11-25	1.350050	7.407110e+4	29.450	25.180	30.080	20.560	25.910	29.450	25.180	29.450	0.750	0.000000	30.12	25.18	0.00	5
CDE	2011-11-23	1.381640	7.237800e+4	29.450	24.620	30.080	20.560	26.840	29.450	24.620	29.450	1.330	0.000000	30.14	24.62	0.00	6
CDE	2011-11-22	1.384350	7.223590e+4	29.450	24.140	30.080	20.560	26.840	29.450	24.140	29.450	1.130	0.000000	30.14	24.14	0.00	7
CDE	2011-11-21	1.397740	7.154410e+4	29.450	23.480	30.080	20.560	27.670	29.450	23.480	29.450	1.680	0.000000	30.15	23.48	0.00	8
CDE	2011-11-18	1.382880	7.231260e+4	29.450	22.030	30.080	20.560	27.250	29.450	22.030	29.450	1.120	0.000000	30.14	22.03	0.00	9
CDE	2011-11-17	1.396720	7.159630e+4	29.450	21.730	30.080	20.560	27.170	29.450	21.730	29.450	1.290	0.000000	30.15	21.73	0.00	10
CDE	2011-11-16	1.402340	7.130950e+4	29.450	21.710	30.080	20.560	25.890	29.450	21.710	29.450	1.160	0.000000	30.15	21.71	0.00	11
CDE	2011-11-15	1.415090	7.066680e+4	29.450	21.710	30.080	20.560	25.180	29.450	21.710	29.450	1.270	0.000000	30.16	21.71	0.00	12
CDE	2011-11-14	1.422730	7.028750e+4	29.450	21.710	30.080	20.560	25.180	29.450	21.710	29.450	0.830	0.000000	30.16	21.71	0.00	13
CDE	2011-11-11	1.453920	6.877940e+4	29.450	21.710	30.080	20.560	25.180	29.450	21.710	29.450	1.730	0.000000	30.18	21.71	0.00	14
CDE	2011-11-10	1.439390	6.947370e+4	29.450	21.710	30.080	20.560	25.180	29.450	21.710	29.450	1.600	0.000000	30.17	21.71	0.00	15
CDE	2011-11-09	1.430940	6.988410e+4	29.450	21.710	30.080	20.560	24.620	29.450	21.710	29.450	1.850	0.000000	30.17	21.71	0.00	16
CDE	2011-11-08	1.408890	7.097810e+4	29.330	21.710	30.080	20.560	24.140	29.330	21.710	29.330	0.750	0.000000	30.03	21.71	0.00	17
CDE	2011-11-07	1.443560	6.927300e+4	27.250	21.710	30.080	20.560	23.480	27.250	21.710	27.250	2.530	0.000000	27.97	21.71	0.00	18
CDE	2011-11-04	1.386380	7.213020e+4	27.170	21.540	30.080	20.560	22.030	27.170	21.540	27.170	1.090	0.000000	27.86	21.54	0.00	19
CDE	2011-11-03	1.401980	7.132760e+4	26.710	21.540	30.080	20.560	21.730	26.710	21.540	26.710	1.360	0.000000	27.41	21.54	0.00	20
CDE	2011-11-02	1.404190	7.121540e+4	26.710	21.540	30.080	20.560	21.710	26.710	21.540	26.710	1.120	0.000000	27.41	21.54	0.00	21
CDE	2011-11-01	1.419150	7.046480e+4	26.710	20.560	30.080	20.560	21.710	26.710	20.560	26.710	1.820	0.000000	27.42	20.56	0.00	22
CDE	2011-10-31	1.398050	7.152810e+4	26.710	20.560	30.080	20.560	21.710	26.710	20.560	26.710	1.330	0.000000	27.41	20.56	0.00	23
CDE	2011-10-28	1.401630	7.134540e+4	26.290	20.560	30.080	20.560	21.710	26.290	20.560	26.290	0.990	0.000000	26.99	20.56	0.00	24
CDE	2011-10-27	1.423300	7.025940e+4	24.620	20.560	30.080	20.560	21.710	24.620	20.560	24.620	2.150	0.000000	25.33	20.56	0.00	25
CDE	2011-10-26	1.385050	7.219960e+4	24.140	20.560	30.080	20.560	21.710	24.140	20.560	24.140	1.670	0.000000	24.83	20.56	0.00	26
CDE	2011-10-25	1.370050	7.298990e+4	23.930	20.560	30.080	20.560	21.710	23.930	20.560	23.930	1.890	0.000000	24.61	20.56	0.00	27
CDE	2011-10-24	1.342690	7.447750e+4	23.930	20.560	30.080	20.560	21.710	23.930	20.560	23.930	1.470	0.000000	24.60	20.56	0.00	28
CDE	2011-10-21	1.335990	7.485110e+4	23.930	20.560	30.080	20.560	21.540	23.930	20.560	23.930	0.830	0.000000	24.60	20.56	0.00	29
CDE	2011-10-20	1.362620	7.338820e+4	23.930	20.560	30.080	20.560	21.540	23.930	20.560	23.930	1.180	0.000000	24.61	20.56	0.00	30
CDE	2011-10-19	1.372230	7.287420e+4	26.950	20.560	30.080	20.560	21.540	23.930	20.560	26.950	1.300	0.000000	27.64	20.56	0.00	31
CDE	2011-10-18	1.376030	7.267280e+4	27.270	20.560	30.080	20.560	20.560	23.930	20.560	27.270	1.360	0.000000	27.96	20.56	0.00	32
CDE	2011-10-17	1.376870	7.262830e+4	27.270	20.560	30.080	20.560	20.560	23.930	20.560	27.270	1.520	0.000000	27.96	20.56	0.00	33
CDE	2011-10-14	1.369340	7.302780e+4	27.340	20.560	30.080	20.560	20.560	23.400	20.560	27.340	0.970	0.000000	28.02	20.56	0.00	34
CDE	2011-10-13	1.390360	7.192390e+4	27.450	20.560	30.080	20.560	20.560	23.400	20.560	27.450	0.950	0.000000	28.15	20.56	0.00	35
CDE	2011-10-12	1.413540	7.074460e+4	28.260	20.560	30.080	20.560	20.560	23.000	20.560	28.260	0.900	0.000000	28.97	20.56	0.00	36
