#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CDH	2011-12-01	0.162256	6.163090e+5	2.790	2.090	2.790	2.000	2.090	2.270	2.090	2.790	0.320	0.000000	2.87	2.09	0.00	1
CDH	2011-11-30	0.153954	6.495450e+5	2.790	2.090	2.790	2.000	2.090	2.350	2.090	2.790	0.100	0.000000	2.87	2.09	0.00	2
CDH	2011-11-29	0.156794	6.377810e+5	2.790	2.090	2.790	2.000	2.090	2.350	2.090	2.790	0.130	0.000000	2.87	2.09	0.00	3
CDH	2011-11-28	0.158204	6.320960e+5	2.790	2.090	2.790	2.000	2.090	2.450	2.090	2.790	0.230	0.000000	2.87	2.09	0.00	4
CDH	2011-11-25	0.154425	6.475640e+5	2.790	2.090	2.790	2.000	2.090	2.450	2.090	2.790	0.110	0.000000	2.87	2.09	0.00	5
CDH	2011-11-24	0.156763	6.379050e+5	2.790	2.100	2.790	2.000	2.100	2.450	2.100	2.790	0.160	0.000000	2.87	2.10	0.00	6
CDH	2011-11-23	0.156593	6.385990e+5	2.790	2.160	2.790	2.000	2.190	2.570	2.160	2.790	0.130	0.000000	2.87	2.16	0.00	7
CDH	2011-11-22	0.157992	6.329420e+5	2.790	2.160	2.790	2.000	2.190	2.750	2.160	2.790	0.140	0.000000	2.87	2.16	0.00	8
CDH	2011-11-21	0.158939	6.291710e+5	2.790	2.160	2.790	2.000	2.190	2.790	2.160	2.790	0.030	0.000000	2.87	2.16	0.00	9
CDH	2011-11-18	0.165726	6.034070e+5	2.790	2.160	2.790	2.000	2.190	2.790	2.160	2.790	0.100	0.000000	2.87	2.16	0.00	10
CDH	2011-11-17	0.169185	5.910690e+5	2.790	2.100	2.790	2.000	2.190	2.790	2.100	2.790	0.150	0.000000	2.87	2.10	0.00	11
CDH	2011-11-16	0.170195	5.875630e+5	2.790	2.100	2.790	2.000	2.190	2.790	2.100	2.790	0.190	0.000000	2.88	2.10	0.00	12
CDH	2011-11-15	0.169152	5.911840e+5	2.790	2.100	2.790	2.000	2.350	2.790	2.100	2.790	0.430	0.000000	2.87	2.10	0.00	13
CDH	2011-11-14	0.155423	6.434040e+5	2.790	2.100	2.790	2.000	2.350	2.790	2.100	2.790	0.140	0.000000	2.87	2.10	0.00	14
CDH	2011-11-11	0.156235	6.400610e+5	2.790	2.080	2.790	2.000	2.350	2.790	2.080	2.790	0.130	0.000000	2.87	2.08	0.00	15
CDH	2011-11-10	0.157616	6.344540e+5	2.790	2.080	2.790	2.000	2.450	2.790	2.080	2.790	0.220	0.000000	2.87	2.08	0.00	16
CDH	2011-11-09	0.154333	6.479510e+5	2.790	2.080	2.790	2.000	2.160	2.790	2.080	2.790	0.200	0.000000	2.87	2.08	0.00	17
CDH	2011-11-08	0.151929	6.582020e+5	2.790	2.080	2.790	2.000	2.160	2.790	2.080	2.790	0.090	0.000000	2.87	2.08	0.00	18
CDH	2011-11-07	0.155188	6.443780e+5	2.600	2.050	2.730	2.000	2.160	2.600	2.050	2.600	0.200	0.000000	2.68	2.05	0.00	19
CDH	2011-11-04	0.152830	6.543220e+5	2.580	2.050	2.730	2.000	2.160	2.580	2.050	2.580	0.120	0.000000	2.66	2.05	0.00	20
CDH	2011-11-03	0.154558	6.470070e+5	2.580	2.050	2.730	2.000	2.100	2.580	2.050	2.580	0.090	0.000000	2.66	2.05	0.00	21
CDH	2011-11-02	0.157956	6.330890e+5	2.470	2.000	2.730	2.000	2.100	2.470	2.000	2.470	0.200	0.000000	2.55	2.00	0.00	22
CDH	2011-11-01	0.155743	6.420840e+5	2.470	2.000	2.780	2.000	2.100	2.470	2.000	2.470	0.150	0.000000	2.55	2.00	0.00	23
CDH	2011-10-31	0.156045	6.408410e+5	2.470	2.000	2.800	2.000	2.100	2.470	2.000	2.470	0.190	0.000000	2.55	2.00	0.00	24
CDH	2011-10-28	0.154258	6.482650e+5	2.460	2.000	2.800	2.000	2.080	2.460	2.000	2.460	0.190	0.000000	2.54	2.00	0.00	25
CDH	2011-10-27	0.152377	6.562680e+5	2.270	2.000	2.800	2.000	2.080	2.270	2.000	2.270	0.400	0.000000	2.35	2.00	0.00	26
