#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CHK	2011-12-01	1.144830	8.734920e+4	29.030	22.420	31.820	22.420	22.420	25.460	22.420	29.030	0.670	0.000000	29.60	22.42	0.00	1
CHK	2011-11-30	1.169820	8.548320e+4	29.030	22.420	31.820	22.420	22.420	25.470	22.420	29.030	1.620	0.000000	29.61	22.42	0.00	2
CHK	2011-11-29	1.146130	8.725030e+4	29.030	22.420	31.820	22.420	22.420	25.670	22.420	29.030	0.730	0.000000	29.60	22.42	0.00	3
CHK	2011-11-28	1.168030	8.561430e+4	29.740	22.420	31.820	22.420	22.420	26.450	22.420	29.740	1.130	0.000000	30.32	22.42	0.00	4
CHK	2011-11-25	1.170030	8.546790e+4	29.740	22.710	31.960	22.710	22.710	26.450	22.710	29.740	0.430	0.000000	30.32	22.71	0.00	5
CHK	2011-11-23	1.208980	8.271440e+4	29.740	23.660	31.960	23.660	23.660	26.450	23.660	29.740	0.950	0.000000	30.34	23.66	0.00	6
CHK	2011-11-22	1.222610	8.179230e+4	29.740	24.070	31.960	23.960	24.070	27.090	24.070	29.740	0.890	0.000000	30.35	24.07	0.00	7
CHK	2011-11-21	1.240120	8.063770e+4	29.740	24.330	32.110	23.960	24.330	27.090	24.330	29.740	0.960	0.000000	30.36	24.33	0.00	8
CHK	2011-11-18	1.254860	7.969030e+4	29.740	24.720	33.110	23.960	24.720	27.090	24.720	29.740	0.890	0.000000	30.37	24.72	0.00	9
CHK	2011-11-17	1.274060	7.848920e+4	29.740	25.460	33.110	23.960	25.460	29.030	25.460	29.740	1.120	0.000000	30.38	25.46	0.00	10
CHK	2011-11-16	1.282170	7.799280e+4	29.740	25.470	33.110	23.960	25.470	29.030	25.470	29.740	0.900	0.000000	30.38	25.47	0.00	11
CHK	2011-11-15	1.302280	7.678820e+4	29.740	25.540	33.110	23.960	25.540	29.030	25.540	29.740	0.670	0.000000	30.39	25.54	0.00	12
CHK	2011-11-14	1.335560	7.487480e+4	29.740	25.540	33.110	23.960	25.540	29.030	25.540	29.740	0.960	0.000000	30.41	25.54	0.00	13
CHK	2011-11-11	1.355330	7.378280e+4	29.740	25.540	33.110	23.960	25.540	29.740	25.540	29.740	1.530	0.000000	30.42	25.54	0.00	14
CHK	2011-11-10	1.346140	7.428670e+4	29.740	25.570	33.110	23.960	25.570	29.740	25.570	29.740	1.070	0.000000	30.41	25.57	0.00	15
CHK	2011-11-09	1.360670	7.349330e+4	29.740	26.750	33.110	23.960	26.840	29.740	26.750	29.740	1.590	0.000000	30.42	26.75	0.00	16
CHK	2011-11-08	1.348600	7.415100e+4	29.740	26.620	33.110	23.960	26.840	29.740	26.620	29.740	0.900	0.000000	30.41	26.62	0.00	17
CHK	2011-11-07	1.372210	7.287520e+4	29.740	26.620	33.110	23.960	27.000	29.740	26.620	29.740	1.180	0.000000	30.43	26.62	0.00	18
CHK	2011-11-04	1.382330	7.234190e+4	29.740	25.350	33.110	23.960	27.000	29.740	25.350	29.740	3.030	0.000000	30.43	25.35	0.00	19
CHK	2011-11-03	1.295610	7.718400e+4	29.740	25.350	33.110	23.960	27.000	29.740	25.350	29.740	1.450	0.000000	30.39	25.35	0.00	20
CHK	2011-11-02	1.287480	7.767110e+4	29.740	25.350	33.110	23.960	27.000	29.740	25.350	29.740	1.270	0.000000	30.38	25.35	0.00	21
CHK	2011-11-01	1.288400	7.761570e+4	29.740	25.120	33.110	23.960	27.100	29.740	25.120	29.740	1.620	0.000000	30.38	25.12	0.00	22
CHK	2011-10-31	1.270950	7.868150e+4	29.740	23.960	33.110	23.960	27.100	29.740	23.960	29.740	1.650	0.000000	30.38	23.96	0.00	23
CHK	2011-10-28	1.251000	7.993620e+4	29.160	23.960	33.110	23.960	27.100	29.160	23.960	29.160	1.090	0.000000	29.79	23.96	0.00	24
CHK	2011-10-27	1.259470	7.939840e+4	28.320	23.960	33.110	23.960	26.850	28.320	23.960	28.320	1.720	0.000000	28.95	23.96	0.00	25
CHK	2011-10-26	1.235230	8.095640e+4	28.320	23.960	33.110	23.960	26.750	28.320	23.960	28.320	1.150	0.000000	28.94	23.96	0.00	26
CHK	2011-10-25	1.239720	8.066350e+4	28.320	23.960	33.110	23.960	26.620	28.320	23.960	28.320	1.080	0.000000	28.94	23.96	0.00	27
CHK	2011-10-24	1.248120	8.012020e+4	27.810	23.960	33.110	23.960	26.620	27.810	23.960	27.810	0.610	0.000000	28.43	23.96	0.00	28
CHK	2011-10-21	1.281710	7.802080e+4	27.750	23.960	33.110	23.960	25.350	27.750	23.960	27.750	0.760	0.000000	28.39	23.96	0.00	29
CHK	2011-10-20	1.309170	7.638440e+4	27.750	23.960	34.230	23.960	25.350	27.750	23.960	27.750	1.030	0.000000	28.40	23.96	0.00	30
CHK	2011-10-19	1.323860	7.553660e+4	29.420	23.960	34.230	23.960	25.350	27.750	23.960	29.420	0.840	0.000000	30.08	23.96	0.00	31
CHK	2011-10-18	1.349330	7.411100e+4	30.410	23.960	34.350	23.960	25.120	27.750	23.960	30.410	1.560	0.000000	31.08	23.96	0.00	32
CHK	2011-10-17	1.338240	7.472500e+4	31.060	23.960	34.350	23.960	23.960	27.750	23.960	31.060	0.750	0.000000	31.73	23.96	0.00	33
CHK	2011-10-14	1.369200	7.303540e+4	31.820	23.960	34.350	23.960	23.960	26.850	23.960	31.820	0.900	0.000000	32.50	23.96	0.00	34
CHK	2011-10-13	1.393890	7.174150e+4	31.820	23.960	34.350	23.960	23.960	26.780	23.960	31.820	0.990	0.000000	32.52	23.96	0.00	35
CHK	2011-10-12	1.415150	7.066380e+4	31.820	23.960	34.350	23.960	23.960	27.270	23.960	31.820	0.720	0.000000	32.53	23.96	0.00	36
CHK	2011-10-11	1.451740	6.888290e+4	31.820	23.960	34.350	23.960	23.960	27.680	23.960	31.820	0.710	0.000000	32.55	23.96	0.00	37
CHK	2011-10-10	1.490780	6.707910e+4	31.820	23.960	34.390	23.960	23.960	27.680	23.960	31.820	1.400	0.000000	32.57	23.96	0.00	38
