#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CHY	2011-12-01	0.203360	4.917400e+5	12.060	11.130	12.110	10.660	11.130	11.530	11.130	12.060	0.150	0.000000	12.16	11.13	0.00	1
CHY	2011-11-30	0.206168	4.850410e+5	12.060	11.130	12.110	10.660	11.130	11.630	11.130	12.060	0.200	0.000000	12.16	11.13	0.00	2
CHY	2011-11-29	0.206493	4.842790e+5	12.060	11.130	12.110	10.660	11.130	11.670	11.130	12.060	0.120	0.000000	12.16	11.13	0.00	3
CHY	2011-11-28	0.211045	4.738330e+5	12.080	11.130	12.110	10.660	11.130	11.680	11.130	12.080	0.240	0.000000	12.19	11.13	0.00	4
CHY	2011-11-25	0.209521	4.772790e+5	12.110	11.130	12.110	10.660	11.130	11.680	11.130	12.110	0.190	0.000000	12.21	11.13	0.00	5
CHY	2011-11-23	0.210548	4.749500e+5	12.110	11.310	12.120	10.660	11.310	11.760	11.310	12.110	0.250	0.000000	12.22	11.31	0.00	6
CHY	2011-11-22	0.208472	4.796810e+5	12.110	11.310	12.120	10.660	11.310	12.060	11.310	12.110	0.120	0.000000	12.21	11.31	0.00	7
CHY	2011-11-21	0.213128	4.692010e+5	12.110	11.440	12.120	10.660	11.440	12.060	11.440	12.110	0.240	0.000000	12.22	11.44	0.00	8
CHY	2011-11-18	0.211714	4.723350e+5	12.110	11.500	12.120	10.660	11.500	12.060	11.500	12.110	0.170	0.000000	12.22	11.50	0.00	9
CHY	2011-11-17	0.213910	4.674870e+5	12.110	11.530	12.120	10.660	11.530	12.060	11.530	12.110	0.200	0.000000	12.22	11.53	0.00	10
CHY	2011-11-16	0.214642	4.658930e+5	12.110	11.480	12.120	10.660	11.630	12.060	11.480	12.110	0.150	0.000000	12.22	11.48	0.00	11
CHY	2011-11-15	0.218044	4.586230e+5	12.110	11.480	12.120	10.660	11.660	12.060	11.480	12.110	0.120	0.000000	12.22	11.48	0.00	12
CHY	2011-11-14	0.223204	4.480210e+5	12.110	11.380	12.120	10.660	11.660	12.060	11.380	12.110	0.120	0.000000	12.22	11.38	0.00	13
CHY	2011-11-11	0.228636	4.373770e+5	12.110	11.380	12.120	10.660	11.660	12.080	11.380	12.110	0.170	0.000000	12.22	11.38	0.00	14
CHY	2011-11-10	0.231722	4.315520e+5	12.110	11.270	12.120	10.660	11.750	12.110	11.270	12.110	0.250	0.000000	12.23	11.27	0.00	15
CHY	2011-11-09	0.230760	4.333510e+5	12.110	11.170	12.120	10.660	11.750	12.110	11.170	12.110	0.300	0.000000	12.23	11.17	0.00	16
CHY	2011-11-08	0.227116	4.403040e+5	12.110	11.080	12.120	10.660	11.650	12.110	11.080	12.110	0.150	0.000000	12.22	11.08	0.00	17
CHY	2011-11-07	0.231174	4.325740e+5	12.110	11.080	12.120	10.660	11.650	12.110	11.080	12.110	0.230	0.000000	12.23	11.08	0.00	18
CHY	2011-11-04	0.231236	4.324580e+5	12.110	10.800	12.120	10.660	11.550	12.110	10.800	12.110	0.270	0.000000	12.23	10.80	0.00	19
CHY	2011-11-03	0.229196	4.363080e+5	12.110	10.800	12.120	10.660	11.540	12.110	10.800	12.110	0.180	0.000000	12.22	10.80	0.00	20
CHY	2011-11-02	0.231785	4.314340e+5	12.110	10.770	12.120	10.660	11.480	12.110	10.770	12.110	0.110	0.000000	12.23	10.77	0.00	21
CHY	2011-11-01	0.238195	4.198240e+5	12.110	10.660	12.120	10.660	11.480	12.110	10.660	12.110	0.290	0.000000	12.23	10.66	0.00	22
CHY	2011-10-31	0.235469	4.246850e+5	12.110	10.660	12.120	10.660	11.380	12.110	10.660	12.110	0.180	0.000000	12.23	10.66	0.00	23
CHY	2011-10-28	0.238388	4.194840e+5	12.110	10.660	12.120	10.660	11.380	12.110	10.660	12.110	0.100	0.000000	12.23	10.66	0.00	24
CHY	2011-10-27	0.245671	4.070480e+5	11.820	10.660	12.120	10.660	11.270	11.820	10.660	11.820	0.300	0.000000	11.94	10.66	0.00	25
CHY	2011-10-26	0.242812	4.118410e+5	11.760	10.660	12.120	10.660	11.170	11.760	10.660	11.760	0.230	0.000000	11.88	10.66	0.00	26
CHY	2011-10-25	0.243486	4.107010e+5	11.760	10.660	12.120	10.660	11.080	11.760	10.660	11.760	0.210	0.000000	11.88	10.66	0.00	27
CHY	2011-10-24	0.245249	4.077490e+5	11.550	10.660	12.120	10.660	11.080	11.550	10.660	11.550	0.220	0.000000	11.67	10.66	0.00	28
CHY	2011-10-21	0.246578	4.055520e+5	11.540	10.660	12.120	10.660	10.800	11.540	10.660	11.540	0.220	0.000000	11.66	10.66	0.00	29
CHY	2011-10-20	0.247977	4.032640e+5	11.530	10.660	12.550	10.660	10.800	11.530	10.660	11.530	0.210	0.000000	11.65	10.66	0.00	30
CHY	2011-10-19	0.249975	4.000390e+5	11.530	10.660	12.550	10.660	10.770	11.530	10.660	11.530	0.140	0.000000	11.65	10.66	0.00	31
CHY	2011-10-18	0.255764	3.909860e+5	11.620	10.660	12.680	10.660	10.660	11.520	10.660	11.620	0.230	0.000000	11.75	10.66	0.00	32
CHY	2011-10-17	0.257120	3.889240e+5	11.740	10.660	12.680	10.660	10.660	11.520	10.660	11.740	0.170	0.000000	11.87	10.66	0.00	33
CHY	2011-10-14	0.261705	3.821100e+5	11.770	10.660	12.680	10.660	10.660	11.270	10.660	11.770	0.270	0.000000	11.90	10.66	0.00	34
