#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CL	2011-12-01	1.714490	5.832630e+4	91.500	86.480	93.960	86.480	86.480	91.500	86.480	91.500	1.990	0.000000	92.36	86.48	0.00	1
CL	2011-11-30	1.699990	5.882380e+4	89.700	86.480	93.960	86.480	86.480	89.700	86.480	89.700	1.940	0.000000	90.55	86.48	0.00	2
CL	2011-11-29	1.687360	5.926420e+4	90.370	86.480	93.960	86.480	86.480	88.790	86.480	90.370	1.610	0.000000	91.21	86.48	0.00	3
CL	2011-11-28	1.691430	5.912150e+4	91.220	86.480	93.960	86.480	86.480	89.170	86.480	91.220	1.870	0.000000	92.07	86.48	0.00	4
CL	2011-11-25	1.682030	5.945190e+4	91.330	86.480	93.960	86.480	86.480	89.170	86.480	91.330	0.980	0.000000	92.17	86.48	0.00	5
CL	2011-11-23	1.718980	5.817400e+4	91.330	87.440	93.960	87.410	87.440	89.170	87.440	91.330	2.010	0.000000	92.19	87.44	0.00	6
CL	2011-11-22	1.703670	5.869700e+4	91.330	87.440	93.960	87.410	87.440	89.440	87.440	91.330	1.650	0.000000	92.18	87.44	0.00	7
CL	2011-11-21	1.706490	5.859980e+4	91.330	87.450	93.960	87.410	87.450	89.440	87.450	91.330	1.620	0.000000	92.18	87.45	0.00	8
CL	2011-11-18	1.711040	5.844390e+4	93.920	87.450	93.960	87.410	87.450	89.440	87.450	93.920	1.060	0.000000	94.78	87.45	0.00	9
CL	2011-11-17	1.745310	5.729650e+4	93.920	87.450	93.960	87.410	87.450	89.440	87.450	93.920	1.260	0.000000	94.79	87.45	0.00	10
CL	2011-11-16	1.770850	5.647010e+4	93.920	87.450	93.960	87.410	87.450	89.440	87.450	93.920	1.770	0.000000	94.81	87.45	0.00	11
CL	2011-11-15	1.770890	5.646860e+4	93.920	87.450	93.960	87.410	87.450	89.440	87.450	93.920	0.740	0.000000	94.81	87.45	0.00	12
CL	2011-11-14	1.825150	5.479000e+4	93.920	87.450	93.960	87.410	87.450	90.370	87.450	93.920	1.040	0.000000	94.83	87.45	0.00	13
CL	2011-11-11	1.866480	5.357690e+4	93.920	87.450	93.960	86.850	87.450	91.220	87.450	93.920	1.260	0.000000	94.85	87.45	0.00	14
CL	2011-11-10	1.898400	5.267610e+4	93.920	87.450	93.960	86.850	87.450	91.330	87.450	93.920	1.190	0.000000	94.87	87.45	0.00	15
CL	2011-11-09	1.935680	5.166140e+4	93.920	87.940	93.960	86.850	87.940	91.330	87.940	93.920	2.290	0.000000	94.89	87.94	0.00	16
CL	2011-11-08	1.917030	5.216400e+4	93.920	87.940	93.960	85.200	87.940	91.330	87.940	93.920	1.150	0.000000	94.88	87.94	0.00	17
CL	2011-11-07	1.957400	5.108810e+4	93.920	87.940	93.960	84.990	87.940	91.330	87.940	93.920	2.200	0.000000	94.90	87.94	0.00	18
CL	2011-11-04	1.944630	5.142360e+4	93.920	87.940	93.960	84.990	87.940	93.920	87.940	93.920	1.370	0.000000	94.89	87.94	0.00	19
CL	2011-11-03	1.974880	5.063610e+4	93.920	87.940	93.960	84.990	87.940	93.920	87.940	93.920	1.160	0.000000	94.91	87.94	0.00	20
CL	2011-11-02	2.017770	4.955980e+4	93.920	88.090	93.960	84.990	88.090	93.920	88.090	93.920	1.450	0.000000	94.93	88.09	0.00	21
CL	2011-11-01	2.047650	4.883650e+4	93.920	88.420	93.960	84.990	89.980	93.920	88.420	93.920	2.370	0.000000	94.94	88.42	0.00	22
CL	2011-10-31	2.030680	4.924460e+4	93.920	88.300	93.960	84.990	89.980	93.920	88.300	93.920	1.240	0.000000	94.94	88.30	0.00	23
CL	2011-10-28	2.072300	4.825560e+4	93.920	88.300	93.960	84.170	89.980	93.920	88.300	93.920	1.880	0.000000	94.96	88.30	0.00	24
CL	2011-10-27	2.082420	4.802110e+4	93.920	88.300	93.960	80.180	89.980	93.920	88.300	93.920	5.370	0.000000	94.96	88.30	0.00	25
CL	2011-10-26	1.909390	5.237280e+4	93.920	88.300	93.960	80.180	89.980	93.920	88.300	93.920	2.530	0.000000	94.87	88.30	0.00	26
CL	2011-10-25	1.876720	5.328440e+4	93.920	88.300	93.960	80.180	90.350	93.920	88.300	93.920	1.550	0.000000	94.86	88.30	0.00	27
CL	2011-10-24	1.893920	5.280060e+4	93.920	88.300	93.960	80.180	90.350	93.920	88.300	93.920	3.000	0.000000	94.87	88.30	0.00	28
CL	2011-10-21	1.835700	5.447500e+4	92.340	88.300	93.960	80.180	90.350	92.340	88.300	92.340	2.300	0.000000	93.26	88.30	0.00	29
CL	2011-10-20	1.811270	5.521000e+4	92.340	87.410	93.960	80.180	90.190	92.340	87.410	92.340	1.570	0.000000	93.25	87.41	0.00	30
CL	2011-10-19	1.823970	5.482560e+4	92.340	87.410	93.960	80.180	89.500	92.340	87.410	92.340	0.930	0.000000	93.25	87.41	0.00	31
CL	2011-10-18	1.871020	5.344690e+4	93.960	87.410	93.960	80.180	88.420	92.340	87.410	93.960	2.450	0.000000	94.90	87.41	0.00	32
CL	2011-10-17	1.840540	5.433180e+4	93.960	87.410	93.960	80.180	88.300	92.340	87.410	93.960	1.750	0.000000	94.88	87.41	0.00	33
CL	2011-10-14	1.845310	5.419150e+4	93.960	87.410	93.960	80.180	88.300	91.740	87.410	93.960	1.350	0.000000	94.88	87.41	0.00	34
CL	2011-10-13	1.871380	5.343660e+4	93.960	87.410	93.960	80.180	88.300	91.740	87.410	93.960	1.020	0.000000	94.90	87.41	0.00	35
CL	2011-10-12	1.916190	5.218700e+4	93.960	87.410	93.960	80.180	88.300	91.740	87.410	93.960	1.730	0.000000	94.92	87.41	0.00	36
CL	2011-10-11	1.925990	5.192140e+4	93.960	87.410	93.960	80.180	88.300	91.740	87.410	93.960	1.590	0.000000	94.92	87.41	0.00	37
CL	2011-10-10	1.943670	5.144910e+4	93.960	87.410	93.960	80.180	88.300	91.070	87.410	93.960	1.500	0.000000	94.93	87.41	0.00	38
CL	2011-10-07	1.967020	5.083830e+4	93.960	87.410	93.960	80.180	88.300	91.070	87.410	93.960	1.190	0.000000	94.94	87.41	0.00	39
CL	2011-10-06	2.007920	4.980290e+4	93.960	87.410	93.960	80.180	87.410	91.070	87.410	93.960	1.170	0.000000	94.96	87.41	0.00	40
CL	2011-10-05	2.052020	4.873250e+4	93.960	87.410	93.960	80.180	87.410	91.070	87.410	93.960	2.060	0.000000	94.99	87.41	0.00	41
CL	2011-10-04	2.051600	4.874250e+4	93.960	87.410	93.960	80.180	87.410	93.960	87.410	93.960	2.180	0.000000	94.99	87.41	0.00	42
