#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CLCT	2011-12-01	0.400683	2.495740e+5	15.940	14.050	15.940	13.230	14.050	15.000	14.050	15.940	0.360	0.000000	16.14	14.05	0.00	1
CLCT	2011-11-30	0.402824	2.482470e+5	15.940	14.160	15.940	13.230	14.160	15.240	14.160	15.940	0.300	0.000000	16.14	14.16	0.00	2
CLCT	2011-11-29	0.408236	2.449560e+5	15.940	14.400	15.940	13.230	14.400	15.320	14.400	15.940	0.420	0.000000	16.14	14.40	0.00	3
CLCT	2011-11-28	0.407617	2.453290e+5	15.940	14.400	16.280	13.230	14.400	15.320	14.400	15.940	1.000	0.000000	16.14	14.40	0.00	4
CLCT	2011-11-25	0.376439	2.656480e+5	15.940	14.400	16.450	13.230	14.400	15.320	14.400	15.940	0.230	0.000000	16.13	14.40	0.00	5
CLCT	2011-11-23	0.384146	2.603180e+5	15.940	14.450	16.750	13.230	14.450	15.320	14.450	15.940	0.270	0.000000	16.13	14.45	0.00	6
CLCT	2011-11-22	0.390154	2.563090e+5	15.940	14.450	16.750	13.230	14.450	15.350	14.450	15.940	0.320	0.000000	16.14	14.45	0.00	7
CLCT	2011-11-21	0.393846	2.539060e+5	15.940	14.570	16.750	13.230	14.620	15.940	14.570	15.940	0.270	0.000000	16.14	14.57	0.00	8
CLCT	2011-11-18	0.400364	2.497730e+5	15.940	14.570	16.750	13.230	14.700	15.940	14.570	15.940	0.210	0.000000	16.14	14.57	0.00	9
CLCT	2011-11-17	0.410383	2.436750e+5	15.940	14.570	16.750	13.230	15.000	15.940	14.570	15.940	0.370	0.000000	16.15	14.57	0.00	10
CLCT	2011-11-16	0.412509	2.424190e+5	15.940	14.570	16.890	13.230	15.060	15.940	14.570	15.940	0.250	0.000000	16.15	14.57	0.00	11
CLCT	2011-11-15	0.421062	2.374950e+5	15.940	14.380	16.890	13.230	14.750	15.940	14.380	15.940	0.240	0.000000	16.15	14.38	0.00	12
CLCT	2011-11-14	0.430591	2.322390e+5	15.940	14.380	17.200	13.230	14.750	15.940	14.380	15.940	0.310	0.000000	16.16	14.38	0.00	13
CLCT	2011-11-11	0.436938	2.288650e+5	15.940	14.380	17.250	13.230	14.750	15.940	14.380	15.940	0.260	0.000000	16.16	14.38	0.00	14
CLCT	2011-11-10	0.446251	2.240890e+5	15.940	14.380	17.300	13.230	14.750	15.940	14.380	15.940	0.380	0.000000	16.16	14.38	0.00	15
CLCT	2011-11-09	0.449738	2.223520e+5	15.940	14.380	17.350	13.230	14.750	15.940	14.380	15.940	0.260	0.000000	16.16	14.38	0.00	16
CLCT	2011-11-08	0.459724	2.175220e+5	15.940	14.230	17.350	13.230	14.630	15.940	14.230	15.940	0.590	0.000000	16.17	14.23	0.00	17
CLCT	2011-11-07	0.452867	2.208150e+5	15.800	14.230	17.350	13.230	14.570	15.800	14.230	15.800	0.560	0.000000	16.03	14.23	0.00	18
CLCT	2011-11-04	0.447229	2.235990e+5	15.420	14.230	17.350	13.230	14.570	15.420	14.230	15.420	0.490	0.000000	15.64	14.23	0.00	19
