#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CLS	2011-12-01	0.304046	3.288980e+5	8.820	7.930	8.820	7.310	7.930	8.560	7.930	8.820	0.300	0.000000	8.97	7.93	0.00	1
CLS	2011-11-30	0.304259	3.286680e+5	8.820	7.930	8.820	7.310	7.930	8.750	7.930	8.820	0.240	0.000000	8.97	7.93	0.00	2
CLS	2011-11-29	0.307641	3.250550e+5	8.820	7.930	8.820	7.310	7.930	8.750	7.930	8.820	0.360	0.000000	8.97	7.93	0.00	3
CLS	2011-11-28	0.304885	3.279930e+5	8.820	7.930	8.820	7.310	7.930	8.750	7.930	8.820	0.320	0.000000	8.97	7.93	0.00	4
CLS	2011-11-25	0.304089	3.288510e+5	8.820	7.930	8.820	7.310	7.930	8.750	7.930	8.820	0.170	0.000000	8.97	7.93	0.00	5
CLS	2011-11-24	0.311147	3.213920e+5	8.820	7.930	8.820	7.310	7.930	8.750	7.930	8.820	0.370	0.000000	8.98	7.93	0.00	6
CLS	2011-11-23	0.308049	3.246240e+5	8.820	8.250	8.820	7.310	8.250	8.750	8.250	8.820	0.330	0.000000	8.97	8.25	0.00	7
CLS	2011-11-22	0.306894	3.258460e+5	8.820	8.250	8.820	7.310	8.250	8.820	8.250	8.820	0.230	0.000000	8.97	8.25	0.00	8
CLS	2011-11-21	0.310941	3.216050e+5	8.820	8.070	8.820	7.310	8.490	8.820	8.070	8.820	0.420	0.000000	8.98	8.07	0.00	9
CLS	2011-11-18	0.305201	3.276530e+5	8.820	8.000	8.820	7.310	8.510	8.820	8.000	8.820	0.190	0.000000	8.97	8.00	0.00	10
CLS	2011-11-17	0.311264	3.212710e+5	8.820	7.900	8.820	7.310	8.510	8.820	7.900	8.820	0.330	0.000000	8.98	7.90	0.00	11
CLS	2011-11-16	0.310278	3.222920e+5	8.820	7.900	8.820	7.310	8.510	8.820	7.900	8.820	0.200	0.000000	8.98	7.90	0.00	12
CLS	2011-11-15	0.316082	3.163740e+5	8.820	7.900	8.820	7.310	8.310	8.820	7.900	8.820	0.250	0.000000	8.98	7.90	0.00	13
CLS	2011-11-14	0.319560	3.129300e+5	8.820	7.900	8.820	7.310	8.270	8.820	7.900	8.820	0.210	0.000000	8.98	7.90	0.00	14
CLS	2011-11-11	0.325326	3.073840e+5	8.820	7.900	8.820	7.310	8.270	8.820	7.900	8.820	0.320	0.000000	8.98	7.90	0.00	15
CLS	2011-11-10	0.325607	3.071190e+5	8.820	7.900	8.820	7.310	8.270	8.820	7.900	8.820	0.210	0.000000	8.98	7.90	0.00	16
CLS	2011-11-09	0.331691	3.014850e+5	8.820	7.900	8.820	7.190	8.270	8.820	7.900	8.820	0.390	0.000000	8.99	7.90	0.00	17
CLS	2011-11-08	0.328622	3.043010e+5	8.820	7.900	8.820	7.150	8.270	8.820	7.900	8.820	0.260	0.000000	8.98	7.90	0.00	18
CLS	2011-11-07	0.332234	3.009930e+5	8.780	7.900	8.780	7.150	8.070	8.780	7.900	8.780	0.180	0.000000	8.95	7.90	0.00	19
CLS	2011-11-04	0.340246	2.939050e+5	8.780	7.900	8.780	7.150	8.000	8.780	7.900	8.780	0.160	0.000000	8.95	7.90	0.00	20
CLS	2011-11-03	0.349733	2.859320e+5	8.740	7.900	8.740	7.150	7.900	8.740	7.900	8.740	0.340	0.000000	8.91	7.90	0.00	21
CLS	2011-11-02	0.350245	2.855140e+5	8.740	7.670	8.740	7.150	7.900	8.740	7.670	8.740	0.410	0.000000	8.92	7.67	0.00	22
CLS	2011-11-01	0.347100	2.881010e+5	8.740	7.310	8.740	7.150	7.900	8.740	7.310	8.740	0.340	0.000000	8.91	7.31	0.00	23
CLS	2011-10-31	0.347474	2.877910e+5	8.740	7.310	8.740	7.150	7.900	8.740	7.310	8.740	0.480	0.000000	8.91	7.31	0.00	24
CLS	2011-10-28	0.340499	2.936870e+5	8.600	7.310	8.600	7.150	7.900	8.600	7.310	8.600	0.350	0.000000	8.77	7.31	0.00	25
CLS	2011-10-27	0.339999	2.941190e+5	8.600	7.310	8.600	7.150	7.900	8.600	7.310	8.600	0.320	0.000000	8.77	7.31	0.00	26
