#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CLX	2011-12-01	1.243700	8.040500e+4	65.880	63.710	69.560	63.710	63.710	65.000	63.710	65.880	1.150	0.000000	66.50	63.71	0.00	1
CLX	2011-11-30	1.248640	8.008740e+4	65.880	63.710	69.560	63.710	63.710	65.000	63.710	65.880	1.030	0.000000	66.50	63.71	0.00	2
CLX	2011-11-29	1.260140	7.935610e+4	66.940	63.710	69.560	63.710	63.710	65.880	63.710	66.940	0.610	0.000000	67.57	63.71	0.00	3
CLX	2011-11-28	1.294360	7.725820e+4	66.940	63.710	69.560	63.710	63.710	65.880	63.710	66.940	1.070	0.000000	67.59	63.71	0.00	4
CLX	2011-11-25	1.306170	7.655980e+4	67.430	63.710	69.560	63.710	63.710	65.880	63.710	67.430	1.060	0.000000	68.08	63.71	0.00	5
CLX	2011-11-23	1.319130	7.580780e+4	68.630	63.970	69.690	63.970	64.150	65.880	63.970	68.630	1.190	0.000000	69.29	63.97	0.00	6
CLX	2011-11-22	1.325920	7.541920e+4	68.630	63.970	69.690	63.970	64.150	65.880	63.970	68.630	0.750	0.000000	69.29	63.97	0.00	7
CLX	2011-11-21	1.356230	7.373360e+4	68.630	63.970	69.690	63.970	64.410	65.880	63.970	68.630	1.570	0.000000	69.31	63.97	0.00	8
CLX	2011-11-18	1.344980	7.435040e+4	69.560	63.970	69.690	63.970	64.410	65.880	63.970	69.560	0.700	0.000000	70.23	63.97	0.00	9
CLX	2011-11-17	1.378930	7.252010e+4	69.560	63.970	69.700	63.970	63.970	65.880	63.970	69.560	0.760	0.000000	70.25	63.97	0.00	10
CLX	2011-11-16	1.411500	7.084640e+4	69.560	63.970	70.520	63.970	63.970	65.880	63.970	69.560	0.870	0.000000	70.27	63.97	0.00	11
CLX	2011-11-15	1.440000	6.944420e+4	69.560	63.970	70.520	63.970	63.970	65.880	63.970	69.560	0.920	0.000000	70.28	63.97	0.00	12
CLX	2011-11-14	1.467370	6.814900e+4	69.560	63.970	70.520	63.970	63.970	66.940	63.970	69.560	0.850	0.000000	70.29	63.97	0.00	13
CLX	2011-11-11	1.499870	6.667260e+4	69.560	63.970	70.520	63.970	63.970	66.940	63.970	69.560	0.760	0.000000	70.31	63.97	0.00	14
CLX	2011-11-10	1.538810	6.498540e+4	69.560	63.970	70.520	63.970	63.970	67.430	63.970	69.560	1.450	0.000000	70.33	63.97	0.00	15
CLX	2011-11-09	1.543480	6.478860e+4	69.560	63.970	70.520	63.970	63.970	68.630	63.970	69.560	1.540	0.000000	70.33	63.97	0.00	16
CLX	2011-11-08	1.543660	6.478090e+4	69.560	63.970	70.520	63.970	63.970	68.630	63.970	69.560	0.850	0.000000	70.33	63.97	0.00	17
CLX	2011-11-07	1.580170	6.328420e+4	69.560	63.970	70.520	63.970	63.970	68.630	63.970	69.560	0.980	0.000000	70.35	63.97	0.00	18
CLX	2011-11-04	1.611760	6.204400e+4	69.560	63.970	70.520	63.970	63.970	69.560	63.970	69.560	1.220	0.000000	70.37	63.97	0.00	19
CLX	2011-11-03	1.632380	6.126030e+4	69.560	65.000	70.520	64.000	65.000	69.560	65.000	69.560	1.700	0.000000	70.38	65.00	0.00	20
CLX	2011-11-02	1.628820	6.139410e+4	69.560	65.820	70.520	64.000	65.860	69.560	65.820	69.560	2.510	0.000000	70.37	65.82	0.00	21
CLX	2011-11-01	1.582440	6.319340e+4	69.560	65.240	70.520	64.000	66.230	69.560	65.240	69.560	1.740	0.000000	70.35	65.24	0.00	22
CLX	2011-10-31	1.574150	6.352630e+4	69.560	64.550	70.520	64.000	66.230	69.560	64.550	69.560	1.430	0.000000	70.35	64.55	0.00	23
CLX	2011-10-28	1.581740	6.322160e+4	69.560	64.550	70.520	64.000	67.200	69.560	64.550	69.560	2.130	0.000000	70.35	64.55	0.00	24
CLX	2011-10-27	1.552880	6.439640e+4	69.560	64.550	70.520	64.000	66.710	69.560	64.550	69.560	2.410	0.000000	70.34	64.55	0.00	25
CLX	2011-10-26	1.507770	6.632310e+4	69.560	64.550	70.520	64.000	66.710	69.560	64.550	69.560	1.420	0.000000	70.31	64.55	0.00	26
CLX	2011-10-25	1.512390	6.612060e+4	69.560	64.550	70.520	64.000	66.710	69.560	64.550	69.560	0.900	0.000000	70.32	64.55	0.00	27
CLX	2011-10-24	1.544620	6.474080e+4	69.560	64.550	70.520	64.000	66.710	69.560	64.550	69.560	2.250	0.000000	70.33	64.55	0.00	28
CLX	2011-10-21	1.507490	6.633520e+4	69.400	64.550	70.520	64.000	66.530	68.310	64.550	69.400	1.300	0.000000	70.15	64.55	0.00	29
CLX	2011-10-20	1.518420	6.585810e+4	69.400	64.550	70.520	64.000	66.530	68.100	64.550	69.400	0.780	0.000000	70.16	64.55	0.00	30
CLX	2011-10-19	1.557280	6.421450e+4	69.400	64.550	70.520	64.000	65.820	68.100	64.550	69.400	0.920	0.000000	70.18	64.55	0.00	31
CLX	2011-10-18	1.590820	6.286060e+4	69.400	64.550	71.120	64.000	65.240	68.100	64.550	69.400	1.300	0.000000	70.20	64.55	0.00	32
CLX	2011-10-17	1.606130	6.226160e+4	69.400	64.550	71.590	64.000	64.550	68.100	64.550	69.400	1.240	0.000000	70.20	64.55	0.00	33
CLX	2011-10-14	1.625400	6.152340e+4	69.470	64.550	72.690	64.000	64.550	67.370	64.550	69.470	1.620	0.000000	70.28	64.55	0.00	34
CLX	2011-10-13	1.625680	6.151270e+4	69.470	64.550	73.630	64.000	64.550	67.370	64.550	69.470	0.570	0.000000	70.28	64.55	0.00	35
CLX	2011-10-12	1.681240	5.947980e+4	69.470	64.550	73.630	64.000	64.550	67.370	64.550	69.470	0.690	0.000000	70.31	64.55	0.00	36
CLX	2011-10-11	1.733410	5.768960e+4	69.470	64.550	73.630	64.000	64.550	67.370	64.550	69.470	0.700	0.000000	70.34	64.55	0.00	37
CLX	2011-10-10	1.787800	5.593450e+4	69.470	64.550	74.360	64.000	64.550	67.370	64.550	69.470	1.060	0.000000	70.36	64.55	0.00	38
CLX	2011-10-07	1.826110	5.476120e+4	69.470	64.550	74.360	64.000	64.550	69.400	64.550	69.470	1.170	0.000000	70.38	64.55	0.00	39
CLX	2011-10-06	1.860640	5.374490e+4	69.470	64.550	74.360	64.000	64.550	69.400	64.550	69.470	1.830	0.000000	70.40	64.55	0.00	40
CLX	2011-10-05	1.862250	5.369840e+4	69.690	64.550	74.360	64.000	64.550	69.400	64.550	69.690	1.150	0.000000	70.62	64.55	0.00	41
CLX	2011-10-04	1.899740	5.263880e+4	69.690	64.550	74.360	64.000	64.550	69.400	64.550	69.690	1.870	0.000000	70.64	64.55	0.00	42
CLX	2011-10-03	1.901310	5.259540e+4	69.690	66.130	74.550	64.000	66.130	69.400	66.130	69.690	2.290	0.000000	70.64	66.13	0.00	43
CLX	2011-09-30	1.880850	5.316750e+4	69.690	66.130	74.550	64.000	66.130	69.470	66.130	69.690	1.330	0.000000	70.63	66.13	0.00	44
CLX	2011-09-29	1.909840	5.236040e+4	69.700	66.130	74.550	64.000	66.130	69.470	66.130	69.700	1.830	0.000000	70.65	66.13	0.00	45
CLX	2011-09-28	1.914040	5.224540e+4	70.520	66.130	74.550	64.000	66.130	69.470	66.130	70.520	1.560	0.000000	71.48	66.13	0.00	46
CLX	2011-09-27	1.932680	5.174170e+4	70.520	66.130	74.550	64.000	66.130	69.470	66.130	70.520	1.830	0.000000	71.49	66.13	0.00	47
CLX	2011-09-26	1.938080	5.159740e+4	70.520	66.130	74.550	64.000	66.130	69.470	66.130	70.520	5.440	0.000000	71.49	66.13	0.00	48
CLX	2011-09-23	1.753770	5.702000e+4	70.520	65.910	74.550	64.000	66.130	69.470	65.910	70.520	3.480	0.000000	71.40	65.91	0.00	49
CLX	2011-09-22	1.662920	6.013540e+4	70.520	65.910	74.550	64.000	66.750	69.470	65.910	70.520	1.290	0.000000	71.35	65.91	0.00	50
CLX	2011-09-21	1.682540	5.943390e+4	70.520	65.770	74.550	64.000	67.480	69.690	65.770	70.520	2.390	0.000000	71.36	65.77	0.00	51
CLX	2011-09-20	1.645310	6.077890e+4	70.520	64.610	74.550	64.000	67.480	69.690	64.610	70.520	1.100	0.000000	71.34	64.61	0.00	52
CLX	2011-09-19	1.674010	5.973690e+4	70.520	64.000	74.550	64.000	67.480	69.690	64.000	70.520	0.940	0.000000	71.36	64.00	0.00	53
